Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
CITY WIDE CONTRACTS,8440,FEE EXPENSES,2012-10-23,3337364,R81IN1/00002522,267793.00,ACTION FOR CHILDREN,326212,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SWAN COMMISSIONED,1147,DEMOLITION,2012-10-23,3340920,YD20151014,2081.00,YEDL CASHIER,353721,Utilities,ELECTRICITY COMPANIES
SHEFFIELD HOMES TREES,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-23,3343168,2047,1300.00,ANDERSON TREE CARE LTD,316084,Environmental Services,TREE WORK & FORESTRY SERVICES
WASTE CLIENT,9380,COLLN OF WHEELED AND BULK BINS,2012-10-23,3343492,SCC0812,2261159.08,SHEFFIELD ENVIRONMENTAL SERVICES LIMITED,451625,Environmental Services,WASTE DISPOSAL SERVICES
EXTERNAL PROJECTS,8440,FEE EXPENSES,2012-10-23,3344108,1209-04,64722.50,SERO CONSULTING LTD,434360,Consultancy,BUSINESS & MANAGEMENT CONSULTA
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-23,3344367,9411056,899.92,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-23,3344521,9382806,796.6,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
OUTDOOR EDUCATION,8620,COMPUTER MAINTENANCE,2012-10-23,3344583,1261,700,THE ROCKFIELD PARTNERSHIP,520804,Consultancy,BUSINESS & MANAGEMENT CONSULTA
OUTDOOR EDUCATION,6030,REPAIRS AND MTCE - RESPONSIVE,2012-10-23,3345123,12520,625.6,ALPHA GAS & PLUMBING LIMITED,394713,Construction,PLUMBERS
SHEFFIELD HOMES TREES,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-23,3345156,888,800,SHEFFIELD TREE CARE,462546,Environmental Services,TREE WORK & FORESTRY SERVICES
OUTDOOR EDUCATION,6090,WASTE DISPOSAL,2012-10-23,3345157,80739951,594.1,DERBYSHIRE DALES DISTRICT COUNCIL,325291,Unclassified Non Trade,LOCAL GOVERNMENT
ADOPTION SERVICE,8440,FEE EXPENSES,2012-10-23,3345169,1242,1200.00,REDACTED PERSONAL DATA,347957,Social Community Care,ADOPTION & FOSTERING
WOODLANDS,8260,WOODLAND DEVELOPMENT EXPENSES,2012-10-23,3345354,O307,747,AAA 1ST CALL,361147,Environmental Services,SKIP HIRE
PUBLIC REALM OH AND SUPPORT,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-23,3345600,35921,4100.00,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
ICT INFRASTRUCTURE,1197,DIRECT EMPLOYEES FEES,2012-10-23,3346651,5337655,1800.00,MICHAEL PAGE UK LIMITED,347153,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
WEST SA - LAC,7140,PUBLIC TRANSPORT COSTS,2012-10-23,3346784,01/3705745,2745.96,CO-OPERATIVE TRAVEL MANAGEMENT,202987,Facilities Management,TRAVEL AGENTS & HOLIDAY COMPAN
MAYORAL SERVICE,8230,HOSPITALITY,2012-10-23,3346795,229605,1129.00,SHAW & SONS LTD.,208347,Facilities Management,PRINTERS
SHEFFIELD HOMES TREES,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-23,3346802,1082,1885.00,TINSLEY TREE PROJECT,387262,Unclassified Non Trade,COMMUNITY PROJECTS
CHILDREN WITH DISABILITIES SHO,7140,PUBLIC TRANSPORT COSTS,2012-10-23,3346867,01/3745901,520,CO-OPERATIVE TRAVEL MANAGEMENT,202987,Facilities Management,TRAVEL AGENTS & HOLIDAY COMPAN
PARKS OPERATIONS EAST,8550,OTHER SERVICES,2012-10-23,3346884,025094/1,633,EARTH ANCHORS LTD,204563,Highway Equipment and Materials,SEATING MANUFACTURERS
MEMBERS SUPPORT,8380,PHOTOCOPYING,2012-10-23,3347491,1104980822,1171.46,KONICA MINOLTA BUSINESS SOLUTIONS EAST,206267,ICT,OFFICE EQUIPMENT MNFRS & DISTR
JESSICA,8460,CONSULTANTS FEES,2012-10-23,3347492,2410060961,46200.00,DELOITTE MCS LIMITED,545290,Financial Services,ACCOUNTANTS
CITY TEAM,8490,COACHING FEES,2012-10-23,3347613,AS25,600,EVOLUTION OUTDOORS LTD,556160,Leisure Services,SPORTS COACHING & INSTRUCTION
PURCHASING LEARNING DISABILITI,8350,MISCELLANEOUS EXPENSES,2012-10-23,3347639,SCC004979,563.5,ALARA BED & BREAKFAST,305061,Facilities Management,GUEST HOUSES
CITY TEAM,8490,COACHING FEES,2012-10-23,3347663,AS26,600,EVOLUTION OUTDOORS LTD,556160,Leisure Services,SPORTS COACHING & INSTRUCTION
CITY TEAM,8490,COACHING FEES,2012-10-23,3347665,AS24,1400.00,EVOLUTION OUTDOORS LTD,556160,Leisure Services,SPORTS COACHING & INSTRUCTION
LOCALITY MANAGEMENT TEAM,8440,FEE EXPENSES,2012-10-23,3348677,6689,1665.00,SHEFFIELD FUTURES,322702,Medical,COUNSELLING & ADVICE SERVICES
CORONIAL SERVICES,8440,TOXICOLOGY FEES,2012-10-23,3348763,4000330151,6250.00,SHEFFIELD TEACHING HOSPITALS NHS TRUST,299675,Unclassified Non Trade,HOSPITALS - POST MORTEM
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-23,3348766,9438940,514.24,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-23,3348771,9438944,1285.60,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2012-10-23,3348773,9438943,1092.76,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
SHEFFIELD HOMES MANAGEMENT COS,8350,MISCELLANEOUS EXPENSES,2012-10-23,3348806,655,22595.71,SHEFFIELD HOMES LTD,503889,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
SHEFFIELD HOMES MANAGEMENT COS,8350,MISCELLANEOUS EXPENSES,2012-10-23,3348807,654,30000.00,SHEFFIELD HOMES LTD,503889,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
FOSTERING DEVELOPMENT,8230,HOSPITALITY,2012-10-23,3348814,GCI144249,3325.00,NATIONAL BOOK TOKENS LTD,541413,Stationery,GIFT SERVICES
PARKS OPERATIONS NORTH,7020,VEHICLE FUEL COSTS,2012-10-23,3348816,8427355,1382.95,CARLTON FUELS LIMITED,490002,Utilities,OIL FUEL DISTRIBUTORS
EMTAS,8440,FEE EXPENSES,2012-10-23,3349193,FDI06792,1045.00,CONFERENCE 21,301229,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
SUBSTANCE MISUSE (SSCB),8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-23,3349261,INV155962,2122.73,A PINDER LTD,202627,Facilities Management,COPYING & DUPLICATING SERVICES
HEATING BREAKDOWNS,1157,DWELLINGS MAIN CONTRACT,2012-10-23,3349307,12040020,33630.00,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-23,3349749,21797,2200.00,SMP (PLAYGROUNDS) LTD.,208516,Sports & Playground,PLAYGROUND EQUIPMENT
WORKFORCE DEVELOPMENT,8440,FEE EXPENSES,2012-10-23,3349811,CD/12/3FA,600,PRE SCHOOL LEARNING ALLIANCE,339062,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
WORKFORCE DEVELOPMENT,8440,FEE EXPENSES,2012-10-23,3349816,CD/12/4FA,600,PRE SCHOOL LEARNING ALLIANCE,339062,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT FOSTERING,2012-10-23,3349655,14924,5237.10,REDACTED PERSONAL DATA,460618,Social Community Care,ADOPTION & FOSTERING
DOMESTIC HOMICIDE REVIEW,8490,OTHER PROFESSIONAL FEES,2012-10-23,3349833,608,1627.65,CONSILIENT CONSULTING LTD,446779,Consultancy,BUSINESS & MANAGEMENT CONSULTA
PFI 1,6270,SERVICE / PFI UNITARY CHARGE,2012-10-23,3349838,749,1018513.10,PYRAMID SCHOOLS (SHEFFIELD) LTD,324404,Financial Services,LEASING SERVICES
OUTDOOR EDUCATION,6080,CONTRACT CLEANING,2012-10-23,3350052,5176,927.5,POPPIES PEAK DISTRICT LTD,548756,Cleaning and Janitorial,CLEANING SERVICES - DOMESTIC
LOVE STREET RESOURCE CENTRE,6150,ELECTRICITY,2012-10-23,3349822,27141288,3838.20,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2012-10-23,3349721,J539746,27373.38,REDACTED PERSONAL DATA,557461,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,CITYWIDE SPOT,2012-10-23,3349722,J537068 141012,871.92,UNITED RESPONSE,329604,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2012-10-23,3349722,J537068 141012,5796.48,UNITED RESPONSE,329604,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-23,3349722,J537068 141012,20434.84,UNITED RESPONSE,329604,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
TRANSITIONS,9190,CITYWIDE SPOT,2012-10-23,3349722,J537068 141012,777.6,UNITED RESPONSE,329604,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2012-10-23,3349723,J537071 141012,3176.04,SUPPORTED HOUSING SERVICES,294949,Facilities Management,HOSTELS
PURCHASING,9190,CITYWIDE SPOT,2012-10-23,3349723,J537071 141012,4202.56,SUPPORTED HOUSING SERVICES,294949,Facilities Management,HOSTELS
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-23,3349724,J537075 141012,2848.36,REDACTED PERSONAL DATA,387589,Social Community Care,HOME CARE SERVICES
PDSI PURCHASING,9190,CITYWIDE SPOT,2012-10-23,3349724,J537075 141012,6741.09,REDACTED PERSONAL DATA,387589,Social Community Care,HOME CARE SERVICES
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2012-10-23,3349724,J537075 141012,1803.36,REDACTED PERSONAL DATA,387589,Social Community Care,HOME CARE SERVICES
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2012-10-23,3349725,J537099 141012,21778.46,REDACTED PERSONAL DATA,532473,Social Community Care,HOME CARE SERVICES
PDSI PURCHASING,9190,CITYWIDE SPOT,2012-10-23,3349725,J537099 141012,863.96,REDACTED PERSONAL DATA,532473,Social Community Care,HOME CARE SERVICES
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-23,3349726,SI10/0004852,8580.24,NEW ERA HOUSING AUTHORITY,505956,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2012-10-23,3349729,SIN002367,720,SHEFFCARE LIMITED,299566,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-23,3349658,101309493,4188.60,BARNARDO'S,328396,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-23,3349659,3359612,3733.50,HILLCREST CARE LTD,481506,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-23,3349660,3359712,2810.61,HILLCREST CARE LTD,481506,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-23,3349661,3359812,5882.96,HILLCREST CARE LTD,481506,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-23,3349662,101309494,4200.00,BARNARDO'S,328396,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-23,3349663,43637,3642.90,REDACTED PERSONAL DATA,401813,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-23,3349664,43638,3642.90,REDACTED PERSONAL DATA,401813,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-23,3349666,630053463,1702.50,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-23,3349667,1140A,3655.50,REDACTED PERSONAL DATA,562974,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-23,3349668,9197,3857.10,ACTION FOR CHILDREN,503682,Unclassified Trade,ACCOMMODATION AGENCIES - RESID
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-23,3349669,9198,4534.50,ACTION FOR CHILDREN,503682,Unclassified Trade,ACCOMMODATION AGENCIES - RESID
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-10-23,3349670,9199,5075.50,ACTION FOR CHILDREN,503682,Unclassified Trade,ACCOMMODATION AGENCIES - RESID
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-23,3349671,1146,3655.50,REDACTED PERSONAL DATA,562974,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-23,3349672,120327,830,REDACTED PERSONAL DATA,349291,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-10-23,3349673,120328,874,REDACTED PERSONAL DATA,349291,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349681,198/200,1001.10,IMPACT PROPERTY SERVICES,546813,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349682,393A,1875.65,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349683,394A,600,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349684,395A,1875.65,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349685,396A,650,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349686,397A,1875.65,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349687,398A,650,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349688,399A,1035.17,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349689,400A,1875.65,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349690,401A,3787.00,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349691,402A,1018.21,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349692,403A,933.4,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349693,4040000497,13333.59,PRIORY EDUCATION SERVICES LTD.,384894,Unclassified Non Trade,SCHOOLS - SPECIAL
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349694,4040000498,9690.94,PRIORY EDUCATION SERVICES LTD.,384894,Unclassified Non Trade,SCHOOLS - SPECIAL
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349695,407A,514.29,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349696,106986,11571.30,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349697,5247,7800.64,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349698,5249,3200.00,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349699,5278,3200.00,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349700,5323,3428.57,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349701,5324,3428.57,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349702,5326,3428.57,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349703,5327,3428.57,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349704,5328,3428.57,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
CWD INDEPENDENT PLACEMENTS,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349705,5447,42788.56,OVERLEY HALL SCHOOL,423159,Unclassified Non Trade,SCHOOLS - SPECIAL
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349706,106987,3440.00,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
CWD INDEPENDENT PLACEMENTS,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349707,5448,42521.88,OVERLEY HALL SCHOOL,423159,Unclassified Non Trade,SCHOOLS - SPECIAL
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349708,777,14423.85,REDACTED PERSONAL DATA,405951,Social Community Care,CHILDCARE SERVICES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349709,78/12LH,2400.00,CHRYSALIS ASSOCIATES LTD,520856,Medical,PSYCHOLOGISTS
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349710,78/12RP,2400.00,CHRYSALIS ASSOCIATES LTD,520856,Medical,PSYCHOLOGISTS
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349711,781,13958.57,REDACTED PERSONAL DATA,405951,Social Community Care,CHILDCARE SERVICES
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349712,782,13958.57,REDACTED PERSONAL DATA,405951,Social Community Care,CHILDCARE SERVICES
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349713,783,13958.57,REDACTED PERSONAL DATA,405951,Social Community Care,CHILDCARE SERVICES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349714,784,11068.58,REDACTED PERSONAL DATA,405951,Social Community Care,CHILDCARE SERVICES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349715,787,11068.58,REDACTED PERSONAL DATA,405951,Social Community Care,CHILDCARE SERVICES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349716,788,8854.86,REDACTED PERSONAL DATA,405951,Social Community Care,CHILDCARE SERVICES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-23,3349717,790,2047.68,REDACTED PERSONAL DATA,405951,Social Community Care,CHILDCARE SERVICES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-23,3349718,ESG:010,1628.58,JORDAN XAVIER LTD,565147,Unclassified Trade,ACCOMMODATION AGENCIES - RESID
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349623,J539743 111112,2736.00,SANCTUARY CARE LIMITED,560422,Social Community Care,NURSING HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349624,J539744 111112,16698.89,MGB CARE SERVICES LTD,573894,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349625,J516252 160912,1706.60,DERWENT HOUSE HOME,466699,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,4260,RESIDENTIAL COSTS RECOVERED,2012-10-23,3349626,J521012 160912,3616.65,SPRINGWOOD,361812,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349627,J526863 141012,1706.60,DERWENT HOUSE HOME,466699,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349628,J537206 111112,35500.43,ASH HOUSE RESIDENTIAL HOME,361901,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-23,3349629,J537313 111112,1996.00,CAMBRON HOUSE CARE HOME,361832,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9210,CONTINUING NURSING CARE,2012-10-23,3349630,J537317 111112,2002.80,HILL HOUSE NURSING HOME,362029,Social Community Care,NURSING HOMES
PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349631,J537318 111112,1577.12,ELM COURT,361996,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349632,J537343 111112,9157.24,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349633,J537429 111112,1706.60,DERWENT HOUSE HOME,466699,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-23,3349634,J539733 111112,14041.00,MIMOSA HEALTHCARE LIMITED,362253,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349635,J539734 111112,6137.14,ROSE COTTAGE CARE HOME,361940,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-23,3349636,J539735 111112,7369.14,NIGHTINGALES RES.HOME,361897,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-23,3349637,J539736 111112,4030.00,TAPTON COURT NURSING HOME,362076,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-23,3349638,J539737 111112,7543.00,PEXTON GRANGE LTD,361942,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-23,3349639,J539738 111112,1005.42,NORTHFIELD NURSING HOME,361770,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-23,3349640,J539739 111112,6544.00,ASCOT LODGE CARE HOME,362118,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-23,3349643,J539533 141012,605.14,PADDOCK HILL,361797,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-23,3349644,J539534 141012,2527.14,SPRINGWOOD,361812,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-23,3349645,J539535 141012,4313.57,PRIOR BANK HOUSE,361772,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-23,3349646,J539536 141012,1241.43,NORWOOD GRANGE,361907,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-23,3349647,J539539 141012,1529.85,ALEXANDER COURT CARE HOME,361889,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-23,3349648,J539542 141012,909.85,SHEFFIELD CHESHIRE HOME,361768,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-23,3349651,J539628 141012,5172.86,NEWFIELD NURSING HOME,361980,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-23,3349652,J539629 141012,1161.00,BLENHEIM COURT,368328,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,SHORT TERM NURSING CARE,2012-10-23,3349652,J539629 141012,782,BLENHEIM COURT,368328,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-23,3349653,J539630 141012,1311.00,SANCTUARY CARE LIMITED,560422,Social Community Care,NURSING HOMES
STRATEGIC COMM/PARTNERSHIPS,9120,OTHER AGENCIES,2012-10-24,3350758,ERS INVOICE74071,593.95,SHEFFIELD MENCAP & GATEWAY,328741,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
UNIVERSAL YOUTH SERVICE,9120,OTHER AGENCIES,2012-10-24,3350759,ERS INVOICE74072,500,FRIENDS OF RICHMOND PARK,473350,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
