Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389630,J560345 030213,27416.00,ALEXANDER COURT CARE HOME,361889,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389631,J560348 030213,2216.00,TOGETHER,361880,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389631,J560348 030213,19461.24,TOGETHER,361880,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PDSI PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389632,J560352 030213,2586.68,HENLEIGH HALL,362109,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389632,J560352 030213,5674.80,HENLEIGH HALL,362109,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389632,J560352 030213,15666.76,HENLEIGH HALL,362109,Social Community Care,NURSING HOMES
PDSI PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389632,J560352 030213,4153.84,HENLEIGH HALL,362109,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389633,J560358 030213,3819.00,ROSEBERRY CARE CENTRES GB LTD,361904,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389634,J560360 030213,2048.00,SLOE HILL RESIDENTIAL HOME,362106,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389635,J560364 030213,2899.56,WESTFIELD HOUSE,362081,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389636,J560366 030213,2824.00,WESTBOURNE HOUSE,361791,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389636,J560366 030213,2716.00,WESTBOURNE HOUSE,361791,Social Community Care,NURSING HOMES
PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389636,J560366 030213,7600.56,WESTBOURNE HOUSE,361791,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389637,J560368 030213,3160.00,SEVENHILLS NURSING,362104,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389637,J560368 030213,8658.14,SEVENHILLS NURSING,362104,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389638,J560371 030213,1580.00,VICTORIA CARE HOME,361992,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389639,J560372 030213,1627.24,ST CECILIAS RESIDENTIAL HOME,370172,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389640,J560373 030213,28680.00,HEELEY BANK CARE HOME,362923,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389640,J560373 030213,30460.00,HEELEY BANK CARE HOME,362923,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389641,J560380 030213,5524.24,SEVERN OAKS,368306,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389642,J560391 030213,1675.60,WATER ROYD HOUSE,383521,Social Community Care,NURSING HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389643,J560404 030213,5212.36,SHAFTESBURY HOUSE,403791,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389644,J560406 030213,12870.36,ROSEBERRY CARE CENTRES UK LTD,412186,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389645,J560408 030213,6113.60,MILBURY CARE,417855,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389646,J560415 030213,1995.60,ROBINSON HOUSE,430743,Social Community Care,NURSING HOMES
PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389647,J560418 030213,7684.28,IVY MEAD,433430,Social Community Care,NURSING HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389648,J560425 030213,7696.44,AALPS,416380,Unclassified Non Trade,SCHOOLS - SPECIAL
PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389649,J560426 030213,32611.04,LISTER AVENUE PROJECT,368348,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389649,J560426 030213,1499.16,LISTER AVENUE PROJECT,368348,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389650,J545720 091212,5734.76,TAPTON GROVE NURSING HOME,361826,Social Community Care,NURSING HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389651,J560429 030213,7907.60,WOODVIEW CARE HOME,456477,Social Community Care,NURSING HOMES
PURCHASING LEARNING DISABILITI,9210,CONTINUING NURSING CARE,2013-01-09,3389651,J560429 030213,5550.56,WOODVIEW CARE HOME,456477,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389652,J560432 030213,1640.00,YOLANTA HOUSE RESIDENTIAL HOME,461087,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389653,J560441 030213,19207.20,THE HESLEY GROUP,327405,Unclassified Non Trade,SCHOOLS - SPECIAL
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389654,J560448 030213,17714.12,JANE HOUSE  LTD,492184,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389655,J560462 030213,1616.80,HOLLY TREE LODGE,519365,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389656,J560466 030213,7616.20,TUNHILL HOUSE,525520,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389657,J560475 030213,5816.88,KNOLLBECK (HEATHCOTES),552816,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389658,J560480 030213,1427.40,KINGSBURY HOUSE,559159,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389659,J560485 030213,12639.96,ROTHERHAM HEALTHCARE LTD,562485,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389659,J560485 030213,10125.00,ROTHERHAM HEALTHCARE LTD,562485,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9210,CONTINUING NURSING CARE,2013-01-09,3389659,J560485 030213,10816.88,ROTHERHAM HEALTHCARE LTD,562485,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389660,J560486 030213,1548.00,WHITE GABLES CARE HOME,563260,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389661,J545979 091212,1612.00,HERMES CARE LTD,571036,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2013-01-09,3389662,J560492 030213,31900.00,HERRIES LODGE CARE HOME,566537,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2013-01-09,3389663,J560496 030213,1612.00,HERMES CARE LTD,571036,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2013-01-09,3389664,J558910 091212,710,ALEXANDER COURT CARE HOME,361889,Social Community Care,RESIDENTIAL CARE HOMES
DRUG & ALCOHOL MH -PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2013-01-09,3389666,J560070 060113,8019.29,SHEFF ALCOHOL ADV.SERVICE,361777,Medical,ALCOHOL MISUSE - ADVICE & COUN
PURCHASING LEARNING DISABILITI,9200,SHORT TERM RESIDENTIAL CARE,2013-01-09,3389667,J560074 060113,2691.78,WILLOWBECK CARE CENTRE,362132,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,SHORT TERM NURSING CARE,2013-01-09,3389668,J560079 060113,350.57,ROSEBERRY CARE CENTRES GB LTD,362099,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2013-01-09,3389669,J560080 060113,285,ROSEBERRY CARE CENTRES GB LTD,361904,Social Community Care,NURSING HOMES
HOUSING RELATED SUPPORT,9060,SUPPORTING PEOPLE PAYMENTS,2013-01-09,3389697,J557800 030213,87124.40,SCC NEIGHBOURHOODS (SP),427208,Unclassified Non Trade,COMMUNITY PROJECTS
L.D HOUSING RELATED SUPPORT,9060,SUPPORTING PEOPLE PAYMENTS,2013-01-09,3389698,J557801 030213,13800.00,SCC COMMUNITY CARE (SP),427209,Social Community Care,SOCIAL SERVICES
HOUSING RELATED SUPPORT,9060,SUPPORTING PEOPLE PAYMENTS,2013-01-09,3389698,J557801 030213,93272.76,SCC COMMUNITY CARE (SP),427209,Social Community Care,SOCIAL SERVICES
CLAIMS,8740,PUBLIC LIABILITY,2013-01-10,3390616,ERS INVOICE77778,3500.00,CONNEXION AND PARTNERSHIP SOLICITORS,490497,Legal Services,SOLICITORS
HULL - HUMBER SUB REGION HAL,1194,OTHER FEES,2013-01-10,3390617,ERS INVOICE77779,407,WAKE SMITH & TOFIELDS SOLICITORS,209393,Legal Services,SOLICITORS
TRANSPORT FLEET MANAGEMENT,7030,VEHICLE EXCISE DUTY/OP LICENCE,2013-01-10,3390618,ERS INVOICE77780,820,VOSA,416211,Unclassified Non Trade,CENTRAL GOVERNMENT
STRENGTHENING PUBLIC HEALTH,8180,GRANTS,2013-01-10,3390619,ERS INVOICE77781,500,SOUTH YORKSHIRE ENERGY CENTRE,529715,Consultancy,ENERGY CONSERVATION CONSULTANT
REPOSSESSION PREVENTION FUND,8490,OTHER PROFESSIONAL FEES,2013-01-10,3390620,ERS INVOICE77782,1930.50,CORBETTS LLP,454216,Legal Services,LEGAL SERVICES
RICHMONDSHIRE RHB LOANS HAL,1194,OTHER FEES,2013-01-10,3390621,ERS INVOICE77783,3282.27,E & P ELECTRICS (BEDALE) LTD,576860,Environmental Services,ELECTRICAL TESTING & INSPECTIN
RICHMONDSHIRE RHB LOANS HAL,1194,OTHER FEES,2013-01-10,3390622,ERS INVOICE77784,907.32,BROADACRES HOUSING ASSOCIATION LTD,551410,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-01-10,3390623,ERS INVOICE77785,329.52,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-01-10,3390624,ERS INVOICE77786,263.1,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-01-10,3390625,ERS INVOICE77787,314.16,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
EXTERNAL FUNDED CONTRACTS & PA,9120,OTHER AGENCIES,2013-01-10,3390684,ERS INVOICE77792,23332.00,SHEFFIELD CENTRE FOR INDEPENDENT LIVING,369390,Social Community Care,DISABILITY & SPECIAL NEEDS - S
LD PURCHASING TRANSITIONAL,9200,CONTINUING RESIDENTIAL CARE,2013-01-10,3390685,ERS INVOICE77793,280831.00,SOUTH YORKSHIRE HOUSING ASSOCIATION,297822,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
LD PURCHASING TRANSITIONAL,9200,CONTINUING RESIDENTIAL CARE,2013-01-10,3390686,ERS INVOICE77794,275714.56,DIMENSIONS (UK) LTD.,386516,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LD PURCHASING TRANSITIONAL,9200,CONTINUING RESIDENTIAL CARE,2013-01-10,3390687,ERS INVOICE77796,191737.00,NORTHERN COUNTIES HOUSING ASSOCIATION,385309,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
SHORT BREAKS,9200,SHORT TERM RESIDENTIAL CARE,2013-01-10,3390688,ERS INVOICE77797,311263.06,SHEFFIELD HEALTH & SOCIAL CARE NHS,353994,Unclassified Non Trade,HOSPITALS
ISB,9050,OTHER LOCAL AUTHORITIES,2013-01-10,3390691,ERS INVOICE77806,446,DERBYSHIRE COUNTY COUNCIL,543418,Unclassified Non Trade,LOCAL GOVERNMENT
ADOPTION SERVICE,9120,OTHER AGENCIES,2013-01-10,3390692,ERS INVOICE77807,400,REDACTED PERSONAL DATA,576208,Social Community Care,Adoption & Fostering
ISB,9050,OTHER LOCAL AUTHORITIES,2013-01-10,3390693,ERS INVOICE77808,446,BARNSLEY MBC,472053,Unclassified Non Trade,LOCAL GOVERNMENT
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-01-10,3390703,ERS INVOICE77818,1527.55,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-01-10,3390705,ERS INVOICE77820,1862.18,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
COMMUNITY ASSEMBLY CENTRAL,9120,OTHER AGENCIES,2013-01-10,3390707,ERS INVOICE77822,2500.00,CHURCHES TOGETHER IN BROOMHILL,308693,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2013-01-10,3390709,ERS INVOICE77824,6000.00,SYTG LTD,306547,Human Resources,TRAINING CENTRES
ADOPTION SERVICE,9120,OTHER AGENCIES,2013-01-10,3390712,ERS INVOICE77831,450.82,REDACTED PERSONAL DATA,576872,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
VS - BUILDING COHESION,8180,GRANTS,2013-01-10,3390713,ERS INVOICE77833,11987.00,SHEFFIELD DOMESTIC ABUSE OUTREACH SERVIC,413591,Medical,COUNSELLING & ADVICE SERVICES
VS- SMALL GRANTS,8180,GRANTS,2013-01-10,3390717,ERS INVOICE77837,894,SHEFFIELD HATTERS BASKETBALL CLUB,456577,Leisure Services,SPORTS CLUBS & ASSOCIATIONS
VS- SMALL GRANTS,8180,GRANTS,2013-01-10,3390722,ERS INVOICE77842,2000.00,SHEFFIELD ENVIRONMENT WEEKS,576915,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS- SMALL GRANTS,8180,GRANTS,2013-01-10,3390725,ERS INVOICE77845,2000.00,BROOMHALL BREAKFAST,576913,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
GREEN & OPEN SPACES STRATEGY,7140,PUBLIC TRANSPORT COSTS,2013-01-10,3351338,01/3754486,392,CO-OPERATIVE TRAVEL MANAGEMENT,202987,Facilities Management,TRAVEL AGENTS & HOLIDAY COMPAN
ASSET DATA RECORDS,8460,CONSULTANTS FEES,2013-01-10,3364890,CD11336,1162.56,CAD-CAPTURE DATA SERVICES LTD,343523,ICT,COMPUTER AIDED DESIGN
ESTATE SERVICES,6090,WASTE DISPOSAL,2013-01-10,3371121,OP/I014469,16670.85,VEOLIA ES SHEFFIELD LTD,306235,Environmental Services,WASTE DISPOSAL SERVICES
ARCHITECTS,8390,STATIONERY,2013-01-10,3373701,9326,262.48,AO REPROGRAPHICS LTD,202978,ICT,COPYING & DUPLICATING MACHINES
HEALTH & SAFETY & FACILITIES,8460,CONSULTANTS FEES,2013-01-10,3373887,93732810/1000,1490.00,BSI,409486,Consultancy,QUALITY PROCEDURES PROCESSES &
ESTATE SERVICES,6090,WASTE DISPOSAL,2013-01-10,3374820,OP/I014526,15889.19,VEOLIA ES SHEFFIELD LTD,306235,Environmental Services,WASTE DISPOSAL SERVICES
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2013-01-10,3374923,16766,771.36,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
INCLUSION CENTRE,8390,STATIONERY,2013-01-10,3378558,SINV00241433,445.83,R A ROBERTS (OFFICE EQUIPMENT) LTD,207777,Furniture,OFFICE FURNITURE & EQUIPMENT
SNIPS,8180,GRANTS,2013-01-10,3380352,41255,3774.50,RAY OF HOPE,385097,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SCHOOL SWIMMING SERVICE,7060,EXTERNAL VEHICLE HIRE,2013-01-10,3382152,AT107546,1280.00,ASHLEY TRAVEL LTD,439136,Vehicles Not Buses,MINI BUSES - HIRE & LEASING
CREMATORIA,6020,REPAIRS AND MTCE - PROGRAMMED,2013-01-10,3383150,629558,1061.00,H C SLINGSBY PLC,205276,Unclassified Trade,"TROLLEY, TRUCK & BARROW MAKERS"
RECRUITMENT ADVERTISING,5720,RECRUIT. ADV. - INVOICE,2013-01-10,3387026,818811,900,GUARDIAN NEWSPAPERS LTD,205256,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2013-01-10,3387342,125214,449.96,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
RECRUITMENT ADVERTISING,5720,RECRUIT. ADV. - INVOICE,2013-01-10,3387654,820014,900,GUARDIAN NEWSPAPERS LTD,205256,Education,NEWSPAPER & MAGAZINE PUBLISHER
BOLE HILL VIEW,8140,GROCERIES,2013-01-10,3387678,255967620/255983047,498.66,YORKSHIRE PURCHASING ORGANISATION,295997,Unclassified Trade,PURCHASING SERVICES
AQUATICS SQUADS,6280,HIRE OF PREMISES,2013-01-10,3387758,3025070,1142.40,7 HILLS LEISURE TRUST,566500,Leisure Services,SPORTS GROUND & STADIUM CONTRA
AIR QUALITY AND MODELLING,8030,EQUIPMENT MAINTENANCE CONTRACT,2013-01-10,3387760,17697,1432.81,ENVIRO TECHNOLOGY SERVICES PLC,315213,Environmental Services,"MEASURING, ANALYSING & CONTROL"
SCHOOL SWIMMING SERVICE,6280,HIRE OF PREMISES,2013-01-10,3387896,204,396,MYLNHURST SPORTS EDUCATION AND LEISURE,518580,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
CRIMINAL RECORDS BUREAU (C.R.B,5780,CRB CHECKS - INVOICE,2013-01-10,3387994,873905,18705.00,DISCLOSURE & BARRING SERVICE,335402,Unclassified Non Trade,CENTRAL GOVERNMENT
MINIBUSES - SHEFFTAX TENDERED,7060,EXTERNAL VEHICLE HIRE,2013-01-10,3388158,1064,9732.53,SHEFFIELD TAXI SERVICES LTD,208407,Transport,TAXIS & PRIVATE HIRE
LEARNING DIS DEVELOPMENT FUND,9160,PARTNERSHIP CONTRACTS,2013-01-10,3388414,27992,8833.33,NATIONAL YOUTH ADVOCACY SERVICE,546945,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
BUSINESS SUPPORT,8380,PHOTOCOPYING,2013-01-10,3388840,1105956515,462.96,KONICA MINOLTA BUSINESS SOLUTIONS EAST,206267,ICT,OFFICE EQUIPMENT MNFRS & DISTR
BOLE HILL VIEW,8140,GROCERIES,2013-01-10,3388854,255990522,394.63,YORKSHIRE PURCHASING ORGANISATION,295997,Unclassified Trade,PURCHASING SERVICES
ALDINE HOUSE,8130,CATERING SUPPLIES,2013-01-10,3388863,255990525,493.87,YORKSHIRE PURCHASING ORGANISATION,295997,Unclassified Trade,PURCHASING SERVICES
NORBURY,5610,AGENCY STAFF,2013-01-10,3388873,SHEFF37,3577.75,SECURITY PEOPLE.ORG UK,559927,Facilities Management,SECURITY SERVICES
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2013-01-10,3388905,SIN042158,1000.00,BUSINESS IN THE COMMUNITY,304358,Human Resources,BUSINESS & TRADE ORGANISATIONS
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2013-01-10,3388917,2142,5120.00,MANOR & CASTLE DEVELOPMENT TRUST,314473,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-01-10,3388932,808477,8400.00,REDACTED PERSONAL DATA,576621,Social Community Care,Adoption & Fostering
DH - UTILITIES,1194,OTHER FEES,2013-01-10,3388939,44547,2587.00,CHRISTOPHER  BAKER,576759,Legal Services,SOLICITORS MARKETING SERVICES
SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2013-01-10,3389023,1067,12754.61,SHEFFIELD TAXI SERVICES LTD,208407,Transport,TAXIS & PRIVATE HIRE
SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2013-01-10,3389028,1068,1327.52,SHEFFIELD TAXI SERVICES LTD,208407,Transport,TAXIS & PRIVATE HIRE
ASSET MANAGEMENT,8440,FEE EXPENSES,2013-01-10,3389194,INV117351,906.4,NATIONAL ENERGY SERVICES LIMITED,298519,Consultancy,ENERGY CONSERVATION CONSULTANT
ALDINE HOUSE,5610,AGENCY STAFF,2013-01-10,3389229,783055,1174.20,TEACHING PERSONNEL,410695,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-01-10,3389243,824579,600,MISS N G ERLEN,465151,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-01-10,3389244,136121,4840.00,MRS JILL TROY,475760,Legal Services,BARRISTERS
BUSINESS SERV'S CATEGORY TEAM,8440,FEE EXPENSES,2013-01-10,3389248,3309,1580.00,INSIGHT MSC,424598,Consultancy,BUSINESS & MANAGEMENT CONSULTA
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2013-01-10,3389458,160000,1092.76,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
AGENCY STAFF,5610,AGENCY STAFF - INVOICE,2013-01-10,3389462,CE0224645028C1,75710.53,REED,341818,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
UNIVERSAL YOUTH SERVICE,9120,OTHER AGENCIES,2013-01-10,3389505,1,13333.34,THE DUKE OF EDINBURGH'S,387932,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
ACCOMMODATION,8350,MISCELLANEOUS EXPENSES,2013-01-10,3389512,980812,5560.00,CHIEF EXECUTIVE DIRECTORATE (HOMES),402954,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER REPAIRS & FEES,6030,NON CONTRACT TV AERIALS,2013-01-10,3389532,84640,1896.07,NEW CHANNELS LTD,207092,Domestic Goods,SATELLITE TELEVISION - EQUIPME
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2013-01-10,3389805,5037845,2110.00,THE CONSERVATION VOLUNTEERS,408123,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
NORBURY,7040,OTHER VEHICLE RUNNING COSTS,2013-01-10,3389814,2100075785,2620.98,SHEFFIELD HEALTH & SOCIAL CARE NHS,353994,Unclassified Non Trade,HOSPITALS
LENDING SERVICES GENERAL,8010,EQUIPMENT PURCHASE AND REPAIR,2013-01-10,3389818,3608089,379.8,GRESSWELL,306971,Education,EDUCATIONAL EQUIPMENT & SUPPLI
PARSON CROSS LIBRARY,6210,RENTS,2013-01-10,3389828,SOARCO/837,3750.00,SOAR - THE LEARNING ZONE,557728,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2013-01-10,3389838,1071,47181.50,SHEFFIELD TAXI SERVICES LTD,208407,Transport,TAXIS & PRIVATE HIRE
ALDINE HOUSE,8050,FURNITURE PURCHASES,2013-01-10,3389840,SI110049,2257.04,ALLGOOD PLC,202874,Construction,ARCHITECTURAL IRONMONGERS
CEMETERIES,8010,EQUIPMENT PURCHASE AND REPAIR,2013-01-10,3389879,A1094,539.2,MR DAVID PARAMORE,501202,Construction,STONEMASONS
CREMATORIA,8090,BEREAVEMENT SUPPLIES,2013-01-10,3389880,53778,273.98,HILTON CABINET COMPANY LTD,318787,Furniture,CABINET MAKERS
MINOR ADAPTATIONS,6030,REPAIRS AND MTCE - RESPONSIVE,2013-01-10,3389902,1208,352,NEIL CONSTRUCTION,453315,Construction,BUILDING SERVICES
GENERAL ADMINISTRATION,8020,EQUIPMENT LEASE/ RENTAL/ HIRE,2013-01-10,3389936,433651,462,BANNER PLANT  LTD,203248,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
TRANSPORT FLEET MANAGEMENT,7060,EXTERNAL VEHICLE HIRE,2013-01-10,3389944,MA898257,1324.44,GE CAPITAL EQUIPMENT FINANCE LTD,416647,Financial Services,LEASING SERVICES
BUSINESS TRANSFORMATION TEAM,8550,OTHER SERVICES,2013-01-10,3389946,43385,1750.00,MATTHEW SIBLEY TRADING AS BTTC SERVICES,576565,Human Resources,BUSINESS INFORMATION SERVICES
BUSINESS TRANSFORMATION TEAM,8550,OTHER SERVICES,2013-01-10,3389995,43416,2625.00,MATTHEW SIBLEY TRADING AS BTTC SERVICES,576565,Human Resources,BUSINESS INFORMATION SERVICES
INCLUSION CENTRE,6090,WASTE DISPOSAL,2013-01-10,3390008,8520546729,288.08,VEOLIA ES (UK) LIMITED,341639,Environmental Services,WASTE DISPOSAL SERVICES
LEGI,8440,FEE EXPENSES,2013-01-10,3390012,1212-12,6255.47,SERO CONSULTING LTD,434360,Consultancy,BUSINESS & MANAGEMENT CONSULTA
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2013-01-10,3390016,SOARCO/865,1000.00,SOAR WORKS ENTERPRISE CENTRE,449096,Unclassified Non Trade,COMMUNITY NETWORKS
