Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
URBAN NATURE PARKS,1183,PURCHASE OF EQUIPMENT,2015-01-15,3767238,537855/546204,305.60,BANNER PLANT  LTD,203248,,PLANT & MACHINERY HIRE & LEASI
GP HEALTH CHECKS,9120,OTHER AGENCIES,2015-01-15,3767245,C88045_0002,1440.00,DYKES HALL MEDICAL CENTRE,583405,,PUBLIC HEALTH SUPPLIERS
SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2015-01-15,3767253,HMCS1214(503),8191.40,S1 TAXIS LTD,527712,,TAXIS & PRIVATE HIRE
SEN TAXIS,7060,EXTERNAL VEHICLE HIRE,2015-01-15,3767255,1708SEN,1543.20,SHEFFIELD CITY TAXIS LTD,301182,,TAXIS & PRIVATE HIRE
SOCIAL CARE TAXIS,7060,EXTERNAL VEHICLE HIRE,2015-01-15,3767256,1708SOCIALCARE,4545.70,SHEFFIELD CITY TAXIS LTD,301182,,TAXIS & PRIVATE HIRE
AFFORDABLE HOUSING,8440,FEE EXPENSES,2015-01-15,3767257,2.5E+13,2200.00,VALUATION OFFICE AGENCY,511469,,CENTRAL GOVERNMENT
AFFORDABLE HOUSING,8440,FEE EXPENSES,2015-01-15,3767258,2.5E+13,298.24,VALUATION OFFICE AGENCY,511469,,CENTRAL GOVERNMENT
MARKETING SHEFFIELD,8620,COMPUTER MAINTENANCE,2015-01-15,3767279,43811,862.50,DIGITAL EXCHANGE (YORKSHIRE) LTD,204379,,COMPUTER CONSUMABLES & STATION
CORONIAL SERVICES,8090,BEREAVEMENT SUPPLIES,2015-01-15,3767283,SA,1020.00,JOHN HEATH & SONS,512922,,FUNERAL DIRECTORS
INCOME MANAGEMENT,9140,DEBT COLLECTION AGENCY,2015-01-15,3767292,T110043,580.50,DEBT MANAGEMENT SERVICES LTD,381461,,DEBT COLLECTION AGENCIES
GP HEALTH CHECKS,9120,OTHER AGENCIES,2015-01-15,3767350,C88041_0002,1760.00,WOODSEATS MEDICAL CENTRE,582178,,PUBLIC HEALTH SUPPLIERS
GP HEALTH CHECKS,9120,OTHER AGENCIES,2015-01-15,3767352,C88052_0002,480.00,THE HOLLIES MEDICAL CENTRE,584401,,PUBLIC HEALTH SUPPLIERS
OUTDOOR EDUCATION,8620,COMPUTER MAINTENANCE,2015-01-15,3767354,1312,350.00,THE ROCKFIELD PARTNERSHIP,520804,,BUSINESS & MANAGEMENT CONSULTA
SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2015-01-15,3767355,41974,3750.00,ASPERGERS CHILDREN & CARERS TOGETHER,450501,,CHARITIES & VOLUNTARY ORGANISA
GP HEALTH CHECKS,9120,OTHER AGENCIES,2015-01-15,3767358,C88062_0002,290.00,RUSTLINGS ROAD MEDICAL CENTRE,414335,,DOCTORS
GP HEALTH CHECKS,9120,OTHER AGENCIES,2015-01-15,3767359,C88647_0002,400.00,OWLTHORPE MEDICAL CENTRE,448570,,DOCTORS
TRANSPORT FLEET MANAGEMENT,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-01-15,3767382,4063,360.00,PUMP AND TANK SERVICES LTD,207724,,"PUMPS - SALES, SERVICING & REP"
HOUSING CALL CENTRE,8490,TRANSLATN/SIGN/INTERPRET FEES,2015-01-15,3767383,3506459,1086.71,LANGUAGELINE SOLUTIONS,206348,,TRANSLATORS & INTERPRETERS
MINOR WORKS,6030,REPAIRS AND MTCE - RESPONSIVE,2015-01-15,3767392,I261/QE/0115/SCC001,973.50,QUALSURV INTERNATIONAL LTD,569165,,ASBESTOS SURVEYS & REMOVALS
MINOR WORKS,6030,REPAIRS AND MTCE - RESPONSIVE,2015-01-15,3767393,I176/QE/1014/SCC001,850.00,QUALSURV INTERNATIONAL LTD,569165,,ASBESTOS SURVEYS & REMOVALS
GENERAL ADMINISTRATION,8020,EQUIPMENT LEASE/ RENTAL/ HIRE,2015-01-15,3767395,8521017718,275.29,VEOLIA ES (UK) LIMITED,341639,,WASTE DISPOSAL SERVICES
INCOME MANAGEMENT,9140,DEBT COLLECTION AGENCY,2015-01-15,3767397,C322888,554.51,ROSSENDALES COLLECT LTD,477656,,BAILIFFS
SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2015-01-15,3767400,27044,286.74,SPECTRUM SOCIAL CARE LTD,328608,,EMPLOYMENT & RECRUITMENT AGENC
HOUSING CALL CENTRE,8490,TRANSLATN/SIGN/INTERPRET FEES,2015-01-15,3767416,TI02792,1017.55,LANGUAGELINE SOLUTIONS,206348,,TRANSLATORS & INTERPRETERS
GP HEALTH CHECKS,9120,OTHER AGENCIES,2015-01-15,3767818,C88031_0002,1220.00,UPPERTHORPE MEDICAL CENTRE,581097,,PUBLIC HEALTH SUPPLIERS
MINIBUSES - TENDERED,7060,EXTERNAL VEHICLE HIRE,2015-01-15,3767826,42005,4095.00,ACTIVE RESPONSE TRANSPORT LTD,587118,,MINI BUSES - HIRE & LEASING
BUSINESS GROWTH TEAM,8440,FEE EXPENSES,2015-01-15,3767848,01_2015,2850.00,ADD SPECIALISTS LTD,588075,,BUSINESS & MANAGEMENT CONSULTA
MARKETING SHEFFIELD,7140,PUBLIC TRANSPORT COSTS,2015-01-15,3767855,287641,688.00,EAST MIDLANDS TRAINS,507769,,TRAIN STATIONS & INFORMATION
MARKETING SHEFFIELD,7140,PUBLIC TRANSPORT COSTS,2015-01-15,3767857,287643,904.00,EAST MIDLANDS TRAINS,507769,,TRAIN STATIONS & INFORMATION
REVS & BENS,8440,FEE EXPENSES,2015-01-15,3767882,S/12728,355.00,HBINFO LIMITED,483675,,BUSINESS & MANAGEMENT CONSULTA
CDS SCHEME,8350,MISCELLANEOUS EXPENSES,2015-01-15,3767978,548970,5955.00,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
RESPONSIVE HM&E,6020,DOOR ENTRY EQUIPMENT REPAIRS,2015-01-15,3767778,SL44912937Q028XS,486.45,BRITISH TELECOMMUNICATIONS PLC,295860,,TELECOMMUNICATION SERVICES
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-01-15,3767787,36080735,276.10,SCANIA GB LIMITED,570209,,COMMERCIAL VEHICLE DEALERS
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2015-01-15,3767790,134551,1131.30,CRELLING HARNESSES LIMITED,365711,,DISABILITY EQUIPMENT - MNFRS &
CORPORATE MAIL,8570,POSTAGE & DELIVERY,2015-01-15,3767808,9048932078,4525.72,ROYAL MAIL GROUP LTD,295326,,DELIVERY SERVICES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767662,J1052484,1736.00,REDACTED PERSONAL DATA,417756,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,FUNDED HOME SUPPORT,2015-01-15,3767662,J1052484,2258.08,REDACTED PERSONAL DATA,417756,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2015-01-15,3767663,J1052484,1200.00,REDACTED PERSONAL DATA,525635,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2015-01-15,3767664,J1052484,1300.21,A4E,547567,,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767664,J1052484,3431.46,A4E,547567,,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767665,J1052484,297.04,REDACTED PERSONAL DATA,556288,Social Community Care,CAREFIRST DIRECT PAYMENTS
SCC BALANCE SHEET,1780,ERROR SUSPENSE CARE FIRST,2015-01-15,3767666,J1052484,674.21,REDACTED PERSONAL DATA,556454,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2015-01-15,3767666,J1052484,2022.48,REDACTED PERSONAL DATA,556454,Social Community Care,CAREFIRST DIRECT PAYMENTS
TRANSITIONS,9190,DIRECT PAYMENTS,2015-01-15,3767666,J1052484,2489.91,REDACTED PERSONAL DATA,556454,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767667,J1052484,297.47,REDACTED PERSONAL DATA,558820,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767668,J1052484,705.00,REDACTED PERSONAL DATA,558848,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767669,J1052484,821.14,REDACTED PERSONAL DATA,562178,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2015-01-15,3767669,J1052484,3140.32,REDACTED PERSONAL DATA,562178,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767671,J1052484,305.08,REDACTED PERSONAL DATA,564308,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767672,J1052484,537.70,REDACTED PERSONAL DATA,565064,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2015-01-15,3767673,J1052484,6601.92,REDACTED PERSONAL DATA,583339,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767675,J1052484,270.90,SY CARE & SUPPORT SHEFFIELD,585426,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767676,J1052484,543.84,REDACTED PERSONAL DATA,585556,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767677,J1052484,630.00,REDACTED PERSONAL DATA,594615,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767681,J1052484,360.00,PARKSIDE PAYROLL LIMITED,616773,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767682,J1052484,605.80,REDACTED PERSONAL DATA,619358,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,FUNDED HOME SUPPORT,2015-01-15,3767688,J1052484,780.64,REDACTED PERSONAL DATA,619722,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767689,J1052484,812.70,REDACTED PERSONAL DATA,619724,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2015-01-15,3767690,J1052484,1543.00,REDACTED PERSONAL DATA,619725,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2015-01-15,3767693,J1052484,612.00,REDACTED PERSONAL DATA,619768,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2015-01-15,3767697,8269,480.00,HEELEY CITY FARM,301277,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2015-01-15,3767698,8271,400.00,HEELEY CITY FARM,301277,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2015-01-15,3767699,8281,480.00,HEELEY CITY FARM,301277,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2015-01-15,3767700,8282,280.00,HEELEY CITY FARM,301277,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2015-01-15,3767704,8298,480.00,HEELEY CITY FARM,301277,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2015-01-15,3767705,8299,320.00,HEELEY CITY FARM,301277,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2015-01-15,3767707,8305,480.00,HEELEY CITY FARM,301277,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2015-01-15,3767708,8306,280.00,HEELEY CITY FARM,301277,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2015-01-15,3767709,8309,320.00,HEELEY CITY FARM,301277,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2015-01-15,3767713,2875,347.20,CARE2CARE SERVICES LTD,504076,,TRAINING SERVICES
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2015-01-15,3767715,2880,446.40,CARE2CARE SERVICES LTD,504076,,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2015-01-15,3767717,2882,479.38,CARE2CARE SERVICES LTD,504076,,TRAINING SERVICES
PURCHASING,9190,CITYWIDE SPOT,2015-01-15,3767718,2883,356.60,CARE2CARE SERVICES LTD,504076,,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2015-01-15,3767720,2895,640.00,CARE2CARE SERVICES LTD,504076,,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2015-01-15,3767721,2896,792.00,CARE2CARE SERVICES LTD,504076,,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2015-01-15,3767723,2902/NOV,347.20,CARE2CARE SERVICES LTD,504076,,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2015-01-15,3767724,2902,347.20,CARE2CARE SERVICES LTD,504076,,TRAINING SERVICES
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2015-01-15,3767726,2516,1205.36,REDACTED PERSONAL DATA,558736,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2015-01-15,3767727,2517,347.30,REDACTED PERSONAL DATA,558736,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2015-01-15,3767728,2518,426.75,REDACTED PERSONAL DATA,558736,Social Community Care,CAREFIRST DIRECT PAYMENTS
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2015-01-15,3767547,TAMIN3,420.00,EARL MARSHALL GUEST HOUSE LTD,391589,,GUEST HOUSES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2015-01-15,3767548,445,13902.42,PATHWAY 2 PROGRESS,540030,,RESIDENTIAL CARE HOMES
CONTACT CONTRACTS,9280,CONTACT,2015-01-15,3767551,7940,387.80,PROGRESSIVE CARE LTD,343548,,CHILDREN'S HOMES
EAST SA - CIN S17,9280,CONTACT,2015-01-15,3767576,7966,253.50,PROGRESSIVE CARE LTD,343548,,CHILDREN'S HOMES
NORTH SA - CIN S17,8490,TRANSLATN/SIGN/INTERPRET FEES,2015-01-15,3767581,71320,3367.50,LANGUAGELINE SOLUTIONS,471915,,TRANSLATORS & INTERPRETERS
CONTACT CONTRACTS,9280,CONTACT,2015-01-15,3767585,7781,292.05,PROGRESSIVE CARE LTD,343548,,CHILDREN'S HOMES
CONTACT CONTRACTS,9280,CONTACT,2015-01-15,3767627,7900,330.80,PROGRESSIVE CARE LTD,343548,,CHILDREN'S HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2015-01-15,3767544,J1042301 040115,9568.00,SHIREBROOK FIELDS CARE HOME,362105,,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2015-01-15,3767545,J1044985 010215,33742.57,SPRINGWOOD HOUSE (SHEFFCARE LTD),361812,,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2015-01-15,3767546,J1051778 010215,1420.00,MIDHURST ROAD (SHEFFCARE LTD),361801,,RESIDENTIAL CARE HOMES
DISABLED GRANTS,1165,NC&A OTHER,2015-01-16,3768551,ERS INVOICE112726,1666.00,STANNAH LIFT SERVICES LTD.,208625,,STAIRLIFTS - MNFRS & INSTALLER
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768552,ERS INVOICE112727,400.00,REDACTED PERSONAL DATA,577406,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768553,ERS INVOICE112728,400.00,REDACTED PERSONAL DATA,536308,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768554,ERS INVOICE112729,400.00,REDACTED PERSONAL DATA,532160,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768555,ERS INVOICE112730,400.00,REDACTED PERSONAL DATA,528201,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768556,ERS INVOICE112731,400.00,REDACTED PERSONAL DATA,591044,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768557,ERS INVOICE112732,400.00,REDACTED PERSONAL DATA,535910,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CORONIAL SERVICES,8440,WITNESS FEES,2015-01-16,3768559,ERS INVOICE112734,264.48,REDACTED PERSONAL DATA,618911,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2015-01-16,3768560,ERS INVOICE112735,595.90,REDACTED PERSONAL DATA,554404,,DOCTORS
NORTH,8180,GRANTS,2015-01-16,3768561,ERS INVOICE112736,1683.00,ANGRAM BANK TARA,466348,,COMMUNITY CENTRES
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768562,ERS INVOICE112737,400.00,REDACTED PERSONAL DATA,556250,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768563,ERS INVOICE112738,400.00,REDACTED PERSONAL DATA,597216,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768564,ERS INVOICE112739,400.00,REDACTED PERSONAL DATA,586130,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768565,ERS INVOICE112740,400.00,REDACTED PERSONAL DATA,574423,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768566,ERS INVOICE112741,400.00,REDACTED PERSONAL DATA,571337,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768567,ERS INVOICE112742,400.00,REDACTED PERSONAL DATA,509475,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768568,ERS INVOICE112743,400.00,REDACTED PERSONAL DATA,559526,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768569,ERS INVOICE112744,400.00,REDACTED PERSONAL DATA,540906,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768570,ERS INVOICE112745,400.00,REDACTED PERSONAL DATA,560283,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768571,ERS INVOICE112746,380.00,REDACTED PERSONAL DATA,586158,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768572,ERS INVOICE112747,350.00,REDACTED PERSONAL DATA,559249,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768573,ERS INVOICE112748,400.00,REDACTED PERSONAL DATA,585776,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SOUTH,8180,GRANTS,2015-01-16,3768574,ERS INVOICE112749,282.00,FOOTBALL UNITES RACISM DIVIDES,297507,,YOUTH ORGANISATIONS & CENTRES
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768575,ERS INVOICE112750,400.00,REDACTED PERSONAL DATA,588544,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768576,ERS INVOICE112751,400.00,REDACTED PERSONAL DATA,543485,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768577,ERS INVOICE112752,400.00,REDACTED PERSONAL DATA,556379,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768578,ERS INVOICE112753,400.00,REDACTED PERSONAL DATA,590921,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768579,ERS INVOICE112754,400.00,REDACTED PERSONAL DATA,558554,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768580,ERS INVOICE112755,400.00,REDACTED PERSONAL DATA,507711,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-01-16,3768581,ERS INVOICE112756,400.00,REDACTED PERSONAL DATA,544205,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2015-01-16,3768596,ERS INVOICE112758,475016.50,NHS SHEFFIELD CCG,504799,,CLINICS - N.H.S.
AFFORDABLE HOUSING,4080,FEES & CHARGES,2015-01-16,3768598,ERS INVOICE112764,1173.60,PRIME ACCOMMODATIONS LTD,619361,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
AFFORDABLE HOUSING,4080,FEES & CHARGES,2015-01-16,3768599,ERS INVOICE112765,1260.66,TSTS OF THE MCT PP RE H A COTTON,619363,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768606,ERS INVOICE112772,2165.56,COMMUNITY TRAINING SERVICES LIMITED,532769,,TRAINING SERVICES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768607,ERS INVOICE112773,1020.80,DEARNE VALLEY COLLEGE,338657,,SCHOOLS & COLLEGES - FURTHER E
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768608,ERS INVOICE112774,3120.98,DONCASTER ROTH & DIST (MOTOR TRADES)GTA,204434,,TRAINING CENTRES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768609,ERS INVOICE112775,9609.79,ECONOMIC SOLUTIONS LTD,591432,,TRAINING SERVICES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768610,ERS INVOICE112776,5335.97,ENGAGE TRAINING & DEVELOPMENT LTD,595727,,TRAINING SERVICES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768611,ERS INVOICE112777,3057.43,ESG SKILLS LIMITD,594139,,TRAINING SERVICES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768612,ERS INVOICE112778,8328.82,GTG SERVICES LTD,590382,,TRAINING SERVICES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768613,ERS INVOICE112779,8555.30,JGW TRAINING LTD T/A SKILLS FOR CAREERS,589320,,TRAINING CENTRES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768614,ERS INVOICE112780,1088.67,NORTH NOTTINGHAMSHIRE COLLEGE,305524,,SCHOOLS & COLLEGES - ART & DES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768615,ERS INVOICE112781,5244.27,ROTHERHAM COLLEGE OF ARTS & TECHNOLOGY,301110,,SCHOOLS & COLLEGES - FURTHER E
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768616,ERS INVOICE112782,839.85,SEMTA,556527,,TRAINING SERVICES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768617,ERS INVOICE112783,2426.68,THE STUDIO ACADEMY LTD,618670,,TRAINING SERVICES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768618,ERS INVOICE112784,1046.80,UNIVERSITY OF SHEFFIELD,591446,,DEPARTMENT STORES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768619,ERS INVOICE112785,5247.89,XTOL DEVELOPMENT SERVICES LTD,589597,,TRAINING CENTRES
CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2015-01-16,3768620,ERS INVOICE112786,3642.25,CHIEF ASSESSMENTS LTD,618247,,TRAINING SERVICES
EXECUTIVE,4080,FEES & CHARGES,2015-01-16,3768696,ERS INVOICE112788,340.00,ICAEW,561939,,ACCOUNTANTS
PARSON CROSS LIBRARY,6210,RENTS,2015-01-16,3748302,SOARCO/1611,8750.00,SOAR - THE LEARNING ZONE,557728,,CHARITIES & VOLUNTARY ORGANISA
NEW PMY - WATERMEAD,1183,PURCHASE OF EQUIPMENT,2015-01-16,3753986,257461919/2CREDITS,2623.22,YORKSHIRE PURCHASING ORGANISATION,295997,,PURCHASING SERVICES
MATERIALS FUND,8080,LIBRARY MATERIALS,2015-01-16,3757724,407445,388.70,NEWSTIME LIMITED,417522,,DISTRIBUTION SERVICES
STANDBY,8010,EQUIPMENT PURCHASE AND REPAIR,2015-01-16,3761872,155042,710.89,COVERGOLD LTD,336436,,DOCUMENT IMAGE PROCESSING SYST
