Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487550,J652558,293.44,REDACTED PERSONAL DATA,529606,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487551,J652558,273.36,REDACTED PERSONAL DATA,529629,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487553,J652558,468.80,REDACTED PERSONAL DATA,529635,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487555,J652558,672.64,REDACTED PERSONAL DATA,530056,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487557,J652558,273.56,REDACTED PERSONAL DATA,530155,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9210,FUNDED NURSING CARE (INCOME),2013-07-16,3487558,J652558,918.80,REDACTED PERSONAL DATA,530217,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487559,J652558,489.60,REDACTED PERSONAL DATA,530239,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487560,J652558,1140.80,REDACTED PERSONAL DATA,530244,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487561,J652558,512.64,REDACTED PERSONAL DATA,530561,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487562,J652558,2559.36,REDACTED PERSONAL DATA,530704,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487563,J652558,1154.04,REDACTED PERSONAL DATA,530764,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487564,J652558,2047.28,REDACTED PERSONAL DATA,530766,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-07-16,3487565,J652558,338.44,REDACTED PERSONAL DATA,530793,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487566,J652558,293.92,REDACTED PERSONAL DATA,530887,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487568,J652558,674.68,REDACTED PERSONAL DATA,531458,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487570,J652558,540.56,REDACTED PERSONAL DATA,531504,Social Community Care,CAREFIRST DIRECT PAYMENTS
TRANSITIONS,9190,DIRECT PAYMENTS,2013-07-16,3487572,J652558,2016.04,REDACTED PERSONAL DATA,532776,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487574,J652558,286.96,REDACTED PERSONAL DATA,532874,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487576,J652558,359.64,REDACTED PERSONAL DATA,533307,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487577,J652558,529.92,REDACTED PERSONAL DATA,533355,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9210,FUNDED NURSING CARE (INCOME),2013-07-16,3487578,J652558,2757.60,REDACTED PERSONAL DATA,533360,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487580,J652558,1795.52,REDACTED PERSONAL DATA,533380,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487581,J652558,1009.28,REDACTED PERSONAL DATA,533487,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487583,J652558,343.92,REDACTED PERSONAL DATA,534302,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487584,J652558,271.80,REDACTED PERSONAL DATA,534303,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487585,J652558,4309.60,REDACTED PERSONAL DATA,534335,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487586,J652558,337.40,REDACTED PERSONAL DATA,534419,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-07-16,3487587,J652558,260.32,REDACTED PERSONAL DATA,534432,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487588,J652558,1264.32,REDACTED PERSONAL DATA,534672,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487589,J652558,403.72,REDACTED PERSONAL DATA,534693,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487590,J652558,613.76,REDACTED PERSONAL DATA,534718,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487592,J652558,1181.20,REDACTED PERSONAL DATA,535253,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487596,J652558,1858.48,REDACTED PERSONAL DATA,535407,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487598,J652558,753.04,REDACTED PERSONAL DATA,535715,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487599,J652558,533.80,REDACTED PERSONAL DATA,535737,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487600,J652558,456.64,REDACTED PERSONAL DATA,536015,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487601,J652558,1494.80,REDACTED PERSONAL DATA,536020,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487602,J652558,1026.64,REDACTED PERSONAL DATA,536522,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487603,J652558,603.20,REDACTED PERSONAL DATA,536526,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487604,J652558,575.12,REDACTED PERSONAL DATA,536532,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487605,J652558,999.76,REDACTED PERSONAL DATA,536567,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-07-16,3487606,J652558,696.00,REDACTED PERSONAL DATA,536844,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487607,J652558,337.04,REDACTED PERSONAL DATA,536855,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487610,J652558,1179.28,REDACTED PERSONAL DATA,536906,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9210,FUNDED NURSING CARE (INCOME),2013-07-16,3487611,J652558,6545.92,REDACTED PERSONAL DATA,537032,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487613,J652558,1178.16,REDACTED PERSONAL DATA,537241,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487614,J652558,769.84,REDACTED PERSONAL DATA,537624,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487616,J652558,504.00,REDACTED PERSONAL DATA,538049,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487619,J652558,675.28,REDACTED PERSONAL DATA,538275,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487621,J652558,1422.36,REDACTED PERSONAL DATA,538596,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9210,FUNDED NURSING CARE (INCOME),2013-07-16,3487622,J652558,1131.28,REDACTED PERSONAL DATA,538602,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487624,J652558,1707.40,REDACTED PERSONAL DATA,538750,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487625,J652558,837.40,REDACTED PERSONAL DATA,538797,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487626,J652558,1660.16,REDACTED PERSONAL DATA,538811,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487627,J652558,661.12,REDACTED PERSONAL DATA,538985,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487628,J652558,1308.28,REDACTED PERSONAL DATA,538989,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487629,J652558,791.84,REDACTED PERSONAL DATA,539025,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487630,J652558,335.32,REDACTED PERSONAL DATA,539619,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487631,J652558,736.64,REDACTED PERSONAL DATA,539628,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487632,J652558,299.36,REDACTED PERSONAL DATA,539635,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487633,J652558,392.68,REDACTED PERSONAL DATA,539636,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487634,J652558,461.80,REDACTED PERSONAL DATA,539659,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-07-16,3487635,J652558,264.72,REDACTED PERSONAL DATA,539733,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487637,J652558,385.72,REDACTED PERSONAL DATA,540390,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487638,J652558,490.76,REDACTED PERSONAL DATA,540457,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487640,J652558,1416.32,REDACTED PERSONAL DATA,540814,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487641,J652558,516.40,REDACTED PERSONAL DATA,540815,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487642,J652558,1351.72,REDACTED PERSONAL DATA,540945,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487643,J652558,906.92,REDACTED PERSONAL DATA,541230,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487645,J652558,526.24,REDACTED PERSONAL DATA,541259,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487646,J652558,733.44,REDACTED PERSONAL DATA,541267,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487648,J652558,304.00,REDACTED PERSONAL DATA,541276,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487652,J652558,769.16,REDACTED PERSONAL DATA,541730,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487654,J652558,4670.84,REDACTED PERSONAL DATA,541897,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9210,FUNDED NURSING CARE (INCOME),2013-07-16,3487657,J652558,317.52,REDACTED PERSONAL DATA,542346,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487661,J652558,1878.04,REDACTED PERSONAL DATA,543024,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-07-16,3487662,J652558,317.24,REDACTED PERSONAL DATA,543031,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487663,J652558,301.20,REDACTED PERSONAL DATA,543287,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487664,J652558,1693.84,REDACTED PERSONAL DATA,543415,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487665,J652558,528.48,REDACTED PERSONAL DATA,543427,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-07-16,3487667,J652558,270.84,REDACTED PERSONAL DATA,543815,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487668,J652558,476.00,REDACTED PERSONAL DATA,543843,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487670,J652558,1040.00,REDACTED PERSONAL DATA,543944,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487671,J652558,602.52,REDACTED PERSONAL DATA,543946,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487672,J652558,678.24,REDACTED PERSONAL DATA,544257,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487673,J652558,780.80,REDACTED PERSONAL DATA,544259,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487674,J652558,487.32,REDACTED PERSONAL DATA,544267,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-07-16,3487678,J652558,383.04,REDACTED PERSONAL DATA,544391,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487681,J652558,475.16,REDACTED PERSONAL DATA,544510,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487682,J652558,571.60,REDACTED PERSONAL DATA,544516,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487683,J652558,324.36,REDACTED PERSONAL DATA,544707,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487684,J652558,444.92,REDACTED PERSONAL DATA,544783,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487685,J652558,820.92,REDACTED PERSONAL DATA,544826,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487686,J652558,650.68,REDACTED PERSONAL DATA,544969,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487687,J652558,802.48,REDACTED PERSONAL DATA,544972,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487688,J652558,650.20,REDACTED PERSONAL DATA,545506,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487689,J652558,762.88,REDACTED PERSONAL DATA,545516,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487690,J652558,916.64,REDACTED PERSONAL DATA,545564,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487691,J652558,967.00,REDACTED PERSONAL DATA,545607,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487692,J652558,2239.80,REDACTED PERSONAL DATA,545623,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487693,J652558,1670.20,REDACTED PERSONAL DATA,545674,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487694,J652558,295.88,REDACTED PERSONAL DATA,545679,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487695,J652558,288.36,REDACTED PERSONAL DATA,545925,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487696,J652558,549.96,REDACTED PERSONAL DATA,545926,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487697,J652558,1330.24,REDACTED PERSONAL DATA,545942,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487698,J652558,1488.08,REDACTED PERSONAL DATA,545945,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487699,J652558,882.24,REDACTED PERSONAL DATA,545957,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487702,J652558,778.68,REDACTED PERSONAL DATA,546050,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487703,J652558,307.48,REDACTED PERSONAL DATA,546095,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487704,J652558,264.04,REDACTED PERSONAL DATA,546190,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487707,J652558,323.44,REDACTED PERSONAL DATA,546484,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487708,J652558,645.36,REDACTED PERSONAL DATA,546500,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487709,J652558,732.76,REDACTED PERSONAL DATA,546640,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487710,J652558,1528.12,REDACTED PERSONAL DATA,546690,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487711,J652558,1615.56,REDACTED PERSONAL DATA,546701,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487712,J652558,517.28,REDACTED PERSONAL DATA,546764,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487713,J652558,360.00,REDACTED PERSONAL DATA,546770,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487714,J652558,1573.24,REDACTED PERSONAL DATA,546777,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487717,J652558,1003.40,REDACTED PERSONAL DATA,546810,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487718,J652558,392.76,REDACTED PERSONAL DATA,546812,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487719,J652558,722.28,REDACTED PERSONAL DATA,546846,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487720,J652558,357.36,REDACTED PERSONAL DATA,546847,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487724,J652558,683.36,REDACTED PERSONAL DATA,547432,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487725,J652558,292.00,REDACTED PERSONAL DATA,547512,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487727,J652558,1165.16,REDACTED PERSONAL DATA,547517,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487729,J652558,466.72,REDACTED PERSONAL DATA,547546,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487731,J652558,5638.64,A4E,547567,Human Resources,TRAINING SERVICES
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487731,J652558,80292.12,A4E,547567,Human Resources,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487731,J652558,25910.76,A4E,547567,Human Resources,TRAINING SERVICES
PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487731,J652558,1362.04,A4E,547567,Human Resources,TRAINING SERVICES
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-07-16,3487731,J652558,6263.09,A4E,547567,Human Resources,TRAINING SERVICES
PURCHASING LEARNING DISABILITI,9210,FUNDED NURSING CARE (INCOME),2013-07-16,3487731,J652558,25282.60,A4E,547567,Human Resources,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9210,FUNDED NURSING CARE (INCOME),2013-07-16,3487731,J652558,745.80,A4E,547567,Human Resources,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487732,J652558,257.92,REDACTED PERSONAL DATA,547646,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487733,J652558,2664.08,REDACTED PERSONAL DATA,547648,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487734,J652558,950.92,REDACTED PERSONAL DATA,547657,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487736,J652558,428.64,REDACTED PERSONAL DATA,547971,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487737,J652558,265.40,REDACTED PERSONAL DATA,547984,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487739,J652558,271.64,REDACTED PERSONAL DATA,548025,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487741,J652558,1628.84,REDACTED PERSONAL DATA,548048,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-07-16,3487742,J652558,494.24,REDACTED PERSONAL DATA,548050,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-07-16,3487745,J652558,1817.44,REDACTED PERSONAL DATA,548345,Social Community Care,CAREFIRST DIRECT PAYMENTS
