Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Descripition
Salford City Council,2014-05-23,601116096,13331.40,0.00,13331.40,Rainbows Nursery,Children's Services,Grants
Salford City Council,2014-05-23,601116097,8823.12,0.00,8823.12,Westwood Smarties,Children's Services,Grants
Salford City Council,2014-05-23,601116098,3249.94,0.00,3249.94,Rug Rats Playgroup,Children's Services,Grants
Salford City Council,2014-05-23,601116099,509.00,0.00,509.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-05-23,601116100,1864.00,0.00,1864.00,St Ambrose Young Families,Children's Services,Grants
Salford City Council,2014-05-23,601116101,8381.70,0.00,8381.70,Safehands Green Start Nurseries Ltd,Children's Services,Grants
Salford City Council,2014-05-23,601116102,3406.80,0.00,3406.80,Yogurt Pots Childcare Services,Children's Services,Grants
Salford City Council,2014-05-23,601116104,22342.75,0.00,22342.75,Broughton Jewish C F Academy,Children's Services,Grants
Salford City Council,2014-05-23,601116105,2206.00,0.00,2206.00,St Pauls Peel Playgroup Fund,Children's Services,Grants
Salford City Council,2014-05-23,601116106,1700.00,0.00,1700.00,Sunny Days Childrens Nursery,Children's Services,Grants
Salford City Council,2014-05-23,601116107,13285.15,0.00,13285.15,Toras Emes,Children's Services,Grants
Salford City Council,2014-05-23,601116108,16164.10,0.00,16164.10,Talmud Torah Chinuch N'Orim,Children's Services,Grants
Salford City Council,2014-05-23,601116109,23016.80,0.00,23016.80,Tashbar Academy Ltd,Children's Services,Grants
Salford City Council,2014-05-23,601116110,30196.15,0.00,30196.15,Talmund Torah Yetev Lev Limited,Children's Services,Grants
Salford City Council,2014-05-23,601116111,13362.90,0.00,13362.90,The Stables Day Nursery Limited,Children's Services,Grants
Salford City Council,2014-05-23,601116112,18582.55,0.00,18582.55,Tiferes ( The New Girls School ),Children's Services,Grants
Salford City Council,2014-05-23,601116113,7063.90,0.00,7063.90,Tinytots Vision Ltd,Children's Services,Grants
Salford City Council,2014-05-23,601116114,12073.36,0.00,12073.36,Tinytots Vision Ltd,Children's Services,Grants
Salford City Council,2014-05-23,601116115,19478.40,0.00,19478.40,Wow Kids Ltd T/A Bright Futures,Children's Services,Grants
Salford City Council,2014-05-23,601116116,15475.75,0.00,15475.75,Xl Childcare,Children's Services,Grants
Salford City Council,2014-05-23,601116117,9519.20,0.00,9519.20,Scalywags Playgroup,Children's Services,Grants
Salford City Council,2014-05-23,601116119,3193.53,0.00,3193.53,Playtime Playgroup,Children's Services,Grants
Salford City Council,2014-05-23,601116120,6485.85,0.00,6485.85,Oyy Lubavitch Girls School,Children's Services,Grants
Salford City Council,2014-05-23,601116121,7167.00,0.00,7167.00,Nutkins Play & Learn Centre,Children's Services,Grants
Salford City Council,2014-05-23,601116122,5014.80,0.00,5014.80,Munchkins Nursery Ltd,Children's Services,Grants
Salford City Council,2014-05-23,601116123,10686.20,0.00,10686.20,Little People Day Nursery,Children's Services,Grants
Salford City Council,2014-05-23,601116124,9273.80,0.00,9273.80,Little Gems Private Day Nursery,Children's Services,Grants
Salford City Council,2014-05-23,601116125,8288.80,0.00,8288.80,Ladybird Private Day Nursery,Children's Services,Grants
Salford City Council,2014-05-23,601116126,3667.50,0.00,3667.50,Flutterbies Day Nursery,Children's Services,Grants
Salford City Council,2014-05-23,601116127,7237.16,0.00,7237.16,Mojo,Children's Services,Grants
Salford City Council,2014-05-23,601116129,4814.40,0.00,4814.40,First Steps Playgroup,Children's Services,Grants
Salford City Council,2014-05-23,601116130,566.00,0.00,566.00,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-23,601116131,8250.00,0.00,8250.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-23,601116132,750.00,0.00,750.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-23,601116133,4050.00,0.00,4050.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-23,601116134,1692.60,0.00,1692.60,Mainline Private Hire,Children's Services,Grants
Salford City Council,2014-05-23,601116140,10000.00,0.00,10000.00,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-23,601116142,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-23,601116143,658.62,0.00,658.62,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-05-23,601116144,576.94,0.00,576.94,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-05-23,601116147,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-23,601116148,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-23,601116149,3696.37,0.00,3696.37,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-23,601116157,550.00,0.00,550.00,Redacted Data,Sustainable Regeneration,Rental Bonds
Salford City Council,2014-05-23,601116160,1097.94,0.00,1097.94,Ladybird Private Day Nursery,Children's Services,Grants
Salford City Council,2014-05-23,601116161,1539.64,0.00,1539.64,Tinytots Vision Ltd,Children's Services,Grants
Salford City Council,2014-05-23,601116165,551.06,0.00,551.06,Wirral Community Nhs Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-05-23,601116169,4000.00,0.00,4000.00,Fp Teleset Data Group,Customer and Support Services,Postage
Salford City Council,2014-05-27,601116172,8013.43,0.00,8013.43,M Connor Builder & Repairers Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116173,2753.43,0.00,2753.43,M Connor Builder & Repairers Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-27,601116174,7865.00,0.00,7865.00,Wessex Lift Co Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116175,6280.02,0.00,6280.02,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116176,5295.04,0.00,5295.04,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116177,1066.04,0.00,1066.04,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-27,601116178,3122.46,0.00,3122.46,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116180,2531.00,0.00,2531.00,Stannah Stairlifts Limited.,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116181,3187.91,0.00,3187.91,Stannah Stairlifts Limited.,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116182,1095.91,0.00,1095.91,Stannah Stairlifts Limited.,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-27,601116183,3689.04,0.00,3689.04,Stannah Stairlifts Limited.,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116185,7863.99,0.00,7863.99,David Marlow Building Contractor Lt,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116186,965.75,0.00,965.75,David Marlow Building Contractor Lt,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-27,601116187,11531.28,0.00,11531.28,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116188,4431.13,0.00,4431.13,Wessex Lift Co Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116189,977.13,0.00,977.13,Wessex Lift Co Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-27,601116190,4141.04,0.00,4141.04,Structec,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116191,508.55,0.00,508.55,Structec,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-27,601116192,4889.46,0.00,4889.46,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116193,600.46,0.00,600.46,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-27,601116194,4368.46,0.00,4368.46,Structec,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-27,601116195,536.48,0.00,536.48,Structec,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-05-27,601116196,718.02,37.00,681.02,Rossendales,Customer and Support Services,VAT Adjustment
Salford City Council,2014-05-27,601116197,712.92,118.82,594.10,Jacobs,Customer and Support Services,Debt Recoveries Agen
Salford City Council,2014-05-27,601116200,2894.00,0.00,2894.00,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-05-23,601116201,1806.00,300.00,1506.00,Trowers & Hamlins Llp,Capital Expenditure,Other Works
Salford City Council,2014-05-27,601116224,2925.00,0.00,2925.00,Classic Foster Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-27,601116232,3053.70,0.00,3053.70,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-05-27,601116248,887.00,0.00,887.00,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116250,570.16,0.00,570.16,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116252,1962.64,0.00,1962.64,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116253,795.60,0.00,795.60,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116254,656.32,0.00,656.32,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116255,526.04,0.00,526.04,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116256,567.48,0.00,567.48,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116257,644.32,0.00,644.32,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116259,1599.44,0.00,1599.44,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116260,851.52,0.00,851.52,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116262,553.52,0.00,553.52,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116266,695.24,0.00,695.24,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116267,638.64,0.00,638.64,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116268,541.16,0.00,541.16,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116269,927.92,0.00,927.92,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116271,1423.12,0.00,1423.12,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116272,709.60,0.00,709.60,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116275,579.96,0.00,579.96,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116276,709.60,0.00,709.60,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116279,603.16,0.00,603.16,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116280,993.44,0.00,993.44,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116299,2698.00,0.00,2698.00,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116300,1500.00,0.00,1500.00,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-05-27,601116305,1015.22,0.00,1015.22,Four Seasons Health Care Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-05-27,601116373,543.36,0.00,543.36,Redacted Data,"Community, Health & Social Care",Sessional
Salford City Council,2014-05-27,601116417,2073.48,0.00,2073.48,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-05-27,601116421,900.00,0.00,900.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-05-28,601116432,1129.48,0.00,1129.48,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-27,601116434,15000.00,0.00,15000.00,Simpsons Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-27,601116437,7500.00,0.00,7500.00,Fentons Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-27,601116438,7250.00,0.00,7250.00,Slater Heelis Llp,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-27,601116440,2031.38,0.00,2031.38,Thompsons,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-27,601116441,2034.88,0.00,2034.88,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-27,601116443,34000.00,0.00,34000.00,Quality Solicitors Mewies Solicitor,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-28,601116444,1009.04,0.00,1009.04,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-05-28,601116451,8000.00,0.00,8000.00,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2014-05-28,601116458,3700.00,0.00,3700.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-28,601116466,12197.01,0.00,12197.01,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-05-28,601116482,847.81,141.30,706.51,Virgin Media Business,Customer and Support Services,Broadband services
Salford City Council,2014-05-28,601116483,8531.88,1421.99,7109.89,Virgin Media Business,Customer and Support Services,Telephones & Fax
Salford City Council,2014-05-28,601116485,619.92,0.00,619.92,M & Q Properties Management Ltd,"Community, Health & Social Care",Rents
Salford City Council,2014-05-28,601116486,664.20,0.00,664.20,M & Q Properties Management Ltd,"Community, Health & Social Care",Rents
Salford City Council,2014-05-28,601116493,540.00,90.00,450.00,Marmion (Taxis),Children's Services,Travel & Subsistence
Salford City Council,2014-05-28,601116495,1302.00,217.00,1085.00,Abacus Cleaning Services Ltd,"Community, Health & Social Care",Cleaning Services
Salford City Council,2014-05-28,601116530,1455.00,0.00,1455.00,Auntie Stephs Playgroup,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116531,800.25,0.00,800.25,Bambie Playgroup,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116532,1455.00,0.00,1455.00,Big Steps Playgroup,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116533,1527.75,0.00,1527.75,Budding Wood Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116534,945.75,0.00,945.75,Treasures Child Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116535,785.70,0.00,785.70,Claremont Neighbourhood Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116536,873.00,0.00,873.00,Evergreen Childrens Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116537,1746.00,0.00,1746.00,Fairhills Playgroup,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116538,814.80,0.00,814.80,First Steps Playgroup,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116539,7745.45,0.00,7745.45,Fledglings Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116540,727.50,0.00,727.50,Fledglings Day Nursery Worsley,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116541,1309.50,0.00,1309.50,Fun4All Cic,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116543,582.00,0.00,582.00,Holy Angels Playgroup,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116544,1542.30,0.00,1542.30,Holyrood Nursery (Hope),Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116545,853.60,0.00,853.60,Holyrood Day Nursery Salford,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116546,5960.65,0.00,5960.65,Holyrood Nursery - Mediacityuk,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116547,3894.55,0.00,3894.55,Holyrood Day Nursery (Swinton),Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116548,873.00,0.00,873.00,Redacted Data,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116549,1600.50,0.00,1600.50,Jitterbugz Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116550,2328.00,0.00,2328.00,Kiddiewinkles Preschool,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116551,945.75,0.00,945.75,Kidz R Us The Lodge,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116552,698.40,0.00,698.40,Redacted Data,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116553,5562.95,0.00,5562.95,Ladybird Private Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116554,2478.35,0.00,2478.35,Lark Hill Day Nursery Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116555,873.00,0.00,873.00,Redacted Data,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116556,2880.90,0.00,2880.90,Little Explorers Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116557,800.25,0.00,800.25,Little Learners,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116558,1746.00,0.00,1746.00,Little People Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116559,4601.44,0.00,4601.44,Mojo,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116560,1600.50,0.00,1600.50,Monton Village School Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116561,2672.35,0.00,2672.35,Munchkins & Baby Munchkins  Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116562,960.30,0.00,960.30,Oaklands Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116563,5604.17,0.00,5604.17,Primrose Hill Private Day Nursery Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116564,1959.40,0.00,1959.40,Rainbows Neighourhood Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116565,2138.85,0.00,2138.85,Safehands Green Start Nurseries Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116566,582.00,0.00,582.00,St Pauls Peel Playgroup Fund,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116567,1813.90,0.00,1813.90,Sunny Days Childrens Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116568,4010.95,0.00,4010.95,Sylvan Court Day Nursery Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116569,1493.80,0.00,1493.80,The Manse Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116570,2328.00,0.00,2328.00,The Stables Day Nursery Limited,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116571,5655.10,0.00,5655.10,Tinytots Vision Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116572,4452.30,0.00,4452.30,Tinytots Vision Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116573,1726.60,0.00,1726.60,Unicorn Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116574,5092.50,0.00,5092.50,Westwood Smarties,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116575,2080.65,0.00,2080.65,Wow Kids Ltd T/A Bright Futures,Children's Services,Payts to Agencies
Salford City Council,2014-05-28,601116582,8000.00,0.00,8000.00,Child Protection & Planning Team,Children's Services,Children Act-Sect 17
Salford City Council,2014-05-28,601116588,1997.00,0.00,1997.00,Ofsted,Children's Services,Other Prof Fees
Salford City Council,2014-05-28,601116590,1590.00,265.00,1325.00,Reed Business Information Ltd,Capital Expenditure,Capital Expenses
Salford City Council,2014-05-29,601116595,664.20,0.00,664.20,M & Q Properties Management Ltd,"Community, Health & Social Care",Rents
Salford City Council,2014-05-29,601116596,720.00,120.00,600.00,Bedspace Resource Limited,Children's Services,SS Inc Supp/Ind Clnt
Salford City Council,2014-05-29,601116605,1079.89,179.98,899.91,Saltax Ltd,Children's Services,Children Act-Sect 17
Salford City Council,2014-05-29,601116606,2140.00,356.67,1783.33,Eddisons Commercial,Environment and Community Safety,Rents
Salford City Council,2014-05-29,601116607,1704.00,0.00,1704.00,Salfordian Trust Company Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-29,601116609,7250.00,0.00,7250.00,Beis Ruchel Girls School,Children's Services,Pupil Assistance
Salford City Council,2014-05-29,601116651,817.23,136.20,681.03,Circuit Electrical Testing Limited,Capital Expenditure,Invoice holding a/c
Salford City Council,2014-05-29,601116670,2900.00,0.00,2900.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-29,601116671,2978.70,0.00,2978.70,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-05-29,601116678,2313.64,385.60,1928.04,British Gas Business,Capital Expenditure,Works & Building
Salford City Council,2014-05-29,601116680,864.00,144.00,720.00,British Gas Business,Capital Expenditure,Works & Building
Salford City Council,2014-05-30,601116685,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-05-30,601116686,1439.73,0.00,1439.73,Fentons Solicitors Llp,Customer and Support Services,Liability Insurance
Salford City Council,2014-05-30,601116690,646.88,0.00,646.88,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2014-05-30,601116691,786.60,0.00,786.60,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-14,1600488242,2536.80,422.80,2114.00,D & I Cleaners Ltd,Sustainable Regeneration,Cleaning Services
Salford City Council,2014-05-08,1600493509,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-08,1600493513,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-08,1600493701,600.00,100.00,500.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-28,1600494285,900.00,150.00,750.00,Redacted Data,Environment and Community Safety,Legal Fees
Salford City Council,2014-05-23,1600495809,5551.22,925.22,4626.00,Met Office,Environment and Community Safety,Oth Office Expenses
Salford City Council,2014-05-08,1600496353,600.00,100.00,500.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-08,1600496366,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-14,1600496399,3199.99,0.00,3199.99,Care & Support Initiative,Children's Services,Rents
Salford City Council,2014-05-01,1600496528,723.18,120.53,602.65,Alliance Disposables Ltd,Sustainable Regeneration,Cleaning Materials
Salford City Council,2014-05-20,1600498874,1764.00,294.00,1470.00,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2014-05-08,1600498884,2140.00,356.67,1783.33,Eddisons Commercial,Environment and Community Safety,Rents
Salford City Council,2014-05-27,1600499002,6707.00,0.00,6707.00,St. John Vianney School,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-05-01,1600499063,521.76,86.96,434.80,Alliance Disposables Ltd,Sustainable Regeneration,Cleaning Materials
Salford City Council,2014-05-30,1600499105,917.64,152.94,764.70,Alliance Disposables Ltd,Sustainable Regeneration,Cleaning Materials
Salford City Council,2014-05-08,1600499434,3210.00,0.00,3210.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-05-20,1600500188,1806.00,301.00,1505.00,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2014-05-19,1600500351,603.84,100.64,503.20,G4S Cash Solutions Uk Ltd,Children's Services,Clothing & Uniforms
Salford City Council,2014-05-08,1600500397,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-08,1600500419,600.00,100.00,500.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-14,1600500544,2430.00,405.00,2025.00,D & I Cleaners Ltd,Sustainable Regeneration,Cleaning Services
Salford City Council,2014-05-02,1600500600,4200.53,700.09,3500.44,J Fletcher (Engineers) Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-05-20,1600500627,588.00,98.00,490.00,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2014-05-01,1600500670,528.00,88.00,440.00,Aquaid Manchester,Children's Services,Equipment Hire
Salford City Council,2014-05-14,1600500859,1350.00,0.00,1350.00,Cheshire Homes Group,Children's Services,Rents
Salford City Council,2014-05-08,1600501000,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-23,1600501005,1672.80,278.80,1394.00,Gs Systems,Customer and Support Services,Computer Maintenance
Salford City Council,2014-05-16,1600501116,7300.35,1216.73,6083.62,Nomix Enviro Ltd,Environment and Community Safety,VMS Stores Issues
Salford City Council,2014-05-20,1600501387,1722.00,287.00,1435.00,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2014-05-09,1600501446,5235.48,872.58,4362.90,Dlp Services (Northern) Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-08,1600501458,9368.21,1561.37,7806.84,Community Health Partnerships,Customer and Support Services,Cleaning Services
Salford City Council,2014-05-08,1600501461,6229.01,1038.17,5190.84,Community Health Partnerships,Customer and Support Services,Cleaning Services
Salford City Council,2014-05-30,1600501550,685.39,114.23,571.16,Alliance Disposables Ltd,Sustainable Regeneration,Cleaning Materials
Salford City Council,2014-05-20,1600501732,1428.00,238.00,1190.00,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2014-05-08,1600501774,780.00,130.00,650.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-08,1600501867,1660.00,0.00,1660.00,Salford Community Leisure Ltd,Children's Services,Training of others
Salford City Council,2014-05-16,1600501938,4953.11,825.52,4127.59,Intelligent Counting Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-05-08,1600502413,1002.85,167.14,835.71,Bedspace Resource Limited,Children's Services,SS Inc Supp/Ind Clnt
Salford City Council,2014-05-08,1600502414,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-08,1600502425,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-08,1600502426,1560.00,260.00,1300.00,Bedspace Resource Limited,Children's Services,Rents
Salford City Council,2014-05-01,1600502435,2914.00,0.00,2914.00,Langworthy Cornerstone Assoc.,Children's Services,Other Prof Fees
Salford City Council,2014-05-23,1600502468,1108.80,184.80,924.00,Aidapt Bathrooms Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-05-01,1600502561,581.86,96.98,484.88,Prism Medical Uk,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-05-01,1600502562,4788.00,798.00,3990.00,Premier Concepts Ltd,"Community, Health & Social Care",Marketing/Publicity
Salford City Council,2014-05-08,1600502588,119857.13,0.00,119857.13,Salford Community Leisure Ltd,Children's Services,Other Prof Fees
Salford City Council,2014-05-01,1600502596,600.00,100.00,500.00,Aidapt Bathrooms Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-05-01,1600502598,14592.00,2432.00,12160.00,Prism Medical Uk,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-05-07,1600502618,1925.00,0.00,1925.00,Monton Church (Unitarian),Environment and Community Safety,Rents
Salford City Council,2014-05-08,1600502619,3168.66,528.11,2640.55,Salford Community Leisure Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-05-02,1600502636,637.73,106.29,531.44,Community Security (North West) Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-02,1600502655,739.27,123.21,616.06,Community Security (North West) Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-05-08,1600502698,9011.00,0.00,9011.00,Salford Community Leisure Ltd,Capital Expenditure,Redundancy/Severance
Salford City Council,2014-05-02,1600502704,9696.00,1616.00,8080.00,Prism Medical Uk,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-05-08,1600502705,4000.00,0.00,4000.00,Salford Community Leisure Ltd,Environment and Community Safety,Photography
