Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2017-09-11,601200581,576,96,480,Salford Supply Desk Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-11,1600591356,1048.56,174.76,873.8,Bilway Marine,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2017-09-11,1600591997,960,160,800,Commando Joes,Children's Services,Class Supplies Capit
Salford City Council,2017-09-11,1600591372,29745.12,4957.52,24787.6,Public-I Group Ltd,Corporate Business,Computer Equipment
Salford City Council,2017-09-11,1600591357,1386,231,1155,Ingenitech Ltd,Environment and Community Safety,Contractors
Salford City Council,2017-09-11,1600591486,1591.2,265.2,1326,Ray Britland Contractors Ltd,Environment and Community Safety,Contractors
Salford City Council,2017-09-11,1600591286,1199.88,199.98,999.9,Cpr Global Tech Ltd,Environment and Community Safety,Equipment Purchase
Salford City Council,2017-09-11,svvrolxbl,529.79,5.55,524.24,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-11,ntsdzmcci,546.99,0,546.99,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-11,efxisvjre,566.03,4.61,561.42,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-11,qcfmpkijt,644.07,14.69,629.38,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-11,601200602,508.14,84.69,423.45,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200590,559.69,93.28,466.41,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200604,678.2,113.03,565.17,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200612,678.2,113.03,565.17,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200619,678.2,113.03,565.17,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200620,678.2,113.03,565.17,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200605,738.72,123.12,615.6,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200594,750.96,125.16,625.8,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200633,890.18,148.36,741.82,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200571,931.74,155.29,776.45,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200632,1008.72,168.12,840.6,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200627,1009.74,168.29,841.45,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200583,1016.99,169.5,847.49,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200570,1051.63,175.27,876.36,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200585,1114.3,185.72,928.58,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200630,1225.15,204.19,1020.96,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200615,1311.47,218.58,1092.89,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200621,1399.04,233.17,1165.87,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200626,1399.3,233.22,1166.08,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-11,601200652,5000,0,5000,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200649,5000,0,5000,C Smithies Builders,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200651,6047,0,6047,David Marlow Building Contractor Lt,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200664,2740,0,2740,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200654,2044.02,0,2044.02,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200665,10071.19,0,10071.19,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200663,11175,0,11175,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200658,19213.56,0,19213.56,Pollock Lifts,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200656,2194.5,0,2194.5,Stannah Stairlifts Limited,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200660,4104,0,4104,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200653,5004,0,5004,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200661,6742.74,0,6742.74,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601200667,8097.5,0,8097.5,Tok Properties Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-11,601197409,960,160,800,EE Ltd,"Community, Health & Social Care",Mobile Phones
Salford City Council,2017-09-11,bcunvueqd,681.04,136.21,681.04,Access Lock And Safe,Sustainable Regeneration,Other Professional Fees
Salford City Council,2017-09-11,1600591746,918,153,765,Easygate,Capital Expenditure,Other Works
Salford City Council,2017-09-11,1600591284,4255.82,709.3,3546.52,Yottadcl,Capital Expenditure,Other Works
Salford City Council,2017-09-11,601200646,585,0,585,Fledglings Day Nursery Worsley,Children's Services,Payts to Agencies
Salford City Council,2017-09-11,601199853,909,0,909,Virgin Care Services,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-11,1600591359,1195.16,199.19,995.97,Commsec Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-11,1600591318,844.24,140.71,703.53,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-11,1600591316,4450.63,741.77,3708.86,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-11,601200678,600,100,500,Prospero Recruitment Ltd,Children's Services,Pupil Assistance
Salford City Council,2017-09-11,601200679,600,100,500,Prospero Recruitment Ltd,Children's Services,Pupil Assistance
Salford City Council,2017-09-11,601200677,504,84,420,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2017-09-11,601200675,630,105,525,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2017-09-11,601200672,768,128,640,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2017-09-11,yopyzokvo,957.6,159.6,798,Paragon Group Uk,Corporate Business,Stationery
Salford City Council,2017-09-11,1600591354,900,150,750,Rene Barrett Ltd,Corporate Business,Training of Others
Salford City Council,2017-09-11,1600592046,510,85,425,The Training Company,Children's Services,Training of Others
Salford City Council,2017-09-11,1600591376,914.04,152.34,761.7,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2017-09-11,601200642,936,156,780,Societe Generale Equipment Fin Ltd,Environment and Community Safety,Vehicle Maintenance
Salford City Council,2017-09-11,601200687,520.16,9.13,511.03,1010 Taxis,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-11,601200695,1018.25,17.31,1000.94,1010 Taxis,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-11,601200696,728.64,121.44,607.2,Saltax Ltd,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-12,601199422,576,96,480,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-12,1600591564,1403.04,233.84,1169.2,Alliance Disposables Ltd,Sustainable Regeneration,Cleaning Materials
Salford City Council,2017-09-12,1600591563,31740,5290,26450,Languard Ltd,Environment and Community Safety,Contractors
Salford City Council,2017-09-12,1600591384,864,144,720,Pcc For Greater Manchester,Environment and Community Safety,Contractors
Salford City Council,2017-09-12,1600592449,4584,764,3820,G Jones Builders Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-12,1600591398,552,92,460,United Flags & Flagstaffs Ltd,Environment and Community Safety,Equipment Purchase
Salford City Council,2017-09-12,vbupuityw,517.47,5.27,512.2,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-12,wusmwwkmb,568.83,6.07,562.76,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-12,zqownvzee,619.4,0,619.4,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-12,nffvzjotk,718.89,8.09,710.8,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-12,efycpffsm,742.91,72.06,670.85,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-12,lbmvkdljv,784.46,4.95,779.51,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-12,nipgitcbv,1008.93,76.24,932.69,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-12,601200707,1135.3,189.22,946.08,Berendsen Uk Ltd,Environment and Community Safety,Laundry
Salford City Council,2017-09-12,601200790,10000,0,10000,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-12,1600592383,5614.5,0,5614.5,Park Retail Ltd,Corporate Business,Long Service Awards
Salford City Council,2017-09-12,601200715,930,155,775,Ad Hoc Property Management Ltd,Children's Services,Other Prof Fees
Salford City Council,2017-09-12,1600592095,11841.3,1973.55,9867.75,G Jones Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2017-09-12,601200708,7285,0,7285,Salford Royal NHS Foundation Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-12,601200909,964.33,160.72,803.61,Konica Minolta Business Solutions,Children's Services,Print & Photocopying
Salford City Council,2017-09-12,601200765,598.93,98.08,500.85,Mainline Wholesalers Limited,Environment and Community Safety,Provisions
Salford City Council,2017-09-12,1600592450,1243.8,207.3,1036.5,P. Mcguinness & Co Limited,Sustainable Regeneration,Rechargeable R & Mnt
Salford City Council,2017-09-12,1600591567,1014,169,845,North West Local Authorities,Office of the Chief Executive,Training of Others
Salford City Council,2017-09-12,601200716,811.04,14.39,796.65,1010 Taxis,Children's Services,Travel & Subsistence
Salford City Council,2017-09-12,1600591377,594,99,495,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2017-09-12,1600592389,22420.8,3736.8,18684,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2017-09-12,601200681,705.9,108,597.9,Bedspace Resource Limited,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-12,601200685,705.9,108,597.9,Bedspace Resource Limited,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-13,601200923,672,112,560,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-13,601200924,840,140,700,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-13,601200925,840,140,700,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-13,601200926,840,140,700,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2017-09-13,1600591524,2217.26,369.54,1847.72,Xma Ltd,Corporate Business,Computer Equipment
Salford City Council,2017-09-13,1600591508,540,90,450,Swift (Nw) Ltd T/A Swift Loos,Office of the Chief Executive,Contract Hire
Salford City Council,2017-09-13,1600591523,501.71,83.62,418.09,Ijm Electrical Contractors Ltd,Children's Services,Dev Servs Day to Day
Salford City Council,2017-09-13,1600591511,652.8,108.8,544,Osborne Delta,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-13,1600591510,2835.9,472.65,2363.25,Osborne Delta,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-13,1600592349,1230,205,1025,Richard L Thomas Associates Ltd,Children's Services,Dev Servs Day to Day
Salford City Council,2017-09-13,1600591509,792,132,660,Alere Ltd,"Community, Health & Social Care",Equipment Purchase
Salford City Council,2017-09-13,1600591579,1627.44,271.24,1356.2,Alere Ltd,"Community, Health & Social Care",Equipment Purchase
Salford City Council,2017-09-13,1600591540,1050.56,175.09,875.47,Laidlaw Limited,Children's Services,Equipment Purchase
Salford City Council,2017-09-13,scrxwoojv,506.89,5.19,501.7,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-13,qsejtqdll,557.49,4.7,552.79,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-13,bseoowgbe,586.08,6.6,579.48,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-13,nmjgnimhe,609,4.02,604.98,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-13,nlnosxjwk,610.17,9.9,600.27,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-13,pvimlgrgn,680.94,2.77,678.17,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-13,601200623,893.26,148.88,744.38,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-13,1600591506,3890.4,0,3890.4,Patrol,Sustainable Regeneration,Mediation Service
Salford City Council,2017-09-13,601200939,740,0,740,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2017-09-13,1600591522,6854.4,1142.4,5712,Parkeon Ltd,Capital Expenditure,Other Works
Salford City Council,2017-09-13,601199716,3925.58,654.26,3271.32,Royal Mail Group Ltd,Corporate Business,Postage
Salford City Council,2017-09-13,601200936,1250,0,1250,Paypoint Plc,Sustainable Regeneration,Premises Insurance
Salford City Council,2017-09-13,1600591516,2425.07,404.18,2020.89,Facultatieve Technologies Ltd,Environment and Community Safety,Prog Maint & Works
Salford City Council,2017-09-13,1600590742,3782,0,3782,Bolton Mbc,Children's Services,Uniforms
Salford City Council,2017-09-13,1600591573,513.24,85.54,427.7,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2017-09-14,1600591534,7436.28,1239.38,6196.9,Public-I Group Ltd,Corporate Business,Computer Equipment
Salford City Council,2017-09-14,1600591542,1014,169,845,Rbs Invoice Finance Limited,Sustainable Regeneration,Equipment Purchase
Salford City Council,2017-09-14,iojresxel,517.14,0,517.14,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-14,uxwpuxmfk,549.54,5.55,543.99,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-14,thunddcco,568.17,51.09,517.08,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-14,soexwolgm,570.94,7.2,563.74,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-14,fhkucmieu,648.04,6.6,641.44,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-14,vujepeeww,687.03,3.83,683.2,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-14,kfqyfjguw,698.06,0,698.06,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-14,sdylqitss,716.54,0,716.54,Creamline Dairies Traffor,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-14,nqdcdobuh,1457.82,0,1457.82,Quayside Bakery,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-14,601200751,887.81,0,887.81,Inspire Community Services,Children's Services,Hire of Facilities
Salford City Council,2017-09-14,601200754,968.52,0,968.52,Inspire Community Services,Children's Services,Hire of Facilities
Salford City Council,2017-09-14,601200753,1287.75,0,1287.75,Inspire Community Services,Children's Services,Hire of Facilities
Salford City Council,2017-09-14,601201014,25623.74,0,25623.74,Buile Hill Visual Arts College,Children's Services,Maternity Supply
Salford City Council,2017-09-14,1600591586,12000,2000,10000,Reade Signs Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-09-14,1600591557,1837.22,0,1837.22,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-14,rrqbrtgwv,4245.57,0,4245.57,Restore,Corporate Business,Other Professional Fees
Salford City Council,2017-09-14,hdhkopqsh,4294.58,0,4294.58,Restore,Corporate Business,Other Professional Fees
Salford City Council,2017-09-14,1600592577,3069.6,511.6,2558,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2017-09-14,1600592576,6000,1000,5000,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2017-09-14,1600592578,27360,4560,22800,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2017-09-14,601200962,3425.86,0,3425.86,Tameside Mbc,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-14,1600592556,7627.48,1271.25,6356.23,John Turner Construction Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-14,1600592210,3299.78,549.96,2749.82,Safe & Secure (Uk) Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-14,urulrtfmn,708,118,590,Owls Hall Enviroment L,Environment and Community Safety,Prizes
Salford City Council,2017-09-14,601200980,5735.29,0,5735.29,Cleggs Chilled Food Service,Environment and Community Safety,Provisions
Salford City Council,2017-09-14,601198526,5470,0,5470,Touchbase,Children's Services,Pupil Assistance
Salford City Council,2017-09-14,1600591543,9682.92,1613.82,8069.1,Egbert H Taylor & Co Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2017-09-14,601201025,10668.93,0,10668.93,Redacted Data,Environment and Community Safety,Refunds
Salford City Council,2017-09-14,601200974,1300,0,1300,Redacted Data,Children's Services,Training expenses
Salford City Council,2017-09-14,601201000,561,0,561,St Andrews Ce Primary,Children's Services,Training expenses
Salford City Council,2017-09-14,1600592583,4825.69,492.25,4333.44,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2017-09-14,1600592584,7081.88,549.78,6532.1,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2017-09-15,1600592045,5848.8,974.8,4874,J Fletcher Engineers Ltd,Children's Services,Adaptations
Salford City Council,2017-09-15,601201092,23886,3981,19905,Groundwork Msstt,Children's Services,Adapts/Alterations
Salford City Council,2017-09-15,1600591847,975.65,162.61,813.04,Alliance Disposables Ltd,Environment and Community Safety,Cleaning Materials
Salford City Council,2017-09-15,1600591604,540,90,450,Ray Britland Contractors Ltd,Environment and Community Safety,Contractors
Salford City Council,2017-09-15,1600592200,600,100,500,Serenity Security Solutions Ltd,Office of the Chief Executive,Contractors
Salford City Council,2017-09-15,601201033,2547.95,0,2547.95,Tullett Prebon (Uk) Ltd,Capital Expenditure,Debt- interest pymnt
Salford City Council,2017-09-15,1600591641,602.57,100.43,502.14,G Jones Builders Ltd,Children's Services,Dev Servs Day to Day
Salford City Council,2017-09-15,1600592080,536.81,89.47,447.34,G Jones Builders Ltd,Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2017-09-15,1600591643,774.4,129.07,645.33,G Jones Builders Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2017-09-15,1600591967,534,89,445,Costumes With Character Ltd,Children's Services,Electricity
Salford City Council,2017-09-15,wyxbwuswd,694.81,115.8,579.01,Screwfix Direct,Sustainable Regeneration,Equipment Purchase
Salford City Council,2017-09-15,vnttwfnoj,543.48,1.69,541.79,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-15,csudidtqe,581.86,4.41,577.45,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-15,nwgpccdvj,614.98,0,614.98,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-15,awygngzci,1028.27,69.7,958.57,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-15,601201085,3000,0,3000,Coleman Ctts,Corporate Business,Liability Insurance
Salford City Council,2017-09-15,601201084,5753.75,0,5753.75,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-15,1600592261,3600,600,3000,Rigby Taylor Ltd,Environment and Community Safety,Materials
Salford City Council,2017-09-15,1600592039,7552.69,1258.78,6293.91,Metsite Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-09-15,1600591625,3987.5,0,3987.5,University Of Manchester,Children's Services,Other Prof Fees
Salford City Council,2017-09-15,1600591626,4123.5,0,4123.5,University Of Manchester,Children's Services,Other Prof Fees
Salford City Council,2017-09-15,1600591624,4399.5,0,4399.5,University Of Manchester,Children's Services,Other Prof Fees
Salford City Council,2017-09-15,1600592633,3660,610,3050,Barratt & Hughes,Capital Expenditure,Other Works
Salford City Council,2017-09-15,1600591614,6270.04,1045.01,5225.03,Transport For Greater Manchester,Capital Expenditure,Other Works
Salford City Council,2017-09-15,1600591597,770,0,770,Redacted Data,Children's Services,Payts to Agencies
Salford City Council,2017-09-15,601200122,2250.14,375.02,1875.12,Royal Mail Group Ltd,Corporate Business,Postage
Salford City Council,2017-09-15,601201028,9158.42,1526.4,7632.02,Rothwell Robinson Ltd,Children's Services,Prog Maint & Works
Salford City Council,2017-09-15,1600591627,1891.24,0,1891.24,St Helens MBC,Children's Services,Pupil Assistance
Salford City Council,2017-09-15,1600592062,6000,0,6000,Utc@Mediacityuk,Children's Services,Pupil Assistance
Salford City Council,2017-09-15,1600592377,3185.06,530.84,2654.22,Ingenitech Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2017-09-15,1600591984,12074.4,2012.4,10062,Orbis Protect Ltd,Children's Services,Security Sys R & Mnt
Salford City Council,2017-09-15,1600590759,1696.5,282.75,1413.75,Ecg Facilities Services Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2017-09-15,1600590761,4571.16,761.86,3809.3,Ecg Facilities Services Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2017-09-15,1600592644,22420.8,3736.8,18684,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2017-09-15,1600592643,22753.26,3792.21,18961.05,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2017-09-18,601201131,720,120,600,Protocol Education,Children's Services,Agency Fees
Salford City Council,2017-09-18,601201098,4470,745,3725,Clarion Security Systems Ltd,Children's Services,Building Rep & Maint
Salford City Council,2017-09-18,1600591690,547.92,91.32,456.6,Yorkshire Purchasing,Children's Services,Class Supplies Capit
Salford City Council,2017-09-18,601199967,11347.5,1891.25,9456.25,Jisc Services Ltd,Corporate Business,Computer Maintenance
Salford City Council,2017-09-18,601201137,800.8,133.47,667.33,Refreshment Systems Ltd,Environment and Community Safety,Equipment Leasing
Salford City Council,2017-09-18,woltmalob,502.95,0,502.95,Allpay Moto,Children's Services,Equipment Purchase
Salford City Council,2017-09-18,scnwuotvh,539.06,0,539.06,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-18,bdvnckugk,541.73,11.17,530.56,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-18,jjhtneezh,586.58,0,586.58,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-18,601201095,1678.85,279.81,1399.04,Berendsen Uk Ltd,Environment and Community Safety,Laundry
Salford City Council,2017-09-18,601201113,4753.67,0,4753.67,Birtenshaw Hall,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-18,1600591128,4753.67,0,4753.67,Birtenshaw Hall,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-18,1600591864,772.8,128.8,644,British Parking Association,Sustainable Regeneration,Other Prof Fees
Salford City Council,2017-09-18,kpbvhands,1206.86,0,1206.86,Unite Students,Children's Services,Other Professional Fees
Salford City Council,2017-09-18,601200222,1424.85,0,1424.85,Bridgewater Community Health NHS,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-18,1600591798,12441.6,2073.6,10368,Ingeus Uk Limited,Corporate Business,Payts to Agencies
Salford City Council,2017-09-18,1600590170,3000,500,2500,Stonewall Equality Ltd,Corporate Business,Payts to Agencies
Salford City Council,2017-09-18,1600591880,677.94,112.99,564.95,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-18,1600591878,4775.28,795.88,3979.4,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-18,lwonykglg,636,0,636,Www.Pb.Com,Children's Services,Postage
Salford City Council,2017-09-18,601199728,941.42,156.9,784.52,Rothwell Robinson Ltd,Children's Services,Prog Maint & Works
Salford City Council,2017-09-18,601201116,5032,0,5032,Birtenshaw Hall,Children's Services,Pupil Assistance
Salford City Council,2017-09-18,601201117,5032,0,5032,Birtenshaw Hall,Children's Services,Pupil Assistance
Salford City Council,2017-09-18,601201115,6605.48,0,6605.48,Birtenshaw Hall,Children's Services,Pupil Assistance
Salford City Council,2017-09-18,1600592676,1100,0,1100,The New Girls School,Children's Services,Pupil Assistance
Salford City Council,2017-09-18,1600592675,4833.33,0,4833.33,The New Girls School,Children's Services,Pupil Assistance
Salford City Council,2017-09-18,601201173,1949.66,0,1949.66,Salix Homes Limited,Children's Services,Rents
Salford City Council,2017-09-18,601201174,1949.66,0,1949.66,Salix Homes Limited,Children's Services,Rents
Salford City Council,2017-09-18,601201096,1800,0,1800,Teens And Toddlers,Children's Services,Training expenses
Salford City Council,2017-09-18,1600591653,780,0,780,Shel Banks,Children's Services,Training of Others
Salford City Council,2017-09-19,601201228,16582.66,2763.79,13818.87,Co-Wheels Car Club,Corporate Business,Annual Vehicle Hire
Salford City Council,2017-09-19,601201227,16879.94,2813.33,14066.61,Co-Wheels Car Club,Corporate Business,Annual Vehicle Hire
Salford City Council,2017-09-19,601201188,580.8,96.8,484,Stanley Security Solutions Ltd,Children's Services,Building Rep & Maint
Salford City Council,2017-09-19,1600591959,5220,870,4350,Tools4Ever Ltd,"Community, Health & Social Care",Computer Maintenance
Salford City Council,2017-09-19,1600592797,2340,390,1950,Pcc For Greater Manchester,Environment and Community Safety,Contractors
Salford City Council,2017-09-19,1600592445,600,100,500,S & S Marquees Ltd,Office of the Chief Executive,Contractors
Salford City Council,2017-09-19,1600592443,803.4,133.9,669.5,S & S Marquees Ltd,Office of the Chief Executive,Contractors
Salford City Council,2017-09-19,1600592632,708,118,590,Schofield & Sons,Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2017-09-19,yvnlcenyn,707.68,0,707.68,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-19,rhijhyqph,1173.58,89.22,1084.36,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-19,1600592350,768,128,640,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2017-09-19,601201220,887.4,147.9,739.5,Trinity Mirror Publishing Ltd,Capital Expenditure,Legal Fees
Salford City Council,2017-09-19,601201218,1407.6,234.6,1173,Trinity Mirror Publishing Ltd,Capital Expenditure,Legal Fees
Salford City Council,2017-09-19,601201190,930,155,775,Bridgewater Community Health NHS,Children's Services,Other Prof Fees
Salford City Council,2017-09-19,601200111,630,105,525,North West Local Authorities,Corporate Business,Other Prof Fees
Salford City Council,2017-09-19,601201219,2937.6,489.6,2448,Trinity Mirror Publishing Ltd,Corporate Business,Other Prof Fees
Salford City Council,2017-09-19,601201208,967.47,0,967.47,Zurich Insurance Company,Corporate Business,Other Prof Fees
Salford City Council,2017-09-19,1600592251,1550.4,258.4,1292,Soft Surfaces Limited,Capital Expenditure,Other Works
Salford City Council,2017-09-19,601200398,571,0,571,Oxford University Hospitals Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-19,601201204,4315,0,4315,North Walkden Primary School,Corporate Business,Premises Insurance
Salford City Council,2017-09-19,xgloctmlc,802,0,802,Www.Baxterstheprinters,Corporate Business,Printing & Photocopying
Salford City Council,2017-09-19,601200113,2660,0,2660,First Group Plc,Sustainable Regeneration,Public Transport
