Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-12,B & E YOUNGER,8655570,revenue,1KVWC,Minor Works Contracts,602,Dont Redact
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,BAILIFFGATE,8663063,revenue,1MK20,Residential Care LD,3669.6,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,BAILIFFGATE,8682529,revenue,1MK20,Residential Care LD,3669.6,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,BAILIFFGATE,8663063,revenue,1MK20,Residential Care LD,-421.2,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-31,BAILIFFGATE,8682529,revenue,1MK20,Residential Care LD,-421.2,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-08,BALLENTINE PROPERTIES LTD,8665655,revenue,1MN20,Asy Seekers Families,550,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BALMORAL COURT,8673061,revenue,1MG10,Nursing Care OP,73230.43,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BALMORAL COURT,8673061,revenue,1MG20,Residential Care OP,22160.64,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BALMORAL COURT,8673061,revenue,1MH20,Residential Care PD,3048,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BALMORAL COURT,8673061,revenue,1MK10,Nursing Care LD,3735.92,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BALMORAL COURT,8673061,revenue,1MK20,Residential Care LD,20645.25,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BALMORAL COURT,8673061,revenue,1MM10,Nursing Care MH,3970.48,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BALMORAL COURT,8673061,revenue,1MM20,Residential Care MH,7562.96,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BALMORAL COURT,8673062,revenue,1MG10,Nursing Care OP,2480.4,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BALMORAL COURT,8673062,revenue,1MH20,Residential Care PD,2778.72,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,BALMORAL COURT,8658508,revenue,1MK20,Residential Care LD,3024,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,BALMORAL COURT,8658510,revenue,1MK20,Residential Care LD,493.08,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,BALMORAL COURT,8658506,revenue,1MM10,Nursing Care MH,1068.48,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,BALMORAL COURT,8658504,revenue,1MM20,Residential Care MH,6048.00,#N/A
Place,Commercial Dev & Property,Revenue Expenditure,2022-08-02,BALMORAL JOINERY,8659958,revenue,1DY46,The Close,460.00,#N/A
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2022-08-22,BARCLAYS,8675626,revenue,1VH26,Housing Advice Centre,950,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-15,BARNARDOS,8672369,revenue,1MC22,IND Sector Foster Carer Costs,3366.24,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-18,BARNARDO'S NORTH EAST,8656229,revenue,1E25R,AP Inclusion Panel,1820.00,#N/A
Place,Transport,Revenue Expenditure,2022-08-25,BBS (BRICK & STONE) LTD,8663232,revenue,1KEMC,Highways,1517.51,#N/A
Place,Transport,Revenue Expenditure,2022-08-18,BBS (BRICK & STONE) LTD,8663598,revenue,1KEMC,Highways,8159.11,#N/A
Place,Transport,Revenue Expenditure,2022-08-18,BBS (BRICK & STONE) LTD,8673746,revenue,1KEMC,Highways,3459.6,#N/A
Place,Transport,Revenue Expenditure,2022-08-02,BBS (BRICK & STONE) LTD,8648926,revenue,1KEMC,Highways,13691.64,#N/A
Place,Transport,Revenue Expenditure,2022-08-02,BBS (BRICK & STONE) LTD,8648537,revenue,1KEMC,Highways,11812.48,#N/A
Place,Transport,Revenue Expenditure,2022-08-17,BBS (BRICK & STONE) LTD,8673745,revenue,1KEMC,Highways,13216.42,#N/A
Place,Transport,Revenue Expenditure,2022-08-03,BBS (BRICK & STONE) LTD,8648925,revenue,1KEMC,Highways,20980.08,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BE CARING LTD,8673183,revenue,1MH50,Home Care PD,3158.93,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669747,revenue,1MG50,Home Care-Spot Purchased OP,34498.74,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669747,revenue,1MH50,Home Care PD,4439.08,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669747,revenue,1MK51,Home Care LD,103.36,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669747,revenue,1MM50,Home Care MH,281.76,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669684,revenue,1MG50,Home Care-Spot Purchased OP,2084.66,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669684,revenue,1MH50,Home Care PD,22681.92,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669684,revenue,1MK50,Supported Living LD,1127.08,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669684,revenue,1MK55,Home Care Family/Carer LD,12397.44,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669683,revenue,1MH50,Home Care PD,422.64,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669683,revenue,1MK50,Supported Living LD,-4939.33,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669683,revenue,1MK51,Home Care LD,13464.89,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669683,revenue,1MK55,Home Care Family/Carer LD,5705.64,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669683,revenue,1MM50,Home Care MH,1136.32,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669764,revenue,1MK50,Supported Living LD,104894.20,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669764,revenue,1MK54,Dom Care Own Tenancy LD,20706.68,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669791,revenue,1MK50,Supported Living LD,29140.13,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8669765,revenue,1MK50,Supported Living LD,47333.56,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-01,BE CARING LTD,8660082,revenue,1MH50,Home Care PD,7905.52,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-09,BE CARING LTD,8669764,revenue,1MK50,Supported Living LD,-1966.3,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-09,BE CARING LTD,8669791,revenue,1MK50,Supported Living LD,-457.6,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-09,BE CARING LTD,8670061,revenue,1MD66,CWD Care Packages,880.5,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-30,BE CARING LTD,8667821,revenue,1MD66,CWD Care Packages,845.28,#N/A
Operations & Reg Services,Public Safety Regulations,Revenue Expenditure,2022-08-10,BEATS FOOD & SAFETY CONSULTANCY,8670481,revenue,1D500,Food Safety & Training,1521.00,#N/A
Operations & Reg Services,Public Safety Regulations,Revenue Expenditure,2022-08-10,BEATS FOOD & SAFETY CONSULTANCY,8670482,revenue,1D500,Food Safety & Training,1593,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BEAUMONT HALL,8673130,revenue,1MG30,Deferred Payments-OP,10962.57,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-19,BECOMING VISIBLE,8674616,revenue,1MD62,Support to CIC,300,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-08,BECOMING VISIBLE,8668117,revenue,1E228,SEN Teaching Support (NonSALT),3130,#N/A
Operations & Reg Services,Public Safety Regulations,Revenue Expenditure,2022-08-01,BECOMING VISIBLE,8661728,revenue,1D543,Environment,360,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-15,BEDEBURN IMPREST,8672447,revenue,1MC41,Bedeburn Short Break Unit,2167.75,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,BEDEWELL GRANGE,8663127,revenue,1MG20,Residential Care OP,4980.25,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,BEDEWELL GRANGE,8682597,revenue,1MG20,Residential Care OP,2756.32,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,BEDEWELL GRANGE,8663127,revenue,1MG20,Residential Care OP,-970.48,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-31,BEDEWELL GRANGE,8682597,revenue,1MG20,Residential Care OP,-970.48,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,BEECH TREE HOUSE,8682622,revenue,1MG10,Nursing Care OP,11619.20,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-02,BEECHAM PEACOCK LLP,8663939,revenue,1MD62,Support to CIC,600.00,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-19,BEELINE PROMOTIONAL PRODUCTS,8671972,revenue,1ML12,PH -E Years and Children 5-19,615.00,#N/A
HRA Expenditure,Special Services,Revenue Expenditure,2022-08-19,BELL CONTROL SOLUTIONS LTD,8668175,revenue,1HP01,Comm. Centres - Citywide,800,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,BELL DECORATING GROUP,8679809,revenue,1KR52,Internal and External Painting,154109.09,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,BELL DECORATING GROUP,8679810,revenue,1KR52,Internal and External Painting,727.83,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,BELL DECORATING GROUP,8679811,revenue,1KR52,Internal and External Painting,1804.63,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-10,BELL DECORATING GROUP,8657301,revenue,1KR10,Voids,1425,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-10,BELL DECORATING GROUP,8657300,revenue,1KR10,Voids,1700,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-12,BELL DECORATING GROUP,8657303,revenue,1KR10,Voids,1200.00,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-12,BELL DECORATING GROUP,8659758,revenue,1KR10,Voids,2050.00,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-04,BELL DECORATING GROUP,8648814,revenue,1KR52,Internal and External Painting,137651.06,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-04,BELL DECORATING GROUP,8648845,revenue,1KR52,Internal and External Painting,51409.21,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-04,BELL DECORATING GROUP,8648846,revenue,1KR52,Internal and External Painting,107218.83,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-11,BELL DECORATING GROUP,8657302,revenue,1KR10,Voids,925,#N/A
Operations&Regulatory Services,Operations,Capital Expenditure,2022-08-05,BELL DECORATING GROUP,8648815,Capital,2CAPI,Capital Investment,1285.00,#N/A
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-08-19,BELL TRUCK SALES LTD,8659878,revenue,3KES1,City Transport Stock,300.35,#N/A
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-08-24,BELL TRUCK SALES LTD,8663751,revenue,3KES1,City Transport Stock,361.48,#N/A
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-08-18,BELL TRUCK SALES LTD,8665035,revenue,3KES1,City Transport Stock,645.54,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BELLE VUE HOUSE,8673068,revenue,1MG10,Nursing Care OP,57259.88,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BELLE VUE HOUSE,8673068,revenue,1MG20,Residential Care OP,34408.8,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BELLE VUE HOUSE,8673068,revenue,1MK10,Nursing Care LD,3884.76,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,BELLE VUE HOUSE,8658512,revenue,1MG10,Nursing Care OP,3944.64,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-23,BELLE VUE HOUSE,8676894,revenue,1MG10,Nursing Care OP,3931.2,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-26,BENFIELD PARK MEDICAL GROUP,8679645,revenue,1ML03,PH - NHS Health Checks,600,#N/A
Operations & Regulatory Services,Operations,Revenue Expenditure,2022-08-03,BENTON AUTO ELECTRICS,8665115,revenue,3KES1,City Transport Stock,345.00,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-12,BERENDSEN,8671871,revenue,1KENB,Fleet Workshops OH,778.48,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-01,BERNICIA GROUP LTD,8662566,revenue,1MF01,16 Plus & Care Leavers,588.52,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-01,BERNICIA GROUP LTD,8662252,revenue,1MF01,16 Plus & Care Leavers,588.52,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-24,BESTWAY WHOLESALE LTD,8677210,revenue,1KFW6,Jesmond Park School,1794.03,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-10,BFS GROUP LTD T/A BIDFOOD,8665138,revenue,1KF07,Banqueting Suite,2939.92,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-30,BFS GROUP LTD T/A BIDFOOD,8679027,revenue,1KF07,Banqueting Suite,281.04,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-10,BIFFA WASTE SERVICES LTD,8670483,revenue,1KE27,Bereavement Services Overhead,5800.24,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-01,BIFFA WASTE SERVICES LTD,8662258,revenue,1KE27,Bereavement Services Overhead,677.6,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-01,BIFFA WASTE SERVICES LTD,8662257,revenue,1KE27,Bereavement Services Overhead,5420.80,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-01,BIFFA WASTE SERVICES LTD,8662236,revenue,1KE27,Bereavement Services Overhead,3099.25,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-01,BIFFA WASTE SERVICES LTD,8662237,revenue,1KE27,Bereavement Services Overhead,619.85,#N/A
Operations & Reg Services,Local Services,Revenue Expenditure,2022-08-10,BIFFA WASTE SERVICES LTD,8670484,revenue,1KE25,Biffa HWRC Contract,81019.66,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-31,BIFFA WASTE SERVICES LTD,8680760,revenue,1KB40,Citybuild Stores O/H,11682.26,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-17,BIKE2WORK SCHEME LIMITED,8660438,revenue,1V303,Cycle to Work Scheme,569.99,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-23,BIKE2WORK SCHEME LIMITED,8676771,revenue,1V303,Cycle to Work Scheme,915.83,#N/A
Operations & Reg Services,Parking,Revenue Expenditure,2022-08-31,BIKE2WORK SCHEME LIMITED,8673249,revenue,1V303,Cycle to Work Scheme,457.50,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BILLINGHAM GRANGE,8669738,revenue,1MM10,Nursing Care MH,6912.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,BILLINGHAM GRANGE,8669739,revenue,1MM10,Nursing Care MH,333.64,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,BILLINGHAM GRANGE,8663119,revenue,1MM10,Nursing Care MH,7860.6,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,BILLINGHAM GRANGE,8682589,revenue,1MM10,Nursing Care MH,7860.60,#N/A
Assistant Chief Executive,Policy and Performance,Revenue Expenditure,2022-08-23,BIND- FOOD WASTE INNOVATION,8676015,revenue,1FT83,Climate Change Strategy,10000,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-30,BIND- FOOD WASTE INNOVATION,8680759,revenue,1EJ15,Promotions Training and Events,375.00,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-22,BIND- FOOD WASTE INNOVATION,8655688,revenue,1ML07,PH -Obesity and phys activity,2000,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-26,BIOMASS BOILER SERVICES LTD,8664974,revenue,1KR05,District Heating,2403.16,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-19,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8674785,revenue,1E238,SB High Needs Income Recovery,4427.21,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680823,revenue,1E201,ISB PVI Nurseries,34865.78,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680824,revenue,1E201,ISB PVI Nurseries,14836.5,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680826,revenue,1E201,ISB PVI Nurseries,5934.60,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680827,revenue,1E201,ISB PVI Nurseries,24480.23,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680874,revenue,1E201,ISB PVI Nurseries,7566.62,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680875,revenue,1E201,ISB PVI Nurseries,14836.5,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680877,revenue,1E201,ISB PVI Nurseries,20029.28,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680825,revenue,1E201,ISB PVI Nurseries,283.50,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680828,revenue,1E201,ISB PVI Nurseries,661.50,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680876,revenue,1E201,ISB PVI Nurseries,1134,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,BISHOP BEWICK CATHOLIC EDUACTION TRUST,8680878,revenue,1E201,ISB PVI Nurseries,1134.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-19,BLOOM PROCUREMENT SERVICES,8674491,revenue,1MB20,ASC Training,10872.75,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-12,BLOOM PROCUREMENT SERVICES,8671774,revenue,1MB20,ASC Training,750.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-15,BLOOM PROCUREMENT SERVICES,8671855,revenue,1MX22,Fair Cost of Care,11650.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-04,BLOOM PROCUREMENT SERVICES,8665905,revenue,1MR64,CSC Training,630,#N/A
Assistant Chief Executive,Policy and Performance,Revenue Expenditure,2022-08-12,BLOOM PROCUREMENT SERVICES,8671774,revenue,1FT04,Policy,2500.00,#N/A
Assistant Chief Executive,Policy and Performance,Revenue Expenditure,2022-08-04,BLOOM PROCUREMENT SERVICES,8665904,revenue,1FT88,PSDS-Low Carbon Skills Fund,19413.32,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-12,BLOOM PROCUREMENT SERVICES,8671774,revenue,1EA15,Newcastle City Learning Main,1500,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-15,BLOOM PROCUREMENT SERVICES,8671855,revenue,1EA15,Newcastle City Learning Main,950.00,#N/A
Housing Revenue Account,HRA - Public Sector Stock,Capital Expenditure,2022-08-04,BLOOM PROCUREMENT SERVICES,8665905,Capital,2HE01,Capital Citywide,3684.21,#N/A
HRA Expenditure,General Management,Revenue Expenditure,2022-08-26,BLOOM PROCUREMENT SERVICES,8679549,revenue,1HRA3,Misc Feasibility Study/Survey,7240,#N/A
HRA Expenditure,General Management,Revenue Expenditure,2022-08-26,BLOOM PROCUREMENT SERVICES,8679548,revenue,1HRA3,Misc Feasibility Study/Survey,7875,#N/A
HRA Expenditure,General Management,Revenue Expenditure,2022-08-04,BLOOM PROCUREMENT SERVICES,8665904,revenue,1HDTG,Tenant Involvement Network,3877.47,#N/A
Place,Commercial Dev & Property,Revenue Expenditure,2022-08-04,BLOOM PROCUREMENT SERVICES,8665894,revenue,1V607,Lab Space Building,26168,#N/A
Place,Fairer Housing Unit,Revenue Expenditure,2022-08-15,BLOOM PROCUREMENT SERVICES,8671855,revenue,1VH32,FHU Policy/Commissioning Team,10400,#N/A
Place,Major Projects,Capital Expenditure,2022-08-12,BLOOM PROCUREMENT SERVICES,8671774,Capital,2CAPI,Capital Investment,12330,#N/A
Place,Major Projects,Capital Expenditure,2022-08-04,BLOOM PROCUREMENT SERVICES,8665905,Capital,2CAPI,Capital Investment,9592.39,#N/A
Place,"Museums, Arts and Culture",Revenue Expenditure,2022-08-26,BLOOM PROCUREMENT SERVICES,8679549,revenue,1DF16,Arts/Dance Connect,1861.70,#N/A
Place,"Museums, Arts and Culture",Revenue Expenditure,2022-08-19,BLOOM PROCUREMENT SERVICES,8674449,revenue,1DF16,Arts/Dance Connect,1861.70,#N/A
Place,Transport,Revenue Expenditure,2022-08-26,BLOOM PROCUREMENT SERVICES,8679549,revenue,1V001,Transport Development,3968.64,#N/A
Place,Transport,Revenue Expenditure,2022-08-26,BLOOM PROCUREMENT SERVICES,8679549,revenue,1V093,Clean Air Zone Transport Remit,30906.67,#N/A
Place,Transport,Revenue Expenditure,2022-08-26,BLOOM PROCUREMENT SERVICES,8679552,revenue,1KE09,City Bridge,12001.35,#N/A
Place,Transport,Revenue Expenditure,2022-08-26,BLOOM PROCUREMENT SERVICES,8679550,revenue,1V093,Clean Air Zone Transport Remit,1172.00,#N/A
Place,Transport,Revenue Expenditure,2022-08-12,BLOOM PROCUREMENT SERVICES,8671774,revenue,1V093,Clean Air Zone Transport Remit,31070.98,#N/A
Place,Transport,Revenue Expenditure,2022-08-04,BLOOM PROCUREMENT SERVICES,8665894,revenue,1KE85,Traffic Management,1420,#N/A
Place,Transport,Revenue Expenditure,2022-08-04,BLOOM PROCUREMENT SERVICES,8665905,revenue,1KEAV,Flood Management,13390.45,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-04,BLOOM PROCUREMENT SERVICES,8665905,revenue,1KLFA,On the Move,20601.40,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BLUE LINE TAXIS,8673158,revenue,1MK60,Ind Day Care LD,342.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,BLUE LINE TAXIS,8673161,revenue,1MG60,Day Care OP,278.4,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,BLUE LINE TAXIS,8673307,revenue,1MK60,Ind Day Care LD,325.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-15,BLUE LINE TAXIS,8672556,revenue,1MG60,Day Care OP,280,#N/A
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2022-08-08,BLUE LINE TAXIS,8668015,revenue,1VH22,Temporary Accommodation Prem,365.09,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-19,BLUE LINE TAXIS,8674029,revenue,1MC20,In-House Foster Carer Costs,416.00,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-30,BLUE LINE TAXIS,8673646,revenue,1MC20,In-House Foster Carer Costs,646.00,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-30,BLUE LINE TAXIS,8674025,revenue,1MC20,In-House Foster Carer Costs,420,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-05,BLUE LINE TAXIS,8666606,revenue,1MC20,In-House Foster Carer Costs,864.00,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-26,BOLINDA DIGITAL LTD,8674123,revenue,1EJ13,Stock Services,318.31,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-10,BOLINDA DIGITAL LTD,8660028,revenue,1EJ13,Stock Services,2500,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-30,BOLINDA DIGITAL LTD,8674125,revenue,1EJ13,Stock Services,4141.48,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-03,BOON EDAM LTD,8665141,revenue,1KVWC,Minor Works Contracts,1030,#N/A
Place,Commercial Dev & Property,Revenue Expenditure,2022-08-02,BOON EDAM LTD,8647004,revenue,1KKX1,Civic Centre Direct Costs,864.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BOWLAND LODGE,8673078,revenue,1MG20,Residential Care OP,22962.97,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BOWLAND LODGE,8673078,revenue,1MH20,Residential Care PD,5275.68,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BOWLAND LODGE,8673078,revenue,1MM10,Nursing Care MH,2637.84,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,BOWLAND LODGE,8673078,revenue,1MM20,Residential Care MH,12137.53,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,BRAMPTON COURT,8670618,revenue,1MG10,Nursing Care OP,8064.00,#N/A
