ï»¿Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000975,2021-12-21,-281.74,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000978,2021-12-21,-309.15,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Electricity,1010\1700000994,2021-12-21,-318.21,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000974,2021-12-21,-335.79,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000979,2021-12-21,-343.18,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000977,2021-12-21,-343.98,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000985,2021-12-21,-349.17,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000980,2021-12-21,-353.40,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000984,2021-12-21,-359.73,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000976,2021-12-21,-388.58,
DIAL A RIDE,CORONA ENERGY RETAIL 4 LTD,Gas,1010\1700000973,2021-12-21,-402.67,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Production Artwork And Design For Marketing,1001\5110050281,2022-01-05,75396.20,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1005\5110053378,2022-01-07,22393.08,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Design & Production Of Maps & Timetable Publicity,1001\5110050246,2021-12-22,21676.80,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110050280,2021-12-22,19101.25,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Design & Production Of Maps & Timetable Publicity,1001\5110050245,2021-12-22,16179.66,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Design & Production Of Maps & Timetable Publicity,1001\5110050244,2021-12-22,15790.52,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing,1001\5110053408,2022-01-05,14556.64,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Design & Production Of Maps & Timetable Publicity,1001\5110050243,2021-12-22,10012.10,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Design & Production Of Maps & Timetable Publicity,1001\5110050242,2021-12-22,9674.56,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110050279,2021-12-22,6545.43,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing,1001\5110040211,2022-01-06,5186.70,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Design & Production Of Maps & Timetable Publicity,1001\5110046609,2021-12-15,4377.74,
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Printing For Marketing Materials,1002\5110053366,2022-01-05,3053.56,
TRANSPORT TRADING LTD,CORPORATE DOCUMENT SERVICES LTD,Building Maintenance & Repairs,1004\5110053377,2022-01-05,2389.15,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Printing,1005\5110053404,2022-01-05,2381.05,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Signalling Systems,1005\5110046608,2021-12-15,2070.60,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Printing,1005\5110053405,2022-01-05,1949.20,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing,1001\5110046625,2022-01-05,1831.98,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,MR Construction Costs,1001\5110050277,2021-12-22,1687.83,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Ticket & Pass Production,1001\5110050241,2021-12-22,1599.36,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110050240,2021-12-22,1566.72,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,MR Construction Costs,1001\5110050276,2021-12-22,1537.15,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053381,2022-01-05,1343.06,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Printing,1005\5110053382,2022-01-05,1299.48,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Art And Poetry Installations And Programmes,1001\5110053394,2022-01-05,1295.40,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing,1001\5110050275,2022-01-05,1220.94,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Design & Production Of Maps & Timetable Publicity,1001\5110046605,2021-12-15,1209.41,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Design & Production Of Maps & Timetable Publicity,1001\5110046607,2021-12-15,1091.40,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110046606,2021-12-15,1025.41,
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Printing For Marketing Materials,1002\5110050239,2021-12-22,976.48,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing,1001\5110040210,2022-01-06,918.00,
DOCKLANDS LIGHT RAILWAY,CORPORATE DOCUMENT SERVICES LTD,Printing,1012\5110050274,2021-12-29,871.08,
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Printing For Marketing Materials,1002\5110050238,2021-12-22,831.43,
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Printing For Marketing Materials,1002\5110050237,2021-12-22,826.63,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110050236,2021-12-22,718.24,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053386,2022-01-05,718.24,
DOCKLANDS LIGHT RAILWAY,CORPORATE DOCUMENT SERVICES LTD,Printing,1012\5110046604,2021-12-15,661.98,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Stationery,1005\5110050235,2021-12-22,649.00,
RAIL FOR LONDON LIMITED,CORPORATE DOCUMENT SERVICES LTD,Printing,1020\5110053392,2022-01-05,621.18,
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Printing For Marketing Materials,1002\5110053373,2022-01-05,610.36,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053387,2022-01-05,543.95,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053390,2022-01-05,543.95,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Stock of Other Spares,1005\5110050234,2021-12-22,454.92,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1005\5110050249,2021-12-22,447.65,
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Printing For Marketing Materials,1002\5110050265,2021-12-22,447.01,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053388,2022-01-05,441.13,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110050264,2021-12-22,434.52,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053383,2022-01-05,423.83,
RAIL FOR LONDON LIMITED,CORPORATE DOCUMENT SERVICES LTD,Printing,1020\5110053385,2022-01-05,418.20,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Art And Poetry Installations And Programmes,1001\5110050263,2021-12-22,418.20,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110046602,2021-12-15,415.55,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110046603,2021-12-15,415.55,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053389,2022-01-05,398.82,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053372,2022-01-05,391.66,
LONDON BUS SERVICES LTD,CORPORATE DOCUMENT SERVICES LTD,Management & Support Consultancy,1006\5110053379,2022-01-05,367.20,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110046601,2021-12-15,366.18,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053375,2022-01-05,358.74,
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Printing For Marketing Materials,1002\5110050262,2021-12-22,314.15,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Design & Production Of Maps & Timetable Publicity,1001\5110046600,2021-12-15,306.00,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing For Customer Info Materials,1001\5110053376,2022-01-05,292.90,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Stationery,1005\5110053395,2022-01-05,288.34,
LONDON UNDERGROUND LTD,CORPORATE DOCUMENT SERVICES LTD,Stationery,1005\5110050261,2021-12-22,266.16,
SURFACE TRANSPORT CORP,CORPORATION OF LONDON,Borough Services,1002\1900070267,2021-12-22,86808.24,
TFL CORPORATE,CORPORATION OF LONDON,Borough Services,1001\1900077298,2021-12-22,12089.00,
SURFACE TRANSPORT CORP,COSTAIN LTD,Contracted Services - Highway Bridges,1002\5110040188,2021-12-17,1037883.01,
SURFACE TRANSPORT CORP,COSTAIN LTD,Contracted Services - Highway Bridges,1002\5110050808,2021-12-22,893986.37,
SURFACE TRANSPORT CORP,COSTAIN LTD,Contracted Services - Roads,1002\5110051955,2022-01-05,192953.60,
SURFACE TRANSPORT CORP,COSTAIN LTD,Contracted Services - Highway Bridges,1002\5110041300,2021-12-17,37746.49,
LT MUSEUM TRADING LTD,COUNTRYSIDE ART LTD,LTM Purchase of Gifts for Resale,1024\1900020588,2021-12-14,945.00,
LONDON RIVER SERVICES LTD,COUNTY BUILDING SERVICES LTD,Building Maintenance & Repairs,1007\5110053508,2022-01-04,68893.05,
LONDON TRANSPORT MUSEUM,COVENT GARDEN CAPCO,Management & Support Consultancy,1011\1900014724,2022-01-05,4862.00,
LONDON UNDERGROUND LTD,CPC PROJECT SERVICES LLP,MR Construction Costs,1005\5110049996,2021-12-22,215410.50,
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,Civil Engineering Construction Works,1031\5109985691,2021-12-16,24760.00,
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,Civil Engineering Construction Works,1031\5110019441,2021-12-16,23495.00,
TFL CORPORATE,CPC PROJECT SERVICES LLP,Professional Engineering Services,1001\5110049919,2021-12-22,23000.00,
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,Civil Engineering Construction Works,1031\5110031851,2021-12-16,20880.00,
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,Civil Engineering Construction Works,1031\5110046424,2021-12-15,18165.00,
RAIL FOR LONDON LIMITED,CPC PROJECT SERVICES LLP,Planning & Development Consultancy,1020\5110046426,2021-12-15,15750.00,
LONDON UNDERGROUND LTD,CPC PROJECT SERVICES LLP,Professional Engineering Services,1005\5110051570,2021-12-23,15015.00,
LUL NOMINEE SSL LIMITED,CPC PROJECT SERVICES LLP,Civil Engineering Construction Works,1031\5110002486,2021-12-16,11925.00,
TFL CORPORATE,CPC PROJECT SERVICES LLP,Management & Support Consultancy,1001\5110051489,2021-12-23,11417.84,
TFL CORPORATE,CPC PROJECT SERVICES LLP,Management & Support Consultancy,1001\5110051567,2022-01-05,9067.50,
LONDON UNDERGROUND LTD,CPC PROJECT SERVICES LLP,Professional Engineering Services,1005\5110051499,2021-12-23,5000.00,
TFL CORPORATE,CRABTREE PROJECTS LTD,Management & Support Consultancy,1001\5110047007,2021-12-15,15520.00,
LUL NOMINEE SSL LIMITED,CRAIG & DERRICOTT LTD,Track General Maintenance,1031\5110043980,2021-12-24,10844.23,
LUL NOMINEE SSL LIMITED,CRAIG & DERRICOTT LTD,Track General Maintenance,1031\5110040841,2021-12-22,9332.70,
LONDON UNDERGROUND LTD,CRANESERVE,Maintenance Materials,1005\5110054039,2022-01-06,2468.97,
LUL NOMINEE BCV LIMITED,CRANESERVE,Equipment Repairs & Maintenance,1033\5110044095,2021-12-16,2158.50,
LUL NOMINEE BCV LIMITED,CRANESERVE,Equipment Repairs & Maintenance,1033\5110048879,2021-12-17,2082.25,
LONDON UNDERGROUND LTD,CRANESERVE,Track General Maintenance,1005\5110053999,2022-01-06,1830.00,
LONDON UNDERGROUND LTD,CRANESERVE,Track General Maintenance,1005\5110044094,2021-12-17,1254.05,
LONDON UNDERGROUND LTD,CRANESERVE,Equipment Repairs & Maintenance,1005\5110046651,2021-12-14,1075.00,
LONDON UNDERGROUND LTD,CRANESERVE,Equipment Repairs & Maintenance,1005\5110046775,2021-12-15,1075.00,
TFL CORPORATE,CRANESERVE,Equipment Repairs & Maintenance,1001\5110046750,2021-12-14,928.75,
LONDON UNDERGROUND LTD,CRANESERVE,Maintenance Materials,1005\5110053998,2022-01-06,800.00,
LUL NOMINEE BCV LIMITED,CRANESERVE,Equipment Repairs & Maintenance,1033\5110044158,2021-12-14,727.00,
LUL NOMINEE BCV LIMITED,CRANESERVE,Equipment Repairs & Maintenance,1033\5110045279,2021-12-16,416.00,
LONDON UNDERGROUND LTD,CREACTIVE DESIGN LTD,Maintenance Materials,1005\5110051554,2022-01-06,38978.80,
LUL NOMINEE BCV LIMITED,CREACTIVE DESIGN LTD,Fleet,1033\5110049786,2021-12-22,32482.34,
TFL CORPORATE,CREACTIVE DESIGN LTD,Management & Support Consultancy,1001\5110048294,2021-12-20,14144.00,
LUL NOMINEE BCV LIMITED,CREACTIVE DESIGN LTD,Fleet,1033\5110048296,2021-12-17,11153.48,
LUL NOMINEE BCV LIMITED,CREACTIVE DESIGN LTD,Track General Maintenance,1033\5110045304,2021-12-14,9149.00,
LONDON UNDERGROUND LTD,CREACTIVE DESIGN LTD,Maintenance Materials,1005\5110048295,2021-12-17,6462.84,
LONDON UNDERGROUND LTD,CREACTIVE DESIGN LTD,Fleet,1005\5110045309,2021-12-16,5244.20,
LUL NOMINEE BCV LIMITED,CREACTIVE DESIGN LTD,Fleet,1033\5110048844,2022-01-05,3547.50,
LONDON UNDERGROUND LTD,CREACTIVE DESIGN LTD,Fleet,1005\5110045313,2021-12-13,3146.52,
LUL NOMINEE BCV LIMITED,CREACTIVE DESIGN LTD,Fleet,1033\5110048292,2021-12-15,3038.50,
LONDON UNDERGROUND LTD,CREACTIVE DESIGN LTD,Printing For Marketing Materials,1005\5110051552,2021-12-23,2138.88,
LONDON UNDERGROUND LTD,CREACTIVE DESIGN LTD,Maintenance Materials,1005\5110048293,2021-12-17,1842.92,
LUL NOMINEE BCV LIMITED,CREACTIVE DESIGN LTD,Track General Maintenance,1033\5110046284,2021-12-14,1307.00,
LUL NOMINEE BCV LIMITED,CREACTIVE DESIGN LTD,Maintenance Materials,1033\5110045318,2021-12-13,1079.83,
TUBE LINES LTD,CROMWELL GROUP HOLDINGS LTD,Protective Clothing,1025\5110041171,2021-12-22,282.92,
TFL CORPORATE,CRONER-I LIMITED,Software Maintenance,1001\5110039651,2021-12-21,13734.85,
TFL CORPORATE,CROSSFLIGHT LTD,Art And Poetry Installations And Programmes,1001\5110049899,2021-12-20,299.13,
TFL CORPORATE,CROSSFLIGHT LTD,Art And Poetry Installations And Programmes,1001\5110047042,2021-12-13,254.29,
SURFACE TRANSPORT CORP,CROSSRAIL COMPLAINTS COMMISSIONER,Management & Support Consultancy,1002\5110050501,2022-01-05,10387.50,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042056,2021-12-24,643.42,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042140,2021-12-24,643.42,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110037194,2021-12-15,637.98,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110037196,2021-12-15,637.98,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110037197,2021-12-15,637.98,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042124,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042067,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042099,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042100,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042102,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042125,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042137,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042139,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110043032,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110043039,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110043042,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110044586,2021-12-24,561.78,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042097,2021-12-24,556.34,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042101,2021-12-24,556.34,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042120,2021-12-24,556.34,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042122,2021-12-24,556.34,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110042128,2021-12-24,556.34,
LONDON UNDERGROUND LTD,CROWLE WHARF ENGINEERS LIMITED,Equipment Repairs & Maintenance,1005\5110043037,2021-12-24,556.34,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110050634,2022-01-04,262551.55,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110048117,2021-12-29,117903.90,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110041860,2021-12-14,76195.59,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110041862,2021-12-14,69886.50,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110050632,2022-01-04,57898.22,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110050909,2022-01-04,52033.29,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110044505,2021-12-16,36328.50,
SURFACE TRANSPORT CORP,CSTS LTD,Civil Engineering Construction Works,1002\5110048266,2021-12-29,25253.21,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110048263,2021-12-29,14732.33,
SURFACE TRANSPORT CORP,CSTS LTD,Road Maintenance,1002\5110044913,2021-12-21,7724.97,
SURFACE TRANSPORT CORP,CSTS LTD,Road Maintenance,1002\5110044944,2021-12-21,5556.12,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110041861,2021-12-14,4112.04,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110048115,2021-12-29,3522.37,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110050639,2022-01-04,3298.66,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110044509,2021-12-16,2955.90,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110044511,2021-12-16,2807.86,
SURFACE TRANSPORT CORP,CSTS LTD,Traffic Signals,1002\5110050623,2022-01-04,1092.53,
SURFACE TRANSPORT CORP,CSTS LTD,Road Maintenance,1002\5110044941,2021-12-21,611.16,
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900046690,2021-12-24,1928808.45,
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900046722,2022-01-07,619263.92,
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Management & Support Consultancy,1006\5110041175,2021-12-23,15220.64,
RAIL FOR LONDON LIMITED,CT PLUS LIMITED,Rail Replacement Service Costs,1020\5110051697,2021-12-30,2424.00,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110046279,2021-12-22,5517276.87,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110046281,2021-12-22,854859.75,
TFL CORPORATE,CURRIE & BROWN UK LIMITED,Management & Support Consultancy,1001\5110037677,2021-12-15,21020.00,
TFL CORPORATE,CURRIE & BROWN UK LIMITED,Management & Support Consultancy,1001\5110037660,2021-12-15,20161.70,
TFL CORPORATE,CURRIE & BROWN UK LIMITED,Professional Engineering Services,1001\5110039160,2021-12-15,7350.00,
LONDON UNDERGROUND LTD,CURRIE & BROWN UK LIMITED,MR Construction Costs,1005\5110041757,2021-12-24,6375.00,
TFL CORPORATE,CURRIE & BROWN UK LIMITED,Professional Engineering Services,1001\5110049689,2021-12-20,5871.43,
LONDON UNDERGROUND LTD,CURRIE & BROWN UK LIMITED,Building Maintenance & Repairs,1005\5110043250,2021-12-24,5518.00,
LONDON UNDERGROUND LTD,CURRIE & BROWN UK LIMITED,Building Maintenance & Repairs,1005\5110043198,2021-12-24,2218.89,
TFL CORPORATE,CUTWEL LTD,Maintenance Materials,1001\5110048842,2021-12-21,349.68,
LUL NOMINEE SSL LIMITED,CWW ENGINEERS SUPPLY CO LTD,Signalling Systems,1031\5110044717,2021-12-29,798.00,
SURFACE TRANSPORT CORP,CYCLEHOOP LTD,Contracted Services - Roads,1002\5110049324,2021-12-22,4823.00,
LUL NOMINEE BCV LIMITED,D & D RAIL LTD,MR Construction Costs,1033\5110048894,2021-12-21,35402.90,
DIAL A RIDE,DABD,Operator Costs,1010\5110040263,2021-12-14,45469.74,
DIAL A RIDE,DABD,Operator Costs,1010\5110053047,2022-01-05,7457.10,
LONDON UNDERGROUND LTD,DAC LIMITED,Fleet,1005\5110048185,2021-12-22,1940.96,
LUL NOMINEE BCV LIMITED,DAC LIMITED,Stock Issues - Repairables,1033\5110036747,2021-12-14,351.40,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Maintenance of Telecommunications Equipment,1001\5110038567,2021-12-15,238319.07,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110043347,2021-12-29,31726.00,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110047071,2022-01-05,14200.38,
TRANSPORT TRADING LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1004\5110043349,2021-12-29,10990.17,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110041874,2021-12-23,10967.22,
TRANSPORT TRADING LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1004\5110037235,2021-12-15,7452.65,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110039100,2021-12-20,5320.80,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110045272,2022-01-04,5132.09,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110037237,2021-12-15,4359.32,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110045032,2021-12-31,3436.32,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110045006,2021-12-31,3307.00,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110043116,2021-12-29,2975.52,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110045076,2021-12-31,2373.06,
LUL NOMINEE SSL LIMITED,DAISY CORPORATE SERVICES TRADINGLTD,MR Construction Costs,1031\5110043371,2021-12-29,1768.72,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110047070,2022-01-05,1415.11,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110042768,2021-12-29,1300.00,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110037355,2021-12-15,1288.58,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110036284,2021-12-14,1251.48,
TRANSPORT TRADING LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1004\5110043106,2021-12-29,990.00,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110045898,2022-01-05,976.28,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110045211,2022-01-04,973.93,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110038965,2021-12-20,933.88,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110043110,2021-12-29,918.84,
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110038169,2021-12-15,789.16,
TRANSPORT TRADING LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1004\5110043108,2021-12-29,647.00,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005\5110043103,2021-12-29,630.00,
TRANSPORT TRADING LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1004\5110045894,2022-01-05,620.00,
TRANSPORT TRADING LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1004\5110043111,2021-12-29,613.52,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,MR Construction Costs,1005\5110003142,2021-12-21,608.13,
