Strategic Group,Spend Level,Spend Level 2,TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Community Based Services,Third Party Payments,Third Party Payments,42242261,4,201102,360 HEALTHCARE LTD,34550.39,2011-05-24
Community Based Services,Third Party Payments,Third Party Payments,42242261,7,201102,360 HEALTHCARE LTD,2337.32,2011-05-24
Community Based Services,Third Party Payments,Third Party Payments,42242261,5,201102,360 HEALTHCARE LTD,20195.40,2011-05-24
Community Based Services,Supplies and Services,Miscellaneous Supplies,42242279,2,201102,INCLUSION NORTH CIC,11660.00,2011-05-25
Community Based Services,Transport,Public Transport and Taxi Fares,42242309,22,201102,TRAVEL BUREAU,204.98,2011-05-25
Community Based Services,Transport,Public Transport and Taxi Fares,42242309,25,201102,TRAVEL BUREAU,310.23,2011-05-25
Community Based Services,Land and Buildings,,42242367,2,201102,STEPHEN NELSON LTD,2200.00,2011-05-25
Community Based Services,Supplies and Services,Comms & Computing,42242377,4,201102,VIRGIN MEDIA BUSINESS,222.87,2011-05-25
Community Based Services,Supplies and Services,Comms & Computing,42242377,3,201102,VIRGIN MEDIA BUSINESS,240.7,2011-05-25
Community Based Services,Third Party Payments,Third Party Payments,42242462,7,201102,RANDSTAD CARE,1357.86,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242462,8,201102,RANDSTAD CARE,1224.30,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242462,5,201102,RANDSTAD CARE,27491.12,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242462,9,201102,RANDSTAD CARE,1992.28,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242462,6,201102,RANDSTAD CARE,7624.06,2011-05-26
Community Based Services,Supplies and Services,Comms & Computing,42242483,2,201102,VIRGIN MEDIA BUSINESS,487.38,2011-05-25
Community Based Services,Premises,Rep & Maint,42242526,2,201102,ADT FIRE & SECURITY PLC,378.55,2011-05-25
Community Based Services,Third Party Payments,Third Party Payments,42242531,2,201102,UNITED RESPONSE,613.2,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242534,2,201102,SPINAL HOMECARE,3900.00,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242535,2,201102,GATESHEAD PCT - COMMISSIONING,27045.00,2011-05-25
Community Based Services,Third Party Payments,Third Party Payments,42242536,3,201102,MENCAP,14436.56,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242536,4,201102,MENCAP,698.84,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242539,2,201102,MINSTER PATHWAYS LTD,5162.83,2011-05-26
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,42242540,4,201102,MINSTER PATHWAYS LTD,315.09,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242540,3,201102,MINSTER PATHWAYS LTD,5162.83,2011-05-26
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,42242541,4,201102,MINSTER PATHWAYS LTD,304.93,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242541,3,201102,MINSTER PATHWAYS LTD,4996.29,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242542,3,201102,MINSTER PATHWAYS LTD,8640.59,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242542,4,201102,MINSTER PATHWAYS LTD,662.51,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242552,6,201102,D H HOMECARE LTD,178.08,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242552,4,201102,D H HOMECARE LTD,25048.12,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242552,7,201102,D H HOMECARE LTD,5709.71,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242552,5,201102,D H HOMECARE LTD,3689.60,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242552,8,201102,D H HOMECARE LTD,912.66,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242573,2,201102,MINSTER PATHWAYS LTD,5162.83,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242575,2,201102,MINSTER PATHWAYS LTD,5162.83,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242579,2,201102,MINSTER PATHWAYS LTD,5162.83,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242582,3,201102,MINSTER PATHWAYS LTD,6892.19,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242582,4,201102,MINSTER PATHWAYS LTD,662.51,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242583,2,201102,MINSTER PATHWAYS LTD,5162.83,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242585,3,201102,MINSTER PATHWAYS LTD,8361.86,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242585,4,201102,MINSTER PATHWAYS LTD,641.14,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242586,3,201102,MINSTER PATHWAYS LTD,6669.86,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242586,4,201102,MINSTER PATHWAYS LTD,641.14,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242589,2,201102,MINSTER PATHWAYS LTD,4996.29,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242591,2,201102,MINSTER PATHWAYS LTD,4996.29,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242605,2,201102,MINSTER PATHWAYS LTD,4996.29,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242608,2,201102,MINSTER PATHWAYS LTD,4996.29,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242610,2,201102,MINSTER PATHWAYS LTD,4996.29,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242616,4,201102,MINSTER PATHWAYS LTD,85.49,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242616,3,201102,MINSTER PATHWAYS LTD,889.31,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242617,7,201102,MENCAP,8082.98,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242617,12,201102,MENCAP,9606.86,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242617,13,201102,MENCAP,3051.20,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242617,6,201102,MENCAP,27432.97,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242617,10,201102,MENCAP,564.4,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242617,9,201102,MENCAP,4740.96,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242617,11,201102,MENCAP,1733.48,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242617,14,201102,MENCAP,5684.20,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242617,8,201102,MENCAP,11571.66,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42242620,3,201102,HELPING HANDS COMMUNITY CARE,1750.00,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242620,4,201102,HELPING HANDS COMMUNITY CARE,3859.28,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242622,4,201102,LEONARD CHESHIRE FOUNDATION,116.76,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242622,3,201102,LEONARD CHESHIRE FOUNDATION,583.8,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242637,3,201102,RANDSTAD CARE,409.03,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242637,4,201102,RANDSTAD CARE,3517.08,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242640,2,201102,NORTH EAST AUTISM SOCIETY,46989.46,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242644,2,201102,NORTH EAST AUTISM SOCIETY,51246.50,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242645,2,201102,NORTH EAST AUTISM SOCIETY,2746.16,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242647,2,201102,MENCAP - PS COLLEGES,4830.65,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242648,2,201102,SCOPE,7860.67,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242651,2,201102,ST CUTHBERTS CARE,795,2011-05-26
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42242652,2,201102,VICARAGE PRODUCTIONS,1000.00,2011-05-25
Community Based Services,Transport,Public Transport and Taxi Fares,42242657,2,201102,YAD VOEZER LTD,544.5,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242773,3,201102,ALLIED HEALTHCARE LTD T/A CARE CONCERN,4182.10,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242773,4,201102,ALLIED HEALTHCARE LTD T/A CARE CONCERN,1035.09,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242961,8,201102,CARE UK HOMECARE LTD,1348.99,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242961,7,201102,CARE UK HOMECARE LTD,745.71,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242961,5,201102,CARE UK HOMECARE LTD,38997.38,2011-05-26
Community Based Services,Third Party Payments,Third Party Payments,42242961,6,201102,CARE UK HOMECARE LTD,4273.92,2011-05-26
Community Based Services,Works,,42242983,2,201102,SPRINGS ROOFING LTD,11846.27,2011-05-26
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,18,201102,GATESHEAD CENTRAL TAXIS,480,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,19,201102,GATESHEAD CENTRAL TAXIS,1296.00,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,20,201102,GATESHEAD CENTRAL TAXIS,300,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,21,201102,GATESHEAD CENTRAL TAXIS,380,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,23,201102,GATESHEAD CENTRAL TAXIS,28,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,24,201102,GATESHEAD CENTRAL TAXIS,970,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,26,201102,GATESHEAD CENTRAL TAXIS,20,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,27,201102,GATESHEAD CENTRAL TAXIS,140,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,28,201102,GATESHEAD CENTRAL TAXIS,1116.00,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,39,201102,GATESHEAD CENTRAL TAXIS,540,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,40,201102,GATESHEAD CENTRAL TAXIS,540,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,41,201102,GATESHEAD CENTRAL TAXIS,160,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,47,201102,GATESHEAD CENTRAL TAXIS,663,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,53,201102,GATESHEAD CENTRAL TAXIS,880,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,74,201102,GATESHEAD CENTRAL TAXIS,48,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,46,201102,GATESHEAD CENTRAL TAXIS,100,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,54,201102,GATESHEAD CENTRAL TAXIS,98,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,57,201102,GATESHEAD CENTRAL TAXIS,162,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,58,201102,GATESHEAD CENTRAL TAXIS,226,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,25,201102,GATESHEAD CENTRAL TAXIS,176,2011-05-27
Community Based Services,Transport,Public Transport and Taxi Fares,42242987,48,201102,GATESHEAD CENTRAL TAXIS,220,2011-05-27
Community Based Services,Transport,Contract Hire,42242987,42,201102,GATESHEAD CENTRAL TAXIS,1476.00,2011-05-27
Community Based Services,Transport,Contract Hire,42242987,43,201102,GATESHEAD CENTRAL TAXIS,1836.00,2011-05-27
Community Based Services,Works,,42243033,2,201102,HANDICARE,4468.00,2011-05-26
Community Based Services,Works,,42243036,2,201102,HANDICARE,2030.00,2011-05-26
Community Based Services,Works,,42243040,2,201102,HANDICARE,4480.00,2011-05-26
Community Based Services,Works,,42243043,2,201102,HANDICARE,3475.00,2011-05-26
Community Based Services,Works,,42243044,2,201102,HANDICARE,2180.00,2011-05-26
Community Based Services,Works,,42243047,2,201102,HANDICARE,1930.00,2011-05-26
Community Based Services,Supplies and Services,Miscellaneous Supplies,42243059,2,201102,CITY OF SUNDERLAND,4831.50,2011-05-26
Community Based Services,Works,,42243085,2,201102,DOBSON & SURREY LTD,959.1,2011-05-26
Community Based Services,Other Costs,,42243251,2,201102,NORTH MUSIC TRUST,4401.60,2011-05-27
Community Based Services,Other Costs,,42243259,2,201102,KEELMAN HOMES LTD,1500000.00,2011-05-27
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,42243283,3,201102,CRACK LTD,250,2011-05-27
Community Based Services,Supplies and Services,Advertising,42243283,4,201102,CRACK LTD,350,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42243348,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42243441,6,201102,CRIMINAL RECORDS BUREAU,220,2011-05-27
Community Based Services,Third Party Payments,Third Party Payments,42243521,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Third Party Payments,Third Party Payments,42243525,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Third Party Payments,Third Party Payments,42243529,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Third Party Payments,Third Party Payments,42243531,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Third Party Payments,Third Party Payments,42243532,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Third Party Payments,Third Party Payments,42243538,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Third Party Payments,Third Party Payments,42243540,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Third Party Payments,Third Party Payments,42243542,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Third Party Payments,Third Party Payments,42243546,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Third Party Payments,Third Party Payments,42243549,2,201102,MIDDLESBROUGH COUNCIL,655.92,2011-05-31
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43615189,2,201102,BILLINGTON BIOFUELS,1843.20,2011-05-10
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43624314,2,201102,MAUDESPORT LTD,503.83,2011-05-10
Community Based Services,Purchase of Equipment,,43624388,2,201102,AUDITORIA SERVICES LIMITED,26093.35,2011-05-03
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43624396,2,201102,THOMAS OWEN & SONS LTD,427.76,2011-05-03
Community Based Services,Employees,Indirect Employee Expenses,43624408,2,201102,NEW VISION TRAINING,550,2011-05-03
Community Based Services,Premises,Fixtures & Fittings,43624413,2,201102,CONSORTIUM FOR PURCHASING&DISTRIBUTION LTD,405.8,2011-05-03
Community Based Services,Premises,Fixtures & Fittings,43624414,3,201102,ARGOS BUSINESS SOLUTIONS,659.06,2011-05-03
Community Based Services,Premises,Fixtures & Fittings,43624414,4,201102,ARGOS BUSINESS SOLUTIONS,19.62,2011-05-03
Community Based Services,Works,,43624416,2,201102,LYNCH HEALTHCARE,3996.00,2011-05-03
Community Based Services,Employees,Indirect Employee Expenses,43624419,2,201102,NEW VISION TRAINING,550,2011-05-03
Community Based Services,Premises,Fixtures & Fittings,43624434,3,201102,ARGOS BUSINESS SOLUTIONS,433.19,2011-05-03
Community Based Services,Premises,Fixtures & Fittings,43624434,4,201102,ARGOS BUSINESS SOLUTIONS,12.99,2011-05-03
Community Based Services,Premises,Fixtures & Fittings,43624436,2,201102,ARGOS BUSINESS SOLUTIONS,1050.82,2011-05-03
Community Based Services,Consultants,,43624462,2,201102,MCNULTY PROCUREMENT LTD,4935.84,2011-05-03
Community Based Services,Supplies and Services,Comms & Computing,43624542,2,201102,QAS LTD,3775.20,2011-05-05
Community Based Services,Supplies and Services,Miscellaneous Supplies,43624571,2,201102,SUPPLIES TEAM LTD,624.08,2011-05-05
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43624903,2,201102,HONISTER SLATE MINE LIMITED,868.5,2011-05-05
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43624905,2,201102,GATESHEAD COLLEGE,1195.00,2011-05-05
Community Based Services,Supplies and Services,Comms & Computing,43625032,10,201102,NCC SERVICES LTD,600,2011-05-09
Community Based Services,Supplies and Services,Comms & Computing,43625032,13,201102,NCC SERVICES LTD,600,2011-05-09
Community Based Services,Supplies and Services,Miscellaneous Supplies,43625131,2,201102,SUPPLIES TEAM LTD,560.58,2011-05-09
Community Based Services,Supplies and Services,Miscellaneous Supplies,43625317,2,201102,NITELITES,650,2011-05-09
Community Based Services,Works,,43625358,2,201102,LYNCH HEALTHCARE,2237.23,2011-05-09
Community Based Services,Works,,43625362,2,201102,LYNCH HEALTHCARE,2237.23,2011-05-09
Community Based Services,Works,,43625368,2,201102,LYNCH HEALTHCARE,418,2011-05-09
Community Based Services,Works,,43625422,2,201102,LYNCH HEALTHCARE,3313.00,2011-05-09
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43625445,2,201102,BRENNTAG UK LTD,784.7,2011-05-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43625483,2,201102,DE LAGE LANDEN,1958.13,2011-05-10
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43625484,2,201102,DE LAGE LANDEN,1958.13,2011-05-10
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43625485,2,201102,DE LAGE LANDEN,2058.13,2011-05-10
Community Based Services,Employees,Indirect Employee Expenses,43625559,10,201102,NCJ MEDIA LTD,845.6,2011-05-10
Community Based Services,Supplies and Services,"Clothing, Uniforms & Laundry",43625583,2,201102,EXCEL COMMERCIAL SERVICES,550.27,2011-05-12
Community Based Services,Supplies and Services,Miscellaneous Supplies,43625620,2,201102,ALAN FAIRBAIRN MARQUEE HIRE,6034.00,2011-05-10
Community Based Services,Works,,43625621,2,201102,EASIBATHE LTD/EASIACCESS SOLUTIONS,667.75,2011-05-10
Community Based Services,Works,,43625623,2,201102,EASIBATHE LTD/EASIACCESS SOLUTIONS,2018.59,2011-05-10
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43625625,2,201102,FREELIFT LTD,1450.00,2011-05-10
Community Based Services,Consultants,,43625656,2,201102,GRANT THORNTON,2998.00,2011-05-10
Community Based Services,Supplies and Services,"Printing, Stationery etc",43625727,2,201102,SALLY ANN NORMAN PHOTOGRAPHY,470.26,2011-05-10
Community Based Services,Works,,43625733,2,201102,PEART FENCING LTD,2849.00,2011-05-10
Community Based Services,Premises,Fixtures & Fittings,43625890,3,201102,ARGOS BUSINESS SOLUTIONS,1465.54,2011-05-11
Community Based Services,Premises,Fixtures & Fittings,43625890,4,201102,ARGOS BUSINESS SOLUTIONS,43.74,2011-05-11
Community Based Services,Purchase of Equipment,,43625912,2,201102,ITC SERVICE LTD,9585.11,2011-05-11
Community Based Services,Supplies and Services,Comms & Computing,43626187,2,201102,INSIGHT DIRECT UK LTD,578.5,2011-05-12
Community Based Services,Supplies and Services,Miscellaneous Supplies,43626231,2,201102,CHURCHILL SECURITY SOLUTIONS  LTD,4150.53,2011-05-19
Community Based Services,Works,,43626235,2,201102,EASIBATHE LTD/EASIACCESS SOLUTIONS,1998.59,2011-05-12
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626268,2,201102,ARENA STADIA SEATING LIMITED,465,2011-05-12
Community Based Services,Consultants,,43626277,2,201102,GVA GRIMLEY,8606.04,2011-05-12
Community Based Services,Consultants,,43626346,2,201102,PINSENT MASONS,1896.30,2011-05-12
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626481,2,201102,BRENNTAG UK LTD,575,2011-05-17
Community Based Services,Supplies and Services,"Printing, Stationery etc",43626496,3,201102,THE VIRTUAL TOUR GROUP,1000.00,2011-05-16
Community Based Services,Supplies and Services,"Printing, Stationery etc",43626496,4,201102,THE VIRTUAL TOUR GROUP,250,2011-05-16
Community Based Services,Works,,43626497,2,201102,EASIBATHE LTD/EASIACCESS SOLUTIONS,2892.26,2011-05-16
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626561,2,201102,POWER PLATE INTERNATIONAL LTD,25674.68,2011-05-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626561,3,201102,POWER PLATE INTERNATIONAL LTD,0,2011-05-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626625,2,201102,ULVERSCROFT LARGE PRINT BOOKS,428,2011-05-20
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626627,2,201102,J P  LENNARD LTD,414.14,2011-05-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626639,2,201102,BRENNTAG UK LTD,575,2011-05-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626695,2,201102,HS SPORTS LTD,1010.00,2011-05-18
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626699,2,201102,TURF CARE SPECIALISTS LTD,3830.00,2011-05-17
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43626707,2,201102,BELL & BULLOCK CIRCUS THEATRE,1000.00,2011-05-17
Community Based Services,Purchase of Equipment,,43626712,2,201102,ALBANY OFFICE EQUIP(W/SALE)LTD,5469.00,2011-05-17
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43626714,2,201102,ARTS ISIZIBA,840,2011-05-17
Community Based Services,Supplies and Services,Miscellaneous Supplies,43626771,2,201102,HARBERSON LTD,499,2011-05-18
Community Based Services,Works,,43626791,2,201102,MORRISON FACILITIES SERVICES (GATESHEAD),41975.04,2011-05-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626795,2,201102,IDASS FITNESS,398.5,2011-05-17
Community Based Services,Supplies and Services,"Printing, Stationery etc",43626857,2,201102,ESSENTIAL IMAGE MARKETING LTD,633.5,2011-05-19
Community Based Services,Supplies and Services,"Printing, Stationery etc",43626860,2,201102,NATIONAL LEAFLET COMPANY,714.6,2011-05-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43626942,2,201102,NATIONWIDE SPLICING/ROPE SERVS,2400.00,2011-05-17
Community Based Services,Supplies and Services,"Clothing, Uniforms & Laundry",43626967,2,201102,EXCEL COMMERCIAL SERVICES,900.15,2011-05-17
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,43627206,2,201102,COMPETITION LINE UK LTD,382.2,2011-05-19
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,43627208,3,201102,COMPETITION LINE UK LTD,21061.98,2011-05-19
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,43627208,4,201102,COMPETITION LINE UK LTD,130,2011-05-19
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,43627210,3,201102,COMPETITION LINE UK LTD,23517.42,2011-05-19
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,43627210,4,201102,COMPETITION LINE UK LTD,126.4,2011-05-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627257,2,201102,ROYAL LIFE SAVING SOCIETY UK DIRECT,973.75,2011-05-19
Community Based Services,Purchase of Equipment,,43627273,2,201102,LEVANT OFFICE INTERIORS,3600.00,2011-05-20
Community Based Services,Works,,43627287,2,201102,HES GROUP UK LTD,450,2011-05-20
Community Based Services,Premises,Fixtures & Fittings,43627293,2,201102,LAWRENCE FLOORING LTD,638.8,2011-05-20
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627359,2,201102,ARJO LTD,7468.00,2011-05-19
Community Based Services,Supplies and Services,"Printing, Stationery etc",43627367,2,201102,SUPPLIES TEAM LTD,471.21,2011-05-20
Community Based Services,Works,,43627429,2,201102,MORRISON FACILITIES SERVICES (GATESHEAD),3391.05,2011-05-20
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627622,2,201102,OFFICE EQUIPMENT SELECTION LTD,415.4,2011-05-20
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627627,4,201102,OFFICE EQUIPMENT SELECTION LTD,85,2011-05-20
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627627,3,201102,OFFICE EQUIPMENT SELECTION LTD,269,2011-05-20
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627694,2,201102,OFFICE EQUIPMENT SELECTION LTD,357,2011-05-20
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627700,2,201102,MAUDESPORT LTD,678,2011-05-31
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627710,2,201102,MAUDESPORT LTD,2983.35,2011-05-31
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627712,2,201102,STAGE ELECTRICS PARTNERSHIP LTD,748.75,2011-05-20
Community Based Services,Works,,43627723,2,201102,EASIBATHE LTD/EASIACCESS SOLUTIONS,639.21,2011-05-20
Community Based Services,Works,,43627732,2,201102,EASIBATHE LTD/EASIACCESS SOLUTIONS,499.98,2011-05-20
Community Based Services,Works,,43627827,2,201102,FOUNDRY MEDIA,600,2011-05-23
Community Based Services,Works,,43627837,2,201102,MORRISON FACILITIES SERVICES (GATESHEAD),4943.11,2011-05-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627838,3,201102,THOMAS OWEN & SONS LTD,627.1,2011-05-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627838,4,201102,THOMAS OWEN & SONS LTD,93.58,2011-05-24
Community Based Services,Supplies and Services,"Printing, Stationery etc",43627864,2,201102,STATEX PRESS NORTHERN LTD,599,2011-05-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627939,2,201102,REDACTED - Personal Information,795.7,2011-05-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43627945,2,201102,FORGE LEISURE LTD,370,2011-05-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43628055,2,201102,ING LEASE UK LTD,360,2011-05-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43628079,3,201102,J P  LENNARD LTD,95.67,2011-05-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43628079,4,201102,J P  LENNARD LTD,303.45,2011-05-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43628080,3,201102,THOMAS OWEN & SONS LTD,191.14,2011-05-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43628080,4,201102,THOMAS OWEN & SONS LTD,254.4,2011-05-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43628200,2,201102,TRIXTER EUROPE LTD,3407.00,2011-05-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43628200,3,201102,TRIXTER EUROPE LTD,0,2011-05-24
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43628371,2,201102,LEISURE CONTROLS INTERNATIONAL LTD,553,2011-05-24
Community Based Services,Supplies and Services,"Printing, Stationery etc",43628470,2,201102,OFFICE EQUIPMENT SELECTION LTD,509.25,2011-05-25
Community Based Services,Consultants,,43628521,2,201102,MCNULTY PROCUREMENT LTD,880,2011-05-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43628632,2,201102,BRENNTAG UK LTD,1007.62,2011-05-25
Community Based Services,Supplies and Services,Miscellaneous Supplies,43628665,2,201102,BELLE TENTS HIRE,1000.00,2011-05-27
