Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seque no,Period,Supplier ID(T),Amount,Updated
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43840411,0,201412,TUC PLANT HIRE LTD,1300.00,2015-03-10
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43841106,0,201412,BRIAN HULL FENCING CONTRACTORS,1088.33,2015-03-17
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43841107,0,201412,TUC PLANT HIRE LTD,800,2015-03-17
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43841520,0,201412,PROLUDIC LTD,543.32,2015-03-16
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43841520,1,201412,PROLUDIC LTD,241,2015-03-16
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43841766,0,201412,TOWNE LIFTING AND TESTING,1003.00,2015-03-16
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43842361,0,201412,KC LEISURE,2860.00,2015-03-24
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43842389,0,201412,BRIAN HULL FENCING CONTRACTORS,665,2015-03-23
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43844673,0,201412,SUTCLIFFE PLAY (SCOTLAND) LTD,36.6,2015-03-31
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43844673,1,201412,SUTCLIFFE PLAY (SCOTLAND) LTD,556.96,2015-03-31
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,238,201412,O2 (UK) LTD,0.12,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,239,201412,O2 (UK) LTD,0.15,2015-03-23
Communities & Enviroment,Supplies and Services,"Clothing, Uniforms & Laundry",43833067,0,201412,ARCO LTD,428.18,2015-03-25
Communities & Enviroment,Supplies and Services,Comms & Computing,148014579,7,201412,BRITISH TELECOM,12.88,2015-03-24
Communities & Enviroment,Supplies and Services,Comms & Computing,148014580,7,201412,BRITISH TELECOM,12.63,2015-03-24
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,239,201412,O2 (UK) LTD,114.85,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,240,201412,O2 (UK) LTD,111.33,2015-03-23
Communities & Enviroment,Supplies and Services,Other Running Costs,41100761,2,201412,LLOYD'S REGISTER QUALITY ASSURANCE LTD,1219.32,2015-03-26
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43839058,0,201412,HILLIER NURSERIES LTD,1990.00,2015-03-03
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43840917,0,201412,GREENTECH,1883.00,2015-03-12
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43843063,0,201412,GREENTECH,1035.00,2015-03-24
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43844609,0,201412,JEWSON LTD,450.84,2015-03-30
Communities & Enviroment,Supplies and Services,"Furn, Equip & Mats",43844612,0,201412,JEWSON LTD,593.06,2015-03-30
Communities & Enviroment,Supplies and Services,Comms & Computing,148014365,240,201412,O2 (UK) LTD,0.09,2015-03-10
Communities & Enviroment,Supplies and Services,Comms & Computing,148014567,241,201412,O2 (UK) LTD,0.21,2015-03-23
Corporate Resources,Employees,Indirect Employee Expenses,43841177,0,201412,BPP PROFESSIONAL EDUCATION,2075.42,2015-03-12
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,7,201412,CLICK TRAVEL LTD,39.9,2015-03-24
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,34,201412,CLICK TRAVEL LTD,0.33,2015-03-24
Corporate Resources,Transport,Car Allowances,148014284,3,201412,COMMONWHEELS CIC,7.2,2015-03-03
Corporate Resources,Transport,Car Allowances,148014658,3,201412,COMMONWHEELS CIC,2.25,2015-03-26
Corporate Resources,Supplies and Services,"Printing, Stationery etc",43838210,0,201412,CIPFA BUSINESS LIMITED,5450.00,2015-03-02
Corporate Resources,Supplies and Services,Comms & Computing,148014315,2,201412,BRITISH TELECOM,85.8,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014365,7,201412,O2 (UK) LTD,110,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014365,8,201412,O2 (UK) LTD,7.89,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,7,201412,O2 (UK) LTD,110,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014567,8,201412,O2 (UK) LTD,33.34,2015-03-23
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",43841176,0,201412,CIPFA BUSINESS LIMITED,680,2015-03-12
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",43841531,0,201412,CIPFA BUSINESS LIMITED,4300.00,2015-03-16
Corporate Resources,Supplies and Services,Comms & Computing,148014365,9,201412,O2 (UK) LTD,70,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,9,201412,O2 (UK) LTD,70,2015-03-23
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",43841174,0,201412,CIPFA BUSINESS LIMITED,2540.00,2015-03-12
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",43841176,1,201412,CIPFA BUSINESS LIMITED,680,2015-03-12
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",43841176,2,201412,CIPFA BUSINESS LIMITED,680,2015-03-12
Corporate Resources,Transport,Car Allowances,148014658,4,201412,COMMONWHEELS CIC,2.25,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,148014365,10,201412,O2 (UK) LTD,70,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,10,201412,O2 (UK) LTD,70,2015-03-23
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,4,201412,CLICK TRAVEL LTD,149.98,2015-03-24
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,14,201412,CLICK TRAVEL LTD,346.44,2015-03-24
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,33,201412,CLICK TRAVEL LTD,2.7,2015-03-24
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,35,201412,CLICK TRAVEL LTD,1.44,2015-03-24
Corporate Resources,Supplies and Services,Comms & Computing,148014365,11,201412,O2 (UK) LTD,10,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,11,201412,O2 (UK) LTD,10,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014315,1,201412,BRITISH TELECOM,464.46,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014315,4,201412,BRITISH TELECOM,37.89,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014716,4,201412,ROYAL MAIL,704,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014717,4,201412,ROYAL MAIL,1849.93,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014718,4,201412,ROYAL MAIL,2846.32,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014365,12,201412,O2 (UK) LTD,60,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,12,201412,O2 (UK) LTD,60,2015-03-23
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43841176,5,201412,CIPFA BUSINESS LIMITED,680,2015-03-12
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41107275,1,201412,CAPITA BUSINESS SERVICES LTD,17353.57,2015-03-17
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43842212,0,201412,CAPITA BUSINESS SERVICES LTD,10133.25,2015-03-19
Corporate Resources,Transport,Car Allowances,148014284,4,201412,COMMONWHEELS CIC,1.35,2015-03-03
Corporate Resources,Transport,Car Allowances,148014658,36,201412,COMMONWHEELS CIC,10,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,148014365,13,201412,O2 (UK) LTD,4.5,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,13,201412,O2 (UK) LTD,4.5,2015-03-23
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43841176,7,201412,CIPFA BUSINESS LIMITED,680,2015-03-12
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,36,201412,CLICK TRAVEL LTD,0.48,2015-03-24
Corporate Resources,Transport,Car Allowances,148014658,37,201412,COMMONWHEELS CIC,10,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,41105718,1,201412,POSTAGE BY PHONE-PITNEY BOWES,7995.00,2015-03-03
Corporate Resources,Supplies and Services,Comms & Computing,41105718,2,201412,POSTAGE BY PHONE-PITNEY BOWES,9,2015-03-03
Corporate Resources,Supplies and Services,Comms & Computing,41107229,1,201412,POSTAGE BY PHONE-PITNEY BOWES,4010.80,2015-03-16
Corporate Resources,Supplies and Services,Comms & Computing,41109210,1,201412,POSTAGE BY PHONE-PITNEY BOWES,9,2015-03-25
Corporate Resources,Supplies and Services,Comms & Computing,41109210,2,201412,POSTAGE BY PHONE-PITNEY BOWES,7995.00,2015-03-25
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43841176,3,201412,CIPFA BUSINESS LIMITED,680,2015-03-12
Corporate Resources,Third Party Payments,Third Party Payments,41108949,1,201412,CITY OF SUNDERLAND,1192.50,2015-03-25
Corporate Resources,Third Party Payments,Third Party Payments,41108950,1,201412,CITY OF SUNDERLAND,1091.25,2015-03-25
Corporate Resources,Transport,Public Transport and Taxi Fares,148014325,13,201412,CLICK TRAVEL LTD,397.14,2015-03-06
Corporate Resources,Transport,Public Transport and Taxi Fares,148014325,26,201412,CLICK TRAVEL LTD,4.02,2015-03-06
Corporate Resources,Transport,Public Transport and Taxi Fares,148014457,7,201412,CLICK TRAVEL LTD,147.26,2015-03-17
Corporate Resources,Transport,Public Transport and Taxi Fares,148014457,24,201412,CLICK TRAVEL LTD,1.3,2015-03-17
Corporate Resources,Transport,Car Allowances,148014284,2,201412,COMMONWHEELS CIC,4.65,2015-03-03
Corporate Resources,Transport,Car Allowances,148014658,2,201412,COMMONWHEELS CIC,9,2015-03-26
Corporate Resources,Transport,Car Allowances,148014658,5,201412,COMMONWHEELS CIC,3.9,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,43840223,0,201412,TARGET ESOLUTIONS LTD,2379.20,2015-03-11
Corporate Resources,Supplies and Services,Comms & Computing,43843004,0,201412,TARGET ESOLUTIONS LTD,13175.00,2015-03-24
Corporate Resources,Supplies and Services,Comms & Computing,148014716,5,201412,ROYAL MAIL,863.96,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014716,6,201412,ROYAL MAIL,67.72,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014717,6,201412,ROYAL MAIL,2385.91,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014717,7,201412,ROYAL MAIL,610.77,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014718,6,201412,ROYAL MAIL,1074.41,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014718,7,201412,ROYAL MAIL,114.26,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014365,14,201412,O2 (UK) LTD,70.96,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,14,201412,O2 (UK) LTD,70.96,2015-03-23
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41108485,1,201412,TEAM NETSOL,10493.00,2015-03-20
Corporate Resources,Third Party Payments,Third Party Payments,147014928,1,201412,PAYPOINT PLC,395,2015-03-09
Corporate Resources,Third Party Payments,Third Party Payments,147015187,1,201412,PAYPOINT PLC,415,2015-03-18
Corporate Resources,Third Party Payments,Third Party Payments,147015819,1,201412,PAYPOINT PLC,309,2015-03-25
Corporate Resources,Transport,Car Allowances,148014658,6,201412,COMMONWHEELS CIC,1.05,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,148014365,15,201412,O2 (UK) LTD,32.28,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,15,201412,O2 (UK) LTD,26.94,2015-03-23
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43841176,4,201412,CIPFA BUSINESS LIMITED,680,2015-03-12
Corporate Resources,Supplies and Services,Comms & Computing,43836443,4,201412,OASYS LIMITED,17.5,2015-03-06
Corporate Resources,Supplies and Services,Comms & Computing,148014716,1,201412,ROYAL MAIL,165.87,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014716,2,201412,ROYAL MAIL,120.18,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014717,1,201412,ROYAL MAIL,461.75,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014717,2,201412,ROYAL MAIL,607.19,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014718,1,201412,ROYAL MAIL,315.66,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014718,2,201412,ROYAL MAIL,300.43,2015-03-31
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43841176,6,201412,CIPFA BUSINESS LIMITED,1360.00,2015-03-12
Corporate Resources,Transport,Car Allowances,148014284,42,201412,COMMONWHEELS CIC,404.56,2015-03-03
Corporate Resources,Transport,Car Allowances,148014658,48,201412,COMMONWHEELS CIC,404.56,2015-03-26
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41108233,1,201412,ALBANY OFFICE EQUIP(W/SALE)LTD,2991.25,2015-03-19
Corporate Resources,Supplies and Services,"Printing, Stationery etc",147014476,4,201412,INTERCHANGE NEWS,90.81,2015-03-02
Corporate Resources,Supplies and Services,"Printing, Stationery etc",43839795,0,201412,NEC SECURITY FORMS LIMITED,1000.00,2015-03-06
Corporate Resources,Supplies and Services,Comms & Computing,148014716,3,201412,ROYAL MAIL,19.08,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014716,8,201412,ROYAL MAIL,40,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014717,3,201412,ROYAL MAIL,78.84,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014717,9,201412,ROYAL MAIL,110,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014718,3,201412,ROYAL MAIL,44.6,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014718,9,201412,ROYAL MAIL,90,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014365,24,201412,O2 (UK) LTD,1.35,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014365,28,201412,O2 (UK) LTD,14.5,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,29,201412,O2 (UK) LTD,14.5,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014315,6,201412,BRITISH TELECOM,179.94,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014316,20,201412,VIRGIN MEDIA PAYMENTS LTD,49,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014316,32,201412,VIRGIN MEDIA PAYMENTS LTD,49,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014552,2,201412,MLL TELECOM LTD,4490.00,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014553,2,201412,MLL TELECOM LTD,21552.00,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014554,20,201412,VIRGIN MEDIA PAYMENTS LTD,49,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014554,34,201412,VIRGIN MEDIA PAYMENTS LTD,49,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014365,29,201412,O2 (UK) LTD,10,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,30,201412,O2 (UK) LTD,10,2015-03-23
Corporate Resources,Employees,Indirect Employee Expenses,43842202,0,201412,QA LTD,704,2015-03-19
Corporate Resources,Employees,Indirect Employee Expenses,43842210,0,201412,UNIVERSITY OF SUNDERLAND ENTERPRISES,495,2015-03-23
Corporate Resources,Transport,Public Transport and Taxi Fares,148014457,5,201412,CLICK TRAVEL LTD,73.63,2015-03-17
Corporate Resources,Transport,Public Transport and Taxi Fares,148014457,25,201412,CLICK TRAVEL LTD,0.65,2015-03-17
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,16,201412,CLICK TRAVEL LTD,65.64,2015-03-24
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,29,201412,CLICK TRAVEL LTD,80.3,2015-03-24
Corporate Resources,Transport,Public Transport and Taxi Fares,148014581,37,201412,CLICK TRAVEL LTD,1.22,2015-03-24
Corporate Resources,Transport,Public Transport and Taxi Fares,148014693,14,201412,CLICK TRAVEL LTD,146.4,2015-03-30
Corporate Resources,Transport,Public Transport and Taxi Fares,148014693,23,201412,CLICK TRAVEL LTD,1.33,2015-03-30
Corporate Resources,Transport,Car Allowances,148014284,5,201412,COMMONWHEELS CIC,41.84,2015-03-03
Corporate Resources,Transport,Car Allowances,148014658,7,201412,COMMONWHEELS CIC,18.75,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,41106841,1,201412,VIRGIN MEDIA LTD,590.7,2015-03-09
Corporate Resources,Supplies and Services,Comms & Computing,41106842,1,201412,VIRGIN MEDIA LTD,12713.18,2015-03-09
Corporate Resources,Supplies and Services,Comms & Computing,41106843,1,201412,VIRGIN MEDIA LTD,4937.00,2015-03-09
Corporate Resources,Supplies and Services,Comms & Computing,41109635,1,201412,VIRGIN MEDIA LTD,6368.59,2015-03-27
Corporate Resources,Supplies and Services,Comms & Computing,43844647,1,201412,VIRGIN MEDIA LTD,353.96,2015-03-30
Corporate Resources,Supplies and Services,Comms & Computing,43840159,1,201412,PHOENIX SOFTWARE LTD,2481.00,2015-03-09
Corporate Resources,Supplies and Services,Comms & Computing,43841927,0,201412,FUJITSU SERVICES LTD,6007.00,2015-03-17
Corporate Resources,Supplies and Services,Comms & Computing,43841930,0,201412,PHOENIX SOFTWARE LTD,11182.50,2015-03-17
Corporate Resources,Supplies and Services,Comms & Computing,43844648,0,201412,PHOENIX SOFTWARE LTD,12555.00,2015-03-30
Corporate Resources,Supplies and Services,Comms & Computing,43839393,0,201412,CARETOWER SOLUTIONS LTD,7592.00,2015-03-11
Corporate Resources,Supplies and Services,Comms & Computing,43841413,0,201412,INSIGHT DIRECT UK LTD,3364.69,2015-03-13
Corporate Resources,Supplies and Services,Comms & Computing,43844331,0,201412,CITRIX ONLINE UK LTD,708,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,41109209,1,201412,VIRGIN MEDIA LTD,386.55,2015-03-25
Corporate Resources,Supplies and Services,Comms & Computing,43840156,0,201412,VIRGIN MEDIA LTD,74335.00,2015-03-09
Corporate Resources,Supplies and Services,Comms & Computing,148014315,3,201412,BRITISH TELECOM,38.47,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014316,40,201412,VIRGIN MEDIA PAYMENTS LTD,40,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014553,5,201412,MLL TELECOM LTD,4492.00,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014554,42,201412,VIRGIN MEDIA PAYMENTS LTD,40,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014579,1,201412,BRITISH TELECOM,12.63,2015-03-24
Corporate Resources,Supplies and Services,Comms & Computing,148014580,1,201412,BRITISH TELECOM,12.63,2015-03-24
Corporate Resources,Supplies and Services,Comms & Computing,43842859,0,201412,INSIGHT DIRECT UK LTD,478.16,2015-03-25
Corporate Resources,Supplies and Services,Comms & Computing,43843013,0,201412,DURHAM COUNTY COUNCIL,35945.00,2015-03-24
Corporate Resources,Supplies and Services,Comms & Computing,41106909,1,201412,VIRGIN MEDIA BUSINESS,1387.39,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,41108939,1,201412,VIRGIN MEDIA BUSINESS,85.43,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,41109682,1,201412,VIRGIN MEDIA BUSINESS,618.21,2015-03-27
Corporate Resources,Supplies and Services,Comms & Computing,41106909,2,201412,VIRGIN MEDIA BUSINESS,549.07,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,41108939,2,201412,VIRGIN MEDIA BUSINESS,4316.65,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,41109682,2,201412,VIRGIN MEDIA BUSINESS,658.29,2015-03-27
Corporate Resources,Supplies and Services,Comms & Computing,148014365,16,201412,O2 (UK) LTD,718.31,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,148014567,16,201412,O2 (UK) LTD,671.78,2015-03-23
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41106821,1,201412,POINT TO POINT LTD,393.73,2015-03-09
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41107340,1,201412,POINT TO POINT LTD,1559.70,2015-03-17
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43837375,0,201412,POINT TO POINT LTD,5000.00,2015-03-04
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43839404,0,201412,POINT TO POINT LTD,5000.00,2015-03-09
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43840383,0,201412,POINT TO POINT LTD,3500.00,2015-03-11
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43840384,0,201412,POINT TO POINT LTD,5000.00,2015-03-11
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43842355,0,201412,POINT TO POINT LTD,4000.00,2015-03-23
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43844133,0,201412,POINT TO POINT LTD,2000.00,2015-03-30
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",43844134,0,201412,POINT TO POINT LTD,4000.00,2015-03-27
Corporate Resources,Supplies and Services,Comms & Computing,148014316,10,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014316,11,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014316,12,201412,VIRGIN MEDIA PAYMENTS LTD,5,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014316,13,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014316,38,201412,VIRGIN MEDIA PAYMENTS LTD,40,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014316,39,201412,VIRGIN MEDIA PAYMENTS LTD,40,2015-03-05
Corporate Resources,Supplies and Services,Comms & Computing,148014554,10,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014554,11,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014554,12,201412,VIRGIN MEDIA PAYMENTS LTD,5,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014554,13,201412,VIRGIN MEDIA PAYMENTS LTD,34,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014554,40,201412,VIRGIN MEDIA PAYMENTS LTD,40,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,148014554,41,201412,VIRGIN MEDIA PAYMENTS LTD,40,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,43843013,1,201412,DURHAM COUNTY COUNCIL,58902.36,2015-03-24
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",41109689,1,201412,CANON (UK),10203.37,2015-03-27
Corporate Resources,Employees,Agency Staff,60091105,18,201412,DE POEL MANAGED SERVICES LIMITED,516.6,2015-03-04
Corporate Resources,Employees,Agency Staff,60091106,11,201412,DE POEL MANAGED SERVICES LIMITED,531.09,2015-03-10
Corporate Resources,Employees,Agency Staff,60091108,21,201412,DE POEL MANAGED SERVICES LIMITED,520.38,2015-03-25
Corporate Resources,Employees,Agency Staff,60091108,47,201412,DE POEL MANAGED SERVICES LIMITED,543.69,2015-03-25
Corporate Resources,Transport,Public Transport and Taxi Fares,148014325,9,201412,CLICK TRAVEL LTD,26.36,2015-03-06
Corporate Resources,Transport,Public Transport and Taxi Fares,148014325,27,201412,CLICK TRAVEL LTD,0.27,2015-03-06
Corporate Resources,Supplies and Services,Comms & Computing,43841925,0,201412,MISCO,626.11,2015-03-17
Corporate Resources,Supplies and Services,Comms & Computing,43839399,0,201412,STORMFRONT RETAIL LTD,3743.60,2015-03-04
Corporate Resources,Supplies and Services,Comms & Computing,43839817,0,201412,DELL COMPUTER CORPORATION LTD,419,2015-03-06
Corporate Resources,Supplies and Services,Comms & Computing,43841919,0,201412,DELL COMPUTER CORPORATION LTD,389,2015-03-17
Corporate Resources,Supplies and Services,Comms & Computing,43841923,0,201412,MISCO,4053.18,2015-03-17
Corporate Resources,Supplies and Services,Comms & Computing,43841926,0,201412,MISCO,3685.52,2015-03-17
Corporate Resources,Supplies and Services,Comms & Computing,43842860,0,201412,DELL BANK INTERNATIONAL LTD,10690.88,2015-03-23
Corporate Resources,Supplies and Services,Comms & Computing,43842861,0,201412,VERY PC LTD,4809.00,2015-03-24
Corporate Resources,Supplies and Services,Comms & Computing,43844333,0,201412,STORMFRONT RETAIL LTD,7344.00,2015-03-30
Corporate Resources,Supplies and Services,Comms & Computing,43840388,0,201412,MISCO,523.99,2015-03-10
Corporate Resources,Supplies and Services,Comms & Computing,43841920,0,201412,MISCO,1505.29,2015-03-20
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41110061,1,201412,ICOM WORKS LTD,3500.00,2015-03-30
Corporate Resources,Employees,Indirect Employee Expenses,148014407,1,201412,ALPHABET (UK) FLEET MANAGEMENT LIMITED,835.15,2015-03-12
Corporate Resources,Third Party Payments,Third Party Payments,41107023,1,201412,NEWCASTLE & GATESHEAD INITIATIVE,35208.34,2015-03-13
Corporate Resources,Third Party Payments,Third Party Payments,41107023,2,201412,NEWCASTLE & GATESHEAD INITIATIVE,12500.00,2015-03-13
Corporate Resources,Transport,Public Transport and Taxi Fares,148014457,2,201412,CLICK TRAVEL LTD,168.16,2015-03-17
Corporate Resources,Transport,Public Transport and Taxi Fares,148014457,23,201412,CLICK TRAVEL LTD,1.48,2015-03-17
Corporate Resources,Supplies and Services,Comms & Computing,41109420,7,201412,NORTHGATEARINSO,10443.25,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,148014296,1,201412,MIDLAND SOFTWARE LTD,20576.83,2015-03-04
Corporate Resources,Supplies and Services,Comms & Computing,148014297,2,201412,MIDLAND SOFTWARE LTD,67805.00,2015-03-04
Corporate Resources,Supplies and Services,Comms & Computing,148014329,1,201412,MIDLAND SOFTWARE LTD,29803.75,2015-03-06
Corporate Resources,Supplies and Services,Comms & Computing,41109420,3,201412,NORTHGATEARINSO,22173.00,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,148014297,1,201412,MIDLAND SOFTWARE LTD,51015.00,2015-03-04
Corporate Resources,Supplies and Services,Comms & Computing,41109420,5,201412,NORTHGATEARINSO,4976.75,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,41109421,2,201412,NORTHGATEARINSO,4831.75,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,41109420,2,201412,NORTHGATEARINSO,4831.75,2015-03-26
Corporate Resources,Supplies and Services,Comms & Computing,148014717,5,201412,ROYAL MAIL,41.76,2015-03-31
Corporate Resources,Supplies and Services,Comms & Computing,148014718,5,201412,ROYAL MAIL,560.35,2015-03-31
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",41107274,1,201412,LEXIS NEXIS UK,1020.00,2015-03-18
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41109421,1,201412,NORTHGATEARINSO,375,2015-03-26
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41109420,1,201412,NORTHGATEARINSO,375,2015-03-26
