Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis,ref
12000178,JMP CONSULTANTS LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108539867,4000.00,2015-09-29,Housing & Land,Housing & Land Services,
10000547,WRAGGE LAWRENCE GRAHAM & CO LLP,542300,LEGAL FEES,5108568242,3961.60,2015-10-08,Housing,Capital,
10008997,LONDON WILDLIFE TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108546454,3924.00,2015-09-28,"Development, Enterprise & Environment",Environmental Initiatives,
10017158,VAN VYNCK ENVIRONMENTAL SERVICES,530010,EQUIPMENT REPAIRS & MAINTENANCE,5108538398,3906.00,2015-09-24,Resources,Support Costs,
10016938,ICM RESEARCH LIMITED,540024,RESEARCH FOR MARKETING CAMPAIGNS AND ACTIVITIES,5108538878,3800.00,2015-09-21,External Affairs,Cultural & related services,
12000117,TNS UK LTD,540024,RESEARCH FOR MARKETING CAMPAIGNS AND ACTIVITIES,5108558690,3785.00,2015-10-15,"Development, Enterprise & Environment",Environmental Initiatives,
10025051,REED AND MACKAY TRAVEL,520410,BUSINESS FARES,5108565596,3651.46,2015-10-06,Private Office,Economic Development,
10025051,REED AND MACKAY TRAVEL,520410,BUSINESS FARES,5108565598,3651.46,2015-10-06,Private Office,Economic Development,
10017736,WYG MANAGEMENT SERVICES,510630,HEALTH & SAFETY PEST CONTROL,5108539895,3625.00,2015-09-24,Resources,Support Costs,
14001067,MICHAEL PAGE UK LTD,502000,AGENCY STAFF,5108570644,3620.12,2015-10-14,External Affairs,Support Costs,
10003560,EVERSHEDS,542300,LEGAL FEES,5108557714,3603.00,2015-09-28,Housing,Capital,
10025051,REED AND MACKAY TRAVEL,520410,BUSINESS FARES,5108565603,3570.96,2015-10-06,Private Office,Economic Development,
10025887,STREETSAGOGO,542002,CONSULTANCY-PROJECT MANAGEMENT,5108569041,3534.00,2015-10-09,Communities and Intelligence,Cultural & related services,
10005471,GLENNY,510010,PROPERTY MANAGEMENT FEES,5108574708,3500.00,2015-10-15,Housing & Land,Housing & Land Services,
10002165,CAPITA LEARNING & DEVELOPMENT,504200,STAFF TRAINING,5108544272,3499.00,2015-09-30,Resources,Support Costs,
NC,TULLETT PREBON,542410,BROKERS FEES,CHAPS372,3490.41,2015-10-09,RESOURCES,Financing and investment income and expenditure,
10018532,CRISTIE DATA LIMITED,542100,IT CONSULTANCY,5108552048,3375.00,2015-09-23,Resources,Capital,
10022213,TROWERS & HAMLINS LLP,542300,LEGAL FEES,5108557737,3314.75,2015-09-24,Housing,Housing services,
15050001,SURVEYGIZMO,543000,CORPORATE SUBSCRIPTIONS,1900031378,3210.25,2015-10-02,Communities and Intelligence,Corporate and democratic core,
14001067,MICHAEL PAGE UK LTD,502000,AGENCY STAFF,5108550925,3139.90,2015-10-07,External Affairs,Support Costs,
13000121,THAMES WATER UTILITIES LTD,510300,WATER,1900031256,3125.79,2015-10-06,Resources,Support Costs,
14001067,MICHAEL PAGE UK LTD,502000,AGENCY STAFF,5108559429,3102.96,2015-10-07,External Affairs,Support Costs,
10017245,OCS CATERING,531010,CATERERS SERVICE CHARGES,5108541446,3083.28,2015-10-06,Resources,Support Costs,
10017470,COMPUTACENTER,536510,SOFTWARE MAINTENANCE,5108550405,3041.35,2015-10-07,Resources,Support Costs,
10025051,REED AND MACKAY TRAVEL,520410,BUSINESS FARES,5108551159,3007.76,2015-10-08,Corporate Management,Corporate and democratic core,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031575,3000.00,2015-10-07,Development & Environment,Capital,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031576,3000.00,2015-10-07,Development & Environment,Capital,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031610,3000.00,2015-10-07,Development & Environment,Capital,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031649,3000.00,2015-10-07,Development & Environment,Capital,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031693,3000.00,2015-10-07,Development & Environment,Capital,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031721,3000.00,2015-10-07,Development & Environment,Capital,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031742,3000.00,2015-10-07,Development & Environment,Capital,
10004778,BT PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031351,3000.00,2015-09-21,Development & Environment,Capital,
10004778,BT PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031482,3000.00,2015-10-02,Development & Environment,Capital,
10004778,BT PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031492,3000.00,2015-10-02,Development & Environment,Capital,
10004778,BT PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031918,3000.00,2015-10-13,Development & Environment,Capital,
10004778,BT PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031919,3000.00,2015-10-13,Development & Environment,Capital,
10004778,BT PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031410,3000.00,2015-10-02,Development & Environment,Capital,
10019204,TIMEBANK,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108553627,3000.00,2015-10-01,Communities and Intelligence,Community Development,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031898,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031899,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031900,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031901,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031902,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031903,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031904,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031905,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031906,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031907,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031925,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031926,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031411,3000.00,2015-10-02,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031412,3000.00,2015-10-02,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031413,3000.00,2015-10-02,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031469,3000.00,2015-10-02,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031726,3000.00,2015-10-07,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031908,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031909,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031910,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031911,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031912,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031913,3000.00,2015-10-13,Development & Environment,Capital,
10024313,OPTIMITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031914,3000.00,2015-10-13,Development & Environment,Capital,
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031357,3000.00,2015-09-21,Development & Environment,Capital,
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031358,3000.00,2015-09-21,Development & Environment,Capital,
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031359,3000.00,2015-09-21,Development & Environment,Capital,
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031414,3000.00,2015-10-02,Development & Environment,Capital,
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031415,3000.00,2015-10-02,Development & Environment,Capital,
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031727,3000.00,2015-10-07,Development & Environment,Capital,
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031728,3000.00,2015-10-07,Development & Environment,Capital,
10024352,HYPEROPTIC LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031729,3000.00,2015-10-07,Development & Environment,Capital,
10024372,AMBIENT COMPUTER SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031350,3000.00,2015-09-21,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031481,3000.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031408,3000.00,2015-10-02,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031352,3000.00,2015-09-21,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031485,3000.00,2015-10-02,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031486,3000.00,2015-10-02,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031589,3000.00,2015-10-07,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031923,3000.00,2015-10-13,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031458,3000.00,2015-10-02,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031459,3000.00,2015-10-02,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031460,3000.00,2015-10-02,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031461,3000.00,2015-10-02,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031462,3000.00,2015-10-02,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031921,3000.00,2015-10-13,Development & Environment,Capital,
10024467,EXPONENTIAL-E,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031922,3000.00,2015-10-13,Development & Environment,Capital,
10024504,STREAM NETWORKS LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031474,3000.00,2015-10-02,Development & Environment,Capital,
10024504,STREAM NETWORKS LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031476,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031503,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031586,3000.00,2015-10-07,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031915,3000.00,2015-10-13,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031441,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031442,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031443,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031444,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031446,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031447,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031472,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031473,3000.00,2015-10-02,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031801,3000.00,2015-10-13,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031803,3000.00,2015-10-13,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031804,3000.00,2015-10-13,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031805,3000.00,2015-10-13,Development & Environment,Capital,
10024505,SPITFIRE NETWORK SERVICES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031806,3000.00,2015-10-13,Development & Environment,Capital,
10024579,STICKMAN TECHNOLOGY LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031360,3000.00,2015-09-21,Development & Environment,Capital,
10024579,STICKMAN TECHNOLOGY LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031361,3000.00,2015-09-21,Development & Environment,Capital,
10024579,STICKMAN TECHNOLOGY LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031362,3000.00,2015-09-21,Development & Environment,Capital,
10024579,STICKMAN TECHNOLOGY LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031363,3000.00,2015-09-21,Development & Environment,Capital,
10024579,STICKMAN TECHNOLOGY LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031364,3000.00,2015-09-21,Development & Environment,Capital,
10024579,STICKMAN TECHNOLOGY LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031448,3000.00,2015-10-02,Development & Environment,Capital,
10024586,UNITEL ONE SOURCE LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031449,3000.00,2015-10-02,Development & Environment,Capital,
10024586,UNITEL ONE SOURCE LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031732,3000.00,2015-10-07,Development & Environment,Capital,
10024596,VIRTUAL1 LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031590,3000.00,2015-10-07,Development & Environment,Capital,
10024596,VIRTUAL1 LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031591,3000.00,2015-10-07,Development & Environment,Capital,
10024596,VIRTUAL1 LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031743,3000.00,2015-10-07,Development & Environment,Capital,
10024596,VIRTUAL1 LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031746,3000.00,2015-10-07,Development & Environment,Capital,
10024837,BACKBONE CONNECT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031736,3000.00,2015-10-07,Development & Environment,Capital,
10024837,BACKBONE CONNECT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031737,3000.00,2015-10-07,Development & Environment,Capital,
10024909,COLT TECHNOLOGY SERVICES,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031587,3000.00,2015-10-07,Development & Environment,Capital,
10024909,COLT TECHNOLOGY SERVICES,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031588,3000.00,2015-10-07,Development & Environment,Capital,
10024909,COLT TECHNOLOGY SERVICES,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031825,3000.00,2015-10-13,Development & Environment,Capital,
10024909,COLT TECHNOLOGY SERVICES,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031451,3000.00,2015-10-02,Development & Environment,Capital,
10024945,TALKTALK GROUP LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031509,3000.00,2015-10-02,Development & Environment,Capital,
10025001,THE MAYPOLE PROJECT,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108501621,3000.00,2015-10-16,Communities and Intelligence,Community Development,
10025158,EASYNET GLOBAL SERVICES LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031592,3000.00,2015-10-07,Development & Environment,Capital,
10025158,EASYNET GLOBAL SERVICES LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031738,3000.00,2015-10-07,Development & Environment,Capital,
10025158,EASYNET GLOBAL SERVICES LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031740,3000.00,2015-10-07,Development & Environment,Capital,
10025161,OPUS NETWORK SERVICES LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031354,3000.00,2015-09-21,Development & Environment,Capital,
10025370,URBAN WIMAX LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031455,3000.00,2015-10-02,Development & Environment,Capital,
10025370,URBAN WIMAX LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031456,3000.00,2015-10-02,Development & Environment,Capital,
10025442,VOXCLEVER,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031929,3000.00,2015-10-13,Development & Environment,Capital,
10026150,BACKBONE (UK) LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031457,3000.00,2015-10-02,Development & Environment,Capital,
10026150,BACKBONE (UK) LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031735,3000.00,2015-10-07,Development & Environment,Capital,
10026225,G3 COMMS LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031349,3000.00,2015-09-22,Development & Environment,Capital,
10003560,EVERSHEDS,542300,LEGAL FEES,5108552914,3000.00,2015-09-21,Housing & Land,Housing & Land Services,
10024866,ASSEMBLY GLOBAL NETWORKS LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031917,2998.00,2015-10-13,Development & Environment,Capital,
10025158,EASYNET GLOBAL SERVICES LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031920,2995.00,2015-10-13,Development & Environment,Capital,
13002176,ABM GROUP UK LTD,510010,PROPERTY MANAGEMENT FEES,5108411594,2989.75,2015-09-24,Resources,Support Costs,
10024363,MANAGED COMMUNICATIONS LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031353,2988.00,2015-09-21,Development & Environment,Capital,
10003560,EVERSHEDS,542300,LEGAL FEES,5108563797,2901.60,2015-10-02,Housing & Land,Housing & Land Services,
13000367,VEOLIA ES (UK) PLC,530010,EQUIPMENT REPAIRS & MAINTENANCE,5108538403,2875.60,2015-09-22,Resources,Cultural & related services,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031416,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031417,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031418,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031419,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031420,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031421,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031422,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031423,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031424,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031425,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031426,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031427,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031428,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031429,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031430,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031431,2838.03,2015-10-02,Development & Environment,Capital,
10024432,SMARTINFO LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031432,2838.03,2015-10-02,Development & Environment,Capital,
10010167,SPECTRECOM FILMS LTD,540013,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,5108571740,2803.00,2015-10-14,Communities and Intelligence,Childrens and education services,
10024596,VIRTUAL1 LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031744,2800.00,2015-10-07,Development & Environment,Capital,
10024596,VIRTUAL1 LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031745,2800.00,2015-10-07,Development & Environment,Capital,
10002966,ARCO,532000,UNIFORMS,5108569876,2750.16,2015-10-15,Resources,Support Costs,
10026206,JILL WILTSHIRE,502000,AGENCY STAFF,5108569364,2750.00,2015-10-08,Communities and Intelligence,Community Development,
10021822,BARRY CHINN ASSOCIATES LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108569659,2750.00,2015-10-08,Housing & Land,Housing & Land Services,
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108546326,2736.55,2015-09-30,External Affairs,Support Costs,
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108546328,2736.55,2015-09-30,External Affairs,Support Costs,
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108551780,2736.55,2015-10-07,External Affairs,Support Costs,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031355,2700.00,2015-09-21,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031500,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031501,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031502,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031916,2700.00,2015-10-13,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031433,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031434,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031435,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031436,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031437,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031438,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031439,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031440,2700.00,2015-10-02,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031730,2700.00,2015-10-07,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031807,2700.00,2015-10-13,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031808,2700.00,2015-10-13,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031809,2700.00,2015-10-13,Development & Environment,Capital,
10024452,VENUS BUSINESS COMMUNICATIONS,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031810,2700.00,2015-10-13,Development & Environment,Capital,
10023080,SIRIUS CORPORATION LTD,542100,IT CONSULTANCY,5108568107,2625.00,2015-10-07,Resources,Support Costs,
10004032,VIRGIN MEDIA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900031545,2548.00,2015-10-07,Development & Environment,Capital,
10017736,WYG MANAGEMENT SERVICES,542355,OTHER PROFESSIONAL FEES,5108539893,2520.00,2015-10-06,Communities and Intelligence,Community Development,
