Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10003560,EVERSHEDS,542300,LEGAL FEES,5108773873,545.60,2016-05-24,Housing & Land,Housing & Land Services,Other
10003560,EVERSHEDS,542300,LEGAL FEES,5108773557,504.00,2016-05-25,Housing & Land,Housing & Land Services,Other
10003560,EVERSHEDS,542300,LEGAL FEES,5108776308,500.00,2016-05-16,Housing & Land,Housing & Land Services,Other
10022678,EXCELL BUSINESS SYSTEMS LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036533,2971.25,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
15050001,EXPENSES PAID TO THIRD PARTIES,542355,OTHER PROFESSIONAL FEES,1900036494,2830.00,2016-05-10,Development & Environment,Development Control,Planning services
15050001,EXPENSES PAID TO THIRD PARTIES,542355,OTHER PROFESSIONAL FEES,1900036493,2550.00,2016-05-10,Communities and Intelligence,Cultural & related services,Cultural & related services
15050001,EXPENSES PAID TO THIRD PARTIES,542355,OTHER PROFESSIONAL FEES,1900036512,2475.00,2016-05-18,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
15050001,EXPENSES PAID TO THIRD PARTIES,542355,OTHER PROFESSIONAL FEES,1900036492,2210.00,2016-05-10,Resources,Support Costs,Z_SUPPORT COSTS
15050001,EXPENSES PAID TO THIRD PARTIES,542355,OTHER PROFESSIONAL FEES,1900036409,1070.00,2016-05-10,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10023132,EXTRIUM,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108774470,5000.00,2016-05-12,Housing,Capital,Y_CAPITAL
10026302,FAIRFIELD HALLS,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108787204,5767.22,2016-05-26,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10026530,FINANCIAL DATA MANAGEMENT LTD,540027,PRINTING FOR MARKETING MATERIALS,5108772998,9476.48,2016-05-12,Communities and Intelligence,Cultural & related services,Cultural & related services
10024640,FITZROVIA IT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036549,3000.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10018793,FOOTBALL FOUNDATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108737121,63014.00,2016-05-05,Communities and Intelligence,Economic Development,Planning services
10026936,FOOTBALL FOUNDATION TRADING LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108762935,12865.00,2016-05-19,"Development, Enterprise & Environment",Economic Development,Planning services
15050001,FOREIGN AND COMMONWEALTH OFFICE,413010,GENERAL FEES & CHARGES,1900036061,589.20,2016-05-09,Resources,Support Costs,Z_SUPPORT COSTS
10017681,FORESTRY COMMISSION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108757806,1900.00,2016-05-10,Resources,Economic Development,Planning services
10026765,FORSTER COMMUNICATIONS,540012,MARKETING STRATEGY AND CONSULTANCY,5108775864,9311.25,2016-05-13,External Affairs,Community Development,Planning services
15050001,FOTODOCUMENT,542355,OTHER PROFESSIONAL FEES,1900036594,450.00,2016-05-26,Development & Environment,Capital,Y_CAPITAL
10020885,FUTURE OF LONDON 2011 LIMITED,504200,STAFF TRAINING,5108786480,4950.00,2016-05-26,Development & Environment,Capital,Y_CAPITAL
10022119,GET SCHEDULED LTD,542355,OTHER PROFESSIONAL FEES,5108768723,8145.14,2016-05-06,Private Office,Economic Development,Planning services
10017997,GIGL,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108768550,10000.00,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10024501,GINGER TRAINING & COACHING LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108775275,1800.00,2016-05-13,Communities and Intelligence,Cultural & related services,Cultural & related services
10004230,GL HEARN LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108768417,4701.25,2016-05-16,Housing & Land,Housing & Land Services,Other
10024322,GLEBE PRIMARY SCHOOL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108780023,19868.00,2016-05-17,Development & Environment,Capital,Y_CAPITAL
10020892,GORT SCOTT,542002,CONSULTANCY-PROJECT MANAGEMENT,5108769426,460.00,2016-05-09,Housing & Land,Housing & Land Services,Other
10016907,GROUNDWORK LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108768056,10000.00,2016-05-05,Resources,Support Costs,Z_SUPPORT COSTS
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5108780525,27000.00,2016-05-24,Housing & Land,Housing & Land Services,Other
10002789,GVA GRIMLEY LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108767320,10316.00,2016-05-25,Housing & Land,Housing & Land Services,Other
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5108773000,5500.00,2016-05-18,Housing & Land,Housing & Land Services,Other
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5108773190,4591.20,2016-05-25,Housing & Land,Housing & Land Services,Other
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5108768967,3235.00,2016-05-09,Housing & Land,Housing & Land Services,Other
10002789,GVA GRIMLEY LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108751069,700.00,2016-05-11,Housing & Land,Housing & Land Services,Other
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5108768696,600.00,2016-05-25,Housing & Land,Housing & Land Services,Other
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5108769628,250.00,2016-05-09,Housing & Land,Housing & Land Services,Other
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5108768966,"(3,235.00)",2016-05-09,Housing & Land,Housing & Land Services,Other
10026752,HATOFOROI LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036555,3000.00,2016-05-16,Development & Environment,Development Control,Planning services
10026752,HATOFOROI LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036556,3000.00,2016-05-16,Corporate Management,Corporate and democratic core,Corporate and democratic core
10026752,HATOFOROI LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036557,3000.00,2016-05-16,Development & Environment,Development Control,Planning services
10026752,HATOFOROI LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900036554,3000.00,2016-05-16,Housing and Regeneration,Housing services,Housing services
14000368,HAVAS PEOPLE LIMITED,536000,MANAGE IT SERVICES,5108762087,10000.00,2016-05-12,Resources,Support Costs,Z_SUPPORT COSTS
10026878,HAYLEY LEWIS GRAPHIC DESIGN,540021,DESIGN & PRODUCTION OF MAPS & TIMETABLE PUBLICITY,5108781471,756.66,2016-05-26,Development & Environment,Economic Development,Planning services
14000189,HAYMARKET MEDIA GROUP LTD,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5108736010,2650.00,2016-05-13,Development & Environment,Economic Development,Planning services
14000189,HAYMARKET MEDIA GROUP LTD,542355,OTHER PROFESSIONAL FEES,5108736010,350.00,2016-05-13,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747623,3479.43,2016-05-04,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768822,2736.55,2016-05-25,Development & Environment,Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108735739,2736.55,2016-05-23,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747403,2371.39,2016-05-04,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762109,1885.00,2016-05-18,"Development, Enterprise & Environment",Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108761956,1885.00,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108750485,1628.00,2016-05-09,Development & Environment,Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108767230,1628.00,2016-05-23,Development & Environment,Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108757156,1628.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108761869,1585.00,2016-05-18,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762110,1508.00,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108751851,1436.93,2016-05-11,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768816,1394.42,2016-05-25,Communities and Intelligence,Childrens and education services,Childrens and education services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754460,1380.20,2016-05-24,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108735756,1368.91,2016-05-12,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108736645,1334.90,2016-05-12,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108762114,1305.50,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108751306,1305.50,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108754457,1305.50,2016-05-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108768828,1305.50,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108772956,1297.20,2016-05-27,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754352,1276.56,2016-05-10,Development & Environment,Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108736647,1271.83,2016-05-12,Housing,Housing services,Housing services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762659,1249.86,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754320,1230.00,2016-05-11,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108763052,1230.00,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108751407,1176.48,2016-05-11,Corporate Management,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108734972,1145.50,2016-05-12,External Affairs,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762054,1140.00,2016-05-18,External Affairs,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754449,1136.09,2016-05-11,Housing,Housing services,Housing services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747611,1105.33,2016-05-04,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108761880,1094.62,2016-05-18,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108761873,1094.62,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762642,1089.08,2016-05-18,External Affairs,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108763047,1081.00,2016-05-18,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108755929,1081.00,2016-05-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768753,1057.74,2016-05-25,"Development, Enterprise & Environment",Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747635,1057.59,2016-05-04,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768749,1041.55,2016-05-25,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754321,1041.55,2016-05-11,External Affairs,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768782,1034.16,2016-05-25,Assembly & Secretariat,Central services,Central services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108772963,1003.90,2016-05-25,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108740849,963.72,2016-05-19,Communities and Intelligence,Public Health,Public Health
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768806,962.92,2016-05-25,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768779,951.00,2016-05-25,"Development, Enterprise & Environment",Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754462,951.00,2016-05-11,Housing,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747433,951.00,2016-05-04,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754452,906.89,2016-05-11,Development & Environment,Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747544,897.88,2016-05-04,Development & Environment,Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754473,886.74,2016-05-04,Development & Environment,Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108772962,870.05,2016-05-25,Housing,Housing services,Housing services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747550,830.51,2016-05-04,Communities and Intelligence,Childrens and education services,Childrens and education services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754477,787.50,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108752319,785.88,2016-05-11,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754464,785.88,2016-05-11,"Development, Enterprise & Environment",Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754318,774.78,2016-05-11,External Affairs,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768775,751.84,2016-05-25,Development & Environment,Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754480,751.84,2016-05-10,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108751406,747.79,2016-05-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762056,747.79,2016-05-18,Assembly & Secretariat,Central services,Central services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768789,747.79,2016-05-25,Assembly & Secretariat,Central services,Central services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747360,747.56,2016-05-04,Assembly & Secretariat,Central services,Central services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108734610,746.64,2016-05-12,Communities and Intelligence,Public Health,Public Health
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762639,731.50,2016-05-18,External Affairs,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762660,700.05,2016-05-18,Assembly & Secretariat,Central services,Central services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754340,700.05,2016-05-11,External Affairs,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108755925,700.04,2016-05-16,External Affairs,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768819,700.04,2016-05-25,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762646,700.04,2016-05-18,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108767238,677.12,2016-05-23,External Affairs,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754467,672.00,2016-05-11,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762046,672.00,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768773,672.00,2016-05-25,Communities and Intelligence,Childrens and education services,Childrens and education services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768745,666.00,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108757181,662.90,2016-05-16,"Development, Enterprise & Environment",Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108772964,662.90,2016-05-25,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768765,659.72,2016-05-25,"Development, Enterprise & Environment",Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747460,659.72,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108755917,659.72,2016-05-11,Corporate Management,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108761870,659.72,2016-05-18,Assembly & Secretariat,Central services,Central services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747415,659.71,2016-05-04,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747366,658.84,2016-05-18,Development & Environment,Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754471,657.36,2016-05-11,Assembly & Secretariat,Central services,Central services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108748679,653.33,2016-05-04,Development & Environment,Planning Policy,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108761938,649.53,2016-05-18,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762059,633.11,2016-05-18,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747546,596.21,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747542,577.06,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747481,577.06,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747650,568.20,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747575,560.04,2016-05-04,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762947,552.98,2016-05-18,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108748677,530.32,2016-05-04,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108751307,530.32,2016-05-09,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747427,499.25,2016-05-04,Development & Environment,Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768798,491.55,2016-05-25,"Development, Enterprise & Environment",Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762658,471.15,2016-05-18,External Affairs,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754451,456.12,2016-05-18,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108767229,432.40,2016-05-23,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108757180,432.40,2016-05-16,"Development, Enterprise & Environment",Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768796,428.57,2016-05-25,Communities and Intelligence,Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108768813,428.10,2016-05-25,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747539,422.40,2016-05-04,Assembly & Secretariat,Central services,Central services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108754447,416.68,2016-05-11,"Development, Enterprise & Environment",Economic Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108762644,416.68,2016-05-18,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747483,410.09,2016-05-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108755926,314.10,2016-05-11,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747623,"(1,290.19)",2016-05-04,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5108747403,"(2,228.75)",2016-05-04,Development & Environment,Capital,Y_CAPITAL
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108772959,2026.75,2016-05-25,Housing & Land,Housing & Land Services,Other
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108747523,1216.05,2016-05-04,Housing & Land,Housing & Land Services,Other
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108747590,810.70,2016-05-04,Housing & Land,Housing & Land Services,Other
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108769181,810.70,2016-05-25,Housing & Land,Housing & Land Services,Other
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108753143,810.70,2016-05-11,Housing & Land,Housing & Land Services,Other
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5108762155,810.70,2016-05-18,Housing & Land,Housing & Land Services,Other
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900036590,109918.00,2016-05-18,Housing,Capital,Y_CAPITAL
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900036589,59944.00,2016-05-18,"Development, Enterprise & Environment",Economic Development,Planning services
15050016,HOGAN LOVELLS,542300,LEGAL FEES,1900036588,2500.00,2016-05-26,Development & Environment,Development Control,Planning services
10016930,HOMES & COMMUNITIES AGENCY,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108744524,4380.00,2016-05-04,External Affairs,Corporate and democratic core,Corporate and democratic core
10016935,HUNTERS CONTRACTS,510710,NON RECYCLABLE WASTE DISPOSAL/REFUSE COLLECTION,5108755840,539.00,2016-05-11,Development & Environment,Capital,Y_CAPITAL
14000521,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108769462,1500.00,2016-05-11,Resources,Support Costs,Z_SUPPORT COSTS
14000521,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108781168,1200.00,2016-05-25,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000521,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108762032,1200.00,2016-05-05,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108757801,796.07,2016-05-18,Assembly & Secretariat,Central services,Central services
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108757802,767.54,2016-05-18,Communities and Intelligence,Childrens and education services,Childrens and education services
14000521,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108767311,763.83,2016-05-11,Development & Environment,Economic Development,Planning services
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108757803,763.08,2016-05-18,Development & Environment,Economic Development,Planning services
10000785,HUNTRESS SEARCH LTD,504020,RECRUITMENT AGENCY FEES,5108767315,746.29,2016-05-25,Assembly & Secretariat,Central services,Central services
10000785,HUNTRESS SEARCH LTD,504020,RECRUITMENT AGENCY FEES,5108751090,687.09,2016-05-11,External Affairs,Support Costs,Z_SUPPORT COSTS
14000521,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5108777144,686.34,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
