Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,91844.33,University Hospital of South Mcr
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100837835,57061.00,Salford City Council
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100839319,30000.00,The Carbon and Energy Fund Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,20429.08,University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Security,2016-02-01,5100840100,1443.04,Chubb Systems Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-01,5100840198,1015.31,SRM Schoberer Rad Messtechnik GmbH
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973187,817.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973163,693.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973182,649.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-01,1904973128,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904962748,630.00,Thompsons Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904927917,627.00,Department For Work & Pensions
Manchester City Council,Adult Social Care,Furniture,2016-02-01,5100830341,567.78,Zero Six
Manchester City Council,Chief Executives,Compensation Payments,2016-02-01,1904964863,500.00,Redacted Personal Information
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2016-02-01,5100840120,1618.00,VP Bastion Ltd
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-08,5100841227,22558.00,The White Room Consultancy Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-08,5100841066,17414.59,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Adult Social Care,I T Provision,2016-02-08,5100841337,15941.76,Real Systems,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-08,5100841091,14855.00,SRA Cover Staff Ltd,
Manchester City Council,Adult Social Care,Carer Support Payments,2016-02-08,5100841511,14768.32,Independent Living Alliance,
Manchester City Council,Libraries and Theatres,Vehicle Plant Furniture and Equipment,2016-02-08,5100840290,13947.96,Computacenter (UK) Ltd,
Manchester City Council,Corporate Services,Transport Taxis,2016-02-08,1904982474,13667.50,Street Cars,
Manchester City Council,Adult Social Care,Seconded Employees,2016-02-08,5100841077,13340.19,Oldham Borough Council,
Manchester City Council,Housing General Fund,Professional fees,2016-02-08,5100841449,13000.00,Manchester Care & Repair Ltd,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2016-02-08,5100840291,11265.66,Computacenter (UK) Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840667,11081.28,Turner & Townsend Project,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840860,11043.75,Aecom Infrastructure & Environment,
Manchester City Council,Corporate Services,Professional fees,2016-02-08,1904981027,10460.00,Aldgate Press Limited,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840098,10250.00,JCT Travel Ltd,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-08,1904975585,10000.00,Abney Garsden Mcdonald,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-08,1904980815,10000.00,Abney Garsden Mcdonald,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840691,9994.00,Ove Arup & Partners Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-08,5100841133,9750.00,One Education Ltd,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-08,1904975563,9719.97,Beesley & Co Solicitors,
Manchester City Council,Adult Social Care,Payments for services,2016-02-08,5100840698,9460.00,Arch Initiatives,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100840256,9000.00,Debbie Hunton Education Consultancy,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840665,8817.91,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-08,5100840375,8316.00,Prism Medical UK Carefree Division,
Manchester City Council,Adult Social Care,Payments for services,2016-02-08,5100841434,8099.05,Embrace All Ltd,
Manchester City Council,Regeneration Finance,Insurance,2016-02-08,1904975012,7831.65,Knight Frank LLP,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840481,7802.24,Turner & Townsend Cost,
Manchester City Council,Manchester Leisure,Contract Cleaning External,2016-02-08,5100831906,7578.22,Mitie Cleaning & Environmental,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840398,7574.52,Turner & Townsend Cost,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840673,6582.17,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-08,5100840897,6498.60,Wai Yin Society,
Manchester City Council,Adult Social Care,Payments for services,2016-02-08,5100841436,6311.92,Lakeside School,
Manchester City Council,Hospitality + Trading Services,Equipment,2016-02-08,5100840269,5795.00,Siemens Plc,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840111,5405.00,D.J. Minibus Travel,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840473,5393.25,Turner & Townsend Cost,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,2016-02-08,5100841536,5363.30,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-08,5100841418,5312.50,Pure Innovations Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-08,5100841420,5222.33,SIG Roofing Supplies,
Manchester City Council,Adult Social Care,Removal and Storage of Furniture,2016-02-08,5100841605,5150.00,Stockport Removals & Storage Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-08,5100841422,5144.54,SIG Roofing Supplies,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840453,5087.25,Turner & Townsend Project,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840444,4794.00,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Payments for services,2016-02-08,5100841424,4745.92,Penarth Group School,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840441,4743.00,Turner & Townsend Cost,
Manchester City Council,Insurance Fund,Insurance,2016-02-08,1904975588,4680.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Payments for services,2016-02-08,5100841440,4433.00,Cumberland & Westmorland,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-08,5100840221,4227.50,Street League,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840395,4183.00,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840623,4038.00,Mallons Minibus Travel,
Manchester City Council,Adult Social Care,Payments for services,2016-02-08,5100841426,3727.25,Cumberland & Westmorland,
Manchester City Council,Manchester Leisure,Special Events,2016-02-08,5100840601,3600.00,Scaff-Hire Services Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-08,5100840514,3336.45,LDS Motor Bodies Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-08,1904975584,3326.64,Department For Work & Pensions,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-08,5100840471,3167.00,Chatsworth High School & College,
Manchester City Council,Adult Social Care,Payments for services,2016-02-08,5100841646,3026.37,Chaigeley Education Foundation,
Manchester City Council,Adult Social Care,Equipment,2016-02-08,5100841592,3000.00,Chrysalis Associates Ltd,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904969016,3000.00,Tone and Trim,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840669,2853.45,Turner & Townsend Cost,
Manchester City Council,Corporate Services,Landline Telephone Charges,2016-02-08,1904981014,2684.56,BT PLC,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-08,1904975576,2650.00,Paul Rooney Solicitors,
Manchester City Council,Environment and Operations,Licences Purchase,2016-02-08,5100840432,2643.93,Symology Limited,
Manchester City Council,Hospitality + Trading Services,Landline Telephone Charges,2016-02-08,1904981014,2543.35,BT PLC,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-08,5100841057,2531.25,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Manchester Leisure,Grant Payments,2016-02-08,5100840881,2500.00,Castlefield Gallery Limited,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-08,1904980939,2412.65,Chelsea & Westminster Hosp NHSFT,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,2362.35,BT PLC,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840930,2280.00,Taxi Team Limited,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840929,2242.00,Taxi Team Limited,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,2016-02-08,5100841537,2240.55,Manchester Working Ltd,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904975579,2204.57,Healthy Me Healthy Communities,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-08,1904970486,2160.00,Friends of Blackley Cemetery,
Manchester City Council,Manchester Leisure,Equipment,2016-02-08,5100840385,2096.00,Sitelink Communications Ltd,
Manchester City Council,Manchester Leisure,Equipment,2016-02-08,5100840387,2096.00,Sitelink Communications Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840096,2090.00,DMC Travel,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840931,2071.00,Taxi Team Limited,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-08,5100841059,2037.09,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840104,2033.00,Redacted Personal Information,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904971102,2000.00,Greater Manchester Faith & Tourism,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-08,5100841236,1980.00,Kloeckner Metals UK,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840095,1960.00,DMC Travel,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-08,5100840106,1956.67,Sale High School,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840231,1907.00,T/a K Travel,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840932,1900.00,Taxi Team Limited,
Manchester City Council,Manchester Leisure,Landline Telephone Charges,2016-02-08,1904981014,1871.37,BT PLC,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,1806.11,BT PLC,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840252,1800.00,T/A Beresford Travel,
Manchester City Council,Chief Executives,Telecoms Maintenance,2016-02-08,5100840564,1800.00,T.I.S. Limited,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-08,5100840186,1785.00,A P Broome Landscapes Ltd,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-08,5100841357,1712.49,Cheshire East Borough Council,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100841026,1710.00,Liddle Hackney Carriage,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841003,1610.00,Capita  Resourcing Ltd,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,1603.91,BT PLC,
Manchester City Council,Manchester Leisure,Landline Telephone Charges,2016-02-08,1904981014,1594.00,BT PLC,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904964975,1593.00,Simply Cycling - Wyth Wheelers,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-08,5100841423,1588.93,SIG Roofing Supplies,
Manchester City Council,Adult Social Care,Equipment,2016-02-08,5100841394,1585.00,Computeam Limited,
Manchester City Council,Corporate Services,Tele Conferencing,2016-02-08,1904969382,1561.05,BT Conferencing Services,
Manchester City Council,Adult Social Care,Furniture,2016-02-08,5100841875,1508.36,The Furnishing Service Ltd,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2016-02-08,5100841366,1500.00,Arboricultural Services Treework,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904970918,1500.00,Wai Yin Society,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2016-02-08,5100841514,1478.00,Turner & Townsend Cost,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904980919,1458.00,The Samatha Trust,
Manchester City Council,Adult Social Care,Payments for services,2016-02-08,5100841482,1450.00,Bibby Factors Manchester Ltd,
Manchester City Council,Regeneration Finance,Landline Telephone Charges,2016-02-08,5100841197,1440.00,T.I.S. Limited,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904969022,1398.00,West Gorton Community Partnership,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-08,5100840444,1390.26,Turner & Townsend Cost,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-08,5100841528,1384.92,Experian  Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840117,1350.00,APL Coachhire,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-08,5100840097,1330.00,DMC Travel,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-08,1904982298,1308.73,Brake Bros Foodservice Ltd,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904981024,1260.00,Friends of Blackley Forest,
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-08,1904975595,1250.00,Redacted Personal Information,
Manchester City Council,GMIST (Greater Mcr Integrated),Training and Development,2016-02-08,5100840713,1217.70,Trafford M B C,
Manchester City Council,Adult Social Care,Funeral and coroner related services,2016-02-08,5100840781,1212.00,Funeral Prtnrs t/a Michael Kennedy,
Manchester City Council,Corporate Services,Professional fees,2016-02-08,1904982120,1183.20,Glasdon U.K. Limited,
Manchester City Council,Hospitality + Trading Services,Landline Telephone Charges,2016-02-08,1904981014,1119.67,BT PLC,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-08,5100841003,1114.65,Capita  Resourcing Ltd,
Manchester City Council,Manchester Leisure,Landline Telephone Charges,2016-02-08,1904981014,1109.08,BT PLC,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-08,5100841072,1079.87,The Stroke Association,
Manchester City Council,Adult Social Care,Funeral and coroner related services,2016-02-08,1904981161,1057.40,Farrer & Co,
Manchester City Council,Adult Social Care,Professional fees,2016-02-08,5100840772,1050.00,Action First iPeople Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841831,1049.11,The Furnishing Service Ltd,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,2016-02-08,5100840159,1000.00,Aquam Water Services Limited,
Manchester City Council,Regeneration Finance,Printing,2016-02-08,5100840525,972.00,Cardentity Ltd,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-08,1904980935,971.20,Redacted Personal Information,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841003,967.75,Capita  Resourcing Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841011,967.75,Randstad Care,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841823,959.53,The Furnishing Service Ltd,
Manchester City Council,Chief Executives,Telecoms Maintenance,2016-02-08,5100840568,952.00,T.I.S. Limited,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,947.63,BT PLC,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841091,920.16,SRA Cover Staff Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841797,912.50,The Furnishing Service Ltd,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-08,1904980936,902.96,Redacted Personal Information,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-08,5100840183,900.00,A P Broome Landscapes Ltd,
Manchester City Council,Environment and Operations,Landline Telephone Charges,2016-02-08,5100840566,900.00,T.I.S. Limited,
Manchester City Council,Environment and Operations,Landline Telephone Charges,2016-02-08,5100841199,900.00,T.I.S. Limited,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-08,5100841671,896.00,Clearview Event Services Limited,
Manchester City Council,Manchester Leisure,Equipment,2016-02-08,5100840383,875.00,Sitelink Communications Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-08,5100841496,870.00,Bibby Factors Manchester Ltd,
Manchester City Council,Adult Social Care,Furniture,2016-02-08,5100842019,867.76,The Furnishing Service Ltd,
Manchester City Council,Chief Executives,Printing,2016-02-08,5100840902,861.50,Mail Solutions,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,861.12,BT PLC,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841091,843.38,SRA Cover Staff Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-08,1904975269,836.13,Askews and Holts,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,835.78,BT PLC,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841971,832.03,The Furnishing Service Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841091,830.40,SRA Cover Staff Ltd,
Manchester City Council,Chief Executives,Printing,2016-02-08,5100840424,825.00,Silk Group Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-08,5100841237,813.90,Kloeckner Metals UK,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841091,810.21,SRA Cover Staff Ltd,
Manchester City Council,Childrens Services,Building Works,2016-02-08,5100840503,797.02,Capita IT Services (BSF) Limited,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-08,1904980923,791.58,Advanced Child Care Assessments,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841854,789.67,The Furnishing Service Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-08,5100840672,786.14,LDS Motor Bodies Ltd,
Manchester City Council,Adult Social Care,Training and Development,2016-02-08,5100841459,780.00,The Manchester College,
Manchester City Council,Adult Social Care,Training and Development,2016-02-08,5100841509,780.00,The Manchester College,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841808,758.34,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841962,758.34,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841851,757.13,The Furnishing Service Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-08,5100840175,750.00,A P Broome Landscapes Ltd,
Manchester City Council,Childrens Services,Building Works,2016-02-08,5100840546,749.68,Capita IT Services (BSF) Limited,
Manchester City Council,Adult Social Care,Legal Fees,2016-02-08,1904982084,749.00,NATIONALITY DIRECTORAT,
Manchester City Council,Manchester Leisure,Landline Telephone Charges,2016-02-08,1904981014,748.71,BT PLC,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841752,747.61,The Furnishing Service Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-08,1904982326,745.79,Brake Bros Foodservice Ltd,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-08,1904980924,733.05,Avr Transcription Ltd,
Manchester City Council,Adult Social Care,Rents,2016-02-08,5100841239,728.60,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Rents,2016-02-08,5100841244,725.44,Mosscare Housing Ltd,
Manchester City Council,Chief Executives,Printing,2016-02-08,5100840274,700.00,Contact Photographic Services Ltd,
Manchester City Council,Corporate Services,Compensation Payments,2016-02-08,1904982169,696.00,HMCTS (Manchester),
Manchester City Council,Adult Social Care,Rents,2016-02-08,5100841234,695.68,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Rents,2016-02-08,5100841235,695.68,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Rents,2016-02-08,5100841246,695.68,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Professional fees,2016-02-08,1904975589,692.64,Susan McColl & Associates,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841091,692.00,SRA Cover Staff Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841777,689.13,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841793,689.13,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841974,689.13,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841975,689.13,The Furnishing Service Ltd,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-08,1904980928,683.70,Redacted Personal Information,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841786,681.88,The Furnishing Service Ltd,
Manchester City Council,Hospitality + Trading Services,Legal Fees,2016-02-08,5100840904,675.00,Redacted Personal Information,
Manchester City Council,Chief Executives,Landline Telephone Charges,2016-02-08,1904981014,660.09,BT PLC,
Manchester City Council,Adult Social Care,Equipment,2016-02-08,5100841126,648.95,Back Care Solutions Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-08,1904982114,648.81,Wilds of Oldham,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,642.78,BT PLC,
Manchester City Council,Corporate Services,Landline Telephone Charges,2016-02-08,1904981014,642.32,BT PLC,
Manchester City Council,Chief Executives,Catering,2016-02-08,5100840107,641.80,Manchester Central,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,641.29,BT PLC,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-08,1904975569,637.50,Bolt Burdon Solicitors,
Manchester City Council,Environment and Operations,Landline Telephone Charges,2016-02-08,1904981014,630.21,BT PLC,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-08,5100841341,630.00,GHL Liftrucks Ltd,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,620.72,BT PLC,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,619.04,BT PLC,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841091,609.95,SRA Cover Staff Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841863,608.84,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841822,608.82,The Furnishing Service Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-08,1904975275,600.00,Askews and Holts,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,598.42,BT PLC,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,596.18,BT PLC,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841957,596.07,The Furnishing Service Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-08,1904982109,594.95,Wilds of Oldham,
Manchester City Council,Adult Social Care,Training and Development,2016-02-08,5100841507,585.00,The Manchester College,
Manchester City Council,Manchester Leisure,Landline Telephone Charges,2016-02-08,1904981014,581.29,BT PLC,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841760,572.89,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841795,572.89,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841803,572.89,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841844,572.89,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841961,572.89,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841970,572.89,The Furnishing Service Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-08,5100841091,568.64,SRA Cover Staff Ltd,
Manchester City Council,Environment and Operations,Landline Telephone Charges,2016-02-08,1904981014,568.22,BT PLC,
Manchester City Council,Adult Social Care,Landline Telephone Charges,2016-02-08,1904981014,567.85,BT PLC,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2016-02-08,1904982202,564.20,FARROW & BALL LIMI,
Manchester City Council,Libraries and Theatres,Landline Telephone Charges,2016-02-08,1904981014,563.77,BT PLC,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-08,1904982300,559.70,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-08,1904982292,541.52,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-08,1904982276,539.61,Brake Bros Foodservice Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841967,532.13,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841969,525.86,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Furniture,2016-02-08,5100841799,524.65,The Furnishing Service Ltd,
Manchester City Council,Chief Executives,Advertising,2016-02-08,1904982134,519.15,Facebook (CARD ONLY),
Manchester City Council,Hospitality + Trading Services,Landline Telephone Charges,2016-02-08,1904981014,503.47,BT PLC,
Manchester City Council,Hospitality + Trading Services,Landline Telephone Charges,2016-02-08,1904981014,500.05,BT PLC,
Manchester City Council,Manchester Leisure,Grant Payments,2016-02-08,5100840259,500.00,Zion Arts Centre Ltd,
Manchester City Council,Manchester Leisure,Grant Payments,2016-02-08,5100841617,500.00,Comma Press,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904980984,500.00,St Crispins Parochial Church Ccl,
Manchester City Council,Regeneration Finance,Grant Payments,2016-02-08,1904980810,500.00,Withington Civic Society,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2016-02-09,5100841800,154166.66,National Football Museum,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-09,5100841678,57659.91,Manchester Working Ltd,
Manchester City Council,Corporate Services,CRB Fees,2016-02-09,5100842013,28154.00,Disclosure & Barring Service,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-09,5100842037,27734.63,Manchester Womens Aid,
Manchester City Council,Adult Social Care,Payment of School Budget Share,2016-02-09,5100842113,17995.60,Southern Cross School,
Manchester City Council,Adult Social Care,Payment of School Budget Share,2016-02-09,5100842122,17955.60,Southern Cross School,
Manchester City Council,Adult Social Care,Payment of School Budget Share,2016-02-09,5100842125,17955.60,Southern Cross School,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-09,5100841062,15941.25,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-09,5100841949,12916.00,Young People Support Foundation Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-09,5100842037,12800.44,Manchester Womens Aid,
Manchester City Council,Adult Social Care,Professional fees,2016-02-09,5100842075,12345.00,Time Specialist Support Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-09,5100841084,11195.41,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-09,5100842130,10898.70,Central Manchester University Hosp,
Manchester City Council,Chief Executives,Printing,2016-02-09,5100840692,8900.00,Browns CTP Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-09,5100841583,8586.04,Talbot House Support Centre,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-09,5100841397,6662.33,Making Space,
