Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691921,35000.00,Fentons Solicitors Part of
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691992,15389.10,Equita Ltd
Manchester City Council,Corporate Services,Rents,2015-07-01,1904680044,13706.02,Asda Stores Ltd (Leeds)
Manchester City Council,Corporate Services,Legal Fees,2015-07-01,1904697746,10110.00,HMCTS (Manchester)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697559,10027.10,Pollock Lifts Ltd
Manchester City Council,Chief Executives,Compensation Payments,2015-07-01,1904698351,8830.00,HMCTS (Manchester County Court)
Manchester City Council,Corporate Services,Rents,2015-07-01,1904683980,8226.58,Aprirose Ltd
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,2015-07-01,5100801321,8032.50,Buro Happold Limited
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691933,7084.45,Department For Work & Pensions
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697563,5586.00,Astor-Bannerman (Medical) Ltd
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697564,5417.00,Stannah Lift Services Ltd
Manchester City Council,Corporate Services,Non Housing Rent Receipts,2015-07-01,1904673202,5213.36,Manchester Working Ltd
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691990,4799.95,Equita Ltd
Manchester City Council,Hospitality + Trading Services,Cash Collection,2015-07-09,5100802714,4594.25,G4S Cash Solutions (Uk) Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-09,5100802827,4586.04,The Together Trust,
Manchester City Council,Adult Social Care,Payments for services,2015-07-09,5100802809,4458.65,The Together Trust,
Manchester City Council,Adult Social Care,Payments for services,2015-07-09,5100802685,4402.00,St John Vianney School,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-09,5100802333,4202.62,"Groundwork Manchester, Salford",
Manchester City Council,Adult Social Care,Payments for services,2015-07-09,5100802815,3821.70,The Together Trust,
Manchester City Council,Chief Executives,Rents,2015-07-09,5100802683,3600.00,Principal Agent Management Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-09,5100801364,2983.25,Rosgal Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2015-07-09,1904698112,2876.00,Department For Work & Pensions,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-09,5100801778,2807.00,Independence Mobility Limited,
Manchester City Council,Adult Social Care,Equipment,2015-07-09,5100802848,2749.00,Independent Life Solutions,
Manchester City Council,Adult Social Care,Rents,2015-07-09,5100802790,2654.12,Mosscare Housing Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802692,2596.00,Dawson Rentals Sweepers,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802696,2596.00,Dawson Rentals Sweepers,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-09,5100802668,2532.00,Federation of Jewish Services,
Manchester City Council,Manchester Leisure,Hire of Premises,2015-07-09,5100802935,2520.00,Cedar Mount Academy,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802922,2448.00,John Martin Devine Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-09,5100803034,2443.75,Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802721,2433.34,Dawson Rentals Sweepers,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-09,5100803037,2375.00,Hays Personnel,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-09,5100802774,2371.67,HBS (UK) Cleaning Services Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-09,5100803036,2250.00,Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802698,2134.00,Dawson Rentals Sweepers,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802700,2134.00,Dawson Rentals Sweepers,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802701,2134.00,Dawson Rentals Sweepers,
Manchester City Council,Corporate Services,Postage,2015-07-09,5100801955,2066.57,Royal Mail Group Plc,
Manchester City Council,Chief Executives,Infrastructure Fees,2015-07-09,5100803038,2025.00,Hays Personnel,
Manchester City Council,Chief Executives,Infrastructure Fees,2015-07-09,5100803032,2000.00,Hays Personnel,
Manchester City Council,Adult Social Care,Equipment,2015-07-09,5100802106,1995.60,Drive Medical Limited,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-09,5100801780,1960.00,Independence Mobility Limited,
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,2015-07-09,5100802689,1935.61,Creative Support Limited,
Manchester City Council,Adult Social Care,Travel,2015-07-09,1904701097,1930.50,R.S.P. Ltd Br Business Systems Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802865,1888.00,Dawson Rentals Sweepers,
Manchester City Council,Chief Executives,Infrastructure Fees,2015-07-09,5100803031,1870.00,Hays Personnel,
Manchester City Council,Environment and Operations,Agency staff provision,2015-07-09,5100803039,1797.20,Hays Personnel,
Manchester City Council,Chief Executives,Construction Works,2015-07-09,5100801396,1793.00,Lock It Safe Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802723,1781.55,Dawson Rentals Sweepers,
Manchester City Council,Adult Social Care,Day Care Payments,2015-07-09,5100802544,1773.78,Age Concern Manchester,
Manchester City Council,Chief Executives,Postage,2015-07-09,1904699603,1738.72,Royal Mail Group Plc,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-09,5100803030,1725.00,Hays Personnel,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-09,5100803035,1725.00,Hays Personnel,
Manchester City Council,Adult Social Care,Travel,2015-07-09,1904675827,1659.90,R.S.P. Ltd Br Business Systems Ltd,
Manchester City Council,Chief Executives,Printing,2015-07-09,5100802142,1600.00,Astra Signs,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-09,5100803027,1500.00,Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Agency staff provision,2015-07-09,5100803028,1409.76,Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-09,5100802712,1300.00,Stretford Industrial Services Ltd,
Manchester City Council,Environment and Operations,Grounds Maintenance,2015-07-09,5100802225,1200.00,Clean-Up UK Limited,
Manchester City Council,Chief Executives,Advertising,2015-07-09,5100802919,1130.00,Christmas Markets.com,
Manchester City Council,Environment and Operations,Compensation Payments,2015-07-09,1904701109,1106.00,Fentons Solicitors Part of,
Manchester City Council,Adult Social Care,Funeral and coroner related services,2015-07-09,5100802012,1090.00,Funeral Prtnrs t/a Michael Kennedy,
Manchester City Council,Environment and Operations,Compensation Payments,2015-07-09,1904698053,1072.00,C B Conditioning,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-09,5100791748,1059.00,Indian Senior Citizens Centre,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-09,5100802981,1038.50,R & M Developments Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-09,5100802945,1038.50,R & M Developments Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-09,5100802587,1028.00,Federation of Jewish Services,
Manchester City Council,Chief Executives,Postage,2015-07-09,5100801423,1026.21,Royal Mail Group Plc,
Manchester City Council,Adult Social Care,Payments for services,2015-07-09,5100802813,1019.12,The Together Trust,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-09,5100802952,1012.50,R & M Developments Ltd,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-09,1904692084,1000.00,Premier Management Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-09,5100801468,968.45,Semester Recruitment Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-09,5100802870,968.45,Semester Recruitment Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-09,5100802686,967.00,Aquinas College,
Manchester City Council,Hospitality + Trading Services,Rents,2015-07-09,1904683854,957.36,National Car Parks Ltd Season Ticke,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-09,5100801474,949.55,Semester Recruitment Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-09,5100802873,949.55,Semester Recruitment Ltd,
Manchester City Council,Adult Social Care,Travel,2015-07-09,1904675827,941.90,R.S.P. Ltd Br Business Systems Ltd,
Manchester City Council,Adult Social Care,Hire of Premises,2015-07-09,5100802989,925.00,Whitemoss Club For Young People,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-09,5100801839,919.00,Independence Mobility Limited,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-09,5100802939,913.50,R & M Developments Ltd,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-09,5100802763,910.29,University Of Manchester,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2015-07-09,5100802238,900.00,Clean-Up UK Limited,
Manchester City Council,Adult Social Care,Professional fees,2015-07-09,5100802787,900.00,Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-09,1904709794,896.44,Brake Bros Foodservice Ltd,
Manchester City Council,Chief Executives,Compensation Payments,2015-07-09,1904708515,850.00,Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,2015-07-09,5100802900,849.50,Alliance Disposables Ltd,
Manchester City Council,Chief Executives,Printing,2015-07-09,5100802144,820.00,Astra Signs,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-09,1904709839,815.17,BRAMBLES FOODS LTD,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-09,1904709941,808.00,Ecomix Concrete Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-09,5100802986,780.00,4CT Limited,
Manchester City Council,Chief Executives,Vehicle Hire Costs,2015-07-09,5100802202,750.75,Manchester Van Hire Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-09,5100801510,720.00,Semester Recruitment Ltd,
Manchester City Council,Adult Social Care,Equipment,2015-07-09,5100802849,707.00,Independent Life Solutions,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-09,5100802961,672.00,John Martin Devine Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2015-07-09,1904701103,637.00,Department For Work & Pensions,
Manchester City Council,Chief Executives,Vehicle Hire Costs,2015-07-09,5100802858,624.00,Premier Chauffeur Services,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-09,5100802941,623.10,R & M Developments Ltd,
Manchester City Council,Adult Social Care,Professional fees,2015-07-09,5100802704,603.00,Alere Toxicology Plc,
Manchester City Council,Adult Social Care,Travel,2015-07-09,1904701097,588.30,R.S.P. Ltd Br Business Systems Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-09,1904709816,576.52,Brake Bros Foodservice Ltd,
Manchester City Council,Regeneration Finance,Agency staff provision,2015-07-09,5100803033,570.57,Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-09,1904709784,555.58,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-09,1904709734,552.24,Brake Bros Foodservice Ltd,
Manchester City Council,Regeneration Finance,Stationery,2015-07-09,5100803002,511.93,XMA Limited,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-09,5100802978,508.24,Badenoch & Clark,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-09,5100802997,750.00,Hulme Community Garden Centre,
Manchester City Council,Chief Executives,Construction Works,2015-07-09,5100802934,1793.00,Lock It Safe Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2015-07-09,5100802864,1888.00,Dawson Rentals Sweepers,
Manchester City Council,Chief Executives,Rents,2015-07-09,5100802679,3600.00,Principal Agent Management Ltd,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2015-07-09,5100802944,5387.00,Turner & Townsend Cost,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2015-07-09,5100802944,6555.00,Turner & Townsend Cost,
Manchester City Council,Environment and Operations,Refuse Collection,2015-07-09,5100802788,27500.00,Clean-Up UK Limited,
Manchester City Council,Adult Social Care,CAMC/Not assigned,2015-07-09,5100802954,3276101.00,Central Manchester University Hosp,
Manchester City Council,Hospitality + Trading Services,Rents,2015-07-10,5100802367,386690.24,Savills (UK) Ltd,
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,2015-07-10,5100801392,107811.32,Keepmoat Regeneration Ltd,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-10,5100789632,102536.08,University Hospital of South Mcr,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-10,5100803020,102536.08,University Hospital of South Mcr,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-10,5100803023,102536.08,University Hospital of South Mcr,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-10,5100801613,57037.94,Manchester Van Hire Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100803024,41625.37,Mantax Radio Taxis Ltd,
Manchester City Council,Environment and Operations,Equipment,2015-07-10,5100801422,34993.95,Enterprise Manchester DOMESTIC,
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,2015-07-10,5100802980,34453.88,Manchester Energy Company Limited,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2015-07-10,5100802283,29967.79,Wates Construction Ltd,
Manchester City Council,Environment and Operations,Equipment,2015-07-10,5100801422,29622.53,Enterprise Manchester DOMESTIC,
Manchester City Council,Adult Social Care,Payments for services,2015-07-10,5100803201,28300.00,United Response,
Manchester City Council,Environment and Operations,Equipment,2015-07-10,5100801421,27768.00,Enterprise Manchester DOMESTIC,
Manchester City Council,Adult Social Care,Payments for services,2015-07-10,5100803198,24277.00,United Response,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-10,5100789632,22807.26,University Hospital of South Mcr,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-10,5100803020,22807.26,University Hospital of South Mcr,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-10,5100803023,22807.26,University Hospital of South Mcr,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2015-07-10,5100801873,20655.00,Esteem,
Manchester City Council,Chief Executives,Infrastructure Fees,2015-07-10,5100801371,19353.19,Access Computer Consulting plc,
Manchester City Council,Adult Social Care,Rents,2015-07-10,5100801378,18804.93,United Property Management Ltd,
Manchester City Council,Adult Social Care,Rents,2015-07-10,5100801890,18665.64,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Rents,2015-07-10,5100801894,18665.64,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Rents,2015-07-10,5100801903,18665.64,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-10,5100802066,17500.00,Carers Federation Limited,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-10,5100803202,17319.00,Back On Track,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2015-07-10,5100803074,13368.65,G & A Taylor Hotels Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-10,5100801427,12075.00,Nacro,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-10,5100789632,11917.33,University Hospital of South Mcr,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-10,5100803020,11917.33,University Hospital of South Mcr,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-10,5100803023,11917.33,University Hospital of South Mcr,
Manchester City Council,Adult Social Care,Payments for services,2015-07-10,5100803075,11864.02,H.G. Care Services Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801434,11790.80,Parkway Cabs & Cars,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-10,5100801749,11407.95,DISC Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-10,5100801427,10350.00,Nacro,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-10,5100801427,9775.00,Nacro,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-10,5100801752,9655.84,Gatenby Sanderson,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-10,5100803259,9630.43,Burnt Tree Group Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-10,5100803260,9186.26,Burnt Tree Group Ltd,
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,2015-07-10,5100802659,9000.00,Buttress,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-10,5100803018,8586.04,Talbot House Support Centre,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-10,5100803088,8413.00,The Shaw Centre,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801783,8250.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801710,7746.00,Galaxy Cars (Manchester) Limited,
Manchester City Council,Adult Social Care,Professional fees,2015-07-10,5100803053,7350.38,H.G. Care Services Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-10,5100801752,7320.00,Gatenby Sanderson,
Manchester City Council,Hospitality + Trading Services,Payments to Contractors,2015-07-10,5100801713,6972.67,National Car Parks Ltd Season Ticke,
Manchester City Council,Chief Executives,Building Works,2015-07-10,5100802947,6555.00,Turner & Townsend Cost,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-10,5100803108,6334.57,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-10,5100803089,5983.33,The Shaw Centre,
Manchester City Council,Manchester Leisure,Contract Cleaning External,2015-07-10,5100802999,5845.66,Mitie Cleaning & Environmental,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801429,5610.00,D.J. Minibus Travel,
Manchester City Council,Chief Executives,Building Works,2015-07-10,5100802947,5387.00,Turner & Townsend Cost,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-10,5100803046,5211.58,Mott Macdonald Uk Limited,
Manchester City Council,Manchester Leisure,Payments for services,2015-07-10,5100801869,5000.00,Greater Manchester Community,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2015-07-10,5100801874,4951.36,Capita IT Services (BSF) Limited,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2015-07-10,5100801359,4851.00,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801313,4504.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801317,4268.00,Youbus Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-10,5100802979,4000.00,Five Plus Architects Limited,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-10,5100802743,4000.00,Five Plus Architects Limited,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-10,5100801820,3850.00,Rosgal Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-10,5100802606,3696.00,TTP Communities Ltd,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,2015-07-10,5100801671,3532.00,Robinsons Preservation Limited,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2015-07-10,5100801812,3468.00,FleetMatics,
Manchester City Council,Hospitality + Trading Services,Courier Costs,2015-07-10,5100803009,3332.00,Scalamander Business Services Ltd,
Manchester City Council,Hospitality + Trading Services,Courier Costs,2015-07-10,5100803010,3332.00,Scalamander Business Services Ltd,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2015-07-10,5100801751,3264.00,FleetMatics,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-10,5100803078,3249.25,Tameside Metropolitan Borough,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2015-07-10,5100801414,3210.00,Turner & Townsend Cost,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2015-07-10,5100801414,3210.00,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-10,5100801748,3200.33,DISC Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2015-07-10,5100801456,2908.80,Weedfree Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2015-07-10,5100801452,2782.33,Weedfree Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2015-07-10,5100801459,2782.33,Weedfree Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801904,2750.00,Belle Vue Manchester,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2015-07-10,5100801844,2750.00,Civica UK Ltd,
Manchester City Council,Adult Social Care,Rents,2015-07-10,5100803193,2654.12,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801683,2640.00,DMC Travel,
Manchester City Council,Adult Social Care,Payments for services,2015-07-10,5100802632,2376.00,TTP Communities Ltd,
Manchester City Council,Manchester Leisure,Grounds Maintenance,2015-07-10,5100801855,2357.25,Iss Facility Services Limited,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-10,5100803153,2345.25,Manchester Bangladeshi Womens Organ,
Manchester City Council,Chief Executives,Postage,2015-07-10,1904708050,2200.00,Royal Mail Group Plc,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-10,5100802033,2175.00,Triad Resourcing,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801650,2146.00,APL Coachhire,
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2015-07-10,5100803123,2059.40,Wolseley Util Ltd T/A Burdens,
Manchester City Council,Manchester Leisure,Professional fees,2015-07-10,1904708507,2000.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801430,1980.00,JKR Travel,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100801690,1958.00,DMC Travel,
Manchester City Council,Chief Executives,Postage,2015-07-10,5100792065,1948.28,Royal Mail Group Plc,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2015-07-10,5100801458,1897.04,Weedfree Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2015-07-10,5100801521,1896.75,Weedfree Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2015-07-10,5100801522,1896.75,Weedfree Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-10,5100802799,1892.00,T/a K Travel,
Manchester City Council,Adult Social Care,Payments for services,2015-07-10,5100802630,1848.00,TTP Communities Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-10,5100802604,1848.00,TTP Communities Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-10,5100802033,1840.00,Triad Resourcing,
Manchester City Council,Chief Executives,Construction Works,2015-07-10,5100802948,1793.00,Lock It Safe Ltd,
Manchester City Council,Chief Executives,Infrastructure Fees,2015-07-10,5100802033,1725.00,Triad Resourcing,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",2015-07-10,5100802390,1705.08,The Furnishing Service Ltd,
Manchester City Council,Manchester Leisure,Professional fees,2015-07-10,5100801420,1677.00,W S Education,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2015-07-10,5100801753,1632.00,FleetMatics,
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,2015-07-10,5100801622,1621.01,M & M Cleaning Services Ltd,
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2015-07-10,5100801830,1585.00,Fairway Landscapes Ltd,
Manchester City Council,Corporate Services,CRB Fees,2015-07-10,5100802596,1582.50,United Medicare Ltd,
Manchester City Council,Chief Executives,Postage,2015-07-10,5100800229,1537.51,Royal Mail Group Plc,
Manchester City Council,Hospitality + Trading Services,Internal Repairs and Maintenance for buildings,2015-07-10,5100802420,1526.90,Humi-Tech Services Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2015-07-10,5100802344,1514.41,Faun Zoeller (UK) Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-10,5100803155,1498.12,H.G. Care Services Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-10,5100801525,1393.80,Lloyd Evans Prichard Ltd,
Manchester City Council,Chief Executives,Postage,2015-07-10,5100792066,1385.63,Royal Mail Group Plc,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2015-07-10,5100801871,1380.67,Capita IT Services (BSF) Limited,
Manchester City Council,Manchester Leisure,Professional fees,2015-07-10,5100801845,1375.00,Civica UK Ltd,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2015-07-10,5100801374,1360.00,Mecanoo,
Manchester City Council,Adult Social Care,Equipment,2015-07-10,5100803087,1200.00,Mountway Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-10,5100803157,1173.00,H.G. Care Services Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-10,5100801954,1140.00,Northern Marking Limited,
Manchester City Council,Libraries and Theatres,Building Materials for direct delivery,2015-07-10,5100803183,1130.00,Keepmoat Regeneration Ltd,
Manchester City Council,Childrens Services,Building Works,2015-07-10,5100801872,1118.24,Capita IT Services (BSF) Limited,
Manchester City Council,Corporate Services,Furniture,2015-07-10,5100803172,1115.35,Back Care Solutions Ltd,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-10,5100801929,1090.00,Fisc Healthcare,
Manchester City Council,Adult Social Care,Funeral and coroner related services,2015-07-10,5100802036,1088.00,Funeral Prtnrs t/a Michael Kennedy,
Manchester City Council,Chief Executives,Printing,2015-07-10,5100802902,1050.00,Astra Signs,
Manchester City Council,Adult Social Care,Funeral and coroner related services,2015-07-10,5100802037,1048.00,Funeral Prtnrs t/a Michael Kennedy,
Manchester City Council,Adult Social Care,Rents,2015-07-10,5100801926,1043.52,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-10,5100803085,1024.00,Mountway Ltd,
Manchester City Council,Adult Social Care,Equipment,2015-07-10,5100803090,1000.00,Mountway Ltd,
Manchester City Council,Chief Executives,Printing,2015-07-10,5100802674,990.54,Service Point,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-10,5100801524,975.00,Lloyd Evans Prichard Ltd,
Manchester City Council,Environment and Operations,Vehicle Fuel Costs,2015-07-10,5100802083,936.79,Carlton Fuels Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2015-07-10,5100802603,914.39,Johnston Sweepers,
Manchester City Council,Chief Executives,Printing,2015-07-10,5100801719,860.00,Chapel Press Ltd,
Manchester City Council,Housing Revenue Account,Professional fees,2015-07-10,5100802349,821.68,Mpulse Ltd,
Manchester City Council,Regeneration Finance,Contract Cleaning External,2015-07-10,5100801620,807.52,M & M Cleaning Services Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-10,5100803151,749.20,Lafarge Tarmac Trading Ltd,
