Date,Directorate,Service,Supplier,Invoice Line Value (net of VAT),Account
2010-09,Community Services,Cultural Services,DEBBIE WAISTELL,780,Artist payments
2010-09,Community Services,Cultural Services,DECORATIVE GLASS SUPPLIES LTD,787.99,Production Costs
2010-09,Community Services,Cultural Services,DENMOREPRESS,2610.00,EXTERNAL PRINTING
2010-09,Community Services,Cultural Services,DR CLIMBING WALLS INTERNATIONAL,1123.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,DURHAM CITY COACHES LTD,659.55,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,DURHAM CITY COACHES LTD,1648.96,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,DURHAM CITY COACHES LTD,671.07,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,DURHAM CITY COACHES LTD,1122.51,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,EDEN FARM LTD,505.85,CATERING PROVISIONS
2010-09,Community Services,Cultural Services,EDEN FARM LTD,1094.92,CATERING PROVISIONS
2010-09,Community Services,Cultural Services,EDEN FARM LTD,548.67,CATERING PROVISIONS
2010-09,Community Services,Cultural Services,EEMITS COMMUNICATIONS LTD,531.43,DLO RECHARGES
2010-09,Community Services,Cultural Services,ELIZABETH ROBINSON,600,Artist payments
2010-09,Community Services,Cultural Services,ELIZABETH ROBINSON,770,Artist payments
2010-09,Community Services,Cultural Services,ELIZABETH ROBINSON,500,PROFESSIONAL FEES & CONSULTANCY
2010-09,Community Services,Cultural Services,ENTERPRISE TRAVEL,1225.40,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,EPIC CREATIVE PRODUCTIONS LTD,5546.50,Artist payments
2010-09,Community Services,Cultural Services,EVENTFUL PRODUCTIONS,6124.18,Artist payments
2010-09,Community Services,Cultural Services,EXERCISE ANYWHERE LTD T/A NORDIC WALKING UK,934.79,EQUIPMENT
2010-09,Community Services,Cultural Services,FIERYLIGHT PEPPA LIMITED,16792.02,Artist payments
2010-09,Community Services,Cultural Services,FIONA KNOWLES,525,Artist payments
2010-09,Community Services,Cultural Services,FOOLS PARADISE LTD,1125.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,FOOLS PARADISE LTD,562.5,Other Supplies & Services
2010-09,Community Services,Cultural Services,FOOLS PARADISE LTD,2850.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,FOR YOUR EYES PEOPLE (FYEP),1338.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,FREEHAND THEATRE,595,Artist payments
2010-09,Community Services,Cultural Services,FULL BLOWN METALS,5000.00,Production Costs
2010-09,Community Services,Cultural Services,FULL HOUSE PRODUCTIONS,2434.17,Artist payments
2010-09,Community Services,Cultural Services,GENO WASHINGTON & THE RAM JAM BAND,2200.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,GEOGRAPHERS A-Z MAP COMPANY LIMITED,580.12,BOOKS
2010-09,Community Services,Cultural Services,GONZO MOOSE,950,Artist payments
2010-09,Community Services,Cultural Services,GROUP FOR EDUCATION IN MUSEUMS,511,CONFERENCES & SEMINARS
2010-09,Community Services,Cultural Services,HANDSHAKE LTD,5000.00,Artist payments
2010-09,Community Services,Cultural Services,HANDSHAKE LTD,10003.21,Artist payments
2010-09,Community Services,Cultural Services,HANDSHAKE LTD,6402.68,Artist payments
2010-09,Community Services,Cultural Services,HEINEKEN UK,1076.48,Bar Provisions
2010-09,Community Services,Cultural Services,HEINEKEN UK,1426.49,Bar Provisions
2010-09,Community Services,Cultural Services,IAN DICKENS PRODUCTIONS,1834.31,Artist payments
2010-09,Community Services,Cultural Services,IAN DICKENS PRODUCTIONS,22691.78,Artist payments
2010-09,Community Services,Cultural Services,INDOOR OUTDOOR,2750.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,INDOOR OUTDOOR,700,Other Supplies & Services
2010-09,Community Services,Cultural Services,INDOOR OUTDOOR,1200.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,INDOOR OUTDOOR,3300.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,INDOOR OUTDOOR,2629.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,INDOOR OUTDOOR,670,Other Supplies & Services
2010-09,Community Services,Cultural Services,INITIAL WASHROOM SOLUTIONS,7164.14,INSURANCE CLAIMS - NON TEACHING SUPPLY
2010-09,Community Services,Cultural Services,INSTITUTE OF SWIMMING LTD,680,TRAINING
2010-09,Community Services,Cultural Services,INTEGRATED UTILITY SERVICES,1043.90,EQUIPMENT
2010-09,Community Services,Cultural Services,J & C JOEL LTD,973,Production Costs
2010-09,Community Services,Cultural Services,J P LENNARD LTD,1988.20,EQUIPMENT
2010-09,Community Services,Cultural Services,JAMES SEABRIGHT,800,Artist payments
2010-09,Community Services,Cultural Services,JEFF DOBSON,791,EQUIPMENT
2010-09,Community Services,Cultural Services,JOHN GOOD LTD,611,PRINTING
2010-09,Community Services,Cultural Services,JORDAN PRODUCTIONS,11000.00,Artist payments
2010-09,Community Services,Cultural Services,JUST FOR LAUGHS LIVE,597.34,Artist payments
2010-09,Community Services,Cultural Services,KAJIMA DARLINGTON SCHOOL LTD,502.5,HOSPITALITY & ROOM HIRE
2010-09,Community Services,Cultural Services,KATZENJAMMER,709.35,Artist payments
2010-09,Community Services,Cultural Services,KENNY BALL,2400.00,Artist payments
2010-09,Community Services,Cultural Services,KENNY BALL,2628.04,Artist payments
2010-09,Community Services,Cultural Services,KONICA EAST DIRECT LTD,1037.65,Other Supplies & Services
2010-09,Community Services,Cultural Services,L & J BREWSTER,1600.00,Production Costs
2010-09,Community Services,Cultural Services,LINDSAY COULSON,1000.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,LITTLEWORLD LTD,950,Artist payments
2010-09,Community Services,Cultural Services,LLOYDS BRITISH TESTING CO LTD,560,DLO RECHARGES
2010-09,Community Services,Cultural Services,M & D TRAVEL,559,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,METRO BOULOT DODO LIMITED,1100.00,Artist payments
2010-09,Community Services,Cultural Services,MHG (SUPPLIES) LTD,2495.75,EQUIPMENT
2010-09,Community Services,Cultural Services,MIDDLE GROUND THEATRE COMPANY,28207.75,Artist payments
2010-09,Community Services,Cultural Services,MIDDLE GROUND THEATRE COMPANY,620,Programme Sales Paid to Others
2010-09,Community Services,Cultural Services,MIKE PENDRY DESIGN,600,REPAIRS AND MAINTENANCE
2010-09,Community Services,Cultural Services,MONSTER PARTIES LTD,1303.88,EQUIPMENT
2010-09,Community Services,Cultural Services,MONSTER PARTIES LTD,1269.89,EQUIPMENT
2010-09,Community Services,Cultural Services,MOUNTAIN ACTIVITY COMPANY,600,AGENCY STAFF COSTS - NON TEACHING
2010-09,Community Services,Cultural Services,MULTICORD,520,Production Costs
2010-09,Community Services,Cultural Services,MUSEUMS ASSOCIATION MEMBERSHIP,529.22,FEES & CHARGES GENERAL (STANDARD RATED VAT)
2010-09,Community Services,Cultural Services,NATIONAL EXPRESS LTD,6791.65,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,NATIONAL EXPRESS LTD,7755.50,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,NATIONAL EXPRESS LTD,6966.85,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,NES SERVICES LTD,500.48,SECURITY SERVICES
2010-09,Community Services,Cultural Services,NEW LINE GRAFFITI,540,Artist payments
2010-09,Community Services,Cultural Services,NORMAN TAYLOR,1116.00,Production Costs
2010-09,Community Services,Cultural Services,NORTH MUSIC TRUST,980,Artist payments
2010-09,Community Services,Cultural Services,NORTHERN ROUND DELIVERY SERVICES,1160.00,MARKETING & ADVERTISING
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,2074.47,WATER CHARGES
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,1643.90,WATER CHARGES
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,6203.29,WATER CHARGES
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,2233.53,WATER CHARGES
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,5135.46,WATER CHARGES
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,2213.56,WATER CHARGES
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,2550.99,WATER CHARGES
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,1123.24,WATER CHARGES
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,2873.76,WATER CHARGES
2010-09,Community Services,Cultural Services,NORTHUMBRIAN WATER,1974.93,WATER CHARGES
2010-09,Community Services,Cultural Services,OPERA NOVA,600,Artist payments
2010-09,Community Services,Cultural Services,OTIS PLC,10803.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,OTIS PLC,894,REPAIRS AND MAINTENANCE
2010-09,Community Services,Cultural Services,PARETO GOLF LTD,1065.00,EQUIPMENT
2010-09,Community Services,Cultural Services,PATTISON COACH HIRE,970,EQUIPMENT
2010-09,Community Services,Cultural Services,PETRA LLOYD,1700.00,Artist payments
2010-09,Community Services,Cultural Services,PETRA LLOYD,1500.00,Artist payments
2010-09,Community Services,Cultural Services,PHASE ONE,617.02,EQUIPMENT
2010-09,Community Services,Cultural Services,PHIL MCINTYRE,1815.54,Artist payments
2010-09,Community Services,Cultural Services,PHIL MCINTYRE ENTERTAINMENT,10612.27,Artist payments
2010-09,Community Services,Cultural Services,POLYTAN SPORTS SURFACES,2711.25,Other Supplies & Services
2010-09,Community Services,Cultural Services,PREMIER TRAFFIC MANAGEMENT,950,Other Supplies & Services
2010-09,Community Services,Cultural Services,PROSPEC LTD,1592.00,EQUIPMENT
2010-09,Community Services,Cultural Services,QDOS ENTERTAINMENT (THEATRE) LTD,25000.00,Artist payments
2010-09,Community Services,Cultural Services,QDOS PANTOMIMES,25000.00,Artist payments
2010-09,Community Services,Cultural Services,RALPH GIVENS,1800.00,EQUIPMENT
2010-09,Community Services,Cultural Services,RALPH GIVENS,4618.32,GOLF PROFESSIONALS RETAINER
2010-09,Community Services,Cultural Services,RALPH GIVENS,3348.60,GOLF PROFESSIONALS RETAINER
2010-09,Community Services,Cultural Services,RALPH GIVENS,3801.63,GOLF PROFESSIONALS RETAINER
2010-09,Community Services,Cultural Services,RALPH GIVENS,4888.95,GOLF PROFESSIONALS RETAINER
2010-09,Community Services,Cultural Services,RICHARD DURRANT LTD,912.73,Artist payments
2010-09,Community Services,Cultural Services,RICOH UK LTD,1052.01,PHOTOCOPY CHARGES (CURRICULUM)
2010-09,Community Services,Cultural Services,RIGBY TAYLOR LTD,535.2,Protective Clothing
2010-09,Community Services,Cultural Services,RIGBY TAYLOR LTD,938.6,Protective Clothing
2010-09,Community Services,Cultural Services,RIGBY TAYLOR LTD,594.15,Protective Clothing
2010-09,Community Services,Cultural Services,ROBERT C KELLY LIMITED,11783.48,Artist payments
2010-09,Community Services,Cultural Services,ROBERT C KELLY LIMITED,8337.50,Artist payments
2010-09,Community Services,Cultural Services,ROBERT C KELLY LIMITED,8000.00,Artist payments
2010-09,Community Services,Cultural Services,ROBERT LAYCOCK LTD,1600.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,SAND IN YOUR EYE,950,Other Supplies & Services
2010-09,Community Services,Cultural Services,SAND IN YOUR EYE,950,Other Supplies & Services
2010-09,Community Services,Cultural Services,SAPPHIRE GB LTD,1252.01,MARKETING & ADVERTISING
2010-09,Community Services,Cultural Services,SCHOOL OF ROCK & POP,500,Artist payments
2010-09,Community Services,Cultural Services,SEALEGS PUPPET THEATRE COMPANY,720,Artist payments
2010-09,Community Services,Cultural Services,SFTW (EDINBURGH) LIMITED,500,Artist payments
2010-09,Community Services,Cultural Services,SIEMENS FINANCIAL SERVICES LTD,636.48,Other Supplies & Services
2010-09,Community Services,Cultural Services,SINGALONGA PRODUCTIONS LIMITED,3009.05,Artist payments
2010-09,Community Services,Cultural Services,SK8 SAFE LTD,995,TRAINING
2010-09,Community Services,Cultural Services,SMITH OF DERBY LTD,1579.00,EQUIPMENT
2010-09,Community Services,Cultural Services,SOFTBRICK COMPANY LTD,655,Other Supplies & Services
2010-09,Community Services,Cultural Services,SPIRIT PRODUCTIONS (UK) LIMITED,22791.27,Artist payments
2010-09,Community Services,Cultural Services,SPORT SYSTEMS LIMITED,2224.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,SPORT SYSTEMS LIMITED,750,Other Supplies & Services
2010-09,Community Services,Cultural Services,SPORTS LEADERS UK,918.75,EQUIPMENT
2010-09,Community Services,Cultural Services,STACEY CHAPMAN,1901.25,Artist payments
2010-09,Community Services,Cultural Services,STAGECOACH DARLINGTON,8640.00,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,STANDING OVATIONS LIMITED,1000.00,Artist payments
2010-09,Community Services,Cultural Services,STAR RADIO,817.66,MARKETING & ADVERTISING
2010-09,Community Services,Cultural Services,STAR RADIO,1000.00,MARKETING & ADVERTISING
2010-09,Community Services,Cultural Services,STAR RADIO,1000.00,MARKETING & ADVERTISING
2010-09,Community Services,Cultural Services,STATUS PROMOTIONS,588,EQUIPMENT
2010-09,Community Services,Cultural Services,STATUS PROMOTIONS,626.53,DFES
2010-09,Community Services,Cultural Services,STORY SHOP PRODUCTIONS,600,Artist payments
2010-09,Community Services,Cultural Services,SUGAR RAY'S BOXING STORE,855,EQUIPMENT
2010-09,Community Services,Cultural Services,SYMPATHETIC DEVELOPMENTS,1050.00,Artist payments
2010-09,Community Services,Cultural Services,TECHNICAL SURFACES,1090.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,TECHNICAL SURFACES,501.75,INSURANCE CLAIMS - NON TEACHING SUPPLY
2010-09,Community Services,Cultural Services,THE BREAD & BUTTER THEATRE COMPANY,650,Other Supplies & Services
2010-09,Community Services,Cultural Services,THE FAIRLY FAMOUS FAMILY,1350.00,Other Supplies & Services
2010-09,Community Services,Cultural Services,THE GRUFFALO 2009 LTD,21381.98,Artist payments
2010-09,Community Services,Cultural Services,THE GRUFFALO 2009 LTD,15000.00,Artist payments
2010-09,Community Services,Cultural Services,THE GRUFFALO 2009 LTD,759,Merchandise Sales Paid to Others
2010-09,Community Services,Cultural Services,THE GRUMBLEWEEDS,5392.37,Artist payments
2010-09,Community Services,Cultural Services,THE JIVE ACES,1752.01,Artist payments
2010-09,Community Services,Cultural Services,THE PERFORMING RIGHT SOCIETY LIMITED,655.32,LICENCES
2010-09,Community Services,Cultural Services,THE PERFORMING RIGHT SOCIETY LIMITED,1074.50,LICENCES
2010-09,Community Services,Cultural Services,THEATRE PRODUCTIONS INTERNATIONAL LTD,2000.00,Artist payments
2010-09,Community Services,Cultural Services,THEATREMASTER LTD,8000.00,Artist payments
2010-09,Community Services,Cultural Services,TICKETMASTER UK LIMITED,560.05,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,TICKETMASTER UK LIMITED,545.5,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,TICKETMASTER UK LIMITED,1511.90,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,TURF LOVE,604.93,Artist payments
2010-09,Community Services,Cultural Services,TYNESIDE PIANO COMPANY,600,Production Costs
2010-09,Community Services,Cultural Services,TYZACK SCHOOL OF DANCE,2436.50,Ticket Sales Paid to Others
2010-09,Community Services,Cultural Services,VIRGIN MEDIA BUSINESS LIMITED,4471.20,Other Supplies & Services
2010-09,Community Services,Cultural Services,WAVERLEY VINTERS LTD (scottish courage),861.33,Bar Provisions
2010-09,Community Services,Cultural Services,WAVERLEY VINTERS LTD (scottish courage),800.42,Bar Provisions
2010-09,Community Services,Cultural Services,WEST END THEATRE MANAGERS LTD,3044.00,TMA Theatre Tokens
2010-09,Community Services,Cultural Services,WEST END THEATRE MANAGERS LTD,2700.00,TMA Theatre Tokens
2010-09,Community Services,Cultural Services,WM MORRISON SUPERMARKETS PLC,1343.75,RENT OF FACILITIES
2010-09,Community Services,Cultural Services,WM MORRISON SUPERMARKETS PLC,2081.09,RENT OF FACILITIES
2010-09,Community Services,Cultural Services,WM MORRISON SUPERMARKETS PLC,625,RENT OF FACILITIES
2010-09,Community Services,Cultural Services,WORKWEAR EXPRESS LTD,1288.10,EQUIPMENT
2010-09,Community Services,DLO Services,A S CROCKER (PLASTERERS) LIMITED,2495.54,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,A S CROCKER (PLASTERERS) LIMITED,1207.05,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,A S CROCKER (PLASTERERS) LIMITED,858.42,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ACCESS 55 LTD,7890.48,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ACCESS 55 LTD,6235.32,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ACORN DAIRY,597.6,CATERING PROVISIONS
2010-09,Community Services,DLO Services,ACP (CONCRETE) LIMITED,19637.60,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ACP (CONCRETE) LIMITED,2834.31,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ACP (CONCRETE) LIMITED,10844.50,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ACP (CONCRETE) LIMITED,14585.63,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ADROIT MODULAR BUILDINGS,8631.32,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ADROIT MODULAR BUILDINGS,942.88,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ADROIT MODULAR BUILDINGS,974.32,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,ADVANCED WATER TECHNOLOGIES,1350.00,DIRECT CHARGES - CONTRACTORS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,541.58,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,578.87,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,586.03,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,810,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,576.8,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,575.64,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,561,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,514.24,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1452.00,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,542.08,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,576.8,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1694.00,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,580.26,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1694.00,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,847,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1294.68,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,832.76,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,960.68,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1088.60,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,702.48,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,640.88,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1087.32,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,622.2,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,622.2,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,579.11,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,543.16,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1028.48,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,625.93,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,580.26,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,577.95,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,576.8,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,546.41,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,577.38,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,578.96,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,723.7,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,547.49,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,541,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,541,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,576.8,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,547.49,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,588.34,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1082.00,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,546.41,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,546.41,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1229.31,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1092.44,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,571.21,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1151.28,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1348.28,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,578.96,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,582.57,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1153.60,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,582.57,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,576.8,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,527.84,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,576.8,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,583.72,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,506.59,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,583.72,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,577.95,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,576.8,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,576.8,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,546.41,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,543.16,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,542.08,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,542.08,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,622.2,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,500.28,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,578.2,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,600.01,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,624.69,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,542.08,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,2001.70,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,551.82,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,582.57,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,622.08,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,649.91,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,834.04,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1333.21,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1233.15,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1234.43,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,647.34,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,835.32,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,1215.24,DIRECT CHARGES - MATERIALS
2010-09,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,2558.40,DIRECT CHARGES - MATERIALS
