ï»¿Directorate Name,Process Used,Purchasing Body,Contract Reference,Contract Title,Contract Description,Supplier Company Name,Supplier Postcode,Annual Value,Total Contract Value (including extensions),OJEU/FTS?,Start Date,End Date,Contract Duration (months),Option to extend (months),How many extensions,Extension 1 Taken?,Extension 2 Taken?,Current Expiry Date,SME Supplier?,ProClass Classification,ProClass Description,Company Number,Visibility
Place,CSO Exception,Salford City Council,S1069,"Engagement, Support and Influence and Promoting Volunteering in Salford","Engagement, Support and Influence and Promoting Volunteering in Salford",Salford Community and Voluntary\nServices (SCVS),M30 0FN,265568.00,1593498.00,Yes,2017-04-01,2025-04-01,36,12,2,Yes,Yes,2025-04-01,No,321100,Social Community Care Supplies & Services - Children,01948293,Public
People,CSO Exception,Salford City Council,S1411,Enhanced Postural Stability Service,Enhanced Postural Stability Service,Salford Community Leisure Ltd,M27 5DA,181600.00,181600.00,No,2020-04-01,2023-04-01,24,12,1,,,2023-04-01,No,311600,Services,IP29627R,Public
Service Reform,CSO Exception,Salford City Council,S1087,Enterprise Resource Planning Solution Software Package,Enterprise Resource Planning Solution Software Package,SAP UK Ltd,TW14 8HD,245426.00,1227130.00,Yes,2016-04-01,2021-03-31,60,0,0,N/A,N/A,2021-03-31,No,270000,Information Communication Technology,2152073,Public
Place,ITT,Salford City Council,S1048,Environmental Enforcement,Environmental Enforcement,NSL Ltd,B3 2JR,85696.00,257088.00,Yes,2018-04-01,2023-03-31,36,12,2,Yes,Yes,2023-03-31,Yes,350000,Street & Traffic Management,09360642,Public
Service Reform,Direct Call-Off,Salford City Council,S1039,Environmental Liability Insurance for Transferred Housing Stock,Environmental Liability Insurance for Transferred Housing Stock,AON UK Ltd,EC2M 4PL,250000.00,250000.00,Yes,2014-04-02,2024-04-01,120,0,0,N/A,N/A,2024-04-01,No,200000,Financial Services,210725,Public
People,Direct Call-Off,Salford City Council,S1073,Face-to-Face Interpretation and BSL Service,Face-to-Face Interpretation and BSL Service,Language Empire,OL11 1NA,53329.00,186651.50,No,2017-05-01,2018-10-31,18,12,2,Yes,Yes,2021-10-31,Yes,260000,Human Resources,5535464,Public
Place,RFQ,Salford City Council,S1468,Fire Management Plant Ryall Avenue development,Commission a Fire Management Plan and Fire Risk Assessment Report in relation to apartments at Ryall Avenue development,CHPK Fire Engineering,EC2M 1JJ,5200.00,5200.00,No,2022-05-17,2022-06-17,1,0,0,N/A,N/A,2022-06-17,No,220000,Health and Safety,105058,Public
Service Reform,CSO Exception,Salford City Council,S1133,"Fixed Term Support and Maintenance Service, Council Tax, Business Rates, Housing Benefits and Council Tax Reduction","Fixed Term Support and Maintenance Service, Council Tax, Business Rates, Housing Benefits and Council Tax Reduction",Northgate Public Services Limited,HP2 4NW,208000.00,832000.00,No,2018-07-01,2022-06-30,48,0,0,N/A,N/A,2022-06-30,No,270000,Information Communication Technology,9338960,Public
Place,Mini-Comp,Salford City Council,S1146,Flexible Procurement Agreement - Advertising Billboards on Council Land,Flexible Procurement Agreement - Advertising Billboards on Council Land,Wildstone Capita Limited,W1T 1QL,75000.00,375000.00,Yes,2019-12-01,2023-08-31,52,0,0,N/A,N/A,2023-08-31,Yes,190000,Facilities & Management Services,7275191,Public
Service Reform,CSO Exception,Salford City Council,S1122,FLM (Forms Lifecycle Manager) and all associated software,FLM (Forms Lifecycle Manager) and all associated software,ARCH Consulting Ltd,W4 1PF,24783.40,123917.00,No,2015-11-11,2020-11-10,60,0,0,N/A,N/A,2020-11-10,Yes,270000,Information Communication Technology,3261503,Public
Service Reform,CSO Exception,Salford City Council,S1122,FLM (Forms Lifecycle Manager) and all associated software,FLM (Forms Lifecycle Manager) and all associated software,ARCH Consulting Ltd,W4 1PF,29732.00,29732.00,No,2021-12-16,2022-12-15,12,0,0,N/A,N/A,2022-12-15,Yes,270000,Information Communication Technology,3261503,Public
Public Health,CSO Exception,Salford City Council,S1259,Formula Milk Provision for Babies Born to Women Living with HIV,Formula Milk Provision for Babies Born to Women Living with HIV,George House Trust,M12 6FX,5000.00,25000.00,No,2020-01-01,2023-12-31,24,12,Yes,,,2023-12-31,Yes,310000,Healthcare,7575379,Public
Regeneration,ITT,Salford City Council,S1083,Framework Agreement for Demolition and Associated Services,Framework for Demolition and Associated Services,Various,Various,20000000.00,20000000.00,Yes,2017-11-15,2022-04-16,24,12,2,Yes,Yes,2022-04-16,Yes,390000,"Works - Construction, Repair & Maintenance",Various,Public
Place,Mini-Comp,Salford Council,S1386,GM Clean Air Zone Column Replacement,GM Clean Air Zone Column Replacement,Altitude Services Ltd,BB11 5QF,216496.19,216496.19,No,2021-11-03,2022-05-30,7,0,0,N/A,N/A,2022-05-30,No,181700,Street Lighting,3350786,Public
Place,Mini-Comp,Salford Council,S1366,Gore Street Highway Improvements,Gore Street Highway Improvements,Rosgal Limited,M19 3BJ,234923.85,234923.85,No,2021-11-15,2022-02-04,3,0,0,N/A,N/A,2022-11-04,Yes,391411,Repair and Maintenance,3731189,Public
People,CSO Exception,Salford City Council,S1200,Governor Services Software,Software Package to Support Governor Services.,Ortoo Technologies Ltd,NR28 0DX,13380.00,40140.00,No,2019-07-01,2022-06-30,24,12,1,,,2022-06-30,No,270000,Information Communication Technology,8142817,Public
People,Other,STAR Procurement,S1190,Greater Manchester Fostering Framework,Greater Manchester Fostering Framework,Various Providers,Various,2511831.70,7535495.10,,2019-04-01,2029-03-31,24,24,4,,,2029-03-31,No,321100,Social Community Care Supplies & Services - Children,Various,Public
People,Other,STAR Procurement,S1189,Greater Manchester Residential Framework,Greater Manchester Residential Framework,Various Providers,Various,8239088.34,16478176.68,Yes,2018-04-01,2020-03-31,24,24,4,Yes,,2022-03-31,No,321100,Social Community Care Supplies & Services - Children,Various,Public
Public Health,CSO Exception,Salford City Council,S1075,Greater Manchester Sexual Health Improvement Programme (GMSHIP),Greater Manchester Sexual Health Improvement Programme (GMSHIP),BHA for Equality,M16 0QA,138000.00,276000.00,No,2022-07-01,2024-06-30,24,0,0,N/A,N/A,2024-06-30,Yes,310000,Healthcare,3818058,Public
Public Health,ITT,Salford City Council,S1075,Greater Manchester Sexual Health Improvement Programme (GMSHIP),Greater Manchester Sexual Health Improvement Programme (GMSHIP),BHA for Equality,M16 0QA,1041914.67,5209573.33,Yes,2016-07-01,2024-06-30,36,36,3,Yes,Yes,2024-06-30,Yes,310000,Healthcare,3818058,Public
Place,ITT,AGMA/STAR,S1111,Groceries/Chilled & Frozen Food Supply & Delivery,Groceries/Chilled & Frozen Food Supply & Delivery,Brake Bros,TN25 4AG,1000000.00,4000000.00,Yes,2015-07-13,2022-04-30,42,12,1,Yes,N/A,2022-04-30,No,110000,Catering,2035315,Public
People,ITT,Salford City Council,S1161,Group Based Activities for Children with Disabilities,Group Based Activities for Children with Disabilities,The Endorphins Group,W8 6BH,122996.00,122996.00,No,2021-04-01,2023-03-31,12,12,1,Yes,,2023-03-31,Yes,2023-03-31,Social Community Care Supplies & Services - Children,11934523,Public
People,Other,Salford City Council,S1161,Group Based Activities for Children with Disabilities (Small Grants),"Awards of small grants of up to 5,000 for the provision of innovative new projects or the extension of existing provision to include more children with disabilities",Salford Community and Voluntary\nServices (SCVS),M30 0FN,90000.00,270000.00,No,2017-04-01,2022-06-26,12,12,2,Yes,Yes,2022-06-26,No,321100,Social Community Care Supplies & Services - Children,1948293,Public
Place,ITT,Salford City Council,S1051,Half-Hourly Electricty (over 100KW sites),Half-Hourly Electricty (over 100KW sites),DRAX,IP3 9SJ,600000.00,1200000.00,Yes,2019-04-01,2022-09-31,36,0,0,N/A,N/A,2022-09-31,Yes,370000,Utilities,7489052,Public
Place,RFQ,Salford City Council,S1445,HERS Compliance Management,HERS Compliance Management,ASL (Highway Electrical) Training Ltd,DL14 9PD,6800.00,6800.00,No,2022-05-01,2023-04-30,12,0,0,N/A,N/A,2023-04-30,Yes,390000,"Works, Construction, Repair and Maintenance",8457542,Public
Place,ITT,Salford City Council,S1348,Highway Vehicles,As part of the capital scheme for the replacement vehicle programme there was a requirement for 1 or 2 Highway Vehicles dependent of the value.,Estar Truck and Van Ltd,L33 7AQ,148922.00,148922.00,No,2021-10-01,2022-03-31,6,0,0,N/A,N/A,2022-03-31,No,381000,Commercial,12810271,Public
Public Health,CSO Exception,Salford City Council,S1032,Homeless Support Provision,Homeless Support Provision,Salford Loaves and Fishes,M6 5PL,25000.00,75000.00,No,2020-04-01,2023-03-31,36,12,2,,,2023-03-31,No,321000,Social Community Care Supplies & Services - Adult,6015231,Public
Place,Other,Salford City Council,S1013,Increase of Civil Enforcement Officer's Salary in line with Real Living Wage,Increase of Civil Enforcement Officer's Salary in line with Real Living Wage,NSL Ltd,B3 2JR,16945.00,16495.00,No,2021-04-01,2023-03-31,22,12,1,Yes,Yes,2023-03-31,No,350000,Street & Traffic Management,2362957,Public
People,CSO Exception,Salford City Council,S1160,Inegrated Welbeing and Employability Services for Adults with complex needs (Salford Health Works),Inegrated Welbeing and Employability Services for Adults with complex needs (Salford Health Works),Economics Solutions Ltd t/a Manchester Growth Company,M1 5JW,125000.00,825000.00,Yes,2016-04-01,2023-03-31,36,36,2,Yes,Yes,2023-03-31,Yes,321000,Social Community Care Supplies & Services - Adult,2443911,Public
People,Other,Salford City Council,S1153,Information and Advice Services,Information and Advice Services,Salford CAB,M6 5JA,277133.00,1385665.00,Yes,2016-04-01,2023-03-31,36,48,2,Yes,Yes,2023-03-31,Yes,320000,Social Community Care Supplies & Services,1436945,Public
Place,Other,Salford City Council,S1149,Inspection and Testing of Existing Lighting Protection System SCC,Inspection and Testing of Existing Lighting Protection System SCC,Best Services Ltd,WF10 5HW,6480.00,14300.00,No,2019-04-01,2022-03-31,36,0,0,N/A,N/A,2022-03-31,Yes,190000,Facilities & Management Services,591982,Public
Place,Other,Salford City Council,S1012,Installation of Cremators and Abatement Equipment with Ongoing Maintenance,Installation of Cremators and Abatement Equipment with Ongoing Maintenance,Facultatieve Technologies Ltd,LS10 2DD,55000.00,385000.00,Yes,2019-09-01,2025-08-31,72,24,2,,,2025-08-31,Yes,120000,Cemetry & Crematorium,633222,Public
Place,CSO Exception,Salford Council,,Installation of roof mounted Solar PV in support of the Greater Manchester Regional Heat and Energy Decarbonisation Delivery Scheme,Installation of roof mounted Solar PV in support of the Greater Manchester Regional Heat and Energy Decarbonisation Delivery Scheme,NPS Energy Limited,OL2 6UP,607000.00,607000.00,No,2021-11-01,2022-03-31,6,0,0,N/A,N/A,2022-03-31,No,191300,Energy Efficeiency,5513604,Public
Service Reform,ITT,Salford City Council,S1039,Insurance Brokerage,Insurance Brokerage,Aon UK Ltd,EC2M 4PL,9500.00,47500.00,No,2019-10-01,2024-09-30,60,0,0,N/A,N/A,2024-09-30,No,200000,Financial Services,210725,Public
People,Mini-Comp,Salford City Council,S1028,Integrated 0-19 Children's Health Service,Integrated 0-19 Children's Health Service,Salford Royal NHS Foundation Trust,M5 4BD,5351258.00,26756290.00,No,2017-04-01,2023-03-31,36,24,2,Yes,Yes,2023-03-31,Yes,310000,Healthcare,5138092,Public
Place,Mini-Comp,Salford City Council,S1177,Integrated Adults and Childrens Social Care Case Management and Integrated Finance System,Integrated Adults and Childrens Social Care Case Management and Integrated Finance System,Liquidlogic Ltd,ME14 5NZ,76670.00,1840099.00,No,2019-09-30,2024-09-29,60,24,1,,,2024-09-29,No,270000,Information Communication Technology,4006349,Public
Public Health,ITT,Salford City Council,S1077,"Integrated Substance Misuse and Recovery Services in Bolton, Salford and Trafford","Integrated Substance Misuse and Recovery Services in Bolton, Salford and Trafford",Greater Manchester West Mental Health NHS Foundation Trust,M25 3BL,8000000.00,42000000.00,Yes,2018-01-15,2023-01-14,60,0,0,N/A,N/A,2023-01-14,No,310000,Healthcare,-,Public
People,CSO Exception,Salford City Council,S1026,Intensive Family Key Worker Service,Intensive Family Key Worker Service,Human Kind Charity,DL5 6DS,413543.00,1654172.00,Yes,2017-04-01,2023-03-31,36,48,2,Yes,Yes,2023-03-31,Yes,321100,Social Community Care Supplies & Services - Children,1820492,Public
Service Reform,CSO Exception,Salford City Council,S1079,Internet Provision (Corporate),Internet Provision (Corporate),Virgin Media Business Ltd,RG2 6UU,30000.00,30000.00,No,2021-04-01,2022-03-31,12,0,0,N/A,N/A,2022-03-31,No,270000,Information Communication Technology,1785381,Public
Service Reform,Mini-Comp,Salford City Council,S1072,IT Hardware,IT Hardware,XMA Limited,NG11 7EP,146184.00,146184.00,Yes,2021-12-09,2023-12-09,24,12,2,,,2023-12-09,Yes,270000,Information Communication Technology,2051703,Public
People,CSO Exception,Salford City Council,S1393,Jobs Not Prison Project,"In 2019 the Broughton Trust approached Project Gulf with a proposal called Jobs Not Prison. This was a 12 month intervention intended to reduce risk and harm presented by Salford residents aged 18 and over, who based on GMPs intelligence and crime recording systems were involved in knife and/or other weapon enabled crime.",The Broughton Trust,M7 1NY,29300.00,29300.00,No,2021-04-01,2022-03-31,12,12,1,,,2022-03-31,Yes,329899,Social Community Care Supplies & Services - Adult,Registered Charity,Public
Place,CSO Exception,Salford City Council,S1091,Kennelling of Stray Dogs,Kennelling of Stray Dogs,Manchester and Cheshire Dogs' Home,M9 5PG,3000.00,9000.00,No,2020-11-01,2023-10-31,36,0,0,N/A,N/A,2023-10-31,Yes,180000,Environmental Services,1001346,Public
Service Reform,Other,Salford City Council,S1296,Key Cities Policy and Media Support Services,Key Cities Policy and Media Support Services,ING Media,EC2A 3LT,90000.00,270000.00,Yes,2021-01-01,2023-12-31,36,6,1,,,2023-12-31,Yes,150000,Consultancy,3800985,Public
Place,ITT,Salford City Council,S1168,Laundry Services at Vehicle Management and Citywide Services,Laundry Services at Vehicle Management and Citywide Services,Elis Ltd,RG24 8NE,18000.00,54000.00,No,2020-09-01,2022-08-31,24,12,1,,N/A,2022-08-31,Yes,130000,Cleaning & Janitorial,228604,Public
People,CSO Exception,Salford City Council,S1059,Leading Salford Leadership Development Programme - Supported accomondations (Lane End and Claremont),Leading Salford Leadership Development Programme - Supported accomondations (Lane End and Claremont),Foundations Support and Care Services UK Limited,BL1 3NT,527020.68,3162124.08,Yes,2016-01-01,2022-03-31,48,24,2,Yes,Yes,2024-03-31,Yes,321100,Social Community Care Supplies & Services - Children,5546372,Public
People,CSO Exception,Salford City Council,S1248,Learning City Work & Developing the Women's Project,Learning City Work & Developing the Women's Project,Salford Foundation Limited,M5 4BD,15000.00,40000.00,No,2020-03-02,2022-07-31,30,12,1,Yes,,2022-07-31,No,321100,Social Community Care Supplies & Services - Children,1002482,Public
Service Reform,ITT,Salford City Council,S1088,Leased Lines (Wireless),Leased Lines (Wireless),Ingenitech Ltd,SK8 5LL,225000.00,225000.00,Yes,2014-07-01,2018-06-30,48,0,0,N/A,N/A,2018-06-30,No,270000,Information Communication Technology,4598488,Public
Place,Direct Call-Off,Salford City Council,S1205,Lift Servicing 2021-22,Maintenance and servicing,Otis,M27 8FF,14235.00,14235.00,No,2021-04-01,2022-03-31,12,0,0,N/A,N/A,2022-03-31,No,190000,Facilities & Management Services,147366,Public
Place,RFQ,Salford City Council,,Liverpool Street Corridor - Manhole resetting,Liverpool Street Corridor - Manhole resetting,Argyle North West Limited,M28 3HH,9950.00,9950.00,No,2022-02-08,2022-03-31,1,0,0,N/A,N/A,2022-03-31,Yes,,,,Public
Place,Mini-Comp,Salford City Council,S1114,Liverpool Street Corridor Footway/Cycle Facility Works,Liverpool Street Corridor Footway/Cycle Facility Works,Eurovia Infrastructure Ltd,WF6 1TP,1757875.04,1757875.04,Yes,2021-04-06,2022-05-15,12,0,0,N/A,N/A,2022-05-15,No,390000,"Works - Construction, Repair & Maintenance",6830575,Public
Place,Direct Call-Off,Salford City Council,S1381,LLFA Planning Support,LLFA Planning Support,Wilde Consulting Engineers,SK1 3HS,11000.00,22000.00,No,2021-07-26,2022-04-01,8,12,0,,,2022-04-01,Yes,391314,Surveys,2603960,Public
Place,Mini-Comp,Salford City Council,,Longshaw Drive Housing - Appointment of Consultant Project Manager,Longshaw Drive Housing - Appointment of Consultant Project Manager,Identity Consult Ltd,PR2 0ZG,148837.50,148837.50,No,2021-08-01,2025-05-31,46,0,0,N/A,N/A,2025-05-31,No,152050,Property,5416411,Public
People,Direct Call-Off,Salford City Council,S1196,Lot 1 Full-time Alternative Provision  Min. of 25 Hours per Week,Alternative Provision,Various Providers,Various,55250.00,221000.00,Yes,2019-09-02,2023-07-31,48,12,4,,,2023-07-31,Yes,170000,Education,Various,Public
People,Direct Call-Off,Salford City Council,S1196,Lot 2 Part-time Alternative Provision  Sports Science / Health & Wellbeing,Alternative Provision,Various Providers,Various,104720.00,418880.00,Yes,2019-09-02,2023-07-31,48,12,4,,,2023-07-31,Yes,170000,Education,Various,Public
Service Reform,Mini-Comp,Salford City Council,S1394,Lot 3  [MY] Booking Application,Lot 3  [MY] Booking Application,CDW Ltd,M4 4EW,365960.45,365960.45,No,2022-01-01,2027-01-01,60,0,0,N/A,N/A,2027-01-01,No,270000,Information Communication Technology,2465350,Public
People,Direct Call-Off,Salford City Council,S1196,Lot 3 Part-time Alternative Provision  Sports Coaching / Life Skills,Alternative Provision,Various Providers,Various,104720.00,418880.00,Yes,2019-09-02,2023-07-31,48,12,4,,,2023-07-31,Yes,170000,Education,Various,Public
People,Direct Call-Off,Salford City Council,S1196,Lot 4 Part-time Alternative Provision  Hair and Beauty,Alternative Provision,Various Providers,Various,100912.00,403648.00,Yes,2019-09-02,2023-07-31,48,12,4,,,2023-07-31,Yes,170000,Education,Various,Public
People,Direct Call-Off,Salford City Council,S1196,Lot 5 Part-time Alternative Provision  Construction,Alternative Provision,Various Providers,Various,37400.00,149600.00,No,2019-09-02,2023-07-31,48,12,4,,,2023-07-31,Yes,170000,Education,Various,Public
People,Direct Call-Off,Salford City Council,S1196,Lot 6 One-to-One Tutoring,Alternative Provision,Various Providers,Various,15000.00,60000.00,No,2019-09-02,2023-07-31,48,12,4,,,2023-07-31,Yes,170000,Education,Various,Public
People,Direct Call-Off,Salford City Council,S1196,Lot 7 Complementary  Animal Care,Alternative Provision,Various Providers,Various,5712.00,22848.00,No,2019-09-02,2023-07-31,48,12,4,,,2023-07-31,Yes,170000,Education,Various,Public
People,Direct Call-Off,Salford City Council,S1196,Lot 8 Complementary  Innovation,Alternative Provision,Various Providers,Various,35000.00,140000.00,No,2019-09-02,2023-07-31,48,12,4,,,2023-07-31,Yes,170000,Education,Various,Public
Service Reform,RFQ,Salford City Council,S1400,Mailing equipment: Franking machine and Envelope inserter,Mailing equipment: Franking machine and Envelope inserter,Pitney Bowes,AL10 9UJ,17431.50,69725.98,No,2022-04-10,2026-04-09,48,0,0,N/A,N/A,2026-04-09,No,300000,Mailing Services,182037,Public
Place,Direct Call-Off,Salford City Council,S1261,Maintenance and Certification of Personal Hoists and Related Equipment,Maintenance and Certification of Personal Hoists and Related Equipment,Drive DeVilbiss Healthcare Ltd,BD11 2HW,4666.00,14000.00,No,2020-04-01,2023-03-31,36,12,2,,,2023-03-31,No,190000,Facilities & Management Services,4301005,Public
Place,ITT,Salford City Council,S1043/S1044,"Maintenance and Repair of Corporate and School Boiler, Plant and Heating Systems","The contract will cover all items of heating/hot water and associated boiler equipment located in the various plant rooms, including but not limited to gas fired wall hung or centrally sited heaters (including radiant plaque and tube) and gas instantaneous water heaters",J Fletcher Engineering,M30 0SF,57156.25,285781.25,No,2020-06-01,2023-05-31,36,24,2,,,2023-05-31,Yes,390000,"Works - Construction, Repair & Maintenance",4072464,Public
Place,RFQ,Salford City Council,S1100,Maintenance and servicing of kitchen ventilation equipment,Maintenance and servicing of kitchen ventilation equipment,PSI Resources Ltd,M28 3BQ,28000.00,56000.00,No,2021-11-15,2023-11-14,24,24,2,,,2023-11-14,Yes,130000,Cleaning & Janitorial,1967138,Public
Place,Other,Salford City Council,S1011,Maintenance and Supply of Fire Fighting Equipment (Extinguishers and Blankets),The contract is to undertake the servicing and replacement of parts and consumables for fire extinguishers and blankets in over 100 council properties.,Firemark Ltd,TA6 4NZ,39524.00,158096.00,No,2019-07-01,2024-02-23,80,0,0,N/A,N/A,2024-02-23,Yes,190000,Facilities & Management Services,6299361,Public
Place,RFQ,Salford City Council,S1045,Maintenance of Pay and Display Machines,Maintenance of Pay and Display Machines,Flowbird Transport Ltd,H15 3SS,60727.00,60727.00,No,2019-06-01,2022-05-31,24,24,1,Yes,Yes,2022-05-31,Yes,350000,Street & Traffic Management,4869035,Public
Place,ITT,Salford City Council,S1392,Management of the E-Cargo Bike Library,Management of the E-Cargo Bike Library,Cycle Waggle LTD T/A Mcr Bike Hire,M3 6BY,40000.00,40000.00,No,2022-03-01,2025-02-28,26,0,0,N/A,N/A,2025-02-28,Yes,360000,Passenger Transport,9034563,Public
Regeneration,ITT,Salford City Council,S1094,"Management, Maintenance & Modernisation of New Pendleton (PFI)","Management, Maintenance & Modernisation of New Pendleton (PFI)",Pendleton Together Operating Ltd,HX1 2EB,14548166.00,436444980.00,Yes,2013-09-01,,360,0,0,N/A,N/A,,No,200000,Financial Services,8626238,Public
Place,Mini-Comp,Salford City Council,S1346,Managing Agent for 100 Embankment and 2 New Bailey Square,Managing Agent for 100 Embankment and 2 New Bailey Square,Knight Frank LLP,M2 1HW,319340.00,319340.00,No,2021-05-03,2024-05-03,36,24,1,,,2024-05-03,No,250000,Housing Management,OC305934,Public
People,CSO Exception,Salford City Council,S1129,MDS Minibuses for Home to School and Adhoc Journeys for Alder Brook Primary Partnership Centre,Home to School and Adhoc Journeys for Alder Brook Primary Partnership Centre,MDS Minibuses,M30 9BQ,83600.00,327433.33,Yes,2018-09-03,2022-07-20,23,12,1,Yes,N/A,2022-07-20,Yes,360000,Public Transport,8215671,Public
People,RFQ,Salford City Council,S1409,Mental Health Drama Workshop,Mental Health Drama Workshop,Odd Arts,M14 4SL,12500.00,37500.00,No,2022-02-16,2025-02-17,12,12,1,,,2025-02-17,Yes,171011,School Services,CE016832,Public
Service Reform,CSO Exception,Salford City Council,S1004,Merchant acquiring (enables the council to accept credit and debit card payments),Merchant acquiring (enables the council to accept credit and debit card payments),Global Pay Solutions,CM20 2BN,80000.00,400000.00,No,2022-04-01,2025-03-31,36,12,1,,,2025-03-31,No,200000,Financial Services,8480250,Public
Service Reform,Direct Call-Off,Salford City Council,S1004,Merchant Acquiring Services,Merchant Acquiring Services,Barclaycard,E14 5HP,108000.00,108000.00,Yes,2020-04-01,2021-03-31,12,0,0,N/A,N/A,2021-03-31,No,200000,Financial Services,1026167,Public
Service Reform,ITT,Salford City Council,S1080,Microsoft Licencing,Microsoft Licencing,Phoenix Software,KT22 7TW,750000.00,2250000.00,Yes,2020-06-01,2023-05-31,36,36,2,,,2023-05-31,No,270000,Information Communication Technology,2548628,Public
Place,ITT,AGMA/STAR,S1112,"Milk, Bread & Dairy","Milk, Bread & Dairy",Creamline Dairies,M17 1PB,25000.00,100000.00,No,2017-02-01,2022-04-30,36,12,1,Yes,N/A,2022-04-30,No,110000,Catering,00396381,Public
Place,Mini-Comp,Salford City Council,S1144,Minor Building Works Framework Agreement (Lot 1 & Lot 2 ),Minor Building Works Framework Agreement (Lot 1 & Lot 2 ),Various,Various,-,-,No,2019-02-01,2023-01-31,24,24,2,Yes,Yes,2023-01-31,Yes,390000,"Works - Construction, Repair & Maintenance",Various,Public
Service Reform,ITT,Salford City Council,S1067,Mobile Voice and Data Services,Mobile Voice and Data Services,Everything Everywhere (EE),AL10 9BW,78000.00,370000.00,Yes,2017-03-15,2022-07-31,33,12,1,,,2022-07-31,No,270000,Information Communication Technology,8263590,Public
People,Mini-Comp,Salford City Council,S1144-48,"Moorfield PS Wall, window, door repairs and replacement","Moorfield PS Wall, window, door repairs and replacement",Schofield and Sons Ltd,M30 9PS,30340.00,30340.00,No,2022-04-01,2022-05-07,1.2,0,0,N/A,N/A,2022-05-07,Yes,390000,"Works - Construction, Repair & Maintenance",25459259,Public
People,Mini-Comp,Salford City Council,S1144-48,Moorgield PS WWD,"Wall, window, door replacements and external repairs",Schofield and Sons Ltd,M30 9PS,8341.00,8341.00,No,2022-04-01,2022-04-30,1,0,0,N/A,N/A,2022-04-30,Yes,390000,"Works - Construction, Repair & Maintenance",25459259,Public
Place,Mini-Comp,Salford City Council,S1369,MQ-2021-Traffic Studies,MQ-2021-Traffic Studies,Tracsis Traffic Data Ltd,LS22 7BA,30700.00,30700.00,No,2020-12-01,2022-12-31,24,0,0,N/A,N/A,2022-12-31,No,350000,Street & Traffic Management,3896384,Public
Public Health,CSO Exception,Salford City Council,S1260,National HIV Home Sampling,National HIV Home Sampling,SH24,SE1 7JB,7100.00,17750.00,No,2019-10-01,2023-09-30,30,0,0,N/A,N/A,2023-09-30,Yes,310000,Healthcare,11679436,Public
Service Reform,CSO Exception,Salford City Council,S1477,Netapp Maintenance,Netapp Maintenance,Maple Networks Limited Via Boxxe Ltd,LS22 6LX,49999.67,149999.00,No,2022-05-01,2025-04-30,36,0,0,N/A,N/A,2025-04-30,No,271440,Software,2109168,Public
Place,Mini-Comp,Salford City Council,S1414,New Broadwalk PRU Relocation,Design & Build  Pre-Construction Services Agreement,Robertson CE Limited,FK9 4TZ,89395.00,89395.00,No,2022-04-25,2022-07-01,2,0,0,N/A,N/A,2022-07-01,Yes,391100,"Works - Construction, Repair and Maintenance",SC249935,Public
Service Reform,Other,Salford City Council,S1312,New Data Centre UPS System,New Data Centre UPS System,UPS Systems PLC,SN6 8TY,19771.47,19771.47,No,2020-11-30,2023-11-30,36,0,0,N/A,N/A,2023-11-30,No,270000,Information Communication Technology,101885,Public
Service Reform,ITT,Salford City Council,S1055,Office Products,Office Products,Banner,S9 1XU,28180.93,112723.72,No,2016-11-28,2018-11-27,24,12,2,,,2018-11-27,Yes,340000,Stationery,2405637,Public
Place,Mini-Comp,Salford City Council,S1063,Open Access Self Service Solutions in Libraries,Open Access Self Service Solutions in Libraries,Bibliotheca LTD,SK8 7BS,20883.00,20883.00,No,2018-06-01,2022-05-31,48,0,0,N/A,N/A,2022-05-31,No,270000,Information Communication Technology,2983151,Public
Service Reform,Direct Call-Off,Salford City Council,S1305,Open Objects/My City Directory,Open Objects/My City Directory,IDOX,M2 4NH,11576.00,11576.00,No,2020-10-27,2022-10-26,24,24,1,,,2022-10-26,No,270000,Information Communication Technology,3984070,Public
Service Reform,CSO Exception,Salford City Council,S1120,"Oracle Diagnostics & Tuning, Cloud Services and Licencing","Oracle Diagnostics & Tuning, Cloud Services and Licencing",Oracle,RG6 1RA,104913.31,104913.31,No,2021-04-26,2022-04-25,12,0,0,N/A,N/A,2022-04-25,No,270000,Information Communication Technology,5372540,Public
Service Reform,RFQ,Salford City Council,S1263,Outsourcing Bikeability training,Outsourcing Bikeability training,Nationwide Cycling Academy,M45 7QJ,54000.00,54000.00,No,2022-04-01,2023-03-31,12,12,1,,,2023-03-31,Yes,401601,Youth Services,7071285,Public
Place,Direct Call-Off,ESPO Framework,S1307,PAT testing,PAT testing,The Elec Group,CB25 9AS,5000.00,15000.00,No,2020-10-21,2022-10-21,24,12,1,,,2022-10-21,No,190000,Facilities & Management Services,11899854,Public
People,ITT,Salford City Council,S1093,"PFI 2: Provision of School Buildings, Catering & Facilities Management","PFI 2: Provision of School Buildings, Catering & Facilities Management",Salford Schools Solutions Ltd,SN5 6NS,6327000.00,158175000.00,Yes,2008-09-12,,300,0,0,N/A,N/A,,Yes,190000,Facilities & Management Services,5847755,Public
People,ITT,Salford City Council,S1093,"PFI 3:  Provision of School Buildings, Catering & Facilities Management","PFI 3:  Provision of School Buildings, Catering & Facilities Management",S&W TLP (Project Co One) Ltd,SN5 6NX,9131000.00,228275000.00,Yes,2011-09-14,,300,0,0,N/A,N/A,,Yes,200000,Financial Services,7028471,Public
