Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-06-10,601322015,4838.50,806.42,4032.08,Itl North East Ltd,Service Reform (Corp Bus & Transform),Interpreter/translat,
Salford City Council,2021-06-10,601322013,5105.81,850.97,4254.84,Itl North East Ltd,Service Reform (Corp Bus & Transform),Interpreter/translat,
Salford City Council,2021-06-10,601322012,5215.45,869.24,4346.21,Itl North East Ltd,Service Reform (Corp Bus & Transform),Interpreter/translat,
Salford City Council,2021-06-10,601322014,5361.65,893.61,4468.04,Itl North East Ltd,Service Reform (Corp Bus & Transform),Interpreter/translat,
Salford City Council,2021-06-10,601322074,8000.00,0.00,8000.00,Lazy Days Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322126,18000.00,0.00,18000.00,Marstons Plc,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322036,524.16,0.00,524.16,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-10,601322035,573.35,0.00,573.35,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-10,601322034,792.87,0.00,792.87,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-10,601322099,2667.00,0.00,2667.00,Mobilezone (Eccles) Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322109,2667.00,0.00,2667.00,My Mobile Repairs Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322075,8000.00,0.00,8000.00,Oc Property Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322076,8000.00,0.00,8000.00,Oc Property Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322084,8000.00,0.00,8000.00,Porky Pigs Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,6003284350,524.85,0.00,524.85,Redacted Data,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2021-06-10,6003284542,673.69,0.00,673.69,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-10,6003284448,717.76,0.00,717.76,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-10,6003284204,974.20,0.00,974.20,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-10,6003284087,1141.50,0.00,1141.50,Redacted Data,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2021-06-10,6003284121,1927.06,0.00,1927.06,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2021-06-10,601322085,2096.00,0.00,2096.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322087,2096.00,0.00,2096.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322072,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322083,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322100,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322106,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322113,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322114,2667.00,0.00,2667.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322077,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322078,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322079,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322086,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322088,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322092,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322107,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322108,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322110,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322111,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322115,8000.00,0.00,8000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322116,2667.00,0.00,2667.00,S Critchley And Son Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322069,4000.00,0.00,4000.00,S Critchley And Son Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322053,650.00,0.00,650.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322117,700.00,0.00,700.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322118,700.00,0.00,700.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322119,700.00,0.00,700.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322120,700.00,0.00,700.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322121,700.00,0.00,700.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322122,700.00,0.00,700.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322123,700.00,0.00,700.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322124,700.00,0.00,700.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322125,700.00,0.00,700.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322054,1400.00,0.00,1400.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322055,3250.00,0.00,3250.00,Showtech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,1600668210,5625.00,0.00,5625.00,Special Spirits,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-10,601322064,12000.00,0.00,12000.00,Spice N Spirits Indian Kitchen Limi,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322032,957.60,159.60,798.00,Stanley Security Solutions Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint,
Salford City Council,2021-06-10,601322037,1094.40,182.40,912.00,Stanley Security Solutions Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint,
Salford City Council,2021-06-10,601322030,2188.80,364.80,1824.00,Stanley Security Solutions Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint,
Salford City Council,2021-06-10,601322063,4000.00,0.00,4000.00,Stylo Online Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322104,8000.00,0.00,8000.00,Swinton Judo Club,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322093,8000.00,0.00,8000.00,Swinton Moorside Cc,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322101,8000.00,0.00,8000.00,T D Armstrong  The Royal Arms Club,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322073,8000.00,0.00,8000.00,Tan.365 Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322068,12000.00,0.00,12000.00,Tandoori Delights Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322059,18000.00,0.00,18000.00,The Ainscow Hotel Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,1600668209,4183.00,0.00,4183.00,The Citywall Project Community Inte,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-10,1600668208,4324.00,0.00,4324.00,The Citywall Project Community Inte,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-10,601322060,18000.00,0.00,18000.00,The Lowry Hotel,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-10,601322081,8000.00,0.00,8000.00,The Sanctuary Worsley Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-06-11,1600668261,226787.52,37797.92,188989.60,A E Yates Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-11,1600667794,20708.52,3451.42,17257.10,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-11,1600667795,22652.28,3775.38,18876.90,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-11,1600667698,61103.70,10417.29,50686.41,Architrail Velosolutions Uk Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv,
Salford City Council,2021-06-11,1600667947,-900.00,-150.00,-750.00,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-06-11,1600668275,600.00,100.00,500.00,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-06-11,1600668284,780.00,130.00,650.00,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-06-11,1600668282,2548.80,0.00,2548.80,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-06-11,1600668278,7578.00,1263.00,6315.00,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-06-11,1600668287,8880.00,1480.00,7400.00,Argyle Nw Construction Ltd,Place Directorate,Contractors,
Salford City Council,2021-06-11,1600668268,834.49,139.08,695.41,Avr Transcription Ltd,Place Directorate,Other Prof Fees,
Salford City Council,2021-06-11,1600668269,9314.71,1552.45,7762.26,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-06-11,1600667918,51776.46,8629.41,43147.05,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Architects,
Salford City Council,2021-06-11,1600667962,16423.25,0.00,16423.25,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-06-11,1600667963,16423.25,0.00,16423.25,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-06-11,1600667782,21493.50,3582.25,17911.25,Campbell Tickell Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-11,601322131,84782.00,0.00,84782.00,Cumberland School,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-11,601322132,84782.00,0.00,84782.00,Cumberland School,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-11,1600668259,849.42,141.57,707.85,Digital Id Ltd,Place Directorate,Equipment Purchase,
Salford City Council,2021-06-11,1600667789,70777.94,11796.32,58981.62,Electricity North West Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-11,601322128,199531.87,0.00,199531.87,Greater Manchester Combined,People (Childrens) Service Group,Non SLA Recharges,
Salford City Council,2021-06-11,1600668272,1512.00,252.00,1260.00,Griffin Care Ltd,People (Childrens) Service Group,Consultants,
Salford City Council,2021-06-11,1600668273,1250.00,0.00,1250.00,Manchester Action On Street Health,Public Health,Payts to Agencies,
Salford City Council,2021-06-11,601321676,89491.51,14915.25,74576.26,Nsl Ltd,Place Directorate,Contractors,
Salford City Council,2021-06-11,601322138,560.00,0.00,560.00,Redacted Data,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2021-06-11,601322139,2200.00,0.00,2200.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-11,1600667799,149536.42,0.00,149536.42,Royal Bolton Hospital Nhs,Public Health,Payts to Agencies,
Salford City Council,2021-06-11,1600668274,600.00,100.00,500.00,Style North,Place Directorate,UV Dec&Flr,
Salford City Council,2021-06-11,601322140,881.00,0.00,881.00,The Salford Diocesan Trust Holy Tri,Place Directorate,Payts to Vol Orgs,
Salford City Council,2021-06-11,601322137,1910.02,0.00,1910.02,Water Plus Ltd,People (Childrens) Service Group,Water,
Salford City Council,2021-06-14,6003285956,4110.00,0.00,4110.00,Albert View Hotel,People (Adults) - CHSC,Staff Travel,
Salford City Council,2021-06-14,6003285726,599.88,99.96,499.92,Amznmktplace,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2021-06-14,601322356,3000.00,500.00,2500.00,Bacs Payment Schemes Ltd,Service Reform (Corp Bus & Transform),Bank Commission,
Salford City Council,2021-06-14,6003285942,1000.74,68.55,932.19,Brake Bros Ltd,Service Reform (Corp Bus & Transform),Food and refreshments,
Salford City Council,2021-06-14,1600668257,1094.40,182.40,912.00,C Smithies Builders,Service Reform (Corp Bus & Transform),Improvement Grants,
Salford City Council,2021-06-14,6003285924,830.00,0.00,830.00,Carl Allen Furnishings,People (Adults) - CHSC,Furniture,
Salford City Council,2021-06-14,601322143,7009.20,1168.20,5841.00,Christian Education - Re Today Serv,People (Childrens) Service Group,Consultants,
Salford City Council,2021-06-14,1600668347,1462.74,243.79,1218.95,Click Fire & Security Ltd,People (Childrens) Service Group,UV Day to Day,
Salford City Council,2021-06-14,6003285690,2396.80,0.00,2396.80,Divrse P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-14,6003285708,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-14,6003285761,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-14,6003285935,7887.88,0.00,7887.88,Divrse P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-14,6003285796,14504.82,0.00,14504.82,Ee Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2021-06-14,6003285785,17640.59,0.00,17640.59,Ee Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2021-06-14,6003285842,22691.78,0.00,22691.78,Ee Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2021-06-14,6003285680,24925.87,0.00,24925.87,Ee Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2021-06-14,1600668369,1260.00,210.00,1050.00,Exclusec Group Ltd,,Security Services,
Salford City Council,2021-06-14,1600667861,10074.12,1679.02,8395.10,Exploration & Testing Associates,Service Reform (Corp Bus & Transform),Miscellaneous Exes,
Salford City Council,2021-06-14,601322152,702.00,0.00,702.00,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-14,1600668367,3609.60,601.60,3008.00,G Jones Builders Ltd,Place Directorate,UV Day to Day,
Salford City Council,2021-06-14,1600668133,11400.00,1900.00,9500.00,G Jones Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-06-14,1600668134,39900.00,6650.00,33250.00,G Jones Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-06-14,1600667908,1207052.33,201175.39,1005876.94,Galliford Try Construction Nth Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-14,1600668339,810.00,135.00,675.00,Intelligent Environmental Services,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-06-14,1600668330,713.26,118.88,594.38,Killgerm Chemicals,Place Directorate,Chemicals,
Salford City Council,2021-06-14,6003285963,998.40,0.00,998.40,Lion Fpg,Service Reform (Corp Bus & Transform),Printing & Photocopying,
Salford City Council,2021-06-14,1600668357,1320.00,220.00,1100.00,Lk Consult Limited,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2021-06-14,601322160,725.00,0.00,725.00,Manchester City Council,People (Childrens) Service Group,Other Prof Fees,
Salford City Council,2021-06-14,601322145,1062.00,177.00,885.00,Mclellan Clothing Ltd,People (Childrens) Service Group,Clothing & Uniforms,
Salford City Council,2021-06-14,1600667882,138643.20,23107.20,115536.00,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Software,
Salford City Council,2021-06-14,6003285687,1036.44,0.00,1036.44,Quayside Bakery,Place Directorate,Food and refreshments,
Salford City Council,2021-06-14,1600668346,2463.60,410.60,2053.00,Roche Audio Visual,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase,
Salford City Council,2021-06-14,1600668355,549.00,0.00,549.00,Salford Community Leisure Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-14,601322161,2562.30,427.05,2135.25,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-14,601322164,2962.86,493.81,2469.05,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-14,601322162,3328.80,554.80,2774.00,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-14,601322163,3910.66,651.78,3258.88,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-14,601322300,5763.84,960.64,4803.20,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-14,1600668142,7444.02,1240.67,6203.35,Seddon Construction Limited,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-06-14,6003285646,825.00,0.00,825.00,Sumup *All Green Garden,People (Adults) - CHSC,General Repairs,
Salford City Council,2021-06-14,6003285721,745.00,0.00,745.00,Sumup *Jf Services,People (Adults) - CHSC,General Repairs,
Salford City Council,2021-06-14,6003285938,1691.20,0.00,1691.20,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture,
Salford City Council,2021-06-14,6003285955,750.00,0.00,750.00,Surewaste,People (Adults) - CHSC,Client Travel Expenses,
Salford City Council,2021-06-14,6003285657,18705.97,0.00,18705.97,Swalec,Service Reform (Corp Bus & Transform),Gas,
Salford City Council,2021-06-14,1600668352,1264.00,0.00,1264.00,T/A Greater Manchester Travelcards,Service Reform (Corp Bus & Transform),Staff Travel,
Salford City Council,2021-06-14,601322153,728.52,121.42,607.10,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-06-14,601322353,826.56,137.76,688.80,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees,
Salford City Council,2021-06-14,1600668354,768.00,128.00,640.00,Toasted Productions,Service Reform (Corp Bus & Transform),Marketing/Publicity,
Salford City Council,2021-06-14,601322355,540.00,90.00,450.00,W And G Services Limited,People (Childrens) Service Group,nonuv Build Rp&Maint,
Salford City Council,2021-06-14,6003285656,1680.00,0.00,1680.00,Www.Clickcleaning.Co.U,Place Directorate,Cleaning Services,
Salford City Council,2021-06-14,6003285989,1322.26,0.00,1322.26,Www.Impressionltd.Co.U,Service Reform (Corp Bus & Transform),Other Professional Fees,
Salford City Council,2021-06-14,6003285962,927.76,154.62,773.14,Www.Paper.Co.Uk,Service Reform (Corp Bus & Transform),Stationery,
Salford City Council,2021-06-14,6003285636,4800.72,0.00,4800.72,Www.Restore.Co.Uk,Service Reform (Corp Bus & Transform),Other Professional Fees,
Salford City Council,2021-06-14,2205769698,14226583.66,0.00,14226583.66,NHS CCG,People (Adults) - CHSC,Payments to HA
Salford City Council,2021-06-15,601322365,2475.00,0.00,2475.00,Brighter Futures,People (Childrens) Service Group,Class Supplies Capit,
Salford City Council,2021-06-15,1600668398,1260.00,0.00,1260.00,Csin Cic,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-15,1600668396,1680.00,0.00,1680.00,Csin Cic,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-15,1600668397,2800.00,0.00,2800.00,Csin Cic,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-15,601322421,1431.00,0.00,1431.00,Cygnet (Nw) Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-15,601322358,1749.00,0.00,1749.00,Cygnet (Nw) Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-15,601322420,1908.00,0.00,1908.00,Cygnet (Nw) Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-15,601322359,10588.45,1764.74,8823.71,Deepstore Ltd,Place Directorate,Hire of Facilities,
Salford City Council,2021-06-15,1600668387,1680.00,280.00,1400.00,Griffin Care Ltd,People (Childrens) Service Group,Training of Others,
Salford City Council,2021-06-15,601322362,1162.80,193.80,969.00,Ijm Electrical Contractors Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint,
Salford City Council,2021-06-15,1600668003,19344.00,3224.00,16120.00,Manchester Ship Canal Company,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-15,1600668002,83898.00,13983.00,69915.00,Manchester Ship Canal Company,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-15,601322368,541.00,0.00,541.00,Paypoint Plc,People (Adults) - CHSC,Gas,
Salford City Council,2021-06-15,1600668403,2369.75,0.00,2369.75,Redacted Data,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-15,1600668409,5510.00,0.00,5510.00,Redacted Data,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-15,1600668373,2544.78,424.13,2120.65,Royal Mail Group Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2021-06-15,1600668377,11753.16,1958.86,9794.30,Royal Mail Group Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2021-06-15,601322354,557.20,0.00,557.20,Safehands Property Services,People (Childrens) Service Group,Prog Maint & Works,
Salford City Council,2021-06-15,1600668384,2000.00,0.00,2000.00,Salford Royal Nhs Foundation Trust,People (Adults) - CHSC,Casual Staff-OT,
Salford City Council,2021-06-15,601322414,7120.80,1186.80,5934.00,Smiths Blinds Ltd,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2021-06-15,1600662951,1344.60,224.10,1120.50,Thomson Reuters (Professional) Uk,Place Directorate,Subscriptions,
Salford City Council,2021-06-15,1600662950,16404.00,2734.00,13670.00,Thomson Reuters (Professional) Uk,Place Directorate,Subscriptions,
Salford City Council,2021-06-16,601322714,1709.66,0.00,1709.66,Aim Habonim-Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322527,2525.25,0.00,2525.25,Aim Habonim-Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322710,502.02,0.00,502.02,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322711,542.30,0.00,542.30,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322715,651.30,0.00,651.30,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322530,6776.90,0.00,6776.90,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322716,1465.43,0.00,1465.43,Auntie Stephs Playgroup,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322531,7561.05,0.00,7561.05,Auntie Stephs Playgroup,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322519,5475.60,0.00,5475.60,Barton Moss Primary School,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322717,732.72,0.00,732.72,Beis Malka Beiz Girls-Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322533,13392.60,0.00,13392.60,Beis Malka Beiz Girls-Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322718,732.72,0.00,732.72,Beis Rochel Manchester Girls School,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322534,11423.10,0.00,11423.10,Beis Rochel Manchester Girls School,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322719,8059.84,0.00,8059.84,Beis Ruchel Girls School Ltd-Manche,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322495,40781.81,0.00,40781.81,Beis Ruchel Girls School Ltd-Manche,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322741,732.72,0.00,732.72,Beltodam Ltd T/A Early Learning Chi,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322563,5791.50,0.00,5791.50,Beltodam Ltd T/A Early Learning Chi,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322720,732.71,0.00,732.71,Belz Cheider Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322535,4135.95,0.00,4135.95,Belz Cheider Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322537,2777.78,0.00,2777.78,Big Steps Playgroup,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322721,3156.30,0.00,3156.30,Big Steps Playgroup,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322722,789.08,0.00,789.08,Bnos Margulis Viznitz Girls School,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322538,11423.10,0.00,11423.10,Bnos Margulis Viznitz Girls School,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322747,1040.83,0.00,1040.83,Bnos Yisroel Schools Manchester Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322539,15248.03,0.00,15248.03,Bnos Yisroel Schools Manchester Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322540,4529.53,0.00,4529.53,Boothstown Playgroup,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322541,5538.75,0.00,5538.75,Branwood Preparatory School,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322542,6923.88,0.00,6923.88,Bridgewater School,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322521,19387.87,0.00,19387.87,Broadoak Cp School,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322520,15561.00,0.00,15561.00,Broughton Jewish C F Academy,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322548,3085.88,0.00,3085.88,Broughton Jewish Cassel Fox,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322727,732.72,0.00,732.72,Budding Wood Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322545,2246.40,0.00,2246.40,Budding Wood Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,601322821,710.17,0.00,710.17,Butterflies Childcare,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-06-16,1600668425,10535.10,1755.85,8779.25,Caci - Social Software Ltd,People (Childrens) Service Group,Computer Maintenance,
Salford City Council,2021-06-16,601322729,14674.92,0.00,14674.92,Care Chiefs,People (Childrens) Service Group,Pmnts Privt Provider,
