Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2014-04-09,601113247,4300.00,0.00,4300.00,Bambie Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113248,15000.00,0.00,15000.00,Beis Malka,Children's Services,Grants
Salford City Council,2014-04-09,601113249,3800.00,0.00,3800.00,Big Steps Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113250,23500.00,0.00,23500.00,Bnos Yisroel Schools Manchester Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113251,8500.00,0.00,8500.00,Boothstown Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113252,12700.00,0.00,12700.00,Branwood Preparatory School,Children's Services,Grants
Salford City Council,2014-04-09,601113253,12600.00,0.00,12600.00,Bridgewater School,Children's Services,Grants
Salford City Council,2014-04-09,601113254,5800.00,0.00,5800.00,Broughton Jewish Cassel Fox,Children's Services,Grants
Salford City Council,2014-04-09,601113256,17300.00,0.00,17300.00,University Of Salford Busy Bees,Children's Services,Grants
Salford City Council,2014-04-09,601113258,5900.00,0.00,5900.00,Caterpillar Corner,Children's Services,Grants
Salford City Council,2014-04-09,601113261,9900.00,0.00,9900.00,Claremont Neighbourhood Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113262,18200.00,0.00,18200.00,Clarendon Cottage School,Children's Services,Grants
Salford City Council,2014-04-09,601113263,6900.00,0.00,6900.00,Cottage Kindergarten,Children's Services,Grants
Salford City Council,2014-04-09,601113264,1000.00,0.00,1000.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113265,700.00,0.00,700.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113266,6600.00,0.00,6600.00,Early Learning Childcare,Children's Services,Grants
Salford City Council,2014-04-09,601113267,10500.00,0.00,10500.00,Evergreen Childrens Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113268,6400.00,0.00,6400.00,Fairhills Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113269,5200.00,0.00,5200.00,First Steps Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113270,17100.00,0.00,17100.00,Fledglings (Irlam) Limited,Children's Services,Grants
Salford City Council,2014-04-09,601113271,15100.00,0.00,15100.00,Fledglings Day Nursery Worsley,Children's Services,Grants
Salford City Council,2014-04-09,601113272,9300.00,0.00,9300.00,Flutterbies Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113273,2500.00,0.00,2500.00,Fun4All Cic,Children's Services,Grants
Salford City Council,2014-04-09,601113274,6000.00,0.00,6000.00,Funtime Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113276,1000.00,0.00,1000.00,Goldman Day Nursery Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113277,11100.00,0.00,11100.00,Habonim Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113278,700.00,0.00,700.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113280,12000.00,0.00,12000.00,Holly House Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113281,9000.00,0.00,9000.00,Holy Angels Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113282,17000.00,0.00,17000.00,Holyrood Day Nursery Salford,Children's Services,Grants
Salford City Council,2014-04-09,601113283,28000.00,0.00,28000.00,Holyrood Day Nursery (Swinton),Children's Services,Grants
Salford City Council,2014-04-09,601113286,5200.00,0.00,5200.00,Jitterbugz Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113288,1000.00,0.00,1000.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113292,12400.00,0.00,12400.00,Kerem Shloime Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113293,10300.00,0.00,10300.00,Kiddiewinkles Preschool,Children's Services,Grants
Salford City Council,2014-04-09,601113294,6900.00,0.00,6900.00,Kidz R Us Flexible Childcare,Children's Services,Grants
Salford City Council,2014-04-09,601113295,2700.00,0.00,2700.00,Kidz R Us The Lodge,Children's Services,Grants
Salford City Council,2014-04-09,601113296,4100.00,0.00,4100.00,Ladybird Private Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113297,2200.00,0.00,2200.00,Lark Hill Day Nursery Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113299,1300.00,0.00,1300.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113300,12400.00,0.00,12400.00,Little Explorers Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113301,5500.00,0.00,5500.00,Little Explorers,Children's Services,Grants
Salford City Council,2014-04-09,601113302,10000.00,0.00,10000.00,Little Gems Private Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113303,3800.00,0.00,3800.00,Little Learners,Children's Services,Grants
Salford City Council,2014-04-09,601113304,12400.00,0.00,12400.00,Little People Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113307,10000.00,0.00,10000.00,Manchester Jnr Girls School,Children's Services,Grants
Salford City Council,2014-04-09,601113308,1300.00,0.00,1300.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113309,1300.00,0.00,1300.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113310,3800.00,0.00,3800.00,Mojo,Children's Services,Grants
Salford City Council,2014-04-09,601113312,7200.00,0.00,7200.00,Munchkins Nursery Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113313,6600.00,0.00,6600.00,Nutkins Play & Learn Centre,Children's Services,Grants
Salford City Council,2014-04-09,601113314,15100.00,0.00,15100.00,Oaklands Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113315,6000.00,0.00,6000.00,Oyy Lubavitch Girls School,Children's Services,Grants
Salford City Council,2014-04-09,601113317,3000.00,0.00,3000.00,Playtime Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113319,3100.00,0.00,3100.00,Primrose Hill Private Day,Children's Services,Grants
Salford City Council,2014-04-09,601113320,14700.00,0.00,14700.00,Rainbows Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113323,4100.00,0.00,4100.00,Rug Rats Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113324,700.00,0.00,700.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113325,1700.00,0.00,1700.00,St Ambrose Young Families,Children's Services,Grants
Salford City Council,2014-04-09,601113326,8400.00,0.00,8400.00,Safehands Green Start Nurseries Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113327,9700.00,0.00,9700.00,Scalywags Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113328,14400.00,0.00,14400.00,Seedlings Childcare Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113329,7200.00,0.00,7200.00,Sonshine Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113330,8600.00,0.00,8600.00,St Lukes Pre-School Playgroup,Children's Services,Grants
Salford City Council,2014-04-09,601113331,3800.00,0.00,3800.00,St Pauls Peel Playgroup Fund,Children's Services,Grants
Salford City Council,2014-04-09,601113332,1700.00,0.00,1700.00,Sunny Days Childrens Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113333,13200.00,0.00,13200.00,Sylvan Court Day Nursery Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113334,700.00,0.00,700.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113335,15500.00,0.00,15500.00,Talmud Torah Chinuch N'Orim,Children's Services,Grants
Salford City Council,2014-04-09,601113336,36700.00,0.00,36700.00,Tashbar Academy Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113338,9300.00,0.00,9300.00,The Manse Day Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113339,11100.00,0.00,11100.00,The Stables Day Nursery Limited,Children's Services,Grants
Salford City Council,2014-04-09,601113340,17900.00,0.00,17900.00,Tiferes ( The New Girls School ),Children's Services,Grants
Salford City Council,2014-04-09,601113341,6200.00,0.00,6200.00,Tinytots Vision Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113342,10400.00,0.00,10400.00,Tinytots Vision Ltd,Children's Services,Grants
Salford City Council,2014-04-09,601113343,12800.00,0.00,12800.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113344,4200.00,0.00,4200.00,Unicorn Nursery,Children's Services,Grants
Salford City Council,2014-04-09,601113345,1000.00,0.00,1000.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113346,4600.00,0.00,4600.00,Wasp Pre-School,Children's Services,Grants
Salford City Council,2014-04-09,601113347,8400.00,0.00,8400.00,Westwood Smarties,Children's Services,Grants
Salford City Council,2014-04-09,601113348,25200.00,0.00,25200.00,Wow Kids Ltd T/A Bright Futures,Children's Services,Grants
Salford City Council,2014-04-09,601113349,15500.00,0.00,15500.00,Xl Childcare,Children's Services,Grants
Salford City Council,2014-04-09,601113350,2100.00,0.00,2100.00,Yogurt Pots Childcare Services,Children's Services,Grants
Salford City Council,2014-04-09,601113352,22400.00,0.00,22400.00,Broughton Jewish C F Academy,Children's Services,Grants
Salford City Council,2014-04-09,601113353,10300.00,0.00,10300.00,Dukesgate Academy,Children's Services,Grants
Salford City Council,2014-04-09,601113354,21200.00,0.00,21200.00,Marlborough Road Academy,Children's Services,Grants
Salford City Council,2014-04-09,601113358,700.00,0.00,700.00,Redacted Data,Children's Services,Grants
Salford City Council,2014-04-09,601113364,1012.78,0.00,1012.78,United Utilities Water Limited,Office of the Chief Executive,Water
Salford City Council,2014-04-09,601113417,3489.75,0.00,3489.75,Agnes Hopkins Centre,"Community, Health & Social Care",Grants
Salford City Council,2014-04-09,601113418,1962.60,0.00,1962.60,Start In Salford,Children's Services,Grants
Salford City Council,2014-04-09,601113419,600.00,0.00,600.00,Department For Work And Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-09,601113420,5367.00,0.00,5367.00,Law Room,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-09,601113421,7976.84,0.00,7976.84,Stone Rowe Brewer Llp,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-09,601113422,4000.00,0.00,4000.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-09,601113423,12000.00,0.00,12000.00,Account General Of The Senior Court,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-09,601113424,3180.00,0.00,3180.00,Graham Coffey & Co Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-09,601113425,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-04-09,601113426,6750.00,0.00,6750.00,Independent Age,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-09,601113428,6343.71,0.00,6343.71,Aon Uk,Sustainable Regeneration,Insurance Premiums
Salford City Council,2014-04-09,601113434,567.84,0.00,567.84,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-04-09,601113436,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-04-09,601113437,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-04-09,601113441,553.56,0.00,553.56,Redacted Data,Sustainable Regeneration,Pmnts Privt Provider
Salford City Council,2014-04-09,601113444,585.00,0.00,585.00,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-04-09,601113445,4400.00,0.00,4400.00,Widdows Pilling & Co Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-09,601113446,763.28,0.00,763.28,LV,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-09,601113451,13289.00,0.00,13289.00,Primrose Hill Private Day,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,601113452,3791.00,0.00,3791.00,Redacted Data,Environment and Community Safety,Refunds
Salford City Council,2014-04-09,601113454,540.00,0.00,540.00,Redacted Data,Capital Expenditure,Disturbance Payments
Salford City Council,2014-04-09,601113455,1590.40,0.00,1590.40,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-04-09,601113461,847.63,0.00,847.63,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-09,601113468,6467.67,0.00,6467.67,Bgc Brokers Lp,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2014-04-09,601113469,640.63,0.00,640.63,Bgc Brokers Lp,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2014-04-09,601113470,11422.21,0.00,11422.21,Hmrc,Capital Expenditure,Inland Revenue - CIS
Salford City Council,2014-04-09,601113471,6991.79,0.00,6991.79,Icap Europe Limited,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2014-04-09,601113472,8186.30,0.00,8186.30,Tullett Prebon (Uk) Ltd,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2014-04-09,601113473,9606.59,0.00,9606.59,Tradition (Uk) Limited,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2014-04-09,601113474,3239.18,0.00,3239.18,Martin Brokers (Uk) Ltd,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2014-04-09,1600499802,588.00,98.00,490.00,The Hub Events Ltd,"Community, Health & Social Care",Conferences/Seminars
Salford City Council,2014-04-09,1600499803,1080.00,180.00,900.00,Aidapt Bathrooms Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-09,1600499821,1356.98,0.00,1356.98,Lancasterian School,Children's Services,Payts to Other LA's
Salford City Council,2014-04-09,1600499822,2520.00,420.00,2100.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-09,1600499899,43662.56,1301.93,42360.63,Manchester City Council,Customer and Support Services,Legal Fees
Salford City Council,2014-04-09,1600500063,3520.67,0.00,3520.67,Modus Communicandi Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500162,6642.99,0.00,6642.99,Foster Cares Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500171,5314.33,0.00,5314.33,Foster Cares Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500175,1607.14,0.00,1607.14,Northerncare,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500179,9502.35,0.00,9502.35,Inspire Childrens Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500180,10198.80,0.00,10198.80,Inspire Childrens Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500181,1450.00,0.00,1450.00,Inspire Childrens Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500182,133000.01,22166.67,110833.34,G.M.C.P (Enterprise) Ltd,Customer and Support Services,Payts to Agencies
Salford City Council,2014-04-09,1600500191,761.62,126.94,634.68,Manchester City Council,Customer and Support Services,Legal Fees
Salford City Council,2014-04-09,1600500325,590.40,98.40,492.00,Health Edco,"Community, Health & Social Care",Equipment Purchase
Salford City Council,2014-04-09,1600500445,1440.00,240.00,1200.00,Door Repair Service  Ltd,Sustainable Regeneration,UV Lift Maint
Salford City Council,2014-04-09,1600500583,3845.59,147.91,3697.68,Three Circles Fostering,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500693,52257.00,0.00,52257.00,Witherslack Hall School,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500818,986.70,164.45,822.25,Alliance Disposables Ltd,Environment and Community Safety,Catering Materials
Salford City Council,2014-04-09,1600500906,1595.00,0.00,1595.00,Inspire Training & Education Servic,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500907,9532.35,0.00,9532.35,Inspire Childrens Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500909,10668.09,0.00,10668.09,Inspire Childrens Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500910,1450.00,0.00,1450.00,Inspire Training & Education Servic,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500911,1595.00,0.00,1595.00,Inspire Training & Education Servic,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600500956,153781.66,0.00,153781.66,Foundations Support & Care Services,Children's Services,Payts to Agencies
Salford City Council,2014-04-09,1600501157,599.78,99.96,499.82,E & J Kane Ltd,Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2014-04-09,1600501465,1923.27,320.55,1602.72,E & J Kane Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-04-09,1600501471,648.00,108.00,540.00,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-04-09,1600501472,824.37,137.40,686.97,E & J Kane Ltd,Children's Services,Mobile Phones
Salford City Council,2014-04-09,1600501504,713.17,118.86,594.31,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-04-09,1600501522,18261.66,3043.61,15218.05,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Adapts/Alterations
Salford City Council,2014-04-09,1600501982,1566.64,261.10,1305.54,F. R. Sharrock Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-09,1600502020,774.70,129.11,645.59,F. R. Sharrock Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-09,1600502178,3924.30,623.66,3300.64,Community Forest Trust Ltd,Sustainable Regeneration,Oth Office Expenses
Salford City Council,2014-04-09,1600502719,12620.41,2103.40,10517.01,Enviro Technology Services Plc,Environment and Community Safety,Sampling
Salford City Council,2014-04-09,1600502732,819.00,0.00,819.00,Fab Travel Ltd,Children's Services,Oth Office Expenses
Salford City Council,2014-04-09,1600502754,705.60,117.60,588.00,Rm Education Plc,Capital Expenditure,Works & Building
Salford City Council,2014-04-09,fknultedu,847.67,141.28,706.39,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-09,ntkqntlfr,513.60,85.60,428.00,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-09,vboelbyam,1388.00,0.00,1388.00,Justgiving.Com,"Community, Health & Social Care",Sponsorship
Salford City Council,2014-04-10,601111646,3024.00,0.00,3024.00,Park Foster Care Limited,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,601111648,3184.01,0.00,3184.01,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,601111699,35313.74,0.00,35313.74,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-04-10,601111782,3239.88,0.00,3239.88,Park Foster Care Limited,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,601113012,3065.87,510.98,2554.89,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-04-10,601113109,9591.00,1598.50,7992.50,Tnt (Uk) Ltd,Customer and Support Services,Postage
Salford City Council,2014-04-10,601113121,6516.66,0.00,6516.66,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2014-04-10,601113550,604.80,100.80,504.00,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2014-04-10,601113562,588.25,0.00,588.25,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-04-10,601113567,39081.25,0.00,39081.25,Big Life Centres,Capital Expenditure,VAT Adjustment
Salford City Council,2014-04-10,601113568,39081.25,0.00,39081.25,Big Life Centres,Capital Expenditure,VAT Adjustment
Salford City Council,2014-04-10,601113569,39081.25,0.00,39081.25,Big Life Centres,Capital Expenditure,VAT Adjustment
Salford City Council,2014-04-10,601113584,946.50,0.00,946.50,Lark Hill Day Nursery Ltd,Children's Services,Grants
Salford City Council,2014-04-10,601113585,504.80,0.00,504.80,Kiddiewinkles Preschool,Children's Services,Grants
Salford City Council,2014-04-10,601113586,656.24,0.00,656.24,Seedlings Childcare Ltd,Children's Services,Grants
Salford City Council,2014-04-10,601113587,738.27,0.00,738.27,Fledglings (Irlam) Limited,Children's Services,Grants
Salford City Council,2014-04-10,601113588,738.27,0.00,738.27,Fledglings (Irlam) Limited,Children's Services,Grants
Salford City Council,2014-04-10,601113591,738.27,0.00,738.27,Jitterbugz Day Nursery,Children's Services,Grants
Salford City Council,2014-04-10,601113593,984.36,0.00,984.36,First Steps Playgroup,Children's Services,Grants
Salford City Council,2014-04-10,601113604,560.00,0.00,560.00,Redacted Data,Children's Services,Children Act-Sect 17
Salford City Council,2014-04-10,601113611,604.80,100.80,504.00,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2014-04-10,601113612,11467.54,1911.26,9556.28,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2014-04-10,601113613,656.08,0.00,656.08,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-04-10,601113615,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-04-10,601113617,554.68,0.00,554.68,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-04-10,1600497569,11641.40,1940.23,9701.17,Pitney Bowes Software Ltd,Environment and Community Safety,Computer Maintenance
Salford City Council,2014-04-10,1600499963,1140.00,190.00,950.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-04-10,1600500335,1151.15,0.00,1151.15,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500336,952.00,0.00,952.00,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500591,2640.00,0.00,2640.00,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500610,2280.00,0.00,2280.00,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500652,3571.82,0.00,3571.82,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500712,3311.73,0.00,3311.73,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500713,3311.73,0.00,3311.73,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500753,3759.99,0.00,3759.99,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500797,3945.00,0.00,3945.00,Lloyds Tsb Commercial Finance,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500802,2540.00,0.00,2540.00,National Crime Agency,Environment and Community Safety,Training expenses
Salford City Council,2014-04-10,1600500815,3945.00,0.00,3945.00,Lloyds Tsb Commercial Finance,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500823,532.77,25.37,507.40,Emo Oil Ltd,Environment and Community Safety,Fuel Oil
Salford City Council,2014-04-10,1600500825,3593.21,0.00,3593.21,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500830,3985.71,0.00,3985.71,Specialised Homes And Lodgings Ltd,Children's Services,Rents
Salford City Council,2014-04-10,1600500831,3945.00,0.00,3945.00,Lloyds Tsb Commercial Finance,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500832,3945.00,0.00,3945.00,Lloyds Tsb Commercial Finance,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600500943,2000.00,0.00,2000.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-10,1600500989,3593.21,0.00,3593.21,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-10,1600501091,15740.40,2623.40,13117.00,N Shawcross Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-04-10,1600501122,900.00,0.00,900.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-10,1600501288,709.20,118.20,591.00,Tyreforce Nw Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-10,1600501323,530.00,0.00,530.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-04-10,1600502803,45428.24,7571.37,37856.87,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2014-04-10,1600502983,17562.12,2927.02,14635.10,S & W Tlp Education Partnership Ltd,Children's Services,Unitary Charge
Salford City Council,2014-04-10,1600502987,28466.28,4695.88,23770.40,Evans Halshaw,Children's Services,Vehicle Running Cost
Salford City Council,2014-04-10,bfwjxseyx,562.84,93.81,469.03,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,bjkvradup,1888.77,0.00,1888.77,Birtwistle Butcher,Environment and Community Safety,Provisions
Salford City Council,2014-04-10,bnbeesyfp,619.16,103.19,515.97,Ambro Plastics Limited,"Community, Health & Social Care",Cleaning materials
Salford City Council,2014-04-10,bnwpxsryn,2601.00,433.50,2167.50,Tramways Hotel,Sustainable Regeneration,Support for the Homeless
Salford City Council,2014-04-10,caspjjsat,2958.34,493.06,2465.28,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,cgdkuiwkn,1663.30,277.22,1386.08,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,ckhmblrxd,7498.00,1249.67,6248.33,Hawthorn Hotel,Sustainable Regeneration,Support for the Homeless
Salford City Council,2014-04-10,gtaifijbo,583.20,97.20,486.00,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,iqomfricq,886.25,147.71,738.54,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,isuvnvxcv,40707.04,6784.51,33922.53,Npower Ltd (I&c),Sustainable Regeneration,Furniture
Salford City Council,2014-04-10,jqwkubjkn,861.31,143.55,717.76,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,jyblaubdr,886.25,147.71,738.54,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,kqzwwbbsj,886.25,147.71,738.54,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,kyrgqrgxl,2428.69,404.78,2023.91,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,lnqqnsfqa,634.84,0.00,634.84,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2014-04-10,lqdngahhw,517.45,86.24,431.21,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,myjjtixib,2000.83,333.47,1667.36,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,nncrvoajo,2446.80,407.80,2039.00,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,nqevtyuru,886.25,147.71,738.54,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,onemojpyn,2335.86,389.31,1946.55,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,pskbmixgi,1598.68,319.74,1598.68,Capita Bus Svs-Moto,Customer and Support Services,Capital
Salford City Council,2014-04-10,pwtoaehus,3537.79,707.56,3537.79,Cintas Document Uk,Customer and Support Services,Stationary
Salford City Council,2014-04-10,qdmyksbsk,861.05,143.51,717.54,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,qmzemykko,723.11,11.51,711.60,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2014-04-10,qylslotdu,885.61,147.60,738.01,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,qzgxtlegf,1495.20,249.20,1246.00,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,rvfueygbp,861.05,143.51,717.54,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,rvuqjsavk,886.25,147.71,738.54,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,rzmwfwske,986.02,164.34,821.68,The Furnishing Service,"Community, Health & Social Care",Furniture
Salford City Council,2014-04-10,shzeqwgyk,886.25,147.71,738.54,The Furnishing Service,"Community, Health & Social Care",Furniture
