Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-05-11,601319577,577.62,96.27,481.35,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-11,601319575,629.11,104.85,524.26,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-11,601319574,662.47,110.41,552.06,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-11,601319572,901.19,150.20,750.99,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-11,601319578,1001.69,166.95,834.74,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-11,601319567,2956.80,492.80,2464.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-11,1600666444,1025.00,0.00,1025.00,Lancashire County Council,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2021-05-11,601319562,1980.00,0.00,1980.00,M & Q Properties Management Ltd,People (Childrens) Service Group,Rents
Salford City Council,2021-05-11,601319594,29980.04,4996.67,24983.37,North West Local Authorities,Service Reform (Corp Bus & Transform),Subscriptions
Salford City Council,2021-05-11,1600666443,2160.00,360.00,1800.00,One Education,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-11,1600666460,660.00,110.00,550.00,Openview Security Solutions Ltd,Place Directorate,Contractors
Salford City Council,2021-05-11,601319585,590.00,0.00,590.00,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2021-05-11,1600666456,1656.00,276.00,1380.00,Pcc For Greater Manchester,Service Reform (Corp Bus & Transform),Ext Fees-Architects
Salford City Council,2021-05-11,1600666442,4902.00,817.00,4085.00,Pressboost Ltd,People (Childrens) Service Group,UV Tank Clean
Salford City Council,2021-05-11,6003261993,541.16,0.00,541.16,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262058,542.08,0.00,542.08,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262035,544.80,0.00,544.80,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262137,567.48,0.00,567.48,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262074,567.68,0.00,567.68,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262009,588.24,0.00,588.24,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262023,610.52,0.00,610.52,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003261988,638.64,0.00,638.64,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262026,660.00,0.00,660.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262000,724.00,0.00,724.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003261983,868.00,0.00,868.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262140,993.44,0.00,993.44,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262112,1344.00,0.00,1344.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003261973,1379.00,0.00,1379.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262054,1423.12,0.00,1423.12,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262039,2047.24,0.00,2047.24,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003261979,2160.00,0.00,2160.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262109,2204.16,0.00,2204.16,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,6003262067,2208.00,0.00,2208.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-05-11,601319584,64864.83,10810.91,54053.92,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2021-05-11,601319598,-1771.20,-295.20,-1476.00,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-11,601319597,2956.80,492.80,2464.00,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-11,1600666455,1188.00,198.00,990.00,Synectics Ltd,Place Directorate,Contractors
Salford City Council,2021-05-11,1600642605,2423.00,0.00,2423.00,T/A Greater Manchester Travelcards,People (Adults) - CHSC,ClientTravel Expense
Salford City Council,2021-05-11,1600666458,684.00,114.00,570.00,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2021-05-11,1600666457,912.00,152.00,760.00,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2021-05-11,601319586,617.08,0.00,617.08,Warrington Borough Council,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-05-11,1600666463,6024.00,1004.00,5020.00,Wesley Music,Place Directorate,IT  Licence Fee
Salford City Council,2021-05-11,1600666464,8894.40,1482.40,7412.00,Wesley Music,Place Directorate,IT  Licence Fee
Salford City Council,2021-05-12,601319720,4334.32,0.00,4334.32,Abbeydale Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319648,5537.23,0.00,5537.23,Abbeydale Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319683,687.88,0.00,687.88,Abbotsound Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319700,1625.37,0.00,1625.37,Abbotsound Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319628,2076.46,0.00,2076.46,Abbotsound Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319716,7043.27,0.00,7043.27,Amadeus Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319644,8997.99,0.00,8997.99,Amadeus Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319736,10835.79,0.00,10835.79,Anchor Trust - Beechfield Lodge,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319664,13843.07,0.00,13843.07,Anchor Trust - Beechfield Lodge,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319722,5417.90,0.00,5417.90,Angel Care Plc,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319650,6921.53,0.00,6921.53,Angel Care Plc,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319710,722.39,0.00,722.39,Aspire Intelligent Care & Support,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319638,922.87,0.00,922.87,Aspire Intelligent Care & Support,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319709,2528.35,0.00,2528.35,Aspire Intelligent Care & Support,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319637,3230.05,0.00,3230.05,Aspire Intelligent Care & Support,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319695,4280.13,0.00,4280.13,Aspire Intelligent Care & Support,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319673,11082.48,0.00,11082.48,Beecared4,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319674,2292.93,0.00,2292.93,Beenstock Home Management Co Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319728,4695.51,0.00,4695.51,Beenstock Home Management Co Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319656,5998.66,0.00,5998.66,Beenstock Home Management Co Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,1600666435,637.92,106.32,531.60,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2021-05-12,1600666572,13026.00,0.00,13026.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666574,16375.67,0.00,16375.67,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666571,20345.00,0.00,20345.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,601319724,2889.55,0.00,2889.55,Bradmere & Merrymeet Care Group Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319652,3691.48,0.00,3691.48,Bradmere & Merrymeet Care Group Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,6003263355,798.47,45.20,753.27,Brake Bros Ltd,Service Reform (Corp Bus & Transform),Food and refreshments
Salford City Council,2021-05-12,601319737,6320.88,0.00,6320.88,Broughton House For X Service,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319665,8075.12,0.00,8075.12,Broughton House For X Service,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319675,4815.15,0.00,4815.15,Care Direct Salford Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319742,1805.97,0.00,1805.97,Castlerea House Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319670,2307.18,0.00,2307.18,Castlerea House Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319681,11158.91,0.00,11158.91,Castlerock Recruitment Group Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319684,1146.46,0.00,1146.46,Cherrytree Vale Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319730,3250.74,0.00,3250.74,Claremont Lodge Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319658,4152.92,0.00,4152.92,Claremont Lodge Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,1600666521,9630.00,1605.00,8025.00,Click4Assistance Limited,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2021-05-12,601319677,8407.40,0.00,8407.40,Comfort Call Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319678,8713.12,0.00,8713.12,Comfort Call Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319705,5417.90,0.00,5417.90,Community Integrated Care,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319633,6921.53,0.00,6921.53,Community Integrated Care,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319706,10835.79,0.00,10835.79,Community Integrated Care,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319634,13843.07,0.00,13843.07,Community Integrated Care,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319733,3431.33,0.00,3431.33,Coveleaf Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319661,4383.64,0.00,4383.64,Coveleaf Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319734,4695.51,0.00,4695.51,Coveleaf Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319662,5998.66,0.00,5998.66,Coveleaf Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,6003263301,609.67,0.00,609.67,Creamline Dairies Trafford,Place Directorate,Food and refreshments
Salford City Council,2021-05-12,601319680,917.17,0.00,917.17,Creative Support,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319679,4356.56,0.00,4356.56,Creative Support,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319682,4356.56,0.00,4356.56,Dementia Care & Support At Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,6003263275,1797.60,0.00,1797.60,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-12,6003263282,2396.80,0.00,2396.80,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-12,6003263274,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-12,6003263334,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-12,6003263401,7887.88,0.00,7887.88,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-12,1600666103,-15086.07,-826.32,-14259.75,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,1600666142,-4543.96,0.00,-4543.96,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,1600666101,-1652.34,-275.39,-1376.95,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,1600666102,-1607.68,-267.95,-1339.73,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,1600666525,687.83,114.64,573.19,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,1600666526,1513.22,252.20,1261.02,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,1600666299,263898.86,43983.14,219915.72,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,601319717,9029.83,0.00,9029.83,Ecclesholme Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319645,11535.89,0.00,11535.89,Ecclesholme Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,1600666545,1101.40,0.00,1101.40,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666550,1101.40,0.00,1101.40,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666552,1196.64,0.00,1196.64,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666542,1230.08,0.00,1230.08,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666543,1859.40,0.00,1859.40,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666547,2085.76,0.00,2085.76,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666544,2181.00,0.00,2181.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666553,2259.22,0.00,2259.22,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666549,2399.10,0.00,2399.10,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666519,4357.20,726.20,3631.00,First City Fire & Security Ltd,People (Childrens) Service Group,Fire Equipment
Salford City Council,2021-05-12,601319602,2742.93,0.00,2742.93,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2021-05-12,601319707,6140.28,0.00,6140.28,Ggs Care Home Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319635,7844.41,0.00,7844.41,Ggs Care Home Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319703,8668.64,0.00,8668.64,Hc One Ltd - Several Homes,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319702,10474.60,0.00,10474.60,Hc One Ltd - Several Homes,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319631,11074.45,0.00,11074.45,Hc One Ltd - Several Homes,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319630,13381.63,0.00,13381.63,Hc One Ltd - Several Homes,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319712,21671.59,0.00,21671.59,Hc-One Oval Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319640,27686.14,0.00,27686.14,Hc-One Oval Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319711,17698.46,0.00,17698.46,Healthcare Management Solutions Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319639,22610.35,0.00,22610.35,Healthcare Management Solutions Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319718,5056.70,0.00,5056.70,Heath Cottage Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319646,6460.10,0.00,6460.10,Heath Cottage Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319714,1083.58,0.00,1083.58,Heathcotes Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319713,1264.18,0.00,1264.18,Heathcotes Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319642,1384.31,0.00,1384.31,Heathcotes Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319641,1615.02,0.00,1615.02,Heathcotes Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319690,3745.11,0.00,3745.11,Highland Ornate Ltd T/A Ornate Heal,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319740,7043.27,0.00,7043.27,Hill Care 1 Ltd T/A Alderwood,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319668,8997.99,0.00,8997.99,Hill Care 1 Ltd T/A Alderwood,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319704,4514.91,0.00,4514.91,Holly Court Care Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319632,5767.95,0.00,5767.95,Holly Court Care Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319685,4585.86,0.00,4585.86,Home Instead Senior Care,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319686,3133.67,0.00,3133.67,Homecare Solutions Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319731,902.98,0.00,902.98,House Martins (Salford) Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319732,902.98,0.00,902.98,House Martins (Salford) Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319659,1153.59,0.00,1153.59,House Martins (Salford) Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319660,1153.59,0.00,1153.59,House Martins (Salford) Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319699,611.45,0.00,611.45,Imagine Independence,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,1600666112,801.60,133.60,668.00,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep
Salford City Council,2021-05-12,1600666568,6440.00,0.00,6440.00,Kedleston (Wings Education) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666567,7120.00,0.00,7120.00,Kedleston (Wings Education) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666564,57937.00,0.00,57937.00,Kedleston (Wings Education) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666565,58612.00,0.00,58612.00,Kedleston (Wings Education) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666566,61666.67,0.00,61666.67,Kedleston (Wings Education) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,601319729,10835.79,0.00,10835.79,Kenyon Lodge Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319657,13843.07,0.00,13843.07,Kenyon Lodge Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319676,687.88,0.00,687.88,Key Care & Support Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319701,12280.57,0.00,12280.57,Laburnum Court,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319629,15688.81,0.00,15688.81,Laburnum Court,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319612,8523.60,1420.60,7103.00,Language Empire Ltd,Service Reform (Corp Bus & Transform),Interpreter/translat
Salford City Council,2021-05-12,601319688,917.17,0.00,917.17,Master Quality Healthcare Services,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319719,3431.33,0.00,3431.33,Merrymeet Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319647,4383.64,0.00,4383.64,Merrymeet Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319735,5779.09,0.00,5779.09,Mns Care Plce,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319663,7382.97,0.00,7382.97,Mns Care Plce,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319721,5959.69,0.00,5959.69,Moorfield House Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319649,7613.69,0.00,7613.69,Moorfield House Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319689,12076.08,0.00,12076.08,Northern Healthcare Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319687,764.31,0.00,764.31,Olive Healthcare Solutions Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319739,1625.37,0.00,1625.37,Park View,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319667,2076.46,0.00,2076.46,Park View,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319738,1444.77,0.00,1444.77,Pendleton Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319666,1845.74,0.00,1845.74,Pendleton Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,1600666229,867.70,144.62,723.08,Phs Group Plc,Service Reform (Corp Bus & Transform),Housekeeping
Salford City Council,2021-05-12,601319691,34317.50,0.00,34317.50,Premier Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,6003263389,1283.59,0.00,1283.59,Quayside Bakery,Place Directorate,Food and refreshments
Salford City Council,2021-05-12,601319752,675.36,112.56,562.80,Reach Publishing Services Ltd,Place Directorate,Marketing/Publicity
Salford City Council,2021-05-12,601319671,17961.27,0.00,17961.27,Redacted Data,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319741,2167.16,0.00,2167.16,Reliance Care Homes Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319669,2768.61,0.00,2768.61,Reliance Care Homes Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319692,11311.78,0.00,11311.78,Routes Healthcare (North),People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,1600666421,885201.83,147533.64,737668.19,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,1600666516,20354.10,3392.35,16961.75,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,1600666515,1028602.65,171433.78,857168.87,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,1600664067,27655.85,4609.31,23046.54,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-05-12,601319694,3057.24,0.00,3057.24,Select Community Support,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,1600666575,6000.00,0.00,6000.00,Sms Coaching Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-05-12,1600666576,6000.00,0.00,6000.00,Sms Coaching Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-05-12,1600666569,8670.00,0.00,8670.00,Sms Coaching Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-05-12,1600666570,2430.00,0.00,2430.00,Sms Coaching Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-12,1600666573,2430.00,0.00,2430.00,Sms Coaching Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-12,1600666578,6000.00,0.00,6000.00,Sms Coaching Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-12,6003263309,8274.00,0.00,8274.00,Sq *Zen Computer Services,Service Reform (Corp Bus & Transform),Food and refreshments
Salford City Council,2021-05-12,6003263254,840.00,0.00,840.00,Sumup *Jf Services,People (Adults) - CHSC,General Repairs
Salford City Council,2021-05-12,6003263272,589.00,0.00,589.00,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-12,6003263367,625.00,0.00,625.00,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-12,6003263262,700.00,0.00,700.00,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-12,601319693,4356.56,0.00,4356.56,T/A Sage Care Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,6003262034,20163.26,0.00,20163.26,T/A Sage Care Ltd,People (Adults) - CHSC,Supported Tenancies
Salford City Council,2021-05-12,601319696,20254.19,0.00,20254.19,T/A Synergy Homecare,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319723,7585.06,0.00,7585.06,The Broughtons Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319651,9690.15,0.00,9690.15,The Broughtons Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,1600666512,5000.00,0.00,5000.00,The Educational Psychologists,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2021-05-12,601319726,9029.83,0.00,9029.83,The Willows Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319654,11535.89,0.00,11535.89,The Willows Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319725,12461.16,0.00,12461.16,The Willows Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,601319653,15919.53,0.00,15919.53,The Willows Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-05-12,1600666561,1831.74,0.00,1831.74,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666560,1979.42,0.00,1979.42,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666554,2091.71,0.00,2091.71,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666548,2241.80,0.00,2241.80,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666559,2276.05,0.00,2276.05,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666556,2901.44,0.00,2901.44,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666558,3555.28,0.00,3555.28,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666557,3737.71,0.00,3737.71,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666555,4695.82,0.00,4695.82,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666580,8115.66,0.00,8115.66,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666579,11959.92,0.00,11959.92,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-12,1600666577,13241.34,0.00,13241.34,Together Trust,People (Childrens) Service Group,Payts to Agencies
