Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109086739,435.39,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101754,460.6,2017-07-19,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086834,469.56,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090391,471.26,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109087412,495.48,2017-06-28,Housing,Housing services,Housing services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090234,521.28,2017-07-05,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096103,521.28,2017-07-12,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101827,521.28,2017-07-19,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086831,521.28,2017-06-28,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087400,528.34,2017-06-28,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109090346,532.48,2017-07-05,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109090384,539.74,2017-07-05,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109090395,544.05,2017-07-05,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086805,558.76,2017-07-07,Communities and Intelligence,Public Health,Public Health
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109099875,558.76,2017-07-12,Communities and Intelligence,Public Health,Public Health
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109095713,560.61,2017-07-12,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109086692,560.61,2017-06-28,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109099873,567.92,2017-07-12,Communities and Intelligence,Public Health,Public Health
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090382,568.12,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101823,568.12,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086824,568.12,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,542321,PAYROLL SERVICES FEES,5109087409,582.3,2017-06-28,Communities and Intelligence,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109087430,582.92,2017-06-28,Housing,Housing services,Housing services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109092773,598.85,2017-07-10,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090380,609,2017-07-05,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109116250,609,2017-07-21,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086740,609,2017-06-28,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090706,609,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090323,609.09,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087441,618.28,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109068540,620.31,2017-07-04,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109085636,620.32,2017-07-05,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087426,624.28,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090359,631.01,2017-07-10,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087458,635.08,2017-06-28,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109087429,636.33,2017-06-28,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090381,637.26,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090393,642,2017-07-05,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101781,642.84,2017-07-19,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109068539,647.05,2017-07-04,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087414,658.88,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109072856,673.79,2017-07-04,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109097776,678.6,2017-07-17,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109042228,681.31,2017-06-28,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109050117,684.28,2017-06-30,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109052860,684.28,2017-06-30,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109101812,687.84,2017-07-19,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109057724,688.88,2017-06-30,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087424,689.96,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109044111,690.45,2017-06-28,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090376,693.38,2017-07-05,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096015,693.38,2017-07-12,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109063029,693.4,2017-06-30,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101779,693.78,2017-07-19,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109097783,697.45,2017-07-17,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109087396,697.45,2017-06-28,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109087466,697.45,2017-06-28,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109072804,698.07,2017-06-29,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109076920,698.07,2017-06-30,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109087453,699.5,2017-06-28,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109085851,702.75,2017-07-05,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086857,702.75,2017-07-05,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086216,702.75,2017-06-30,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101755,707.44,2017-07-19,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109095718,710.15,2017-07-14,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109092774,710.5,2017-07-05,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096102,710.5,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086815,712.14,2017-07-07,Communities and Intelligence,Public Health,Public Health
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086865,715.45,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096081,718.9,2017-07-12,External Affairs,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096097,725.74,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109095710,728.65,2017-07-12,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109086812,728.65,2017-06-28,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109087428,728.65,2017-06-28,Housing,Housing services,Housing services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109087432,729.61,2017-06-28,Housing,Housing services,Housing services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096039,747.72,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086816,749,2017-06-28,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109100527,751.1,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101828,754.02,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096085,759.7,2017-07-12,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090222,765.44,2017-07-03,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,542321,PAYROLL SERVICES FEES,5109091525,776.4,2017-07-05,Communities and Intelligence,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087393,780.35,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109062927,789.61,2017-07-07,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109105024,792.74,2017-07-19,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101752,802.5,2017-07-19,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096080,803.55,2017-07-12,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109099872,803.55,2017-07-12,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086764,803.55,2017-06-29,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101815,804.96,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109076879,807.49,2017-07-04,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109095736,810.55,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090335,812,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096101,812,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101834,812,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086768,812,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096055,823.52,2017-07-12,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087416,823.6,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087494,823.6,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109101813,832,2017-07-19,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101756,844.93,2017-07-19,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086807,855.61,2017-07-05,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090338,858.4,2017-07-05,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087391,862.45,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086810,865.04,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096031,934.65,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096037,934.65,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109100522,934.65,2017-07-17,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096305,934.67,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109057789,937.66,2017-07-07,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096029,955.42,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101749,955.42,2017-07-19,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096032,956.8,2017-07-11,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109097775,956.8,2017-07-17,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086755,956.8,2017-06-27,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,542321,PAYROLL SERVICES FEES,5109096086,970.5,2017-07-12,Communities and Intelligence,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,542321,PAYROLL SERVICES FEES,5109100525,970.5,2017-07-19,Communities and Intelligence,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109100523,972.9,2017-07-17,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096030,976.19,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109042146,1011.80,2017-07-10,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087406,1012.51,2017-06-28,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109072807,1028.14,2017-07-05,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109044202,1031.94,2017-07-10,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109042163,1034.17,2017-07-10,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109042162,1034.17,2017-06-30,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109042164,1034.17,2017-06-30,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090373,1044.58,2017-07-07,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109086819,1048.32,2017-06-28,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109066880,1061.03,2017-07-07,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090343,1073.00,2017-07-05,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096109,1073.00,2017-07-12,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096053,1073.00,2017-07-12,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101750,1073.00,2017-07-19,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086863,1073.00,2017-06-28,Private Office,Corporate and democratic core,Corporate and democratic core
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109105026,1081.00,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086751,1081.00,2017-06-27,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502010,SECONDED STAFF,5109090232,1196.70,2017-07-05,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502010,SECONDED STAFF,5109087408,1196.70,2017-06-28,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109076932,1200.87,2017-07-05,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096088,1217.30,2017-07-12,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,504020,RECRUITMENT AGENCY FEES,5109096100,1231.36,2017-07-12,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086821,1241.99,2017-07-06,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090210,1249.28,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090215,1249.28,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090388,1249.28,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101777,1249.28,2017-07-17,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109085601,1266.66,2017-07-07,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109052859,1283.11,2017-07-07,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109042100,1292.39,2017-07-10,"Development, Enterprise & Environment",Development Control,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096028,1329.29,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109087397,1357.55,2017-06-28,"Development, Enterprise & Environment",Highways and transport services,Highways and transport services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090364,1382.20,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090204,1554.90,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090203,1561.60,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090208,1561.60,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090209,1561.60,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090223,1561.60,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090367,1561.60,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109090385,1561.60,2017-07-04,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101778,1561.60,2017-07-17,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502010,SECONDED STAFF,5109099877,1675.38,2017-07-12,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502010,SECONDED STAFF,5109101832,1675.38,2017-07-19,Communities and Intelligence,Community Development,Planning services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109096064,1727.60,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101822,1727.60,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086827,1727.75,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101758,1893.10,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101759,1893.10,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101757,2271.72,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086813,6500.00,2017-06-28,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
