Date,Directorate,Service,Supplier,Invoice Line Value (net of VAT),Account
July 2010-September 2010,Community Services,Adult Social Care and Health,HELEN SANDERSON ASSOCIATES,929,TRAINING
July 2010-September 2010,Community Services,Adult Social Care and Health,HSA PRESS LIMITED,937,TRAINING
July 2010-September 2010,Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,"38,542.71",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,"17,629.72",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,"30,550.71",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,"18,421.71",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,"31,729.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,HUNDENS PARK CARE CENTRE,"48,132.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,INITIAL WASHROOM SOLUTIONS,647.56,SANITARY BINS
July 2010-September 2010,Community Services,Adult Social Care and Health,INNOVATIONS,"7,390.42",Day Care - Private Contractors
July 2010-September 2010,Community Services,Adult Social Care and Health,INNOVATIONS,"7,312.72",Day Care - Private Contractors
July 2010-September 2010,Community Services,Adult Social Care and Health,INNOVATIONS,"6,762.54",Day Care - Private Contractors
July 2010-September 2010,Community Services,Adult Social Care and Health,J & R FARRAGHER T/A POTENS,"11,107.48",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,J & R FARRAGHER T/A POTENS,741.6,Day Care - Private Contractors
July 2010-September 2010,Community Services,Adult Social Care and Health,J & R FARRAGHER T/A POTENS,741.6,Day Care - Private Contractors
July 2010-September 2010,Community Services,Adult Social Care and Health,J & R FARRAGHER T/A POTENS,741.6,Day Care - Private Contractors
July 2010-September 2010,Community Services,Adult Social Care and Health,J & R FARRAGHER T/A POTENS,"5,512.56",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,J & R FARRAGHER T/A POTENS,"3,040.56",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,KAYE H HUNT,575,TRAINING
July 2010-September 2010,Community Services,Adult Social Care and Health,KINGSWAY CARE HOME,"3,443.12",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,KINGSWAY CARE HOME,"3,443.12",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,KINGSWAY CARE HOME,"3,443.12",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,549.83,PHOTOCOPY CHARGES
July 2010-September 2010,Community Services,Adult Social Care and Health,LADHAR GROUP HOMES,"1,905.76",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LADHAR GROUP HOMES,"1,905.76",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LADHAR GROUP HOMES,"1,905.76",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LADHAR GROUP HOMES,"1,905.76",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LAKESIDE LODGE,"7,581.71",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,LAKESIDE LODGE,"18,098.29",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LAKESIDE LODGE,"12,320.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LAKESIDE LODGE,"6,160.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,LAKESIDE LODGE,"14,544.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LAKESIDE LODGE,"9,696.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,LEONARD CHESHIRE,"3,166.84",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LEONARD CHESHIRE,"3,166.84",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LEONARD CHESHIRE,"3,166.84",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LEONARD CHESHIRE,"3,192.73",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LEWIS'S MEDICAL SUPPLIES,684.14,EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,LEWIS'S MEDICAL SUPPLIES,527.5,EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,LINDISFARNE COURT,"3,647.52",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LINDISFARNE COURT,"4,173.84",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LINDISFARNE COURT,"3,647.52",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LINDISFARNE COURT,"4,173.84",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LINDISFARNE COURT,"4,173.84",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LINDISFARNE COURT,"3,647.52",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LINDISFARNE COURT,"1,823.76",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LINDISFARNE COURT,"1,823.76",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LINDISFARNE COURT,"1,823.76",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,LYNCH HEALTHCARE LIMITED,"1,249.00",EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,LYNCH HEALTHCARE LIMITED,692.8,EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,LYNCH HEALTHCARE LIMITED,"1,217.50",EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,LYNCH HEALTHCARE LIMITED,591.3,EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,LYNCH HEALTHCARE LIMITED,552.1,EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,MANDALE CARE HOME,"1,680.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MANOR CARE HOME GROUP,"104,707.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MANOR CARE HOME GROUP,"79,344.57",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MANOR CARE HOME GROUP,"3,523.80",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MANOR CARE HOME GROUP,"3,130.20",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MANOR CARE HOME GROUP,"84,925.14",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MARSDEN WEIGHING MACHINE GROUP LTD,"1,060.00",EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,MARSDEN WEIGHING MACHINE GROUP LTD,"1,045.00",EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,MAVAL ELECTRICAL ENGINEERING CO LTD,516.62,EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,MEDEX TRAINING LIMITED C/O A4E,710,TRAINING
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"5,977.17",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,532.8,Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"50,329.93",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"3,063.60",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"7,940.82",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"7,988.32",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"2,687.50",RENT OF FACILITIES
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"2,687.50",RENT OF FACILITIES
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"48,154.81",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,532.8,Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"2,624.04",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"54,091.40",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,"3,066.93",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENCAP,532.8,Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MENTAL HEALTH MATTERS,"51,574.50",MATERIALS
July 2010-September 2010,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,"7,616.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,"1,904.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,"8,694.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,"1,764.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,"7,262.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MIDDLETON HALL NURSING HOME,"1,792.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,575.64",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"1,335.46",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,575.63",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"1,335.46",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,575.63",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"1,292.38",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"1,285.95",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,557.85",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"6,089.72",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,578.08",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,578.08",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,847.73,Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"17,878.18",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"4,282.28",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"6,461.89",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"17,878.18",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"6,677.29",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,578.08",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,578.08",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"4,154.40",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"6,089.72",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"4,154.40",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,578.08",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"6,089.72",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,578.08",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"4,154.40",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,847.73,Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"17,878.17",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"6,677.29",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"5,507.02",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"4,359.95",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,847.73,Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"6,429.75",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"17,789.24",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"4,133.72",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,558.88",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"3,558.88",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"5,478.07",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"6,057.86",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,843.51,Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILBURY CARE SERVICE LTD,"4,260.96",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MILEWOOD HEALTHCARE LIMITED,"5,956.80",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,"1,272.15",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,738.86,Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,"1,742.40",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,"1,848.00",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,"12,969.00",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,"14,466.10",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,"34,162.14",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,"30,046.85",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,"26,460.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,MOORLANDS,"15,073.93",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTH EASTERN CARE LTD,850,EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTH PARK CARE CENTRE,"86,073.43",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTH PARK CARE CENTRE,"101,730.29",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTH PARK CARE CENTRE,"91,712.57",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTH REGIONAL ASSOCIATION FOR SENSORY SUPPORT,701.24,PRIVATE CONTRACTORS
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTH REGIONAL ASSOCIATION FOR SENSORY SUPPORT,701.24,PRIVATE CONTRACTORS
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTH YORKSHIRE MOBILITY & SAFETY,500.8,EQUIPMENT
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTHERN LIFE CARE LTD,"36,651.43",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTHERN LIFE CARE LTD,"32,552.39",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTHERN LIFE CARE LTD,"36,651.43",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTHERN LIFE CARE LTD,"36,651.43",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,NORTHUMBRIAN WATER,657.29,WATER CHARGES
July 2010-September 2010,Community Services,Adult Social Care and Health,OLM SYSTEMS LTD,739.73,ICT HARDWARE PURCHASE
July 2010-September 2010,Community Services,Adult Social Care and Health,OLM SYSTEMS LTD,"9,294.30",ICT HARDWARE PURCHASE
July 2010-September 2010,Community Services,Adult Social Care and Health,OSWALD HOUSE,"2,100.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,OSWALD HOUSE,"2,100.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,OSWALD HOUSE,"2,100.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,OUTCOMES UK LTD,864.5,PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Community Services,Adult Social Care and Health,OUTCOMES UK LTD,692.25,PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Community Services,Adult Social Care and Health,OUTCOMES UK LTD,"1,820.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Community Services,Adult Social Care and Health,OUTCOMES UK LTD,"1,072.50",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Community Services,Adult Social Care and Health,PARKLANDS NURSING HOME,"1,721.56",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,PARKLANDS NURSING HOME,"1,578.31",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,PARKLANDS NURSING HOME,"1,721.56",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,PEART FENCING,625.5,REPAIRS AND MAINTENANCE
July 2010-September 2010,Community Services,Adult Social Care and Health,PENDLETON CARE LIMITED,"6,120.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,PENDLETON CARE LIMITED,"6,120.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,PENDLETON CARE LIMITED,"6,120.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,PERCY HEDLEY FOUNDATION,"2,691.40",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,PERCY HEDLEY FOUNDATION,"2,691.40",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),"28,383.44",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),"20,761.71",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),"14,896.57",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),"11,144.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),"19,370.86",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POPLAR LODGE(ST GEORGES LODGE),"15,656.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,POPULAR CARE LTD,"11,020.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,POPULAR CARE LTD,"7,367.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POPULAR CARE LTD,"7,420.00",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,POPULAR CARE LTD,"18,198.71",Nursing - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,POPULAR CARE LTD,"12,093.71",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POPULAR CARE LTD,"21,885.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENS,"8,878.80",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENS,"8,878.80",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENS,"8,878.80",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"2,968.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"2,968.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"15,582.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"3,104.40",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"3,104.40",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"5,798.86",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"15,582.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"2,968.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,POTENSIAL LIMITED,"2,968.00",Residential
July 2010-September 2010,Community Services,Adult Social Care and Health,PREMIER COMMUNITY CARE LTD,"1,130.04",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,PREMIER COMMUNITY CARE LTD,"4,214.21",Home Care - Private Contractor
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,966.55,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,029.93",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,887.32,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,014.08",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,744.72,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,RANDSTAD CARE LIMITED,"1,569.91",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,320.00",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,204.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,237.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,270.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,229.25",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,006.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,940.5,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,006.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,254.00",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,171.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,237.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,990,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,221.00",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,237.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,237.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,742.5,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,973.5,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,237.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,237.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,105.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,808.5,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,643.5,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,122.00",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,"1,237.50",AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,680.45,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,882.35,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,897.3,AGENCY STAFF COSTS - NON TEACHING
July 2010-September 2010,Community Services,Adult Social Care and Health,REED PERSONNEL SERVICES PLC,889.82,AGENCY STAFF COSTS - NON TEACHING
