,,Community Services,Adult Social Care and Health,RNIB YORKSHIRE HUMBER & NORTH EAST,"1,436.36",MATERIALS
,,Community Services,Adult Social Care and Health,RNIB YORKSHIRE HUMBER & NORTH EAST,"1,422.00",BOOKS
,,Community Services,Adult Social Care and Health,ROSEDALE RETIREMENT & NURSING HOME,"1,559.60",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,ROSEDALE RETIREMENT & NURSING HOME,"1,559.60",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,"1,576.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,"41,954.86",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,"3,192.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,"1,576.00",Intermediate Care
,,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,"12,503.71",Residential
,,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,"9,558.29",Residential
,,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,"28,944.29",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,"1,576.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,RYDAL NURSING HOME,"3,192.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,SAINT JOHN OF GOD CARE SERVICES,"15,816.08",Residential
,,Community Services,Adult Social Care and Health,SAINT JOHN OF GOD CARE SERVICES,"7,908.04",Residential
,,Community Services,Adult Social Care and Health,SCAN MOBILITY,883.26,EQUIPMENT
,,Community Services,Adult Social Care and Health,SERAPH LTD,"5,112.64",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,"2,105.00",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,"2,675.00",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,"2,105.00",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,"2,105.00",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,SERVOCA NURSING & CARE,"2,105.00",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,SOUTHERN CROSS HEALTHCARE LTD,"3,732.00",Residential
,,Community Services,Adult Social Care and Health,SOUTHERN CROSS HEALTHCARE LTD,"7,280.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,SOUTHERN CROSS HEALTHCARE LTD,"7,280.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,SOUTHERN CROSS HEALTHCARE LTD,"1,744.00",Residential
,,Community Services,Adult Social Care and Health,SOUTHERN CROSS HEALTHCARE LTD,"3,732.00",Residential
,,Community Services,Adult Social Care and Health,SPRINGFIELD NURSING HOME,"38,656.10",Residential
,,Community Services,Adult Social Care and Health,SPRINGFIELD NURSING HOME,"42,292.00",Residential
,,Community Services,Adult Social Care and Health,ST AIDENS COTTAGE,"2,990.00",Residential
,,Community Services,Adult Social Care and Health,ST BEDES RESIDENTIAL HOME,"1,902.32",Residential
,,Community Services,Adult Social Care and Health,ST BEDES RESIDENTIAL HOME,"1,745.00",Residential
,,Community Services,Adult Social Care and Health,ST BEDES RESIDENTIAL HOME,"1,902.32",Residential
,,Community Services,Adult Social Care and Health,ST CUTHBERTS CARE,"1,852.00",Nursing - Private Contractor
,,Community Services,Adult Social Care and Health,ST JOSEPHS LITTLE SISTERS OF THE POOR,"1,744.00",Residential
,,Community Services,Adult Social Care and Health,SUPPLIES TEAM,971.59,ICT CONSUMABLES
,,Community Services,Adult Social Care and Health,SUPPLIES TEAM,"1,837.99",ICT CONSUMABLES
,,Community Services,Adult Social Care and Health,SUPPLIES TEAM,579.73,ICT CONSUMABLES
,,Community Services,Adult Social Care and Health,SUPREME CARE COMMUNITY (DOM CARE),"9,145.92",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,SUPREME CARE COMMUNITY (DOM CARE),636.03,Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,SUPREME CARE COMMUNITY (DOM CARE),"4,560.63",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,TAYLOUR MADE CARE LTD,816.00,Residential
,,Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST","5,381.25",Day Care - Private Contractors
,,Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST","3,012.00",RENT OF FACILITIES
,,Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST","2,144.29",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST","11,253.00",Residential
,,Community Services,Adult Social Care and Health,"TEES,ESK & WEAR VALLEYS NHS TRUST","22,506.00",Residential
,,Community Services,Adult Social Care and Health,TELECARE SERVICES ASSOCIATION,501.00,SUBSCRIPTIONS
,,Community Services,Adult Social Care and Health,THE AVENUE,"4,936.80",Residential
,,Community Services,Adult Social Care and Health,THE CAMPHILL VILLAGE TRUST,740.48,Residential
,,Community Services,Adult Social Care and Health,THE CAMPHILL VILLAGE TRUST,740.48,Residential
,,Community Services,Adult Social Care and Health,THE STROKE ASSOCIATION,"5,000.00",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,THE STROKE ASSOCIATION,"5,000.00",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,THE STROKE ASSOCIATION,"1,000.00",TRAINING
,,Community Services,Adult Social Care and Health,THE SYNERGY GROUP LTD,"1,117.50",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,THE SYNERGY GROUP LTD,"1,147.40",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Adult Social Care and Health,THORNBECK COLLEGE,"8,210.80",Residential
,,Community Services,Adult Social Care and Health,THORNBECK COLLEGE,"8,210.80",Residential
,,Community Services,Adult Social Care and Health,THORNBECK COLLEGE,"8,210.80",Residential
,,Community Services,Adult Social Care and Health,THREE RIVERS HOUSING ASSOCIATIONS LTD,"1,396.33",RENT OF FACILITIES
,,Community Services,Adult Social Care and Health,THREE RIVERS HOUSING ASSOCIATIONS LTD,"1,376.44",RENT OF FACILITIES
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"4,277.76",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"1,497.60",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"4,277.76",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"1,996.80",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"1,996.80",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"1,497.60",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"4,277.76",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"1,996.80",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"1,996.80",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"1,996.80",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"1,996.80",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,TOGETHER WORKING FOR WELLBEING,"1,497.60",PRIVATE CONTRACTORS
,,Community Services,Adult Social Care and Health,UNIQUE HOMECARE LTD,"16,329.84",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,UNITED RESPONSE,"20,048.58",Home Care - Private Contractor
,,Community Services,Adult Social Care and Health,VINE PROP MAN.LLP CLIENTS RE THE INDUSTRIAL TRUST,"1,500.00",RENT OF FACILITIES
,,Community Services,Adult Social Care and Health,VOYAGE CARE,"5,469.30",Residential
,,Community Services,Adult Social Care and Health,WELMEDE HOUSING ASSOCIATION,"5,580.00",Residential
,,Community Services,Adult Social Care and Health,WELMEDE HOUSING ASSOCIATION,"5,580.00",Residential
,,Community Services,Adult Social Care and Health,WM MORRISON (D'TON) ENTERPRISE TRUST,632.00,TRAINING
,,Community Services,Adult Social Care and Health,YOUNG FOUNDATION LTD,"15,477.00",Residential
,,Community Services,Adult Social Care and Health,YOUNG FOUNDATION LTD,"15,924.94",Residential
,,Community Services,Adult Social Care and Health,YOUNG FOUNDATION LTD,"15,924.94",Residential
,,Community Services,Adult Social Care and Health,YOUNG FOUNDATION LTD,"16,455.77",Residential
,,Community Services,Adult Social Care and Health,YOUNG FOUNDATION LTD,"16,455.77",Residential
,,Community Services,Cultural Services,A I R  LTD,"3,975.00",Production Costs
,,Community Services,Cultural Services,A I R  LTD,"1,350.00",Production Costs
,,Community Services,Cultural Services,ADT FIRE & SECURITY PLC,611.60,BURGLAR ALARMS
,,Community Services,Cultural Services,ADT FIRE & SECURITY PLC,"2,240.74",BURGLAR ALARMS
,,Community Services,Cultural Services,ALAN FAIRBAIRN MARQUEE HIRE LIMITED,540.00,Production Costs
,,Community Services,Cultural Services,ALL EVENTS SECURITY,828.00,Other Supplies & Services
,,Community Services,Cultural Services,AMBIENT CREATIVE SERVICES LTD,639.00,EXTERNAL PRINTING
,,Community Services,Cultural Services,AMELIA DAVIES,"1,400.00",Artist payments
,,Community Services,Cultural Services,AVAPRINT,"2,796.00",PRINTING
,,Community Services,Cultural Services,BAREFOOT STUDIO LTD,875.00,EQUIPMENT
,,Community Services,Cultural Services,BEYOND THE BARRICADE LIMITED,"6,000.00",Artist payments
,,Community Services,Cultural Services,BLACK & WHITE ADVERTISING (URWIN GARTON),"2,090.00",MARKETING & ADVERTISING
,,Community Services,Cultural Services,BRENNTAG UK & IRELAND,"1,930.50",CHEMICALS
,,Community Services,Cultural Services,BRENNTAG UK & IRELAND,768.00,CHEMICALS
,,Community Services,Cultural Services,BURTS CONTRACT SERVICES,"10,147.75",DLO RECHARGES
,,Community Services,Cultural Services,BURTS CONTRACT SERVICES,523.00,DLO RECHARGES
,,Community Services,Cultural Services,CHARTER FUELS LTD,958.40,ELECTRICITY
,,Community Services,Cultural Services,CHARTER FUELS LTD,"1,257.80",ELECTRICITY
,,Community Services,Cultural Services,CHEEKY CHOPS FACE PAINTING,825.00,Other Supplies & Services
,,Community Services,Cultural Services,COCA COLA ENTERPRISES LTD,529.92,Bar Provisions
,,Community Services,Cultural Services,COCA COLA ENTERPRISES LTD,549.14,Bar Provisions
,,Community Services,Cultural Services,COCKERTON OUTDOOR ACTIVITY CLUB,"1,820.00",AGENCY STAFF COSTS - NON TEACHING
,,Community Services,Cultural Services,COMBINED POWER (SOUTH) LTD,"2,797.81",ELECTRICITY
,,Community Services,Cultural Services,COOPERS TEA ROOMS & COFFEE HOUSE,"1,031.06",FOOD & DRINK COSTS
,,Community Services,Cultural Services,COVER FENCING,580.00,Other Supplies & Services
,,Community Services,Cultural Services,D HAMILTON,708.55,Artist payments
,,Community Services,Cultural Services,DARLINGTON ARTS CENTRE RHYTM & BLUES,798.00,Ticket Sales Paid to Others
,,Community Services,Cultural Services,DARLINGTON ARTS CENTRE RHYTM & BLUES,650.00,Ticket Sales Paid to Others
,,Community Services,Cultural Services,DARLINGTON ARTS CENTRE RHYTM & BLUES,774.00,Ticket Sales Paid to Others
,,Community Services,Cultural Services,DARLINGTON CONCERT BAND,742.00,Ticket Sales Paid to Others
,,Community Services,Cultural Services,DARLINGTON FOLK CLUB,"1,660.00",Ticket Sales Paid to Others
,,Community Services,Cultural Services,DARLINGTON MEDIA GROUP,"4,223.00",GRANTS
,,Community Services,Cultural Services,DARLINGTON SCAFFOLDING LTD,500.00,Other Supplies & Services
,,Community Services,Cultural Services,DEBBIE WAISTELL,870.00,Artist payments
,,Community Services,Cultural Services,EDEN FARM LTD,520.16,CATERING PROVISIONS
,,Community Services,Cultural Services,EDEN FARM LTD,997.90,CATERING PROVISIONS
,,Community Services,Cultural Services,EDEN FARM LTD,"1,350.10",CATERING PROVISIONS
,,Community Services,Cultural Services,EDEN FARM LTD,645.70,CATERING PROVISIONS
,,Community Services,Cultural Services,EDEN FARM LTD,948.20,CATERING PROVISIONS
,,Community Services,Cultural Services,ELECTRIC CENTRE,535.35,EQUIPMENT
,,Community Services,Cultural Services,FLOWERS BY NATTRASS,"1,267.47",Other Supplies & Services
,,Community Services,Cultural Services,FORTE MUSIC SERVICES LTD,"7,472.00",Artist payments
,,Community Services,Cultural Services,GASTO PROMOTIONS,"1,190.00",Ticket Sales Paid to Others
,,Community Services,Cultural Services,GLOBAL ARTISTS,982.30,Artist payments
,,Community Services,Cultural Services,GRAHAM TAYLOR,660.00,Artist payments
,,Community Services,Cultural Services,GREENLAY (GRASS MACHINERY) LTD,"1,391.00",EQUIPMENT
,,Community Services,Cultural Services,HEINEKEN UK,864.12,Bar Provisions
,,Community Services,Cultural Services,HEINEKEN UK,516.10,Bar Provisions
,,Community Services,Cultural Services,INITIAL WASHROOM SOLUTIONS,"1,097.38",Other Supplies & Services
,,Community Services,Cultural Services,INTELLIGENT DATA SERVICES LTD,"1,750.00",MARKETING & ADVERTISING
,,Community Services,Cultural Services,JOSEPHINE DAVIES,"1,000.00",Artist payments
,,Community Services,Cultural Services,JUS' LIKE THAT LIMITED,"3,024.56",Artist payments
,,Community Services,Cultural Services,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,"1,142.78",Other Supplies & Services
,,Community Services,Cultural Services,LANGTON (MEDICAL TRAINING) LTD,715.00,TRAINING
,,Community Services,Cultural Services,MARFORD LITHOGRAPHIC,837.89,Production Costs
,,Community Services,Cultural Services,MONSTER PARTIES LTD,"1,330.00",EQUIPMENT
,,Community Services,Cultural Services,MULTICORD,"4,970.00",Production Costs
,,Community Services,Cultural Services,NATIONAL EXPRESS LTD,"4,440.82",Ticket Sales Paid to Others
,,Community Services,Cultural Services,NES SERVICES LTD,555.45,SECURITY SERVICES
,,Community Services,Cultural Services,NORTHUMBRIAN WATER,960.41,WATER CHARGES
,,Community Services,Cultural Services,NORTHUMBRIAN WATER,"1,473.24",WATER CHARGES
,,Community Services,Cultural Services,NORTHUMBRIAN WATER,"1,921.05",WATER CHARGES
,,Community Services,Cultural Services,NORTHUMBRIAN WATER,"1,417.73",WATER CHARGES
,,Community Services,Cultural Services,NOVAR SYSTEMS LTD,631.14,FIRE EXTINGUISHERS & EQUIPMENT
,,Community Services,Cultural Services,OTHERTOURS,500.00,Ticket Sales Paid to Others
,,Community Services,Cultural Services,OTIS PLC,"2,243.00",EQUIPMENT
,,Community Services,Cultural Services,PETRA LLOYD,"1,259.66",Production Costs
,,Community Services,Cultural Services,QDOS PANTOMIMES,"100,000.00",Artist payments
,,Community Services,Cultural Services,QDOS PANTOMIMES,"40,000.00",Artist payments
,,Community Services,Cultural Services,R J C FAIRWEATHER,"2,900.00",Artist payments
,,Community Services,Cultural Services,RED SQUARE DESIGN,"1,688.00",EXTERNAL PRINTING
,,Community Services,Cultural Services,ROCKMAN MUSIC LTD,"10,000.00",Artist payments
,,Community Services,Cultural Services,ROLLOVER LTD,519.12,CATERING PROVISIONS
,,Community Services,Cultural Services,SKY BUSINESS (SUBSCRIPTIONS),"5,172.00",Other Supplies & Services
,,Community Services,Cultural Services,ST JOHN AMBULANCE,"1,419.25",Other Supplies & Services
,,Community Services,Cultural Services,STOBBS WHOLESALERS,554.90,CATERING PROVISIONS
,,Community Services,Cultural Services,STOBBS WHOLESALERS,512.83,CATERING PROVISIONS
,,Community Services,Cultural Services,STOBBS WHOLESALERS,713.19,CATERING PROVISIONS
,,Community Services,Cultural Services,STOBBS WHOLESALERS,999.71,CATERING PROVISIONS
,,Community Services,Cultural Services,STONEGRAVE AGGREGATES LTD,914.73,WASTE DISPOSAL
,,Community Services,Cultural Services,TECHNICAL SURFACES,501.75,Other Supplies & Services
,,Community Services,Cultural Services,TECTONICS UK,"2,165.80",EQUIPMENT
,,Community Services,Cultural Services,THE CLOCKHOUSE THEATRE COMPANY,"1,336.36",Artist payments
,,Community Services,Cultural Services,THE LEISURE DATABASE COMPANY,985.00,MARKETING & ADVERTISING
,,Community Services,Cultural Services,THE SOUTHAMPTON NUFFIELD THEATRE TRUST LTD,"1,080.00",Artist payments
,,Community Services,Cultural Services,THEATREMASTER LTD,"1,800.00",Artist payments
,,Community Services,Cultural Services,THEATRICAL MANAGEMENT ASSOCIATION LTD,"3,060.00",SUBSCRIPTIONS
,,Community Services,Cultural Services,WAVERLEY VINTERS LTD (scottish courage),"1,250.60",Bar Provisions
,,Community Services,Cultural Services,WEST END THEATRE MANAGERS LTD,"3,297.00",TMA Theatre Tokens
,,Community Services,Cultural Services,WEST END THEATRE MANAGERS LTD,"1,768.00",Ticket Sales Paid to Others
,,Community Services,Cultural Services,YELLOW EARTH THEATRE,"1,600.00",Artist payments
,,Community Services,DLO Services,ACORN DAIRY,558.90,CATERING PROVISIONS
,,Community Services,DLO Services,ACORN DAIRY,686.25,CATERING PROVISIONS
,,Community Services,DLO Services,ADT FIRE & SECURITY PLC,"1,852.50",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,651.33,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,925.99,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,516.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,710.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,914.56,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,639.60,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,"1,032.31",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,595.73,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,535.06,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,563.24,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,"1,044.48",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,"1,279.20",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AGGREGATE INDUSTRIES UK LTD,646.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,AIRCON REFRIGERATION LTD,"1,116.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,APEC ENVIRONMENTAL,"1,720.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,APEC ENVIRONMENTAL,"1,288.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,APEC ENVIRONMENTAL,600.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,AQUAJET DRAIN CLEANING,960.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,BARCLAY ROOFING LTD,"5,501.78",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,BESAM LTD,570.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,BIDDLE AIR SYSTEMS LTD,"1,353.20",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,BIDDLE AIR SYSTEMS LTD,"1,183.20",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,BIDDLE AIR SYSTEMS LTD,742.05,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,BIDDLE AIR SYSTEMS LTD,591.60,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,BISHOP AUCKLAND GLAZING CO LTD,"9,972.93",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,BRAKES BROS LTD,553.74,CATERING PROVISIONS
,,Community Services,DLO Services,BRAKES BROS LTD,649.82,CATERING PROVISIONS
,,Community Services,DLO Services,BRAKES BROS LTD,503.99,CATERING PROVISIONS
,,Community Services,DLO Services,BRAKES BROS LTD,563.27,CATERING PROVISIONS
,,Community Services,DLO Services,BRAKES BROS LTD,599.14,CATERING PROVISIONS
,,Community Services,DLO Services,BRAKES BROS LTD,778.72,CATERING PROVISIONS
,,Community Services,DLO Services,BRAKES BROS LTD,512.03,CATERING PROVISIONS
,,Community Services,DLO Services,BRAKES BROS LTD,509.40,CATERING PROVISIONS
,,Community Services,DLO Services,BRAKES BROS LTD,530.98,CATERING PROVISIONS
,,Community Services,DLO Services,BRAKES BROS LTD,515.17,CATERING PROVISIONS
,,Community Services,DLO Services,BRIAN NOBLE FENCING CONTRACTORS LTD,"12,141.53",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,BUNZL CATERING SUPPLIES,584.25,CATERING CONTRACT PAYMENTS
,,Community Services,DLO Services,CHARLES LAING & SONS LTD,"5,696.33",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,CHARLES LAING & SONS LTD,"5,945.49",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,CHRYSTAL CONSULTING,"3,257.15",EQUIPMENT
,,Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,"1,113.08",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,"3,617.25",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,971.10,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,CONTRACT FLOORING SERVICES (NE) LTD,"3,836.53",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,CROSSLING LTD,820.31,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,"1,447.93",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,"1,491.33",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,"1,834.93",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,659.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,"1,394.93",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,"1,419.62",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,923.55,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,"1,571.31",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,"1,731.01",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,"1,110.41",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,771.50,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,699.61,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CROSSLING LTD,"1,547.96",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,CYCLE WORKS LTD,"7,730.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,DUFELL ROOFING CO LTD,"1,250.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,DUFELL ROOFING CO LTD,"4,540.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,898.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,"1,118.75",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,"4,846.43",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,683.09,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,"1,071.84",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,ELECTRIC CENTRE,918.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,ELECTRIC CENTRE,930.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,ELECTRIC CENTRE,749.73,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,ELECTRIC CENTRE,"1,692.30",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,ELECTRIC CENTRE,810.33,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,ELECTRIC CENTRE,650.00,STORES MATERIALS
,,Community Services,DLO Services,ELLIOTT GROUP LIMITED,580.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,EXPEDIENT TRAINING SERVICES,569.00,TRAINING
,,Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,"1,360.00",DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,508.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,508.00,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,FAB-TECH ENGINEERING (UK) LTD,663.00,DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,FAB-TECH ENGINEERING (UK) LTD,"13,675.10",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,FAB-TECH ENGINEERING (UK) LTD,"2,086.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,FRED WILLIAMSON & SONS LTD,569.44,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,FRED WILLIAMSON & SONS LTD,566.79,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,FRED WILLIAMSON & SONS LTD,770.42,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,GOLDSHIELD ELECTRONIC SECURITY LTD,"1,028.00",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,GRAHAM,690.12,STORES MATERIALS
,,Community Services,DLO Services,GRAHAM,"1,150.20",STORES MATERIALS
,,Community Services,DLO Services,GRANWOOD FLOORING LTD,"1,134.02",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,GRANWOOD FLOORING LTD,"1,594.18",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,GROUNDFORCE,988.96,Haulage & Plant
,,Community Services,DLO Services,GUS ROBINSON DEVELOPMENTS,"9,950.25",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,HAYS SPECIALIST SERVICES,660.68,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,HAYS SPECIALIST SERVICES,563.01,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,HAYS SPECIALIST SERVICES,660.68,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,HAYS SPECIALIST SERVICES,540.03,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,HAYS SPECIALIST SERVICES,540.03,DIRECT CHARGES - MATERIALS
,,Community Services,DLO Services,HAYTON & LAMB LTD,"17,173.36",DIRECT CHARGES - CONTRACTORS
,,Community Services,DLO Services,HEINEKEN UK,"1,125.45",Bar Provisions
,,Community Services,DLO Services,HEINEKEN UK,"2,189.90",Bar Provisions
,,Community Services,DLO Services,HEINEKEN UK,"2,623.81",Bar Provisions
,,Community Services,DLO Services,HOPWELLS LIMITED,771.29,CATERING PROVISIONS
,,Community Services,DLO Services,HOPWELLS LIMITED,517.55,CATERING PROVISIONS
,,Community Services,DLO Services,ILC LEASING LTD,"10,715.47",EQUIPMENT
