Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
Community Services,DLO Services,HUNTER ELECTRICAL SERVICES LTD,2359.57,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,INTERACTIVE PROJECTS & DESIGN LTD,1389.44,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,INTERACTIVE PROJECTS & DESIGN LTD,701.43,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,JCB FINANCE (LEASING LTD),15025.69,LEASING CHARGES
Community Services,DLO Services,JDP CONTRACTING SERVICES LIMITED,27782.53,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,JEWSON LTD,542.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,JEWSON LTD,542.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,JEWSON LTD,542.01,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,JEWSON LTD,645,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,K C PLANT HIRE,840,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,K C PLANT HIRE,665,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,846.72,LEASING CHARGES
Community Services,DLO Services,LORD HIRE CENTRES,1800.00,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,LS SYSTEMS LTD,3415.30,Compost
Community Services,DLO Services,LYTESTREAM ELECTRICAL CONTRACTORS,11747.59,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,LYTESTREAM ELECTRICAL CONTRACTORS,1469.68,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,M H LAVERICK & PARTNERS,552,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,M H LAVERICK & PARTNERS,1521.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,M H LAVERICK & PARTNERS,1140.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,M H LAVERICK & PARTNERS,894.5,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,M H LAVERICK & PARTNERS,728,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,MI SUPPLIES,1960.00,STORES PURCHASES (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,550,STORES PURCHASES (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,2262.75,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,2472.54,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,699.36,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,747.25,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,2954.40,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,936.81,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,846.45,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,893.73,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,671.79,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,4942.83,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,1275.00,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,508.3,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,4551.80,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,590.72,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,590.72,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,565.49,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,1789.20,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,590.72,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,707.94,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,1960.00,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,MRC ROADS LIMITED,2679.40,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,MRC ROADS LIMITED,920,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,MRC ROADS LIMITED,939.84,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,MRC ROADS LIMITED,1594.08,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,MRC ROADS LIMITED,601,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,NAL LTD,748,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,NEDL,6793.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,NES SERVICES LTD,4487.22,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,NES SERVICES LTD,4364.04,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,NES SERVICES LTD,4763.19,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,NILFISK ADVANCE LTD,781.15,PPE Clothing & Equipment
Community Services,DLO Services,NWS WINDOWS LIMITED,1414.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,PERVASIC LTD,17300.00,ICT HARDWARE SUPPORT & MAINTENANCE
Community Services,DLO Services,PREMIER TRAFFIC MANAGEMENT,954.24,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,PREMIER TRAFFIC MANAGEMENT,3646.98,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,R A HALL,2429.70,STORES PURCHASES (DLO)
Community Services,DLO Services,R A HALL,774.9,STORES PURCHASES (DLO)
Community Services,DLO Services,R MANNERS & SONS LTD,632.56,CATERING PROVISIONS
Community Services,DLO Services,R MANNERS & SONS LTD,620.95,CATERING PROVISIONS
Community Services,DLO Services,RAINTON CONSTRUCTION LTD,903.15,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,RAINTON CONSTRUCTION LTD,11040.41,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,RANDSTAD CPE LTD,845.08,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RANDSTAD CPE LTD,845.08,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RANDSTAD CPE LTD,845.08,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RANDSTAD CPE LTD,845.08,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RANDSTAD CPE LTD,845.08,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RANDSTAD CPE LTD,730.88,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RANDSTAD CPE LTD,845.08,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RANDSTAD CPE LTD,833.66,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RC AYRES BUILDING & ROOFING SERVICES LTD,5184.71,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,RENNYCO LTD,1496.08,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,RENNYCO LTD,502.52,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,RENNYCO LTD,4767.52,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,RMS RECRUITMENT,856.41,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,1198.13,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,686.35,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,774,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,6107.20,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,2127.87,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,899.97,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,686.35,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,1418.58,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,686.35,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,6246.00,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,774,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,707.81,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,RMS RECRUITMENT,1415.62,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,RMS RECRUITMENT,1066.50,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,RMS RECRUITMENT,686.35,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,RMS RECRUITMENT,1972.28,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,RMS RECRUITMENT,709.29,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RMS RECRUITMENT,1418.58,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,RUSSELL LEISURE LTD,43500.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,S & I STRUCTURES,1702.84,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,S & I STRUCTURES,1292.85,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,S & I STRUCTURES,912.75,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,S & I STRUCTURES,540,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,S & I STRUCTURES,1840.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,S & I STRUCTURES,900,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,S & I STRUCTURES,634.62,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SEYMOUR (CIVIL ENGINEERING CONTRACTORS),11749.64,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SIBCAS LTD,650,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,SIBCAS LTD,823.33,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,SIBCAS LTD,793.5,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,SIBCAS LTD,733,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,SIEMENS FINANCIAL SERVICES LTD,44893.17,LEASING CHARGES
Community Services,DLO Services,SPEEDY ASSET SERVICES LIMITED (SPEEDY),774,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,STOBBS WHOLESALERS,597.08,CATERING PROVISIONS
Community Services,DLO Services,STOBBS WHOLESALERS,508.9,CATERING PROVISIONS
Community Services,DLO Services,STOBBS WHOLESALERS,626.75,CATERING PROVISIONS
Community Services,DLO Services,SUN CIVILS,5003.84,AGENCY STAFF COSTS - NON TEACHING
Community Services,DLO Services,SUN CIVILS,639.2,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,511.36,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,511.36,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1278.40,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,767.04,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,767.04,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1278.40,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,895.44,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,511.36,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1278.40,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1278.40,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,639.2,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,639.2,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1661.92,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1022.72,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1150.56,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1534.08,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,511.36,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1275.20,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1275.20,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,637.6,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,510.08,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,1020.16,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,765.12,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,2302.56,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,639.6,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,SUN CIVILS,511.68,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TABNER PLASTERERS LTD,3379.84,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TABNER PLASTERERS LTD,1275.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TABNER PLASTERERS LTD,773.6,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TABNER PLASTERERS LTD,1123.48,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TABNER PLASTERERS LTD,2980.67,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TARMAC LTD,560,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,THE BSS GROUP PLC,2108.52,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,THE SYMPHONY GROUP PLC,700,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,TIMBER TECH PRODUCTS LTD,630.88,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,TIMBER TECH PRODUCTS LTD,6691.70,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,800,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,1036.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,1036.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,740,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,2072.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TODDS HIGHWAY MAINTENANCE LTD,1924.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),930,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),1216.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),535.8,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),559.85,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),558,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),608,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,3371.20,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,3655.40,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,3381.00,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,3381.00,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,3616.20,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,2202.94,Pricking Out
Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,923.41,Pricking Out
Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,756,Greenhouses
Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,3060.00,Greenhouses
Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,1530.00,Containers
Community Services,DLO Services,TYNEDALE GARDEN SERVICES C/S,1560.00,Containers
Community Services,DLO Services,UPNORTH COOLING,581.3,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,WAVERLEY VINTERS LTD (scottish courage),885.93,BAR PROVISIONS FOR RESALE
Community Services,DLO Services,WERNICK HIRE LTD,664.29,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,WESTWOOD TIMBER & FENCING,5063.99,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,WESTWOOD TIMBER & FENCING,7596.00,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,WESTWOOD TIMBER & FENCING,745.63,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,WESTWOOD TIMBER & FENCING,1927.60,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,WESTWOOD TIMBER & FENCING,2891.40,DIRECT CHARGES - CONTRACTORS
Community Services,DLO Services,WM SMITH & SONS (BARNARD CASTLE) LTD,1223.82,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,WM SMITH & SONS (BARNARD CASTLE) LTD,955.8,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,WM SMITH & SONS (BARNARD CASTLE) LTD,1054.85,DIRECT CHARGES - MATERIALS (DLO)
Community Services,DLO Services,WOLSELEY UK LTD,671,STORES PURCHASES (DLO)
Community Services,Engineering & Highways,AUDAX GLOBAL SOLUTIONS LTD,3800.00,"*DO NOT USE* - OFFICE STATIONERY, EQUIP & SUPPLIES"
Community Services,Engineering & Highways,CLEAR  CHANNEL UK LTD,2142.56,BUILDING REPAIRS AND MAINTENANCE
Community Services,Engineering & Highways,NORTHUMBRIAN WATER,1248.00,WATER CHARGES
Community Services,Engineering & Highways,NORTHUMBRIAN WATER,1248.00,WATER CHARGES
Community Services,Engineering & Highways,NORTHUMBRIAN WATER,1248.30,WATER CHARGES
Community Services,Engineering & Highways,NORTHUMBRIAN WATER,1248.00,WATER CHARGES
Community Services,Engineering & Highways,NORTHUMBRIAN WATER,861.44,WATER CHARGES
Community Services,Engineering & Highways,NORTHUMBRIAN WATER,2334.00,WATER CHARGES
Community Services,Engineering & Highways,NORTHUMBRIAN WATER,2334.00,WATER CHARGES
Community Services,Engineering & Highways,NORTHUMBRIAN WATER,2334.00,WATER CHARGES
Community Services,Engineering & Highways,NORTHUMBRIAN WATER,2334.00,WATER CHARGES
Community Services,Engineering & Highways,SAVOY COMPUTING SERVICES LTD,568,ICT SOFTWARE SUPPORT & MAINTENANCE
Community Services,Engineering & Highways,SYMOLOGY LTD,4221.28,ICT HARDWARE PURCHASE
Community Services,Environmental Services,1AB TAXIS LTD,1440.00,CONTRACT HIRE
Community Services,Environmental Services,1AB TAXIS LTD,650.9,CONTRACT HIRE
Community Services,Environmental Services,1AB TAXIS LTD,645.68,CONTRACT HIRE
Community Services,Environmental Services,1AB TAXIS LTD,915.66,CONTRACT HIRE
Community Services,Environmental Services,1AB TAXIS LTD,1560.62,CONTRACT HIRE
Community Services,Environmental Services,1AB TAXIS LTD,650.9,CONTRACT HIRE
Community Services,Environmental Services,1AB TAXIS LTD,704.27,CONTRACT HIRE
Community Services,Environmental Services,1AB TAXIS LTD,1060.76,CONTRACT HIRE
Community Services,Environmental Services,1AB TAXIS LTD,1017.00,CONTRACT HIRE
Community Services,Environmental Services,1AB TAXIS LTD,1226.16,CONTRACT HIRE
Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),771.42,CONTRACT HIRE
Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),1590.68,CONTRACT HIRE
Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),973,CONTRACT HIRE
Community Services,Environmental Services,ANYTIME TRAVEL OF DARLINGTON,821.1,CONTRACT HIRE
Community Services,Environmental Services,ANYTIME TRAVEL OF DARLINGTON,1303.18,CONTRACT HIRE
Community Services,Environmental Services,BARCHAM TREES PLC,1419.30,"Plantpots, Trees & Shrubs"
Community Services,Environmental Services,BARCHAM TREES PLC,1778.40,"Plantpots, Trees & Shrubs"
Community Services,Environmental Services,CARRS BILLINGTON AGRICULTURE,3682.00,EQUIPMENT
Community Services,Environmental Services,CARRS BILLINGTON AGRICULTURE,1379.82,MATERIALS
Community Services,Environmental Services,COMMUNITY SPORT LTD,800,MARKETING & ADVERTISING
Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,3856.64,CONTRACT HIRE
Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,2121.06,CONTRACT HIRE
Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,4447.74,CONTRACT HIRE
Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1155.83,VEHICLE HIRE
Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,VEHICLE HIRE
Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,VEHICLE HIRE
Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,VEHICLE HIRE
Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,VEHICLE HIRE
Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,VEHICLE HIRE
Community Services,Environmental Services,DAWSONRENTALS SWEEPERS,1715.00,VEHICLE HIRE
Community Services,Environmental Services,DEERNESS KENNELS,653.4,COMMISSIONS & OTHER SERVICES
Community Services,Environmental Services,DENNIS EAGLE LTD,1818.12,MATERIALS
Community Services,Environmental Services,DR  RHODES & PARTNERS,4801.50,MEDICAL
Community Services,Environmental Services,ENTERPRISE RENT-A-CAR,712.13,VEHICLE HIRE
Community Services,Environmental Services,FACELIFT,630,VEHICLE HIRE
Community Services,Environmental Services,FLEET FACTORS,1250.00,MATERIALS
Community Services,Environmental Services,FLEET FACTORS,550,MATERIALS
Community Services,Environmental Services,FLEET FACTORS,1340.00,MATERIALS
Community Services,Environmental Services,FRADE,605.21,Refuse Services
Community Services,Environmental Services,GARNETTS LTD,644.18,CONTRACT HIRE
Community Services,Environmental Services,GARNETTS LTD,554.5,CONTRACT HIRE
Community Services,Environmental Services,GB SPORT & LEISURE,1560.00,EQUIPMENT
Community Services,Environmental Services,GREAT NORTH AIR AMBULANCE SERVICE,921.36,Refuse Services
Community Services,Environmental Services,L & G PLANT HIRE & SALES LTD,4730.00,Routine Maintenance
Community Services,Environmental Services,LAVENDON ACCESS SERVICES (UK) LIMITED,1380.00,VEHICLE HIRE
Community Services,Environmental Services,M & J HORTICULTURE,1100.00,Works for Others (Rechargeables)
Community Services,Environmental Services,M & J HORTICULTURE,938.64,HORTICULTURE SUPPLIES
Community Services,Environmental Services,M & J HORTICULTURE,624,HORTICULTURE SUPPLIES
Community Services,Environmental Services,MIDDLESBROUGH BOROUGH COUNCIL,5000.00,Other Supplies & Services
Community Services,Environmental Services,PALM RECYCLING LIMITED,632.1,EQUIPMENT
Community Services,Environmental Services,PETROPLUS REFINING TEESSIDE LTD,27947.06,VEHICLE FUEL
Community Services,Environmental Services,POST OFFICE  LTD,3230.00,ROAD FUND TAX
Community Services,Environmental Services,PREMIER TRAFFIC MANAGEMENT,900,Other Supplies & Services
Community Services,Environmental Services,RIGBY TAYLOR LTD,4400.00,ENVIRONMENTAL
Community Services,Environmental Services,RMS RECRUITMENT,3813.34,AGENCY STAFF COSTS - NON TEACHING
Community Services,Environmental Services,RMS RECRUITMENT,3609.09,AGENCY STAFF COSTS - NON TEACHING
Community Services,Environmental Services,RMS RECRUITMENT,1705.75,AGENCY STAFF COSTS - NON TEACHING
Community Services,Environmental Services,RMS RECRUITMENT,1702.75,AGENCY STAFF COSTS - NON TEACHING
Community Services,Environmental Services,RMS RECRUITMENT,1703.95,AGENCY STAFF COSTS - NON TEACHING
Community Services,Environmental Services,RMS RECRUITMENT,2693.97,AGENCY STAFF COSTS - NON TEACHING
Community Services,Environmental Services,S & R CARS LTD,674.82,CONTRACT HIRE
Community Services,Environmental Services,S & R CARS LTD,1446.24,CONTRACT HIRE
Community Services,Environmental Services,S & R CARS LTD,3257.95,CONTRACT HIRE
Community Services,Environmental Services,S & R CARS LTD,2548.68,CONTRACT HIRE
Community Services,Environmental Services,SPALDINGS (UK) LTD,672.1,R&M (VEHICLES)
Community Services,Environmental Services,STONEGRAVE AGGREGATES LTD,308421.52,Waste Management
Community Services,Environmental Services,STRAIGHT PLC,4538.82,Domestic Waste
Community Services,Environmental Services,STUART TURNER,939.16,CONTRACT HIRE
Community Services,Environmental Services,T C HARRISON JCB,929.5,MATERIALS
Community Services,Environmental Services,VIEWTOUCH,550,BOOKS
Community Services,Housing,700 CLUB,15155.84,PRIVATE CONTRACTORS
Community Services,Housing,ANCHOR TRUST,858.85,PRIVATE CONTRACTORS
Community Services,Housing,BROADACRES HOUSING ASSOC. LTD,8257.64,PRIVATE CONTRACTORS
Community Services,Housing,CARR GOM SOCIETY,27399.56,PRIVATE CONTRACTORS
Community Services,Housing,DARLINGTON MIND,4962.40,PRIVATE CONTRACTORS
Community Services,Housing,DARLINGTON YMCA FOYER,14183.92,PRIVATE CONTRACTORS
Community Services,Housing,DISC,12723.43,PRIVATE CONTRACTORS
Community Services,Housing,HANOVER HOUSING ASSOCIATION,1098.75,PRIVATE CONTRACTORS
Community Services,Housing,HOME HOUSING ASSOCIATION LTD,1083.88,PRIVATE CONTRACTORS
Community Services,Housing,KEYRING LIVING SUPPORT NETWORK,2717.00,PRIVATE CONTRACTORS
Community Services,Housing,MIDDLESBROUGH BOROUGH COUNCIL,1913.17,BASIC PAY
Community Services,Housing,MISS MAUREEN HAGUE,1413.00,BUILDING REPAIRS AND MAINTENANCE
Community Services,Housing,MR CHRISTOPHER M PATTISON,576,BUILDING REPAIRS AND MAINTENANCE
Community Services,Housing,MR DAVE HEWITSON,2933.69,BUILDING REPAIRS AND MAINTENANCE
Community Services,Housing,RAINBOW INTERNATIONAL,572.5,FURNITURE
