,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
,Community Services,DLO Services,CROSSLING LTD,1110.41,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,CROSSLING LTD,1394.93,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,CROSSLING LTD,1419.62,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,DUFELL ROOFING CO LTD,1250.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,683.09,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,1118.75,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,EDMUNDSON ELECTRICAL LTD,898.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,ELECTRIC CENTRE,918.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,ELECTRIC CENTRE,650.00,STORES MATERIALS
,Community Services,DLO Services,ELLIOTT GROUP LIMITED,580.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,EXPEDIENT TRAINING SERVICES,569.00,TRAINING
,Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,1360.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,508.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,508.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,FAB-TECH ENGINEERING (UK) LTD,663.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,GOLDSHIELD ELECTRONIC SECURITY LTD,1028.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,GRANWOOD FLOORING LTD,1134.02,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,GROUNDFORCE,988.96,Haulage & Plant
,Community Services,DLO Services,HAYS SPECIALIST SERVICES,540.03,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,HAYS SPECIALIST SERVICES,540.03,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,HAYTON & LAMB LTD,17173.36,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,HEINEKEN UK,2189.90,Bar Provisions
,Community Services,DLO Services,HEINEKEN UK,2623.81,Bar Provisions
,Community Services,DLO Services,HEINEKEN UK,1125.45,Bar Provisions
,Community Services,DLO Services,HOPWELLS LIMITED,771.29,CATERING PROVISIONS
,Community Services,DLO Services,ILC LEASING LTD,10715.47,EQUIPMENT
,Community Services,DLO Services,ILC LEASING LTD,13369.69,EQUIPMENT
,Community Services,DLO Services,ILC LEASING LTD,17495.78,EQUIPMENT
,Community Services,DLO Services,INTERACTIVE PROJECTS & DESIGN LTD,6177.76,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,JCB FINANCE (LEASING LTD),22245.34,EQUIPMENT
,Community Services,DLO Services,JCB FINANCE (LEASING LTD),22245.34,EQUIPMENT
,Community Services,DLO Services,K C PLANT HIRE,595.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,K C PLANT HIRE,595.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,LYTESTREAM ELECTRICAL CONTRACTORS,4812.53,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,M & J HORTICULTURE,27258.50,Greenhouses
,Community Services,DLO Services,MECHPLANT NORTH EAST LTD,528.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,4120.46,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,741.75,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,2759.99,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,573.06,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,2155.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,610.56,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,1082.88,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,1862.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,1197.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,782.88,MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,1055.78,MATERIALS
,Community Services,DLO Services,MKM BUILDING SUPPLIES (HULL) LTD,800.00,STORES MATERIALS
,Community Services,DLO Services,NAL LTD,2244.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,NAL LTD,788.88,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,NES SERVICES LTD,4749.12,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,NES SERVICES LTD,5583.67,SECURITY SERVICES
,Community Services,DLO Services,NES SERVICES LTD,995.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,NWS WINDOWS LIMITED,1030.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,PETERLEE FIRE COMPANY LTD,536.42,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,RANDSTAD CPE LTD,845.08,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,524.03,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,524.03,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,506.00,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,848.04,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,518.81,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,524.03,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,523.44,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,588.87,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,1498.60,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,841.72,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,504.24,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,679.06,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,567.58,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,1135.16,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,1415.62,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,661.19,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,567.58,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,686.35,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,1135.16,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,686.35,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,1272.15,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,2123.43,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,848.04,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,707.81,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,1415.62,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,676.14,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,RMS RECRUITMENT,523.44,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,545.26,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,RMS RECRUITMENT,1547.39,AGENCY STAFF COSTS - NON TEACHING
,Community Services,DLO Services,S & I STRUCTURES,526.73,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,SIBCAS LTD,650.00,Haulage & Plant
,Community Services,DLO Services,SOCIETE GENERALE,18591.22,EQUIPMENT
,Community Services,DLO Services,SOCIETE GENERALE,12675.79,EQUIPMENT
,Community Services,DLO Services,SOCIETE GENERALE,40424.39,EQUIPMENT
,Community Services,DLO Services,STONE TECHNICAL SERVICES,1840.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,STONE TECHNICAL SERVICES,860.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,1157.44,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,3033.26,MATERIALS
,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,772.13,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,4357.20,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,971.99,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,706.42,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,STONEGRAVE AGGREGATES LTD,631.37,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,STORMKING PLASTICS,1746.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,STORMKING PLASTICS,2037.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,TEAMS ROOFING LIMITED,2491.04,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),574.74,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),741.60,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,TONY WARD PLANT HIRE (T W DEVELOPMENTS),513.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,588.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,588.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,3234.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,3087.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,882.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,TRADESLINK ASBESTOS SERVICES LTD,2058.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,WATCO UK LTD,1074.60,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,WAVERLEY VINTERS LTD (scottish courage),2516.83,Bar Provisions
,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,770.00,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,522.84,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,WESTWOOD TIMBER & FENCING,518.09,DIRECT CHARGES - CONTRACTORS
,Community Services,DLO Services,WM SMITH & SONS (BARNARD CASTLE) LTD,532.80,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,WRIGHT'S OFFICE SUPPLIES,531.00,DIRECT CHARGES - MATERIALS
,Community Services,DLO Services,XMBRACE LTD,6245.00,ICT HARDWARE SUPPORT & MAINTENANCE
,Community Services,Engineering & Highways,CAPITA BUSINESS SRV LTD (DARLINGTON),648.96,Routine Maintenance
,Community Services,Engineering & Highways,CITY OF NEWCASTLE UPON TYNE,514.79,Traffic Management
,Community Services,Engineering & Highways,CITY OF NEWCASTLE UPON TYNE,735.00,Traffic Management
,Community Services,Engineering & Highways,CUNDALL JOHNSTON & PARTNERS LLP,2139.00,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Engineering & Highways,KBC LEASE,811.15,EQUIPMENT
,Community Services,Engineering & Highways,LIBERTY SERVICES,817.00,"OFFICE STATIONERY, EQUIPMENT & SUPPLIES"
,Community Services,Engineering & Highways,LIBERTY SERVICES,1733.00,"OFFICE STATIONERY, EQUIPMENT & SUPPLIES"
,Community Services,Engineering & Highways,NEDL,1216.53,Routine Maintenance
,Community Services,Engineering & Highways,NEDL,811.02,Traffic Management
,Community Services,Engineering & Highways,NPOWER NORTHERN FINANCE,5683.00,ELECTRICITY
,Community Services,Engineering & Highways,NPOWER NORTHERN FINANCE,514.58,ELECTRICITY
,Community Services,Engineering & Highways,NPOWER NORTHERN LTD,85213.97,ELECTRICITY
,Community Services,Engineering & Highways,WYG ENGINEERING LTD,6900.00,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Environmental Services,1AB TAXIS LTD,638.00,CONTRACT HIRE
,Community Services,Environmental Services,1AB TAXIS LTD,508.00,CONTRACT HIRE
,Community Services,Environmental Services,1ABC RADIO TAXIS (COLLECTING SERVICE),606.00,CONTRACT HIRE
,Community Services,Environmental Services,A1 TRAINING & SAFETY,1500.00,RECRUITMENT ADVERTISING
,Community Services,Environmental Services,ADIE MCMAIN,960.96,CONTRACT HIRE
,Community Services,Environmental Services,ANYTIME TRAVEL OF DARLINGTON,702.78,CONTRACT HIRE
,Community Services,Environmental Services,ANYTIME TRAVEL OF DARLINGTON,702.78,CONTRACT HIRE
,Community Services,Environmental Services,BILLINGHURST GEORGE & PARTNERS,875.00,Projects
,Community Services,Environmental Services,CHATFIELDS TYNE TEES,625.00,MATERIALS
,Community Services,Environmental Services,CHATFIELDS TYNE TEES,525.00,MATERIALS
,Community Services,Environmental Services,CHATFIELDS TYNE TEES,525.00,MATERIALS
,Community Services,Environmental Services,CHATFIELDS TYNE TEES,625.00,MATERIALS
,Community Services,Environmental Services,CLEVELAND POTASH LTD,2741.60,MATERIALS
,Community Services,Environmental Services,CLEVELAND POTASH LTD,2286.00,MATERIALS
,Community Services,Environmental Services,CLEVELAND POTASH LTD,584.00,MATERIALS
,Community Services,Environmental Services,COMPASS ROYSTON TRAVEL LTD,1937.00,CONTRACT HIRE
,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,2398.50,CONTRACT HIRE
,Community Services,Environmental Services,DARLINGTON & DISTRICT YTH COMM ASS,3120.00,CONTRACT HIRE
,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1155.83,Vehicle Hire
,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1715.00,Vehicle Hire
,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1715.00,Vehicle Hire
,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1715.00,Vehicle Hire
,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1715.00,Vehicle Hire
,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1715.00,Vehicle Hire
,Community Services,Environmental Services,DAWSONRENTALS BUS & COACH LTD,1715.00,Vehicle Hire
,Community Services,Environmental Services,DENNIS EAGLE LTD,730.49,MATERIALS
,Community Services,Environmental Services,DENNIS EAGLE LTD,1663.22,MATERIALS
,Community Services,Environmental Services,DENNIS EAGLE LTD,1663.22,MATERIALS
,Community Services,Environmental Services,DURHAM POLICE AUTHORITY,1510.00,Projects
,Community Services,Environmental Services,ENTERPRISE RENT-A-CAR,756.00,Vehicle Hire
,Community Services,Environmental Services,ENTERPRISE RENT-A-CAR,560.00,Vehicle Hire
,Community Services,Environmental Services,ENTERPRISE RENT-A-CAR,600.78,Vehicle Hire
,Community Services,Environmental Services,ENTERPRISE TRAVEL,781.66,CONTRACT HIRE
,Community Services,Environmental Services,GARNETTS LTD,6273.02,CONTRACT HIRE
,Community Services,Environmental Services,GARNETTS LTD,6434.48,CONTRACT HIRE
,Community Services,Environmental Services,GARNETTS LTD,4316.64,CONTRACT HIRE
,Community Services,Environmental Services,GRIERSONS COACHES,901.00,CONTRACT HIRE
,Community Services,Environmental Services,GRIERSONS COACHES,1188.00,CONTRACT HIRE
,Community Services,Environmental Services,HARDEN PUMPS & TANKS LTD,540.00,VEHICLE FUEL
,Community Services,Environmental Services,HUMBLES COACHES,883.80,CONTRACT HIRE
,Community Services,Environmental Services,HUMBLES COACHES,960.90,CONTRACT HIRE
,Community Services,Environmental Services,J & C COACHES LTD,3502.20,CONTRACT HIRE
,Community Services,Environmental Services,J & C COACHES LTD,3271.55,CONTRACT HIRE
,Community Services,Environmental Services,J & C COACHES LTD,600.60,CONTRACT HIRE
,Community Services,Environmental Services,J & C COACHES LTD,1902.00,CONTRACT HIRE
,Community Services,Environmental Services,J & C COACHES LTD,1200.00,CONTRACT HIRE
,Community Services,Environmental Services,J & P TRAVEL,620.00,CONTRACT HIRE
,Community Services,Environmental Services,J & P TRAVEL,570.00,CONTRACT HIRE
,Community Services,Environmental Services,J & P TRAVEL,580.00,CONTRACT HIRE
,Community Services,Environmental Services,JOHN MEYNELL FUNERAL SERVICE,570.50,Contract Funerals
,Community Services,Environmental Services,JOHN MEYNELL FUNERAL SERVICE,570.50,Contract Funerals
,Community Services,Environmental Services,NORTH EAST TRUCK & VAN LTD,1031.96,OTHER CONSUMABLES
,Community Services,Environmental Services,NORTHERN MUNICIPAL SPARES (parts supply),1182.24,OTHER CONSUMABLES
,Community Services,Environmental Services,NORTHUMBRIAN WATER,1627.10,WATER CHARGES
,Community Services,Environmental Services,NORTHUMBRIAN WATER,879.29,WATER CHARGES
,Community Services,Environmental Services,OVERLANDER MINI COACHES,834.72,CONTRACT HIRE
,Community Services,Environmental Services,OVERLANDER MINI COACHES,1357.00,CONTRACT HIRE
,Community Services,Environmental Services,PETROPLUS REFINING TEESSIDE LTD,4176.75,VEHICLE FUEL
,Community Services,Environmental Services,PETROPLUS REFINING TEESSIDE LTD,23355.20,VEHICLE FUEL
,Community Services,Environmental Services,PETROPLUS REFINING TEESSIDE LTD,2585.70,VEHICLE FUEL
,Community Services,Environmental Services,PROCTERS OF BEDALE,1288.30,CONTRACT HIRE
,Community Services,Environmental Services,RMS RECRUITMENT,3132.30,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Environmental Services,RMS RECRUITMENT,3471.08,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Environmental Services,S & R CARS LTD,1598.53,CONTRACT HIRE
,Community Services,Environmental Services,S & R CARS LTD,1448.00,CONTRACT HIRE
,Community Services,Environmental Services,SCANIA (GREAT BRITAIN) LIMITED,965.96,MATERIALS
,Community Services,Environmental Services,SCANIA (GREAT BRITAIN) LIMITED,965.96,MATERIALS
,Community Services,Environmental Services,SCANIA (GREAT BRITAIN) LIMITED,1031.96,OTHER CONSUMABLES
,Community Services,Environmental Services,SCARLET BAND MOTORS SERVICES,4747.96,CONTRACT HIRE
,Community Services,Environmental Services,STONEGRAVE AGGREGATES LTD,264526.42,Waste Management
,Community Services,Environmental Services,T C HARRISON JCB,535.69,MATERIALS
,Community Services,Environmental Services,T C HARRISON JCB,535.69,MATERIALS
,Community Services,Environmental Services,TAYLOR'S TAXIS,1137.50,CONTRACT HIRE
,Community Services,Environmental Services,UNITED TAXIS LTD,1258.25,CONTRACT HIRE
,Community Services,Environmental Services,UNITED TAXIS LTD,834.60,CONTRACT HIRE
,Community Services,Environmental Services,UNITED TAXIS LTD,569.45,CONTRACT HIRE
,Community Services,Environmental Services,UNITED TAXIS LTD,552.00,CONTRACT HIRE
,Community Services,Environmental Services,UNITED TAXIS LTD,576.00,CONTRACT HIRE
,Community Services,Environmental Services,UNITED TAXIS LTD,748.00,CONTRACT HIRE
,Community Services,Environmental Services,UNITED TAXIS LTD,576.00,CONTRACT HIRE
,Community Services,Environmental Services,UNITED TAXIS LTD,657.60,CONTRACT HIRE
,Community Services,Environmental Services,UNITED TAXIS LTD,855.00,CONTRACT HIRE
,Community Services,Housing,700 CLUB,15192.28,PRIVATE CONTRACTORS
,Community Services,Housing,ANCHOR TRUST,819.96,PRIVATE CONTRACTORS
,Community Services,Housing,B.A.R PROPERTY DEVELOPMENT,533.48,RENT OF FACILITIES
,Community Services,Housing,B.A.R PROPERTY DEVELOPMENT,533.48,RENT OF FACILITIES
,Community Services,Housing,BROADACRES HOUSING ASSOC. LTD,8405.52,PRIVATE CONTRACTORS
,Community Services,Housing,CARR GOM SOCIETY,27399.40,PRIVATE CONTRACTORS
,Community Services,Housing,CITIZENS ADVICE BUREAU,22883.38,VOLUNTARY ASSOCIATIONS
,Community Services,Housing,D K WILLIAMS,636.00,SERVICE CHARGES / ACCOMMODATION RECHARGES
,Community Services,Housing,DARLINGTON MIND,5879.00,PRIVATE CONTRACTORS
,Community Services,Housing,DARLINGTON YMCA FOYER,14183.88,PRIVATE CONTRACTORS
,Community Services,Housing,DIMENSIONS (UK) LTD,13133.52,PRIVATE CONTRACTORS
,Community Services,Housing,DISC,13104.48,PRIVATE CONTRACTORS
,Community Services,Housing,FR STEPHEN EDMONDS,2311.92,RENT OF FACILITIES
,Community Services,Housing,HANOVER HOUSING ASSOCIATION,977.88,PRIVATE CONTRACTORS
,Community Services,Housing,HOME HOUSING ASSOCIATION LTD,2648.32,PRIVATE CONTRACTORS
,Community Services,Housing,J & R FARRAGHER T/A POTENS,1092.24,PRIVATE CONTRACTORS
,Community Services,Housing,J & S HOTEL ENTERPRISES,875.00,BOARD & LODGINGS
,Community Services,Housing,KEYRING LIVING SUPPORT NETWORK,2717.00,PRIVATE CONTRACTORS
,Community Services,Housing,MANNING LIMITED,1591.35,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Housing,MANNING LIMITED,1756.15,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Housing,MENCAP,4928.40,PRIVATE CONTRACTORS
,Community Services,Housing,MIDDLESBROUGH BOROUGH COUNCIL,5420.65,BASIC PAY
,Community Services,Housing,MIDDLESBROUGH BOROUGH COUNCIL,1015.24,SUPERANN `ERS
,Community Services,Housing,MR & MRS J SIDDLE,533.48,RENT OF FACILITIES
,Community Services,Housing,MR DAVE HEWITSON,650.00,RENT OF FACILITIES
,Community Services,Housing,NORTHERN LIFE CARE LTD,4550.00,PRIVATE CONTRACTORS
,Community Services,Housing,OPEN GATE,769.20,PRIVATE CONTRACTORS
,Community Services,Housing,RICHMOND FELLOWSHIP,9800.00,PRIVATE CONTRACTORS
,Community Services,Housing,STONHAM HOUSING ASSOCIATION,7200.00,PRIVATE CONTRACTORS
,Community Services,Housing,TEES VALLEY HOUSING LTD,11238.84,PRIVATE CONTRACTORS
,Community Services,Housing,THREE RIVERS HOUSING ASSOCIATIONS LTD,2307.68,PRIVATE CONTRACTORS
,Community Services,Housing,UNITED RESPONSE,1383.20,PRIVATE CONTRACTORS
,Community Services,Technical Services,CAPITA BUSINESS SRV LTD (DARLINGTON),717.64,REPROGRAPHICS
,Community Services,Technical Services,TEMP RECRUITMENT LTD,558.38,AGENCY STAFF COSTS - NON TEACHING
,Community Services,Technical Services,TEMP RECRUITMENT LTD,777.37,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,ACORN CARE (UK) LIMITED,10678.57,MATERIALS
,Children's Services,Children & Families,ALYSON GODWIN,2160.00,CHILDCARE COSTS
,Children's Services,Children & Families,BEST WESTERN THE CROFT HOTEL,578.72,HOSPITALITY & ROOM HIRE
,Children's Services,Children & Families,CARITAS RECRUITMENT LTD,1350.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,CARITAS RECRUITMENT LTD,1332.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,CEDAR HOUSE & LOWGATE HOUSE SCHOOL,27999.00,MATERIALS
,Children's Services,Children & Families,CEDAR HOUSE & LOWGATE HOUSE SCHOOL,27999.00,MATERIALS
,Children's Services,Children & Families,CLERVAUX TRUST LTD,7750.00,MATERIALS
,Children's Services,Children & Families,COMPRIL LIMITED,800.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,Children & Families,DARLINGTON & DISTRICT YTH COMM ASS,645.00,OFFICERS - OTHER
,Children's Services,Children & Families,DR L RIPPON,2400.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,Children & Families,EDEN GROVE SCHOOL PRIORY,43333.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARE ASSOCIATES LTD,3480.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARE SOLUTIONS LTD,591.85,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,938.40,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,938.40,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTER CARES LTD,918.00,MATERIALS
,Children's Services,Children & Families,FOSTERING SOLUTIONS LTD,3554.46,MATERIALS
,Children's Services,Children & Families,FOSTERING SOLUTIONS LTD,3554.46,MATERIALS
,Children's Services,Children & Families,JENX LTD,982.00,MATERIALS
,Children's Services,Children & Families,KESTER ARMSTRONG,1690.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,Children & Families,KESTER ARMSTRONG,5300.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,Children & Families,PARTNERS IN SPECIALIST CARE LIMITED,623.04,EQUIPMENT
,Children's Services,Children & Families,PEARTREE PROJECTS LTD,12688.88,MATERIALS
,Children's Services,Children & Families,QUEST 88 LTD,2105.50,EQUIPMENT
,Children's Services,Children & Families,REED PERSONNEL SERVICES PLC,1020.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,REED PERSONNEL SERVICES PLC,1110.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,REED PERSONNEL SERVICES PLC,502.50,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,REED PERSONNEL SERVICES PLC,1110.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,REED PERSONNEL SERVICES PLC,1173.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,REED PERSONNEL SERVICES PLC,1110.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,REED PERSONNEL SERVICES PLC,1088.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,REED PERSONNEL SERVICES PLC,952.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,RICHMOND ANDERSON GOUDIE,1500.00,PROFESSIONAL FEES & CONSULTANCY
,Children's Services,Children & Families,RIG SOCIAL CARE RECRUIT LTD,595.00,AGENCY STAFF COSTS - NON TEACHING
,Children's Services,Children & Families,ROCSOLID,946.75,MATERIALS
,Children's Services,Children & Families,ROCSOLID,2015.13,MATERIALS
,Children's Services,Children & Families,ROCSOLID,2751.79,MATERIALS
,Children's Services,Children & Families,ROYAL SCHOOL FOR THE DEAF DERBY,22235.00,MATERIALS
