Body name,Service label,Service divison label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,05-Aug-11,1108-00287,508.73,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,05-Aug-11,1108-00288,484.50,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,05-Aug-11,1108-00289,576.30,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,05-Aug-11,1108-00290,"3,648.25",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,05-Aug-11,1108-00291,749.70,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,05-Aug-11,1108-00292,856.80,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,05-Aug-11,1108-00293,571.20,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,05-Aug-11,1108-00294,"1,280.07",R,Allied Healthcare Group Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,08-Aug-11,1108-00295,425.00,R,Allied Healthcare Group Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,12-Aug-11,1108-00296,475.00,R,Allied Healthcare Group Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,12-Aug-11,1108-00297,"1,129.56",R,Allied Healthcare Group Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,12-Aug-11,1108-00298,"1,527.19",R,Allied Healthcare Group Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,12-Aug-11,1108-00299,556.92,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,19-Aug-11,1108-00300,"22,528.84",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,19-Aug-11,1108-00301,"3,642.03",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,19-Aug-11,1108-00302,"10,035.56",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,19-Aug-11,1108-00303,"17,496.16",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,19-Aug-11,1108-00304,923.64,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,19-Aug-11,1108-00305,"17,256.52",R,Allied Healthcare Group Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,19-Aug-11,1108-00306,"1,593.65",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,19-Aug-11,1108-00307,"1,428.00",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,19-Aug-11,1108-00308,494.70,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,19-Aug-11,1108-00309,489.60,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,19-Aug-11,1108-00310,571.20,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,19-Aug-11,1108-00311,"4,180.60",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,19-Aug-11,1108-00312,637.50,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,19-Aug-11,1108-00313,846.60,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,19-Aug-11,1108-00314,"1,280.07",R,Allied Healthcare Group Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,23-Aug-11,1108-00315,"1,467.40",R,Allied Healthcare Group Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,23-Aug-11,1108-00316,883.67,R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,23-Aug-11,1108-00317,"12,113.94",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,23-Aug-11,1108-00318,"2,464.33",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,31-Aug-11,1108-00319,"21,018.86",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,31-Aug-11,1108-00320,"4,859.28",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,31-Aug-11,1108-00321,"12,171.83",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,31-Aug-11,1108-00322,"2,715.33",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,31-Aug-11,1108-00323,"11,758.58",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,31-Aug-11,1108-00324,"16,684.42",R,Allied Healthcare Group Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,31-Aug-11,1108-00325,878.93,R,Allied Healthcare Group Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,01-Aug-11,1108-00326,"1,049.11",R,Alternative Windows (Leeds) Ltd
Leeds City Council,Environment & Neighbourhoods,South South East,Capital,Construction,3,05-Aug-11,1108-00327,"11,412.79",C,Alternative Windows (Leeds) Ltd
Leeds City Council,Environment & Neighbourhoods,South South East,Capital,Construction,3,05-Aug-11,1108-00328,"1,255.64",C,Alternative Windows (Leeds) Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,24-Aug-11,1108-00329,"3,370.00",R,Alternative Windows (Leeds) Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,31-Aug-11,1108-00330,"2,927.58",R,Alternative Windows (Leeds) Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,31-Aug-11,1108-00331,468.63,R,Alternative Windows (Leeds) Ltd
Leeds City Council,Childrens Services,Learning Skills & Universal,Supplies and Services,Young Peoples Activities,652,07-Jul-11,1108-00332,931.00,R,Alton Towers Park
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,31-Aug-11,1108-00333,529.94,R,Alvin Morris Ltd
Leeds City Council,City Development,Recreation,Supplies and Services,Resaleable Materials,204,19-Aug-11,1108-00334,"1,739.29",R,Amateur Swimming Association
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Transport,Private Hire,360,18-Aug-11,1108-00335,554.70,R,Amber Taxis (Alfreton) Ltd
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,12-Aug-11,1108-00336,"16,554.00",R,Amberleigh Care Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,03-Aug-11,1108-00337,"2,169.00",R,Amelia House
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,31-Aug-11,1108-00338,"2,185.32",R,Amelia House
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,04-Aug-11,1108-00339,"27,086.65",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,04-Aug-11,1108-00340,"1,582.56",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00341,"7,161.16",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00342,"29,697.20",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00343,"11,947.20",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00344,"22,330.68",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00345,"3,485.32",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00346,"5,548.89",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,12-Aug-11,1108-00347,"1,443.68",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00348,"4,131.37",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,12-Aug-11,1108-00349,"3,035.59",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00350,"1,836.83",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,12-Aug-11,1108-00351,567.16,R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,24-Aug-11,1108-00352,"9,167.48",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Payments To Voluntary Organisations,561,26-Aug-11,1108-00353,"52,179.92",R,Anchor
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,03-Aug-11,1108-00354,"15,691.92",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Nursing Home,570,03-Aug-11,1108-00355,"1,397.80",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,03-Aug-11,1108-00356,478.68,R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,03-Aug-11,1108-00357,"1,650.04",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,03-Aug-11,1108-00358,"8,695.38",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Care Emi,574,03-Aug-11,1108-00359,"1,186.96",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,03-Aug-11,1108-00360,"1,094.56",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,03-Aug-11,1108-00361,"3,455.85",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,03-Aug-11,1108-00362,"1,034.81",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,03-Aug-11,1108-00363,"3,178.16",R,Anchor Trust
Leeds City Council,Environment & Neighbourhoods,Strategy & Commissioning,Third Party Payments,Supporting Ppl - Block Gross Chargeable,514,12-Aug-11,1108-00364,433.97,R,Anchor Trust
Leeds City Council,Environment & Neighbourhoods,Strategy & Commissioning,Third Party Payments,Supporting Ppl - Block Gross Chargeable,514,12-Aug-11,1108-00365,"9,792.08",R,Anchor Trust
Leeds City Council,Environment & Neighbourhoods,Strategy & Commissioning,Third Party Payments,Supporting People - Block Subsidy,513,12-Aug-11,1108-00366,727.26,R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,31-Aug-11,1108-00367,"29,562.95",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Nursing Home,570,31-Aug-11,1108-00368,"1,397.80",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,31-Aug-11,1108-00369,478.68,R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,31-Aug-11,1108-00370,"1,650.04",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,31-Aug-11,1108-00371,"4,896.52",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Care Emi,574,31-Aug-11,1108-00372,"1,186.96",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,31-Aug-11,1108-00373,"1,094.56",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,31-Aug-11,1108-00374,"2,692.88",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,31-Aug-11,1108-00375,"8,711.61",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,31-Aug-11,1108-00376,"3,093.44",R,Anchor Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,03-Aug-11,1108-00377,"6,784.51",R,Anchor Trust Simon Marks Court
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,03-Aug-11,1108-00378,"21,599.92",R,Anchor Trust Simon Marks Court
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,31-Aug-11,1108-00379,"16,116.36",R,Anchor Trust Simon Marks Court
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,31-Aug-11,1108-00380,"11,763.36",R,Anchor Trust Simon Marks Court
Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and Services,Consultancy Services,259,05-Aug-11,1108-00381,"10,800.00",R,Andrew Arden Qc
Aire Valley Homes Leeds,Aire Valley Homes Leeds,Aire Valley Homes Leeds,Supplies and Services,Other Hired And Contracted Services,265,17-Aug-11,1108-00382,"1,600.00",R,Andrew Elliott
Aire Valley Homes Leeds,Aire Valley Homes Leeds,Aire Valley Homes Leeds,Supplies and Services,Other Hired And Contracted Services,265,18-Aug-11,1108-00383,"2,000.00",R,Andrew Elliott
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,03-Aug-11,1108-00384,434.00,R,Angels Home Care Services
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,03-Aug-11,1108-00385,"1,120.00",R,Angels Home Care Services
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,12-Aug-11,1108-00386,"1,455.40",R,Angels Home Care Services
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00387,669.90,R,Angels Home Care Services
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,12-Aug-11,1108-00388,"3,153.00",R,Angels Home Care Services
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,18-Aug-11,1108-00389,458.00,R,Angels Home Care Services
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,18-Aug-11,1108-00390,598.50,R,Angels Home Care Services
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,18-Aug-11,1108-00391,"1,666.00",R,Angels Home Care Services
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,23-Aug-11,1108-00392,"2,030.00",R,Angels Home Care Services
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,26-Aug-11,1108-00393,"1,169.00",R,Angels Home Care Services
Leeds City Council,Environment & Neighbourhoods,Strategy & Commissioning,Supplies and Services,Non-Recurring Grants,227,25-Aug-11,1108-00394,"9,600.00",R,Angels Housekeeping Cic Ltd
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Support Services,Legal Disbursements,411,02-Aug-11,1108-00395,927.53,R,Ann M Mortimer
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Support Services,Legal Disbursements,411,31-Aug-11,1108-00396,692.40,R,Ann M Mortimer
Leeds City Council,City Development,"Libraries, Arts & Heritage",Supplies and Services,Resaleable Material,204,14-Jul-11,1108-00397,491.94,R,Annie Mo's
Leeds City Council,Central & Corporate Functions,Human Resources,Employees,Training Costs,071,05-Aug-11,1108-00398,499.00,R,Anslow Communications Ltd
Leeds City Council,Central & Corporate Functions,Human Resources,Employees,Training Costs,071,10-Aug-11,1108-00399,499.00,R,Anslow Communications Ltd
Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Operational Materials,205,12-Aug-11,1108-00400,469.00,R,Antalis Mcnaughton Limited
Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Operational Materials,205,12-Aug-11,1108-00401,"1,365.00",R,Antalis Mcnaughton Limited
Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Operational Materials,205,12-Aug-11,1108-00402,469.00,R,Antalis Mcnaughton Limited
Leeds City Council,City Development,"Libraries, Arts & Heritage",Supplies and Services,Other Hired And Contracted Services,265,26-Aug-11,1108-00403,997.50,R,Anything Audio
West - North West,West - North West,Corporate Services,Supplies and Services,Professional Advisors,259,05-Aug-11,1108-00404,"2,970.00",R,Aon Hewitt Limited
Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,05-Aug-11,1108-00405,"2,365.00",R,Aon Hewitt Limited
Leeds City Council,Central & Corporate Functions,Audit And Risk,Supplies and Services,External Audit Fees,261,09-Aug-11,1108-00406,"3,560.00",R,Aon Hewitt Limited
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,ExternalHire- ( Fleet Management),313,11-Aug-11,1108-00407,879.08,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,12-Aug-11,1108-00408,"1,142.99",R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,12-Aug-11,1108-00409,806.77,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,12-Aug-11,1108-00410,637.61,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,12-Aug-11,1108-00411,449.82,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,12-Aug-11,1108-00412,"1,022.49",R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,17-Aug-11,1108-00413,872.62,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,19-Aug-11,1108-00414,764.52,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,19-Aug-11,1108-00415,428.13,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,19-Aug-11,1108-00416,438.08,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,19-Aug-11,1108-00417,"1,230.46",R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,23-Aug-11,1108-00418,665.40,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,23-Aug-11,1108-00419,460.78,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,23-Aug-11,1108-00420,924.43,R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,23-Aug-11,1108-00421,"1,440.02",R,Apetito Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Food & Drink,231,23-Aug-11,1108-00422,"1,065.63",R,Apetito Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Supplies and Services,Recurring & Major Grantss Projects,229,23-Aug-11,1108-00423,"3,287.19",R,Apna Centre Apna Lunch Club
Leeds City Council,City Development,Economic Development,Supplies and Services,Advertising,211,26-Aug-11,1108-00424,"1,700.00",R,Appeal Pr Ltd
Leeds City Council,City Development,"Libraries, Arts & Heritage",Capital,Furniture And Equipment,5,11-Aug-11,1108-00425,"1,275.90",C,Apple Display & Shopfitting Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,03-Aug-11,1108-00426,"21,461.23",R,Applewalk Homes
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,31-Aug-11,1108-00427,"10,647.76",R,Applewalk Homes
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Computer Software & Equipment,214,31-Aug-11,1108-00428,500.00,R,Appstation
East - North East,East - North East,Technical Services,Premises,General Maintenance,104,19-Aug-11,1108-00429,830.00,R,Aquaforce Plumbing Solutions Limited
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,04-Aug-11,1108-00430,552.04,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,04-Aug-11,1108-00431,545.20,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,04-Aug-11,1108-00432,503.15,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,04-Aug-11,1108-00433,749.75,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,04-Aug-11,1108-00434,720.47,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,04-Aug-11,1108-00435,417.00,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,11-Aug-11,1108-00436,552.04,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,11-Aug-11,1108-00437,"1,036.27",R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,11-Aug-11,1108-00438,581.10,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,11-Aug-11,1108-00439,423.72,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,11-Aug-11,1108-00440,417.00,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,17-Aug-11,1108-00441,"1,624.80",R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,17-Aug-11,1108-00442,645.50,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,17-Aug-11,1108-00443,511.19,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,17-Aug-11,1108-00444,849.11,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,26-Aug-11,1108-00445,860.03,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,26-Aug-11,1108-00446,"1,624.80",R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,26-Aug-11,1108-00447,641.90,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,26-Aug-11,1108-00448,749.75,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,26-Aug-11,1108-00449,570.95,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,26-Aug-11,1108-00450,417.00,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,26-Aug-11,1108-00451,"1,415.86",R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,31-Aug-11,1108-00452,-866.94,R,Arabella Health Staffing Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,31-Aug-11,1108-00453,441.05,R,Arabella Health Staffing Ltd
