Ã¯»¿Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2020-06-05,601277718,6667.00,0.00,6667.00,The Bolton Impact Trust,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2020-06-05,601277901,20474.92,0.00,20474.92,The Broughtons Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-06-05,601277906,24374.90,0.00,24374.90,The Willows Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-06-05,601277937,33637.36,0.00,33637.36,The Willows Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-06-05,601277876,10000.00,0.00,10000.00,Tsz  Data Services Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-05,1600645681,746.54,124.42,622.12,Viridor Waste (Greater Manchester),Place Directorate,Contractors
Salford City Council,2020-06-05,601277858,25000.00,0.00,25000.00,W T Autos Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-05,601277914,14137.44,0.00,14137.44,Walkden Manor Res Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-06-05,601277742,2532.38,0.00,2532.38,Warrington Borough Council,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-06-05,601277720,53521.26,8920.21,44601.05,Warrington Borough Council,Service Reform (Corp Bus & Transform),Payts to Other LA's
Salford City Council,2020-06-05,601277733,663.10,0.00,663.10,Water Plus Ltd,Place Directorate,Water
Salford City Council,2020-06-05,601277935,22912.41,0.00,22912.41,Wellington Healthcare (Arden) Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-06-05,601277919,12187.45,0.00,12187.45,Wentworth House Care Services Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-06-05,601277848,10000.00,0.00,10000.00,What Marketing Company Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-05,1600648761,861.55,143.59,717.96,Xma Ltd,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2020-06-05,1600648760,34500.00,5750.00,28750.00,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2020-06-08,6003046782,851.89,47.57,804.32,Aim Rx Ltd,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003046783,1790.81,104.56,1686.25,Bowness Pharmacy (Little Hulton),Public Health,Payts to Agencies
Salford City Council,2020-06-08,601278109,10000.00,0.00,10000.00,Carbon Digital Ltd.,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278095,10000.00,0.00,10000.00,Centre Gh Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601277960,1279.60,0.00,1279.60,Clarendon Medical Practice,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601277941,1472.50,0.00,1472.50,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-06-08,601277943,3255.00,0.00,3255.00,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-06-08,1600648878,2599.14,433.19,2165.95,Day Architectural Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-06-08,601277954,809.60,0.00,809.60,Ellenbrook Medical Centre,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601277990,660.00,0.00,660.00,Evergreen Childrens Day Nursery,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,601278102,8000.00,0.00,8000.00,Evolutum Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601277991,742.50,0.00,742.50,Fairhills Playgroup Pre-School,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,601278101,3500.00,0.00,3500.00,Fat Out Productions,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601277997,660.00,0.00,660.00,Folly Brook Nursery Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,6003047767,593.45,33.26,560.19,Georgemead Ltd T/A Cohens Chemist,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003047768,509.33,28.40,480.93,Higher Broughton Salford Pharmacy,Public Health,Payts to Agencies
Salford City Council,2020-06-08,1600648621,2915.33,485.89,2429.44,Jsm Group,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-06-08,1600648875,6840.00,0.00,6840.00,Kedleston (Wings Education) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,601277950,909.60,151.60,758.00,Keoghs Llp,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2020-06-08,601277995,577.50,0.00,577.50,Kidz Corner Childcare Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,601277996,660.00,0.00,660.00,Kidz R Us Nursery Ltd - Pendlebury,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,6003047769,1055.60,59.70,995.90,K'S Chemist,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003049439,763.90,42.66,721.24,L Rowland & Co (Retail) Ltd-Pharmac,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601277998,660.00,0.00,660.00,Ladybird Private Day Nursery,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,601277999,660.00,0.00,660.00,Ladybird Private Day Nursery,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,601278103,1500.00,0.00,1500.00,Laura-Jane Atkinson,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,6003047771,751.28,48.78,702.50,Lloyds Pharmacy - Macdonald Health,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003046763,1367.89,30.17,1337.72,Lloyds Pharmacy In Sainsburys,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003047770,843.48,47.45,796.03,Lloyds Pharmacy Ltd - 90 Liverpool,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003049436,529.87,32.95,496.92,Lloyds Pharmacy Ltd -178 Liverpool,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003049437,2403.81,137.75,2266.06,Lloyds Pharmacy Ltd-Pendleton Gatew,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601278108,10000.00,0.00,10000.00,Lux Oud Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278093,10000.00,0.00,10000.00,Northwestmedia,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601277953,92970.10,15495.02,77475.08,Nsl Ltd,Place Directorate,Contractors
Salford City Council,2020-06-08,601277956,1229.52,0.00,1229.52,Ordsall Health Surgery,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003048589,1521.69,87.60,1434.09,Pct Healthcare Ltd (Hodg),Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003049443,2789.41,162.26,2627.15,Pct Healthcare Ltd (Mars),Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003049442,984.27,61.30,922.97,Pct Healthcare Ltd-Coniston Avenue,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003048588,654.92,35.62,619.30,Pct Healthcare Ltd-Ellenbrook,Public Health,Payts to Agencies
Salford City Council,2020-06-08,1600648864,975.00,0.00,975.00,Redacted Data,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-06-08,601277958,1109.84,0.00,1109.84,Redacted Data,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601278099,2000.00,0.00,2000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278105,2500.00,0.00,2500.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278097,3000.00,0.00,3000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278098,3000.00,0.00,3000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278104,3000.00,0.00,3000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278106,4500.00,0.00,4500.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278107,4500.00,0.00,4500.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278000,825.00,0.00,825.00,Roobyloos Childrens Nursery,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,1600648346,25000.00,0.00,25000.00,Salford Loaves And Fishes,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601278092,1000.00,0.00,1000.00,Sareli (Salford Refugees Link),Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,6003048587,897.93,65.19,832.74,Sms Pharmacy Ltd,Public Health,Payts to Agencies
Salford City Council,2020-06-08,6003046766,1067.48,24.88,1042.60,Sms Pharmacy Ltd,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601278100,10000.00,0.00,10000.00,Springchat,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601277957,699.68,0.00,699.68,Ssp Health Medical Servides Ltd,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601277959,1609.36,0.00,1609.36,The Gill Medical Centre,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601278004,1320.00,0.00,1320.00,Tinytots Vision Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,601278096,10000.00,0.00,10000.00,Toasted Productions Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-08,601278088,4372.60,0.00,4372.60,Tradition (Uk) Limited,Corporate Accountancy,Debt Mgmt Expenses
Salford City Council,2020-06-08,601278080,8185.00,0.00,8185.00,Warrington Borough Council,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-06-08,6003049444,1153.05,67.76,1085.29,Well Pharmacy,Public Health,Payts to Agencies
Salford City Council,2020-06-08,601278005,660.00,0.00,660.00,Westwood Smarties Pre-School Nurser,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-08,601278094,10000.00,0.00,10000.00,Wigsaw Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,1600648925,2692.80,448.80,2244.00,Academy 21 Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-09,601278287,10000.00,0.00,10000.00,Activ Consulting Group Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601277392,24405.17,4067.53,20337.64,Addleshaw Goddard Llp,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-06-09,1600648888,1758.00,293.00,1465.00,Alliance Disposables Ltd,People (Childrens) Service Group,Leisure Activity
Salford City Council,2020-06-09,6003050582,1680.00,0.00,1680.00,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-06-09,6003050598,2010.96,0.00,2010.96,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-06-09,6003050585,5362.56,0.00,5362.56,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-06-09,6003050555,500.55,0.00,500.55,Approved Property Management,People (Adults) - CHSC,Rents
Salford City Council,2020-06-09,601278282,10000.00,0.00,10000.00,Ariel Enterprises Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278125,805.48,0.00,805.48,Bgc Brokers Lp,Corporate Accountancy,Debt Mgmt Expenses
Salford City Council,2020-06-09,1600648920,885.00,147.50,737.50,Blake Envelopes,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2020-06-09,1600648919,7226.34,1204.39,6021.95,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-06-09,1600648905,4536.00,756.00,3780.00,C P Davidson & Sons Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-06-09,1600648906,4536.00,756.00,3780.00,C P Davidson & Sons Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-06-09,601278281,10000.00,0.00,10000.00,Catherine Baxter T/A Prago,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,1600648901,1186.80,197.80,989.00,City Sitemix Concrete Ltd,Place Directorate,Materials
Salford City Council,2020-06-09,601278275,10000.00,0.00,10000.00,Claims Manager Nw Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,1600648897,742.93,123.82,619.11,Commsec Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-09,1600648918,8640.00,1440.00,7200.00,Day Architectural Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-06-09,1600648921,800.00,0.00,800.00,Djg Consultancy And Training,People (Childrens) Service Group,Consultants
Salford City Council,2020-06-09,601278279,10000.00,0.00,10000.00,Fast Kebab Mcr Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278280,10000.00,0.00,10000.00,Gatley Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278254,25000.00,0.00,25000.00,General All Purpose Plastics Limite,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,1600648890,9244.36,1540.73,7703.63,Horticon Limited,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-09,601278123,3843.84,0.00,3843.84,Icap Europe Limited,Corporate Accountancy,Debt Mgmt Expenses
Salford City Council,2020-06-09,601278251,10000.00,0.00,10000.00,Ideal Lodgings Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278252,10000.00,0.00,10000.00,Ideal Lodgings Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,6003050592,530.00,0.00,530.00,Iz *Kevin Booth Painting,People (Adults) - CHSC,Other Professional Fees
Salford City Council,2020-06-09,601278285,25000.00,0.00,25000.00,Joseph Holt Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278258,25000.00,0.00,25000.00,Kosher Savers Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278267,10000.00,0.00,10000.00,Ldmtv Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278284,10000.00,0.00,10000.00,M T Belly'Z Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278263,10000.00,0.00,10000.00,Monaghan Preoperty Services Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278112,1800.00,300.00,1500.00,Northgate Vehicle Hire (Nw) Ltd,Place Directorate,Materials
Salford City Council,2020-06-09,601278286,10000.00,0.00,10000.00,Parcel Den Online Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278278,10000.00,0.00,10000.00,Paul Taylor Interiors Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278137,1340.00,0.00,1340.00,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2020-06-09,1600648575,111358.21,18559.70,92798.51,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2020-06-09,6003050002,521.28,0.00,521.28,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050019,526.04,0.00,526.04,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,601278138,531.54,0.00,531.54,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2020-06-09,6003049955,541.16,0.00,541.16,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050033,542.08,0.00,542.08,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003049941,553.52,0.00,553.52,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050165,567.48,0.00,567.48,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050055,567.68,0.00,567.68,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003049971,588.24,0.00,588.24,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050153,624.00,0.00,624.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003049950,638.64,0.00,638.64,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003049994,660.00,0.00,660.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003049963,724.00,0.00,724.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003049945,868.00,0.00,868.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050168,993.44,0.00,993.44,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050050,1276.88,0.00,1276.88,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003049932,1379.00,0.00,1379.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050029,1423.12,0.00,1423.12,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050045,1620.00,0.00,1620.00,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050006,2047.24,0.00,2047.24,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,6003050161,2531.20,0.00,2531.20,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-06-09,601278237,6704.00,0.00,6704.00,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-06-09,601278260,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278283,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278276,10000.00,0.00,10000.00,Rjh Motorbike Training Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,1600648924,7617.96,0.00,7617.96,Salford City College,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-09,601278253,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278255,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278256,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278257,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278259,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278261,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278262,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278264,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278265,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278266,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278268,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278269,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278270,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278271,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278272,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278274,10000.00,0.00,10000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,601278273,25000.00,0.00,25000.00,Salford Community Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,1600648893,4081.00,680.17,3400.83,Schofield & Sons Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-06-09,601278136,2700.00,0.00,2700.00,Sms Coaching Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-09,601278124,3150.00,0.00,3150.00,Sms Coaching Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-09,1600648895,768.96,128.16,640.80,Solon Security,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-09,601278110,548.40,91.40,457.00,Stanley Security Solutions Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2020-06-09,601278277,10000.00,0.00,10000.00,The Reporters' Academy Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-09,1600648428,15120.00,0.00,15120.00,University Of Salford,People (Childrens) Service Group,Training expenses
Salford City Council,2020-06-09,6003050601,697.00,0.00,697.00,Www.Applianceworldonli,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-06-10,601278307,3885.00,0.00,3885.00,Abc Coach Hire Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278300,50000.00,0.00,50000.00,Aldi Stores Ltd,People (Adults) - CHSC,Food and refreshment
Salford City Council,2020-06-10,6003051088,1269.75,0.00,1269.75,Amznmktplace Amazon.Co.Uk,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-06-10,1600648962,64200.00,10700.00,53500.00,Bha For Equality,Public Health,Payts to Agencies
Salford City Council,2020-06-10,1600648961,267315.90,44552.65,222763.25,Bha For Equality,Public Health,Payts to Agencies
Salford City Council,2020-06-10,601278337,5155.31,0.00,5155.31,Budding Wood Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-06-10,601278308,2340.00,390.00,1950.00,Buzz2Go Minibuses Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278379,1296.66,0.00,1296.66,Chatsworth Futures Ltd,People (Childrens) Service Group,Gas
Salford City Council,2020-06-10,1600648570,10773.60,1795.60,8978.00,Core Assets Childrens Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-10,1600646135,10800.00,1800.00,9000.00,Dlp Services (Northern) Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-06-10,1600646832,8705.80,1450.97,7254.83,Dlp Services Northern Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-10,1600646830,12061.99,2010.33,10051.66,Dlp Services Northern Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-06-10,601278289,19278.00,3213.00,16065.00,Executive Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278290,8374.38,1395.73,6978.65,Express Travels (Bolton) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278320,1310.40,218.40,1092.00,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278317,1348.50,0.00,1348.50,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278321,1364.40,227.40,1137.00,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278322,1401.84,233.64,1168.20,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278318,1562.85,0.00,1562.85,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278316,1604.85,0.00,1604.85,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278319,1765.26,294.21,1471.05,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278302,22187.56,3697.93,18489.63,H59 Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278418,8000.00,0.00,8000.00,Hills Financial,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-10,1600646865,1042.80,173.80,869.00,Hsl Compliance,Place Directorate,UV Heat Rep
Salford City Council,2020-06-10,601278423,10000.00,0.00,10000.00,Juicy Media Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-10,1600648938,1417.96,236.33,1181.63,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-06-10,1600648940,2711.60,451.93,2259.67,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-06-10,1600648937,4219.84,703.31,3516.53,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-06-10,601278329,825.00,0.00,825.00,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278330,1222.50,0.00,1222.50,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278424,10000.00,0.00,10000.00,Liddells Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-10,601278385,720.00,0.00,720.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278384,750.00,0.00,750.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278383,840.00,0.00,840.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278389,885.00,0.00,885.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278382,1050.00,0.00,1050.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278387,1140.00,0.00,1140.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278386,1185.00,0.00,1185.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278388,1200.00,0.00,1200.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278416,10000.00,0.00,10000.00,M And B Freight Services Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-10,601278420,10000.00,0.00,10000.00,M3 Industries Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-10,601278249,725.00,0.00,725.00,Manchester City Council,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2020-06-10,601278293,5180.25,0.00,5180.25,Marmion (Taxis),People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278333,2085.00,0.00,2085.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278334,2400.00,0.00,2400.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278402,601.92,100.32,501.60,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278401,720.00,120.00,600.00,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278400,2340.00,390.00,1950.00,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278298,14115.00,0.00,14115.00,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-10,601278365,6011.88,0.00,6011.88,Novus Property Solutions,Service Reform (Corp Bus & Transform),Improvement Grants
