Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L no.
Salford City Council,2014-06-10,601117346,10000.00,0.00,10000.00,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2014-06-10,qmoiedcwb,1356.62,226.10,1130.52,Www.Mitrelinen.Co.Uk,Customer and Support Services,Equipment Purchase
Salford City Council,2014-06-10,frmdqjduw,529.12,88.19,440.93,Www.Paper.Co.Uk,Customer and Support Services,Stationery
Salford City Council,2014-06-11,601117566,96952.68,14745.86,82206.82,Corona Energy,Capital Expenditure,Gas
Salford City Council,2014-06-11,601117646,4592.00,0.00,4592.00,HMRC,Capital Expenditure,Inland Revenue - CIS
Salford City Council,2014-06-11,1600506188,684.00,114.00,570.00,P D J Imports Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-11,601117628,1696.20,0.00,1696.20,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-06-11,601117629,2044.97,0.00,2044.97,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-06-11,601117602,6500.00,0.00,6500.00,Alkers Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-11,601117633,7653.70,0.00,7653.70,Aubrey Isaacson Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-11,601117636,8434.20,0.00,8434.20,Dominic Thompson & Co Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-11,601117493,2800.00,0.00,2800.00,Fentons Solicitors Llp,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-11,601117634,6250.00,0.00,6250.00,Frearsons Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-11,601117604,16000.00,0.00,16000.00,Glp Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-11,601117603,18250.00,0.00,18250.00,Simpson Millar Llp,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-11,601117635,9250.00,0.00,9250.00,Slater & Gordon (Uk) Llp,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-11,1600506561,611.28,101.88,509.40,Berkeley Scott Ltd,Children's Services,Agency Fees
Salford City Council,2014-06-11,601117568,1618.52,269.75,1348.77,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2014-06-11,601117567,15763.61,2627.27,13136.34,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2014-06-11,1600505807,599.94,99.99,499.95,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-06-11,601117578,639.60,106.60,533.00,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-06-11,1600505537,720.00,120.00,600.00,Micromac Filtration Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2014-06-11,1600505994,1275.00,212.50,1062.50,Micromac Filtration Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2014-06-11,601117649,1837.73,306.29,1531.44,Southern Electric,Sustainable Regeneration,Electricity
Salford City Council,2014-06-11,601117650,6744.11,1124.01,5620.10,Utility Services (Media City Uk ) Ltd,The Office of the Chief Executive,Electricity
Salford City Council,2014-06-11,601117652,7865.69,1310.96,6554.73,Utility Services (Media City Uk ) Ltd,The Office of the Chief Executive,Electricity
Salford City Council,2014-06-11,601116217,900.00,0.00,900.00,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2014-06-11,601116219,900.00,0.00,900.00,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2014-06-11,601116220,900.00,0.00,900.00,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2014-06-11,601116223,900.00,0.00,900.00,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2014-06-11,601116225,900.00,0.00,900.00,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2014-06-11,601116488,900.00,0.00,900.00,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2014-06-11,1600508133,46686.67,7781.11,38905.56,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2014-06-11,1600505806,702.00,117.00,585.00,Best Buy Office Chairs,Children's Services,Class Supplies Capit
Salford City Council,2014-06-11,601117639,1235.00,0.00,1235.00,Paypoint Plc,Sustainable Regeneration,Provisions
Salford City Council,2014-06-11,1600505538,3706.80,617.80,3089.00,Phoenix Software Ltd,Customer and Support Services,Computer Maintenance
Salford City Council,2014-06-11,601117643,4000.00,0.00,4000.00,Fp Teleset Data Group,Customer and Support Services,Postage
Salford City Council,2014-06-11,601116428,1720.96,286.83,1434.13,Vodafone Formerly Cable & Wireless,Customer and Support Services,Telephones & Fax
Salford City Council,2014-06-11,1600507688,1200.00,200.00,1000.00,Defensive Driver Training Ltd,Environment and Community Safety,Training expenses
Salford City Council,2014-06-11,601117572,670.80,111.80,559.00,Blackline Private Hire,"Community, Health & Social Care",Travel & Subsistence
Salford City Council,2014-06-11,1600507409,32141.39,2530.45,29610.94,Salford Schools Solutions Ltd,Children's Services,Unitary Charge
Salford City Council,2014-06-11,1600508105,5104.63,0.00,5104.63,Salford Schools Solutions Ltd,Children's Services,Unitary Charge
Salford City Council,2014-06-11,1600507408,656125.67,108593.02,547532.65,Salford Schools Solutions Ltd,Children's Services,Unitary Charge
Salford City Council,2014-06-11,1600506557,2262.00,377.00,1885.00,Cipfa Business Ltd,Customer and Support Services,Subscriptions
Salford City Council,2014-06-11,1600506041,1800.00,0.00,1800.00,The Nas Services Ltd,"Community, Health & Social Care",Subscriptions
Salford City Council,2014-06-11,601117595,1422.72,0.00,1422.72,Ability Cooperative Ltd,Children's Services,Grants
Salford City Council,2014-06-11,601117611,8789.60,0.00,8789.60,Branwood Preparatory School,Children's Services,Grants
Salford City Council,2014-06-11,601117612,9210.00,0.00,9210.00,Claremont Neighbourhood Nursery,Children's Services,Grants
Salford City Council,2014-06-11,601117613,6271.10,0.00,6271.10,Fairhills Playgroup,Children's Services,Grants
Salford City Council,2014-06-11,601117615,15489.70,0.00,15489.70,Holyrood Nursery - Mediacityuk,Children's Services,Grants
Salford City Council,2014-06-11,601117616,522.00,0.00,522.00,Ladybird Private Day Nursery,Children's Services,Grants
Salford City Council,2014-06-11,601117618,1429.65,0.00,1429.65,Little People Day Nursery,Children's Services,Grants
Salford City Council,2014-06-11,601117625,3514.50,0.00,3514.50,Monton Village School Ltd,Children's Services,Grants
Salford City Council,2014-06-11,1600503250,37143.75,0.00,37143.75,Salford Womens Aid,Environment and Community Safety,Grants
Salford City Council,2014-06-11,601117622,6000.00,0.00,6000.00,St Lukes Pre-School Playgroup,Children's Services,Grants
Salford City Council,2014-06-11,601117637,750.00,0.00,750.00,The Image Group,Children's Services,Grants
Salford City Council,2014-06-11,601117623,9609.60,0.00,9609.60,Tinytots Vision Ltd,Children's Services,Grants
Salford City Council,2014-06-11,601117624,22751.55,0.00,22751.55,Unicorn Nursery,Children's Services,Grants
Salford City Council,2014-06-11,601117632,528.00,0.00,528.00,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-11,601117594,714.99,0.00,714.99,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-11,601117573,4406.43,0.00,4406.43,Care & Support Initiative,Children's Services,Children Act-Sect 17
Salford City Council,2014-06-11,601117576,1260.00,0.00,1260.00,S & M Hotel Ltd,Children's Services,Children Act-Sect 17
Salford City Council,2014-06-11,601117513,549.99,0.00,549.99,Salix Homes Limited,Sustainable Regeneration,Rental Bonds
Salford City Council,2014-06-11,1600505530,25920.00,4320.00,21600.00,Salford Community Leisure Ltd,"Community, Health & Social Care",Pyts Agenc - Ext Fnd
Salford City Council,2014-06-11,1600506217,1425.00,0.00,1425.00,Classic Foster Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506700,2940.97,0.00,2940.97,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506258,786.60,0.00,786.60,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506261,824.36,0.00,824.36,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506260,830.30,0.00,830.30,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506259,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506262,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,601117539,1425.06,0.00,1425.06,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506475,730.10,0.00,730.10,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506477,2447.89,0.00,2447.89,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506481,2892.00,0.00,2892.00,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506586,2908.78,0.00,2908.78,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506478,2945.70,0.00,2945.70,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506480,3065.10,0.00,3065.10,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506585,3068.70,0.00,3068.70,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600507309,3068.70,0.00,3068.70,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,1600506587,3129.00,0.00,3129.00,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-11,601117606,15912.00,0.00,15912.00,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-11,601117607,23868.00,0.00,23868.00,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-11,601117053,784.00,0.00,784.00,Sunny Bank (Prs) Ltd,"Community, Health & Social Care",Day Care
Salford City Council,2014-06-11,601117581,3109.92,518.32,2591.60,The Nas Services Ltd,"Community, Health & Social Care",Day Care
Salford City Council,2014-06-11,601117653,1311.91,0.00,1311.91,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-06-11,6001538215,1468.21,0.00,1468.21,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-06-11,601117580,1506.27,0.00,1506.27,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-06-11,601117490,691.20,0.00,691.20,Mike Davies Transport Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117489,2035.20,0.00,2035.20,Mike Davies Transport Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117510,2304.00,384.00,1920.00,Mike Davies Transport Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117488,7584.00,0.00,7584.00,Mike Davies Transport Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117483,1728.16,0.00,1728.16,R & G Taxis,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,1600507114,532.80,88.80,444.00,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601116782,666.00,111.00,555.00,Randstad Education Limited,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117486,672.00,0.00,672.00,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117487,700.00,0.00,700.00,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117526,715.00,0.00,715.00,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117485,736.00,0.00,736.00,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117481,1395.36,232.56,1162.80,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,601117480,4527.36,754.56,3772.80,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-11,1600505535,1242.00,207.00,1035.00,Arnold Laver Timber World,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-06-11,1600508021,2725.60,454.27,2271.33,Apple Display & Shopfitting Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-06-11,1600508020,5000.00,833.33,4166.67,Apple Display & Shopfitting Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-06-11,1600508019,6000.00,1000.00,5000.00,Apple Display & Shopfitting Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-06-11,601117560,7352.02,1225.34,6126.68,G & J Seddon Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-06-11,1600508054,24858.00,4143.00,20715.00,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2014-06-11,601117502,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-06-11,601117605,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-06-11,601117609,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-06-11,601117501,3667.70,0.00,3667.70,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-06-11,601117583,10000.00,0.00,10000.00,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2014-06-11,601117597,10000.00,0.00,10000.00,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2014-06-11,601117596,3000.00,0.00,3000.00,Unitel One Source Limited,Capital Expenditure,Miscellaneous Grants
Salford City Council,2014-06-11,weusoppzg,6781.87,1130.31,5651.56,Cintas Document Uk,Customer and Support Services,Storage
Salford City Council,2014-06-11,wkkuxpdlh,22210.86,3701.81,18509.05,Hays Personnel,Customer and Support Services,Agency Fees
Salford City Council,2014-06-11,hhyvypqxa,26171.30,4361.88,21809.42,Hays Personnel,Customer and Support Services,Agency Fees
Salford City Council,2014-06-11,guhxtffii,704.40,117.40,587.00,Normans,Children's Services,General Resaleable Items
Salford City Council,2014-06-12,1600506810,711.79,118.63,593.16,Phoenix Power Services,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-12,1600505673,3117.64,519.61,2598.03,Phoenix Power Services,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-12,601115808,542.40,90.40,452.00,Itn Mark Education,Children's Services,Agency Fees
Salford City Council,2014-06-12,601117677,2200.80,366.80,1834.00,Itn Mark Education,Children's Services,Agency Fees
Salford City Council,2014-06-12,6001571334,669.22,0.00,669.22,Next Steps Aftercare,Children's Services,Fixtures & Fittings
Salford City Council,2014-06-12,1600506533,832.42,138.74,693.68,Mitie Security Ltd,Environment and Community Safety,Security/Equipment
Salford City Council,2014-06-12,1600508229,1608.00,268.00,1340.00,Stoke On Trent City Council,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-06-12,1600506725,4879.66,813.28,4066.38,Vip Systems Ltd,Environment and Community Safety,Licencing
Salford City Council,2014-06-12,1600506532,3714.68,619.11,3095.57,Mitie Security Ltd,Sustainable Regeneration,Security Services
Salford City Council,2014-06-12,601117711,1787.28,297.88,1489.40,TNT Post North Ltd,Customer and Support Services,Postage
Salford City Council,2014-06-12,601117692,3028.25,504.71,2523.54,TNT Post North Ltd,Customer and Support Services,Postage
Salford City Council,2014-06-12,601117713,27985.66,4664.28,23321.38,TNT Post North Ltd,Customer and Support Services,Postage
Salford City Council,2014-06-12,1600506115,750.00,125.00,625.00,Iirp Uk And Ireland,Children's Services,Training expenses
Salford City Council,2014-06-12,1600506356,960.00,160.00,800.00,Toasted Productions,Children's Services,Marketing/Publicity
Salford City Council,2014-06-12,1600508312,2746.25,0.00,2746.25,Thomasson Memorial School,Children's Services,Payts to Other LA's
Salford City Council,2014-06-12,1600506344,128819.50,0.00,128819.50,Age Concern Salford,"Community, Health & Social Care",Pyts Agenc - Ext Fnd
Salford City Council,2014-06-12,1600506467,1500.00,0.00,1500.00,Classic Foster Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-12,1600506101,7500.00,0.00,7500.00,Greater Manchester West,Environment and Community Safety,Payts to Agencies
Salford City Council,2014-06-12,1600506102,15000.00,0.00,15000.00,Greater Manchester West,Environment and Community Safety,Payts to Agencies
Salford City Council,2014-06-12,1600506237,66392.25,0.00,66392.25,Salford Community & Voluntary Services,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-06-12,6001571136,558.00,0.00,558.00,Redacted Data,Children's Services,Fost Parent-Bas alls
Salford City Council,2014-06-12,6001571271,504.93,0.00,504.93,Redacted Data,Children's Services,Fost Parent-Bas alls
Salford City Council,2014-06-12,1600506098,4794.30,0.00,4794.30,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-06-12,6001521982,1460.00,0.00,1460.00,European Care Gb Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-06-12,6001537784,1460.00,0.00,1460.00,European Care Gb Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-06-12,6001557096,1460.00,0.00,1460.00,European Care Gb Ltd,"Community, Health & Social Care",Nursing Home
Salford City Council,2014-06-12,601117670,1701.00,0.00,1701.00,Transport Management & Co Minibus,Children's Services,Pupil Assistance
Salford City Council,2014-06-12,1600508148,1048.30,174.72,873.58,Bradshaw International,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-06-12,1600505672,3570.00,595.00,2975.00,RBS Invoice Finance Limited,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-06-12,601117685,1504.80,250.80,1254.00,Dalby Engineering Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-06-12,601116229,513.50,79.00,434.50,Bradshaw International,Capital Expenditure,Disturbance Payments
Salford City Council,2014-06-12,2203776459,4167.31,0.00,4167.31,Santander,Sustainable Regeneration,Grants - Externally Funded
Salford City Council,2014-06-12,brpfcyloo,1751.04,291.84,1459.20,Adt Cardiff Cc,Environment and Community Safety,Security & Security Equipment
Salford City Council,2014-06-12,qegichifj,526.89,17.28,509.61,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2014-06-12,yulbcmuah,2006.00,0.00,2006.00,Francotyp,Customer and Support Services,Equipment Purchase
Salford City Council,2014-06-12,yuwcndkwf,22664.78,3777.46,18887.32,Hays Personnel,Customer and Support Services,Agency Fees
Salford City Council,2014-06-12,shfnsqswx,537.00,0.00,537.00,Lion Fpg,Customer and Support Services,Printing & Photocopying
Salford City Council,2014-06-12,gshfqucvl,3778.56,0.00,3778.56,Oliver Kay Ltd,Environment and Community Safety,Provisions
Salford City Council,2014-06-13,1600507180,539.64,89.94,449.70,Air Products Plc,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-13,601117744,3222.00,520.00,2702.00,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-13,601117873,912.00,152.00,760.00,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2014-06-13,1600507093,1192.80,198.80,994.00,Autogate Systems Ltd,Children's Services,Building Rep & Maint
Salford City Council,2014-06-13,1600506038,523.20,87.20,436.00,Cia 2000 Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2014-06-13,1600506425,887.40,147.90,739.50,Cia 2000 Ltd,Sustainable Regeneration,UV Light/Fire
Salford City Council,2014-06-13,1600507226,551.53,91.92,459.61,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600507117,559.46,93.24,466.22,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600506405,588.10,98.02,490.08,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600507974,589.00,98.17,490.83,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600506384,598.99,99.83,499.16,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600507225,598.99,99.83,499.16,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600507116,611.50,101.92,509.58,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600506912,665.06,110.84,554.22,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600507224,685.39,114.23,571.16,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600507960,685.39,114.23,571.16,Integrated Water Services,Sustainable Regeneration,UV Tank Clean
Salford City Council,2014-06-13,1600507110,25388.47,4231.41,21157.06,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2014-06-13,1600507109,39057.47,6509.58,32547.89,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2014-06-13,1600507111,43776.59,7296.10,36480.49,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2014-06-13,1600506055,2284.56,380.76,1903.80,Lloyds Tsb Commercial Finance,Environment and Community Safety,Security/Equipment
Salford City Council,2014-06-13,1600506232,5711.40,951.90,4759.50,Lloyds Tsb Commercial Finance,Environment and Community Safety,Security/Equipment
Salford City Council,2014-06-13,1600507188,10584.24,1764.04,8820.20,Mitie Security Ltd,Environment and Community Safety,Security/Equipment
Salford City Council,2014-06-13,601116958,621.43,0.00,621.43,Barnardos North West,Children's Services,Rents
Salford City Council,2014-06-13,1600506945,2057.14,0.00,2057.14,Care & Support Initiative,Children's Services,Rents
Salford City Council,2014-06-13,1600506947,2628.57,0.00,2628.57,Care & Support Initiative,Children's Services,Rents
Salford City Council,2014-06-13,1600506222,1447.20,241.20,1206.00,Dcs Joncare Limited,"Community, Health & Social Care",Equipment-paediatric
Salford City Council,2014-06-13,1600506216,1320.00,220.00,1100.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-13,1600505885,1386.00,231.00,1155.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-13,601117802,907.09,151.18,755.91,Berendson Uk Ltd,Environment and Community Safety,Laundry
Salford City Council,2014-06-13,601117863,517.44,0.00,517.44,Handicare,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-06-13,1600507138,2000.00,0.00,2000.00,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2014-06-13,1600506436,3064.46,510.74,2553.72,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-06-13,1600506437,8400.00,1400.00,7000.00,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-06-13,1600506434,10166.66,0.00,10166.66,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2014-06-13,601117869,646.53,0.00,646.53,Structec,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-06-13,601117865,594.16,0.00,594.16,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-06-13,601117859,2765.56,0.00,2765.56,Wessex Lift Co Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-06-13,601117129,630.00,0.00,630.00,Rochdale MBC,Environment and Community Safety,Sampling
Salford City Council,2014-06-13,1600506267,5571.30,928.55,4642.75,De Lage Landen Leasing Ltd,The Office of the Chief Executive,IT Licence Fee
Salford City Council,2014-06-13,601117723,7740.28,1290.05,6450.23,TNT Post North Ltd,Customer and Support Services,Postage
Salford City Council,2014-06-13,601117880,9000.00,0.00,9000.00,Brighter Futures,Children's Services,Training expenses
Salford City Council,2014-06-13,1600508379,1080.00,180.00,900.00,Early Years Matters Ltd,Children's Services,Training expenses
Salford City Council,2014-06-13,1600507618,1891.85,315.31,1576.54,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2014-06-13,1600508022,938723.02,156453.84,782269.18,S&W Tlp (Project Co Two) Ltd,Children's Services,Unitary Charge
Salford City Council,2014-06-13,1600505823,1800.00,300.00,1500.00,T.S.I.,Environment and Community Safety,Subscriptions
Salford City Council,2014-06-13,1600507655,2203.00,0.00,2203.00,Autistic Society Gtr Manchester,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,601117848,30902.00,0.00,30902.00,Central Manchester University,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-06-13,1600507057,3089.26,0.00,3089.26,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600506942,52320.00,8720.00,43600.00,Salford Community Leisure Ltd,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-06-13,1600506234,3601.00,0.00,3601.00,Salford Talking News,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-06-13,1600508359,8642.86,0.00,8642.86,Sandcastle Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600507965,11785.71,0.00,11785.71,Sandcastle Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600506347,12500.00,0.00,12500.00,T.H.O.M.A.S,Environment and Community Safety,Payts to Agencies
Salford City Council,2014-06-13,1600506243,61415.50,0.00,61415.50,T.H.O.M.A.S,Environment and Community Safety,Payts to Agencies
Salford City Council,2014-06-13,1600507013,818.32,0.00,818.32,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600507174,834.40,0.00,834.40,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600507010,2667.50,0.00,2667.50,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600507008,2699.20,0.00,2699.20,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600507009,2755.47,0.00,2755.47,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600507173,2860.76,0.00,2860.76,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600507006,2864.12,0.00,2864.12,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600507012,2920.40,0.00,2920.40,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2014-06-13,1600507324,20840.34,0.00,20840.34,Nugent Care Society,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-06-13,601117748,52836.68,0.00,52836.68,Community Integrated Care,"Community, Health & Social Care",Resid Care Home
Salford City Council,2014-06-13,6001571611,2504.56,0.00,2504.56,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571580,3946.05,0.00,3946.05,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571597,5973.19,0.00,5973.19,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571792,5979.57,0.00,5979.57,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571588,6102.10,0.00,6102.10,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571593,6197.53,0.00,6197.53,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571637,7304.22,0.00,7304.22,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571627,7763.22,0.00,7763.22,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571645,13930.06,0.00,13930.06,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571576,27617.52,0.00,27617.52,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,6001571605,27906.18,0.00,27906.18,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2014-06-13,601117837,833.80,0.00,833.80,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2014-06-13,601117839,833.80,0.00,833.80,Redacted Data,"Community, Health & Social Care",Adult Placements
