Authority Name,Date of Payment,SAP Document Number,Amount,,,Supplier Name,Directorate,G/L description.
Salford City Council,2018-11-09,601230407,702,117,585,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-09,601230409,702,117,585,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-09,601230410,702,117,585,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-09,601230436,1698,283,1415,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-09,1600616545,10130,0,10130,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-09,1600616546,12156,2026,10130,Thyssenkrupp Encasa Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-09,1600616657,829.44,138.24,691.2,Vip Systems Ltd,Place Directorate,Equipment Purchase
Salford City Council,2018-11-09,biskejkgi,511.2,85.2,426,A Venning Ltd,Place Directorate,delegated kitchen formula
Salford City Council,2018-11-09,gfbfzdxes,1038,173,865,A Venning Ltd,Place Directorate,delegated kitchen formula
Salford City Council,2018-11-09,zouhrkssj,844.95,48.95,796,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-09,uptqybxoe,1575,0,1575,Paypal,People (Childrens) Service Group,Furniture
Salford City Council,2018-11-12,601230679,12500,0,12500,Accountant General Of Senior Courts,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2018-11-12,601230620,530,0,530,All Green Garden Maintenance,People (Adults) - CHSC,Horticultural/GMaint
Salford City Council,2018-11-12,1600617463,2439,0,2439,All Saints Ce Primary School,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2018-11-12,1600616486,607.51,101.25,506.26,Alliance Disposables Ltd,Place Directorate,Materials
Salford City Council,2018-11-12,1600616516,24881.54,4146.92,20734.62,Associated Network Solutions Group,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2018-11-12,601230632,3540,0,3540,Bolton College,People (Childrens) Service Group,Training expenses
Salford City Council,2018-11-12,1600616171,867,144.5,722.5,Ciceley Limited,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-12,1600617471,8419,0,8419,Cliffe Enterprise Ltd,Service Reform (Corp Bus & Transform),Print & Photocopying
Salford City Council,2018-11-12,1600617470,8419,0,8419,Cliffe Enterprise Ltd,Service Reform (Corp Bus & Transform),Print & Photocopying
Salford City Council,2018-11-12,1600617472,9114,0,9114,Cliffe Enterprise Ltd,Service Reform (Corp Bus & Transform),Print & Photocopying
Salford City Council,2018-11-12,601229753,877.64,146.27,731.37,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-12,601229658,2086.76,347.79,1738.97,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-12,1600617156,2652.17,442.03,2210.14,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-12,601229368,700.8,0,700.8,Eeven Homes Ltd,People (Childrens) Service Group,Rents
Salford City Council,2018-11-12,601229367,803.52,0,803.52,Eeven Homes Ltd,People (Childrens) Service Group,Rents
Salford City Council,2018-11-12,1600615369,1000,0,1000,Eeven Homes Ltd,People (Childrens) Service Group,Children Act-Sect 17
Salford City Council,2018-11-12,1600616697,528,88,440,Elt Well,People (Childrens) Service Group,Training expenses
Salford City Council,2018-11-12,1600616515,900,150,750,Events Security Services Ltd,Service Reform (Corp Bus & Transform),Contract Hire
Salford City Council,2018-11-12,601230553,23432.2,3905.36,19526.84,Executive Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230497,935.84,155.97,779.87,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230495,1589.76,264.96,1324.8,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230499,1637.28,272.88,1364.4,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230500,1637.28,272.88,1364.4,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230501,1682.2,280.36,1401.84,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230498,1684.8,280.8,1404,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230494,1528.3,0,1528.3,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230496,1771.23,0,1771.23,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230493,1818.83,0,1818.83,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601229574,1080,0,1080,Godfrey Ermen Memorial School,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-11-12,601230640,1764,294,1470,Good Sense (Conflict Resolution)Tra,People (Childrens) Service Group,Training expenses
Salford City Council,2018-11-12,601229659,1980,330,1650,Good Sense (Conflict Resolution)Tra,People (Childrens) Service Group,Training expenses
Salford City Council,2018-11-12,601230508,951.52,0,951.52,Graham Wakefield,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,1600616185,3180.6,530.1,2650.5,Jpk Trade Supplies Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-12,601229576,1300,0,1300,Kip Mcgrath Education Centres Walkd,People (Childrens) Service Group,Exam fees
Salford City Council,2018-11-12,1600616750,21502,3583.67,17918.33,Landscape Engineering Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-12,601230485,850,0,850,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230488,864,0,864,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230483,952,0,952,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230492,1240.65,0,1240.65,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230482,1260,0,1260,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230484,1360,0,1360,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230491,1422,0,1422,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230489,1440,0,1440,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230487,1728,0,1728,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230486,2160,0,2160,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230516,10670,0,10670,Lindley Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230554,2124,0,2124,M Shamim,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,1600617500,3168,528,2640,Malcolm Hughes Land Surveyors,Capital Expenditure,Other Works
Salford City Council,2018-11-12,601230512,7821.95,0,7821.95,Marmion (Taxis),People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230510,1440,0,1440,Mikes Merc,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,1600617421,92484.23,15414.04,77070.19,Nsl Ltd,Place Directorate,Contractors
Salford City Council,2018-11-12,601230672,3000,0,3000,Oasis Community Hub Mediacityuk,Place Directorate,Payts to Vol Orgs
Salford City Council,2018-11-12,601230507,1044,0,1044,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,1600617427,1750,0,1750,Redacted Data,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-11-12,601230509,4229.56,0,4229.56,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230548,1140,0,1140,Saeed A Vakharia T/A Imperial Trave,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,601230419,1146,191,955,Safeclimb Ltd,People (Childrens) Service Group,Leisure Activity
Salford City Council,2018-11-12,1600615611,66392,0,66392,Salford Community & Voluntary Serv,Place Directorate,Payts to Agencies
Salford City Council,2018-11-12,1600616514,66392,0,66392,Salford Community & Voluntary Serv,Place Directorate,Payts to Agencies
Salford City Council,2018-11-12,601229655,37658.73,0,37658.73,Salix Homes Limited,People (Adults) - CHSC,Rents
Salford City Council,2018-11-12,601230514,5906,0,5906,Schools Direct,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-12,1600616766,801.6,133.6,668,Solon Security,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-11-12,1600616765,1526.16,254.36,1271.8,Solon Security,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-11-12,1600616768,1735.44,289.24,1446.2,Solon Security,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-11-12,1600616189,601.75,100.29,501.46,Terberg Matec Uk Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-12,601230629,887.4,147.9,739.5,The Key Support Services Ltd,People (Childrens) Service Group,Training expenses
Salford City Council,2018-11-12,1600616540,794.88,0,794.88,The Landing At Media City Ltd,Place Directorate,Pmnts Privt Provider
Salford City Council,2018-11-12,1600615713,5990,0,5990,Tutorcare Ltd,People (Childrens) Service Group,Training expenses
Salford City Council,2018-11-12,601230615,61811.83,0,61811.83,University Hospital Of South (Uhsm),People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-12,1600616492,555.19,92.53,462.66,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-12,1600616490,793.7,132.28,661.42,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-12,1600616491,5568.64,928.11,4640.53,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-12,roidajibl,593.75,98.96,494.79,Travelodge Gb0000,People (Adults) - CHSC,Rents
Salford City Council,2018-11-12,ttkdfijqd,518.7,86.45,432.25,Travelodge Gb0000,People (Adults) - CHSC,Rents
Salford City Council,2018-11-12,bcobfbvds,2389,0,2389,2saa007266056 Ltr Fami,People (Childrens) Service Group,Other Professional Fees
Salford City Council,2018-11-13,601230855,1018.5,0,1018.5,Aim Habonim-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230745,4029.38,0,4029.38,Aim Habonim-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230746,6095.25,0,6095.25,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230747,1265.78,0,1265.78,Auntie Stephs Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230857,2764.5,0,2764.5,Auntie Stephs Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230739,3594.68,0,3594.68,Barton Moss Primary School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230748,13414.28,0,13414.28,Beis Malka Beiz Girls-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230875,1509.57,0,1509.57,Beltodam Ltd T/A Early Learning Chi,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230766,1562.18,0,1562.18,Beltodam Ltd T/A Early Learning Chi,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230858,4583.25,0,4583.25,Big Steps Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230749,18747.75,0,18747.75,Bnos Yisroel Schools Manchester Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230750,912.36,0,912.36,Boothstown Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230860,1430.35,0,1430.35,Boothstown Playgroup,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230751,12282.11,0,12282.11,Branwood Preparatory School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230752,9121.97,0,9121.97,Bridgewater School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,1600615833,15914,0,15914,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-11-13,601230740,24314.4,0,24314.4,Broadoak Cp School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230741,15176.7,0,15176.7,Broughton Jewish C F Academy,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230754,988.8,0,988.8,Budding Wood Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230863,3637.5,0,3637.5,Budding Wood Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230699,4405.63,0,4405.63,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230701,5678.05,0,5678.05,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230692,7000,0,7000,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230697,8182.07,0,8182.07,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230719,9420.29,0,9420.29,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230703,9472.71,0,9472.71,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230709,7421.99,0,7421.99,C Smithies Builders,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230705,8765,0,8765,C Smithies Builders,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230756,5724.28,0,5724.28,Care Chiefs,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230865,13161.69,0,13161.69,Care Chiefs,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230758,1095.1,0,1095.1,Caterpillar Corner,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230866,4292.25,0,4292.25,Caterpillar Corner,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230761,2436.9,0,2436.9,Claremont Neighbourhood Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230869,2800.88,0,2800.88,Claremont Neighbourhood Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230762,2427.75,0,2427.75,Clarendon Cottage School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230823,4075.5,0,4075.5,Clk Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230936,5674.5,0,5674.5,Clk Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230949,1273.13,0,1273.13,Cottage Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230839,4799.8,0,4799.8,Cottage Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230874,1818.75,0,1818.75,Daisys Daycare,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230721,2054.13,0,2054.13,David Marlow Building Contractor Lt,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230723,7304.44,0,7304.44,David Marlow Building Contractor Lt,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601229765,871.88,145.31,726.57,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-13,601229770,968.74,161.46,807.28,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-13,601229769,1045.5,174.25,871.25,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-13,601229767,1409,234.83,1174.17,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-13,601230725,8588.87,0,8588.87,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230729,9467.73,0,9467.73,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230691,9547.44,0,9547.44,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230727,10493.15,0,10493.15,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230716,12000,0,12000,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230707,12678.67,0,12678.67,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230715,18000,0,18000,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230695,4396.98,0,4396.98,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230713,4834.41,0,4834.41,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230717,5120.1,0,5120.1,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230693,6053.4,0,6053.4,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-13,601230742,3369.29,0,3369.29,Dukesgate Academy,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230681,555.13,92.52,462.61,Edf Energy Plc,Place Directorate,Electricity
Salford City Council,2018-11-13,601230684,632.03,105.34,526.69,Edf Energy Plc,Place Directorate,Electricity
Salford City Council,2018-11-13,601230682,670.86,111.81,559.05,Edf Energy Plc,Place Directorate,Electricity
Salford City Council,2018-11-13,601230683,674.98,112.5,562.48,Edf Energy Plc,Place Directorate,Electricity
Salford City Council,2018-11-13,601230686,698.48,116.41,582.07,Edf Energy Plc,Place Directorate,Electricity
Salford City Council,2018-11-13,601230685,767.58,127.93,639.65,Edf Energy Plc,Place Directorate,Electricity
Salford City Council,2018-11-13,601230687,783.46,130.58,652.88,Edf Energy Plc,Place Directorate,Electricity
Salford City Council,2018-11-13,601230282,114066.8,19011.13,95055.67,Edf Energy Plc,Place Directorate,Electricity
Salford City Council,2018-11-13,601230877,1273.13,0,1273.13,Evergreen Childrens Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230767,2832.38,0,2832.38,Evergreen Childrens Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230768,2696.93,0,2696.93,Fairhills Playgroup Pre-School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230878,4389.25,0,4389.25,Fairhills Playgroup Pre-School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230769,1360.24,0,1360.24,Fledglings (Irlam) Limited,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230879,2685.69,0,2685.69,Fledglings (Irlam) Limited,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230770,6117.23,0,6117.23,Fledglings Day Nursery Worsley,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230798,3456.6,0,3456.6,Folly Brook Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230905,4074,0,4074,Folly Brook Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230927,1194.22,0,1194.22,Fun 2B2,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230753,1031.63,0,1031.63,Fun4All Cic,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230862,4074,0,4074,Fun4All Cic,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230881,691.13,0,691.13,Habonim Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230772,7068.6,0,7068.6,Habonim Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230774,825.3,0,825.3,Happy Feet Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230882,6365.63,0,6365.63,Happy Feet Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230883,1236.75,0,1236.75,Haya Cohen,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230868,1782.38,0,1782.38,Hello Kiddies Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,1600617528,18000,3000,15000,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2018-11-13,601230777,3178.35,0,3178.35,Holly House Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230884,9033.13,0,9033.13,Holly House Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,1600616893,973.74,162.29,811.45,J Fletcher Engineers Ltd,Place Directorate,UV Air Con
Salford City Council,2018-11-13,601230889,2479.56,0,2479.56,Jitterbugz Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230786,6487.09,0,6487.09,Kerem Shloime Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230787,905.63,0,905.63,Kiddiewinkles Pre School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230892,5532.64,0,5532.64,Kiddiewinkles Pre School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230788,7418.6,0,7418.6,Kids Adventures Forest School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230789,3099.79,0,3099.79,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230792,3103.05,0,3103.05,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230894,3346.5,0,3346.5,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230895,3807.25,0,3807.25,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230896,9790.94,0,9790.94,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230897,10912.5,0,10912.5,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230790,12792.38,0,12792.38,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230791,14097.46,0,14097.46,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230793,694.6,0,694.6,Kidz Corner Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230898,4914.13,0,4914.13,Kidz Corner Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230901,2364.38,0,2364.38,Kidz R Us Nursery Ltd - Pendlebury,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230796,2745.23,0,2745.23,Kidz R Us Nursery Ltd - Pendlebury,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230797,2837.25,0,2837.25,Kidz R Us Nursery Ltd - Swinton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230902,3310.13,0,3310.13,Kidz R Us Nursery Ltd - Swinton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230794,1670.38,0,1670.38,Kidzrus Nursery Ltd - Irlam,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230899,2546.25,0,2546.25,Kidzrus Nursery Ltd - Irlam,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230795,5400.45,0,5400.45,Kidzrus Nursery Ltd-Langworth Rd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230900,6693,0,6693,Kidzrus Nursery Ltd-Langworth Rd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230861,1509.57,0,1509.57,Kinderland,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230799,6699.53,0,6699.53,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230906,12464.5,0,12464.5,Ladybird Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,1600616549,998.65,159.78,838.87,Lightoaks Garage,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-13,601230911,1000.32,0,1000.32,Little Acorns Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230802,2032.88,0,2032.88,Little Acorns Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230804,677.93,0,677.93,Little Explorers,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230913,776,0,776,Little Explorers,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230805,1680.08,0,1680.08,Little Explorers Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230914,3370.75,0,3370.75,Little Explorers Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230803,3246.43,0,3246.43,Little Explorers Eccles,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230912,5516.88,0,5516.88,Little Explorers Eccles,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230806,1316.7,0,1316.7,Little Footprints Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230915,1600.5,0,1600.5,Little Footprints Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230916,3310.13,0,3310.13,Little Gems Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230807,4891.2,0,4891.2,Little Gems Private Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230917,712.95,0,712.95,Little Learners,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230918,2037,0,2037,Little Me Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230808,3703.95,0,3703.95,Little People Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230919,5747.25,0,5747.25,Little People Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230809,2079.43,0,2079.43,Little Saints Day Care Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230920,6365.63,0,6365.63,Little Saints Day Care Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230810,1092,0,1092,Little Sprouts Day Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230921,3516.25,0,3516.25,Little Sprouts Day Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2018-11-13,601230812,1638,0,1638,Magical Moments Ltd,People (Childrens) Service Group,Pmnts Privt Provider
