ï»¿Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2020-07-08,601280761,1322.20,0.00,1322.20,Redacted Data,People (Childrens) Service Group,Grants - External
Salford City Council,2020-07-08,601280762,1322.20,0.00,1322.20,Redacted Data,People (Childrens) Service Group,Grants - External
Salford City Council,2020-07-08,601280763,1322.20,0.00,1322.20,Redacted Data,People (Childrens) Service Group,Grants - External
Salford City Council,2020-07-08,601280764,1322.20,0.00,1322.20,Redacted Data,People (Childrens) Service Group,Grants - External
Salford City Council,2020-07-08,6003065655,1432.40,0.00,1432.40,Redacted Data,Service Reform (Corp Bus & Transform),Res Pers Allow-Priv
Salford City Council,2020-07-08,1600650360,1536.00,256.00,1280.00,Envico Ltd,Place Directorate,Recruitment Advert.
Salford City Council,2020-07-08,6003065648,1548.60,0.00,1548.60,Redacted Data,Service Reform (Corp Bus & Transform),Res Pers Allow-Priv
Salford City Council,2020-07-08,601280715,1743.52,0.00,1743.52,Fairfield Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-08,1600650353,1755.20,0.00,1755.20,Handicare,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-07-08,1600650384,2043.32,340.55,1702.77,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-07-08,6003066615,2400.00,0.00,2400.00,Sis4Ers Distillery,Place Directorate,Food and refreshments
Salford City Council,2020-07-08,6003066625,2400.00,0.00,2400.00,Sis4Ers Distillery,Place Directorate,Food and refreshments
Salford City Council,2020-07-08,6003066584,2481.00,0.00,2481.00,Sis4Ers Distillery,Place Directorate,Food and refreshments
Salford City Council,2020-07-08,6003066624,2800.00,0.00,2800.00,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-08,601280723,2848.50,474.75,2373.75,Rm Education Plc,People (Childrens) Service Group,Computer Software
Salford City Council,2020-07-08,6003065638,3061.12,0.00,3061.12,Redacted Data,Service Reform (Corp Bus & Transform),Res Pers Allow-Priv
Salford City Council,2020-07-08,1600650351,3114.00,519.00,2595.00,Clarion Housing Group Ltd,People (Adults) - CHSC,Subscriptions
Salford City Council,2020-07-08,1600650346,3349.67,558.28,2791.39,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2020-07-08,1600650382,4564.74,760.79,3803.95,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-07-08,1600650348,5000.00,0.00,5000.00,The Broughton Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-08,601280720,12145.50,0.00,12145.50,Continuum Support - Care Services L,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-08,601280718,12550.35,0.00,12550.35,Continuum Support - Care Services L,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-08,6003065582,15407.60,0.00,15407.60,T/A Sage Care Ltd,People (Adults) - CHSC,Supported Tenancies
Salford City Council,2020-07-08,601280724,18500.00,0.00,18500.00,Hexagon Care Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-08,1600650340,19280.06,3213.34,16066.72,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2020-07-08,601280722,24028.66,0.00,24028.66,Witherslack Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-08,601280721,62075.00,0.00,62075.00,Witherslack Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-09,601280831,516.00,86.00,430.00,Iirp Uk And Ireland - International,People (Childrens) Service Group,Consultants
Salford City Council,2020-07-09,1600650403,534.00,89.00,445.00,P F Cusack (Tools Supplies) Ltd,Place Directorate,Delivery Charges
Salford City Council,2020-07-09,6003067497,580.00,0.00,580.00,Iz *Kevin Booth Painting,People (Adults) - CHSC,Other Professional Fees
Salford City Council,2020-07-09,1600650397,582.00,97.00,485.00,P F Cusack (Tools Supplies) Ltd,Place Directorate,Materials
Salford City Council,2020-07-09,601280852,615.00,0.00,615.00,Little Saints Day Care Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-09,6003067530,617.50,0.00,617.50,Dvla Vehicle Tax,Place Directorate,Payment to Government Departments
Salford City Council,2020-07-09,1600650393,714.00,119.00,595.00,P F Cusack (Tools Supplies) Ltd,Place Directorate,Materials
Salford City Council,2020-07-09,6003067042,849.09,0.00,849.09,Redacted Data,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2020-07-09,601280827,1033.73,172.29,861.44,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-09,1600650451,1188.00,198.00,990.00,Chubb Fire & Security Ltd,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-07-09,1600650467,1200.00,0.00,1200.00,Chris Dennison Consulting Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-09,1600650465,1510.78,251.79,1258.99,Swift (Nw) Ltd T/A Swift Hire & Sal,Place Directorate,Equipment Purchase
Salford City Council,2020-07-09,1600650428,1663.60,0.00,1663.60,Diamond Bus (North West) Ltd,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-07-09,601280840,1698.40,0.00,1698.40,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2020-07-09,1600650464,1741.72,290.28,1451.44,Swift (Nw) Ltd T/A Swift Hire & Sal,Place Directorate,Equipment Purchase
Salford City Council,2020-07-09,1600650423,1794.00,299.00,1495.00,P F Cusack (Tools Supplies) Ltd,Place Directorate,Materials
Salford City Council,2020-07-09,1600650425,1841.14,306.86,1534.28,Limelight Signs Limited,Place Directorate,Materials
Salford City Council,2020-07-09,1600650471,1912.50,0.00,1912.50,Redacted Data,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-09,1600650385,2423.00,0.00,2423.00,Transport For Greater Manchester,People (Adults) - CHSC,Staff Travel
Salford City Council,2020-07-09,1600650431,2580.00,430.00,2150.00,Lk Consult Limited,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-07-09,1600649388,3204.00,534.00,2670.00,General Utilities Northwest Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Exes
Salford City Council,2020-07-09,601280817,3214.48,535.75,2678.73,Irlam & Cadishead Academy,People (Childrens) Service Group,T U Supply Cover
Salford City Council,2020-07-09,601280820,3323.78,553.96,2769.82,Nhs Salford Ccg,Service Reform (Corp Bus & Transform),Agnc Rec Hlth Auth
Salford City Council,2020-07-09,1600650460,3446.40,574.40,2872.00,Nationwide Bark & Play Surfacing Ll,Place Directorate,Horticultural/GMaint
Salford City Council,2020-07-09,1600650480,4752.00,792.00,3960.00,C P Davidson & Sons Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-07-09,1600650481,4752.00,792.00,3960.00,C P Davidson & Sons Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-07-09,601280818,5445.34,907.56,4537.78,Coop Swinton,People (Childrens) Service Group,T U Supply Cover
Salford City Council,2020-07-09,6003067514,5600.00,0.00,5600.00,Approved Property Mana,People (Adults) - CHSC,Rents
Salford City Council,2020-07-09,601280816,5615.09,0.00,5615.09,Together Housing Association Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-09,601280847,5980.17,0.00,5980.17,Budding Wood Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-07-09,601280891,10000.00,0.00,10000.00,Aulolaland Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280887,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280885,10000.00,0.00,10000.00,Fagan Jones Communications Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280890,10000.00,0.00,10000.00,Kingly Properties Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280889,10000.00,0.00,10000.00,Limefield Estates Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280881,10000.00,0.00,10000.00,Opulent Living Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280892,10000.00,0.00,10000.00,Quay Meats Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280882,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280883,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280884,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280886,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280893,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280888,25000.00,0.00,25000.00,Khb Bakery Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-09,601280894,25000.00,0.00,25000.00,Pirate Studios Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-10,1600650506,17302.00,0.00,17302.00,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2020-07-10,601272482,1542.29,257.05,1285.24,Royal Mail Group Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2020-07-10,601280926,535.92,89.32,446.60,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-10,1600650536,557.01,92.83,464.18,Papillon Translations Ltd,People (Childrens) Service Group,Interpreter/translat
Salford City Council,2020-07-10,1600650534,572.00,95.34,476.66,Beesley And Fildes Ltd,Place Directorate,Materials
Salford City Council,2020-07-10,6003068275,617.50,0.00,617.50,Dvla Vehicle Tax,Place Directorate,Payment to Government Departments
Salford City Council,2020-07-10,601280966,630.00,105.00,525.00,Monarch Education,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-10,601280967,630.00,105.00,525.00,Monarch Education,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-10,601280914,690.00,115.00,575.00,Axcis Education Recruitment,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-10,601281130,694.80,115.80,579.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-10,601280965,720.00,120.00,600.00,Teacher Active Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-10,601280920,747.78,124.63,623.15,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-10,601280911,750.00,125.00,625.00,Axcis Education Recruitment,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-10,601281106,774.74,129.12,645.62,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-10,601280870,815.00,0.00,815.00,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280869,850.00,0.00,850.00,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2020-07-10,601280956,861.12,143.52,717.60,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-10,601281112,894.83,149.14,745.69,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-10,601280944,897.60,149.60,748.00,Scotts Private Hire Taxis Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280906,978.00,0.00,978.00,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280931,1004.69,167.45,837.24,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-10,601280872,1040.00,0.00,1040.00,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2020-07-10,601280919,1056.00,0.00,1056.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280929,1056.00,176.00,880.00,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601281108,1089.61,181.60,908.01,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-10,601280918,1100.00,0.00,1100.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280953,1100.00,0.00,1100.00,Wp Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280930,1108.80,184.80,924.00,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601281115,1110.00,185.00,925.00,Choice Teachers,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-10,601280908,1155.00,0.00,1155.00,Kvn Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280947,1155.00,0.00,1155.00,Taxistransfers,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,1600650503,1200.00,200.00,1000.00,Sefton Council,Service Reform (Corp Bus & Transform),Subscriptions
Salford City Council,2020-07-10,601280949,1223.20,0.00,1223.20,Taxistransfers,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280917,1232.00,0.00,1232.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280945,1267.20,211.20,1056.00,Scotts Private Hire Taxis Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280865,1275.00,0.00,1275.00,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2020-07-10,601280925,1298.00,0.00,1298.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280943,1300.00,0.00,1300.00,Stephen A Marron T/A Sam Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280864,1320.00,0.00,1320.00,Saeed A Vakharia T/A Imperial Trave,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280936,1356.00,226.00,1130.00,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280948,1405.80,0.00,1405.80,Taxistransfers,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280955,1442.22,240.37,1201.85,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-10,601280952,1471.80,0.00,1471.80,Taxistransfers,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280874,1473.56,0.00,1473.56,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601281120,1479.44,0.00,1479.44,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-07-10,601281101,1491.22,248.54,1242.68,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-10,601280880,1517.56,0.00,1517.56,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280858,1518.00,0.00,1518.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280912,1540.00,0.00,1540.00,Hawthorn Hotel,People (Childrens) Service Group,Rents
Salford City Council,2020-07-10,601280913,1540.00,0.00,1540.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280878,1560.00,0.00,1560.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280950,1587.30,0.00,1587.30,Taxistransfers,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601281111,1595.34,265.89,1329.45,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-10,601280969,1620.86,270.14,1350.72,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2020-07-10,601280860,1638.00,0.00,1638.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280923,1672.00,0.00,1672.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601281125,1703.39,0.00,1703.39,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-07-10,1600650529,1710.00,285.00,1425.00,P F Cusack (Tools Supplies) Ltd,Place Directorate,Materials
Salford City Council,2020-07-10,601281124,1711.65,0.00,1711.65,Coveleaf Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-07-10,601280876,1737.12,0.00,1737.12,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280921,1738.00,0.00,1738.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601281102,1758.84,293.14,1465.70,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-10,601280922,1760.00,0.00,1760.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280863,1760.00,0.00,1760.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280935,1760.00,0.00,1760.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280932,1815.00,0.00,1815.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,1600650538,1859.20,0.00,1859.20,Redacted Data,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,601280895,1887.90,0.00,1887.90,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280899,1910.16,318.36,1591.80,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280900,1962.57,327.09,1635.48,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280946,1995.00,0.00,1995.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280970,2026.08,337.68,1688.40,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2020-07-10,601280877,2083.18,0.00,2083.18,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280938,2090.88,348.48,1742.40,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280927,2112.00,352.00,1760.00,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601281097,2127.71,354.62,1773.09,Equita Limited,Service Reform (Corp Bus & Transform),Debt Collection
Salford City Council,2020-07-10,601280896,2187.99,0.00,2187.99,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280867,2246.79,0.00,2246.79,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,1600650505,2359.46,393.24,1966.22,General Utilities North West Ltd,Place Directorate,Contractors
Salford City Council,2020-07-10,601280859,2520.00,0.00,2520.00,T/A D & H Enterprises,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280898,2589.04,431.50,2157.54,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,1600650502,2700.00,450.00,2250.00,Bauer Radio Ltd,People (Childrens) Service Group,Marketing/Publicity
Salford City Council,2020-07-10,601281123,2736.60,0.00,2736.60,Creative Support,People (Adults) - CHSC,Supported Tenancies
Salford City Council,2020-07-10,601280868,2748.62,0.00,2748.62,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601281122,3010.62,0.00,3010.62,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-07-10,601280934,3058.00,0.00,3058.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280901,3300.00,0.00,3300.00,Hawthorn Hotel,People (Childrens) Service Group,Rents
Salford City Council,2020-07-10,601281113,3400.00,0.00,3400.00,Howarth Housing Group,People (Adults) - CHSC,Rents
Salford City Council,2020-07-10,601280939,3430.68,571.78,2858.90,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280857,3432.00,572.00,2860.00,Buzz2Go Minibuses Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280933,3520.00,0.00,3520.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280968,3552.38,592.06,2960.32,Equita Limited,Service Reform (Corp Bus & Transform),Staffd Security Serv
Salford City Council,2020-07-10,601280942,3854.40,642.40,3212.00,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601281091,3973.76,662.30,3311.46,G & A Taylors Hotels Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-10,601280861,4414.76,0.00,4414.76,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280937,4528.13,754.69,3773.44,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,1600650515,5076.00,846.00,4230.00,Traffic Direct,Place Directorate,Materials
Salford City Council,2020-07-10,601281110,5650.00,0.00,5650.00,Howarth Housing Group,People (Adults) - CHSC,Rents
Salford City Council,2020-07-10,1600650539,6000.00,1000.00,5000.00,Cam Management Solutions Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-10,601280941,6291.12,1048.52,5242.60,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-10,601280958,7560.00,1260.00,6300.00,Eversheds Sutherland (Inter) Llp,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-07-10,1600650517,7872.00,1312.00,6560.00,Traffic Direct,Place Directorate,Contractors
Salford City Council,2020-07-10,1600650514,9174.77,1529.13,7645.64,Career Connect,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,601281119,9413.27,0.00,9413.27,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-07-10,1600650422,13026.00,0.00,13026.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,1600650265,13200.00,0.00,13200.00,Onextra Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,1600650493,15615.28,2602.55,13012.73,Helping Hands Minor Repairs Service,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-07-10,1600650424,16375.67,0.00,16375.67,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,601281129,16574.93,0.00,16574.93,Ggs Care Home Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-07-10,1600650146,20110.92,3351.82,16759.10,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-07-10,1600650421,20345.00,0.00,20345.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,1600650540,23400.00,3900.00,19500.00,Cam Management Solutions Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-10,1600650054,25310.53,4218.42,21092.11,T/A Bramhall Flooring Company Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-07-10,1600650328,25739.25,0.00,25739.25,Central Manchester University,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,1600650253,28421.05,4736.84,23684.21,Exclusec Group Ltd,Place Directorate,Contractors
Salford City Council,2020-07-10,1600650135,31654.80,5275.80,26379.00,Mazars Llp,Service Reform (Corp Bus & Transform),District Audit Fees
Salford City Council,2020-07-10,1600650000,35583.00,0.00,35583.00,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,1600650001,35583.00,0.00,35583.00,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,1600650002,35583.00,0.00,35583.00,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-10,1600650039,41346.28,6891.05,34455.23,Groundwork Landscapes Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2020-07-10,1600649926,43200.00,7200.00,36000.00,Social Value Portal Ltd,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2020-07-10,1600650326,64200.00,10700.00,53500.00,Bha For Equality,Public Health,Payts to Agencies
Salford City Council,2020-07-10,601280463,95636.63,15939.44,79697.19,Nsl Ltd,Place Directorate,Contractors
Salford City Council,2020-07-10,1600650344,108246.00,18041.00,90205.00,Connell Bros Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-07-10,601280507,114274.00,0.00,114274.00,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-10,1600649971,264718.02,44119.67,220598.35,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-07-10,1600650325,269415.90,44902.65,224513.25,Bha For Equality,Public Health,Payts to Agencies
Salford City Council,2020-07-10,1600650003,439206.00,0.00,439206.00,Salford Royal Nhs Foundation Trust,Public Health,Payts to Agencies
Salford City Council,2020-07-10,1600649970,1021205.27,170200.88,851004.39,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-07-13,601281191,501.46,83.58,417.88,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-13,601281181,520.18,0.00,520.18,Bristow & Sutor,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,2020-07-13,601281200,574.80,95.80,479.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-13,1600650587,588.96,98.16,490.80,Schofield & Sons,Place Directorate,UV Day to Day
Salford City Council,2020-07-13,601281182,603.22,100.55,502.67,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-13,601281216,617.40,102.90,514.50,Cpoms Systems Ltd,People (Childrens) Service Group,IT  Licence Fee
Salford City Council,2020-07-13,601281207,678.00,0.00,678.00,Department Of Work & Pensions,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2020-07-13,601281199,739.54,123.26,616.28,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-13,601281205,750.00,0.00,750.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-07-13,601281183,783.89,130.65,653.24,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-13,1600650542,800.00,0.00,800.00,Djg Consultancy And Training,People (Childrens) Service Group,Consultants
Salford City Council,2020-07-13,601281215,804.29,134.05,670.24,Randstad Public Services Limited,People (Childrens) Service Group,Broadband services
Salford City Council,2020-07-13,601281202,855.61,142.60,713.01,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-13,601281209,902.20,0.00,902.20,Dlp Services Northern Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-07-13,601281214,920.00,0.00,920.00,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2020-07-13,601281223,1000.00,0.00,1000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-13,601281198,1037.53,172.92,864.61,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-13,601281155,1049.82,174.97,874.85,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-07-13,1600650582,1193.16,198.86,994.30,Schofield & Sons,Place Directorate,Equipment Purchase
Salford City Council,2020-07-13,1600650566,1362.96,227.16,1135.80,P F Cusack (Tools Supplies) Ltd,Place Directorate,Clothing & Uniforms
