Authority Name,Date of Payment,SAP Document Number,Amount,,,Supplier Name,Directorate,G/L description.
Salford City Council,2018-04-09,1600605320,2250,0,2250,Redacted Data,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-04-09,1600605367,3000,0,3000,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2018-04-09,601215487,58689.75,9781.66,48908.09,Reed Specialist Recruitment Ltd,Capital Expenditure,Agency Fees
Salford City Council,2018-04-09,1600604319,3520,0,3520,Salford City College,Children's Services,Pupil Assistance
Salford City Council,2018-04-09,1600605280,10000,0,10000,Salford Disability Forum Ltd,Service Reform,Disability Equipment
Salford City Council,2018-04-09,1600605323,1578.3,0,1578.3,Serafino Costa,Children's Services,Payts to Agencies
Salford City Council,2018-04-09,601215528,1698,283,1415,Societe Generale Equipment Fin Ltd,Environment and Community Safety,Veh Operating Leases
Salford City Council,2018-04-09,1600604324,11842.66,1973.78,9868.88,Softcat Limited,Service Reform,Computer Equipment
Salford City Council,2018-04-09,1600604306,3750,0,3750,Special Spirits,Children's Services,Payts to Agencies
Salford City Council,2018-04-09,601214423,1956.92,0,1956.92,Stockport College,Children's Services,Pupil Assistance
Salford City Council,2018-04-09,ruxopqnuw,542.27,90.38,451.89,T H White Ltd,Environment and Community Safety,Materials
Salford City Council,2018-04-09,1600605295,55048.07,0,55048.07,T/A Kedleston Schools (London) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-09,1600605294,55178,0,55178,T/A Kedleston Schools (London) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-09,1600605296,57937,0,57937,T/A Kedleston Schools (London) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-09,1600605292,58612,0,58612,T/A Kedleston Schools (London) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-09,1600605348,3809.54,0,3809.54,T/A The Marlowe School,Children's Services,Pupil Assistance
Salford City Council,2018-04-09,601215357,1240.74,206.79,1033.95,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-04-09,1600604972,1266,211,1055,Teaching Personnel Ltd,Children's Services,Other Prof Fees
Salford City Council,2018-04-09,1600604304,1053.41,175.57,877.84,Whistl Uk Ltd,Service Reform,Postage
Salford City Council,2018-04-09,1600604300,24256.55,4042.76,20213.79,Whistl Uk Ltd,Service Reform,Postage
Salford City Council,2018-04-09,1600603533,572.56,95.43,477.13,Xma Ltd,Children's Services,Computer Equipment
Salford City Council,2018-04-09,1600603558,756,126,630,Xma Ltd,Environment and Community Safety,Computer Equipment
Salford City Council,2018-04-10,6002517464,13029.3,0,13029.3,After Care (Nw) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517462,14710.5,0,14710.5,After Care (Nw) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,1600605397,528.36,88.07,440.29,Alliance Disposables Ltd,Environment and Community Safety,Catering Materials
Salford City Council,2018-04-10,1600605398,539.04,89.84,449.2,Alliance Disposables Ltd,Environment and Community Safety,Materials
Salford City Council,2018-04-10,6002517433,24371.43,0,24371.43,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,601215538,3690.4,0,3690.4,Aon Insurance Ltd,Service Reform,Repaymt-Insur Hldg
Salford City Council,2018-04-10,1600604439,4833.33,0,4833.33,Beis Ruchel Girls School,Children's Services,Pupil Assistance
Salford City Council,2018-04-10,6002517452,12396.2,0,12396.2,Bright Futures Care Ltd T/A Corners,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-04-10,601214394,2100,0,2100,Brighter Futures,Children's Services,Class Supplies Capit
Salford City Council,2018-04-10,6002517456,8747.03,0,8747.03,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517448,17200,0,17200,Cambian Childcare Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-04-10,6002517458,9832,0,9832,Capstone Foster Care (North) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517473,6785.71,0,6785.71,Care 4 Children Residential Service,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-04-10,6002517450,12428,0,12428,Care Today Childrens Services,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-04-10,1600605376,22978.55,3829.76,19148.79,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2018-04-10,1600605375,23284.8,3880.8,19404,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2018-04-10,6002517472,3124.24,0,3124.24,Ccats Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517459,21000,0,21000,Choices Home For Children Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,1600603523,1438.8,239.8,1199,Chubb Fire & Security Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-04-10,1600603530,1481.76,246.96,1234.8,Chubb Fire & Security Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-04-10,601215557,900,150,750,Cipfa Business Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-04-10,601215543,169717.5,28286.25,141431.25,Citizens Advice Bureau,"Community, Health & Social Care",Grants
Salford City Council,2018-04-10,6002517467,4563.17,0,4563.17,Compass Fostering North Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517475,17000,0,17000,Cornerstone Childrens Homes Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517481,14728.93,0,14728.93,Courtyard Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517432,3691.24,0,3691.24,Crossroads Together Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,1600604052,3526,109.33,3416.67,Dartington Hall Trust,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,601215545,109562.51,18260.42,91302.09,Edf Energy Plc,Sustainable Regeneration,Electricity
Salford City Council,2018-04-10,601215548,104454.98,17409.16,87045.82,Edf Energy Plc,Sustainable Regeneration,Electricity
Salford City Council,2018-04-10,601215547,109156.98,18192.83,90964.15,Edf Energy Plc,Sustainable Regeneration,Electricity
Salford City Council,2018-04-10,6002517440,2444.96,0,2444.96,Fairfield Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517443,11016,0,11016,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517482,30857.14,0,30857.14,Family Child Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,601215540,1200,200,1000,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-10,601215542,2502.6,417.1,2085.5,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-10,6002517439,8993.44,0,8993.44,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517463,6380,0,6380,Foster Careline Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517437,3200,0,3200,Foster Cares Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517447,35085.16,0,35085.16,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517474,7280,0,7280,Fusion Fostering,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,1600603785,684.9,114.15,570.75,G Jones Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-04-10,1600603813,742.63,123.77,618.86,G Jones Builders Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2018-04-10,1600605156,84728.16,14121.36,70606.8,Groundwork Landscapes Ltd,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2018-04-10,6002517466,16480,0,16480,Holistic Approach Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517441,15024,0,15024,Horizon Care & Education Group Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517471,14800,0,14800,Inmind Childrens Services,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-04-10,6002517480,12874.65,0,12874.65,Jan Anderson T/A A1 Foster Care,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,601215572,1322.2,0,1322.2,Karenza Cutting,Children's Services,Grants - External
Salford City Council,2018-04-10,601215567,1322.2,0,1322.2,Kimberley Mclaighlin-Knowles,Children's Services,Grants - External
Salford City Council,2018-04-10,6002517469,25600,0,25600,Lonsdale Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,1600602775,32652.14,2158.83,30493.31,Manchester City Council,Service Reform,Legal Fees
Salford City Council,2018-04-10,1600602304,93132,0,93132,Manchester City Council,Service Reform,Legal Fees
Salford City Council,2018-04-10,6002517446,19914.29,0,19914.29,Meadows Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517457,22372,0,22372,Nugent Care,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517470,4964,0,4964,Orange Grove Foster Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517479,19800,0,19800,Outbound Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517451,6177.6,0,6177.6,Parallel Parents,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,601215589,1260,0,1260,Paypoint Plc,Sustainable Regeneration,Premises Insurance
Salford City Council,2018-04-10,6002517477,12800,0,12800,Pebbles Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517449,3404.04,0,3404.04,Perpetual Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,1600603828,648,108,540,R H Smith Engineering Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2018-04-10,601215551,560,0,560,Radio Cc Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-04-10,601215552,1260,0,1260,Radio Cc Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-04-10,601215553,1820,0,1820,Radio Cc Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-04-10,601215550,2730,0,2730,Radio Cc Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-04-10,601213616,1224,204,1020,Reach Publishing Services Ltd,Capital Expenditure,Legal Fees
Salford City Council,2018-04-10,601213627,2937.6,489.6,2448,Reach Publishing Services Ltd,Service Reform,Marketing/Publicity
Salford City Council,2018-04-10,601215578,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215566,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215568,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215569,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215570,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215571,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215573,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215574,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215575,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215577,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215579,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215580,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215581,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215582,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215583,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215584,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215585,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215586,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215587,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215588,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,601215576,1322.2,0,1322.2,Redacted Data,Children's Services,Grants - External
Salford City Council,2018-04-10,6002517436,16570.8,0,16570.8,Reed Specialist Recruitment Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517478,11766,0,11766,Resolution Fostering Services,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,1600605421,153994.94,25665.82,128329.12,Rm Education Plc,Children's Services,Other Prof Fees
Salford City Council,2018-04-10,6002517468,6886.63,0,6886.63,Roc North West Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,601215549,798,0,798,Salford Royal Nhs Foundation Trust,Children's Services,Pupil Assistance
Salford City Council,2018-04-10,6002517455,32300,0,32300,Sandcastle Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,1600604512,11462.4,1910.4,9552,Simply Moving & Sleeping Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-10,6002517438,11984,0,11984,Social Care Services (Clayton) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517434,17957.15,0,17957.15,Social Care Services (Clayton) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517444,9483.12,0,9483.12,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517476,13899.29,0,13899.29,The Adolescent & Children's Trust,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,1600605188,1830,0,1830,The Beacon Barm Cafe,Children's Services,Provisions
Salford City Council,2018-04-10,6002517465,9290.8,0,9290.8,The Fostering Team,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517453,6981.68,0,6981.68,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517461,20700.52,0,20700.52,Three Circles Fostering,Capital Expenditure,VAT Adjustment
Salford City Council,2018-04-10,601214419,646.02,107.67,538.35,Tradewind Recruitment Ltd,Children's Services,Agency Fees
Salford City Council,2018-04-10,601214421,646.02,107.67,538.35,Tradewind Recruitment Ltd,Children's Services,Agency Fees
Salford City Council,2018-04-10,1600604718,1141.2,190.2,951,University Of Salford,Children's Services,Training expenses
Salford City Council,2018-04-10,1600604675,12420,0,12420,University Of Salford,Children's Services,Training expenses
Salford City Council,2018-04-10,6002517454,2396,0,2396,Wigan Council,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,6002517460,12593.88,0,12593.88,Witherslack Group,Children's Services,Payts to Agencies
Salford City Council,2018-04-10,soiychqcm,502.28,43.23,459.05,Www.Elmhurstenergy.Co.Uk,Sustainable Regeneration,Energy Conservation
Salford City Council,2018-04-11,601215609,12000,0,12000,Aldi Stores Ltd,Sustainable Regeneration,Provisions
Salford City Council,2018-04-11,601215685,676.5,0,676.5,Beis Malka Beiz Girls-Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215686,568.5,0,568.5,Bnos Yisroel Schools Manchester Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215738,615.45,0,615.45,Boothstown Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215683,656.7,0,656.7,Broughton Jewish C F Academy,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215691,1510.65,0,1510.65,Broughton Jewish Cassel Fox,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215638,4001.25,0,4001.25,Care Chiefs,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215739,630.3,0,630.3,Claremont Neighbourhood Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215692,1260.6,0,1260.6,Claremont Neighbourhood Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215740,676.5,0,676.5,Clarendon Cottage School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215693,1722,0,1722,Clarendon Cottage School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215671,1018.5,0,1018.5,Clk Childcare Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601214853,591.36,98.56,492.8,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2018-04-11,601214855,666.24,111.04,555.2,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2018-04-11,1600604301,6606,1101,5505,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-11,1600604303,1260,210,1050,Essentra Packaging & Security Ltd,Environment and Community Safety,Equipment Purchase
Salford City Council,2018-04-11,601215643,654.75,0,654.75,Evergreen Childrens Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215695,1607.65,0,1607.65,Evergreen Childrens Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,1600604149,592.2,98.7,493.5,Exclusec Security Solutions Ltd,Children's Services,Manned Security Serv
Salford City Council,2018-04-11,601215644,873,0,873,Fairhills Playgroup Pre-School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215696,1312,0,1312,Fledglings (Irlam) Limited,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215742,1492.5,0,1492.5,Fledglings Day Nursery Worsley,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215466,1800,300,1500,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-11,601215637,509.25,0,509.25,Fun4All Cic,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215645,945.75,0,945.75,Happy Feet Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215646,2764.5,0,2764.5,Holly House Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,1600603579,5820,970,4850,Inenco Group Ltd,Environment and Community Safety,Other Prof Fees
Salford City Council,2018-04-11,1600604305,574.85,95.81,479.04,Insight Direct (Uk) Limited,Environment and Community Safety,Computer Equipment
Salford City Council,2018-04-11,601215649,582,0,582,Jitterbugz Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215650,582,0,582,Kiddiewinkles Pre School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215702,1790.8,0,1790.8,Kids Adventures Forest School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215703,1097.25,0,1097.25,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215651,1164,0,1164,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215652,3128.25,0,3128.25,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215704,11868.45,0,11868.45,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215655,582,0,582,Kidz R Us Nursery Ltd - Pendlebury,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215656,873,0,873,Kidz R Us Nursery Ltd - Swinton,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215706,553.5,0,553.5,Kidzrus Nursery Ltd - Irlam,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215744,676.5,0,676.5,Kidzrus Nursery Ltd - Irlam,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215653,1673.25,0,1673.25,Kidzrus Nursery Ltd - Irlam,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215654,509.25,0,509.25,Kidzrus Nursery Ltd-Langworth Rd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215707,1021.65,0,1021.65,Kidzrus Nursery Ltd-Langworth Rd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215710,2029.5,0,2029.5,Ladybird Private Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,ykkexcbdf,635.71,105.95,529.76,Lexis Nexis,"Community, Health & Social Care",Books & Periodicals
Salford City Council,2018-04-11,601215658,1018.5,0,1018.5,Little Explorers,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215711,676.5,0,676.5,Little Explorers Eccles,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215713,799.5,0,799.5,Little Footprints Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215661,509.25,0,509.25,Little Gems Private Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215714,799.5,0,799.5,Little Saints Day Care Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215662,2400.75,0,2400.75,Little Saints Day Care Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215663,800.25,0,800.25,Little Sprouts Day Nursery Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215716,630.3,0,630.3,Magical Moments Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215717,1320,0,1320,Manchester Jnr Girls School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215664,1236.75,0,1236.75,Mice To Meet You Playgroup Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215719,630.3,0,630.3,Mojo-Out Of School Club,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215718,635.25,0,635.25,Mojo-Out Of School Club,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215669,800.25,0,800.25,Mojo-Out Of School Club,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215670,800.25,0,800.25,Monton Village School Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215614,1457.56,242.93,1214.63,Non Stop Recruitment,Children's Services,Agency Fees
Salford City Council,2018-04-11,601215615,1506.13,251.02,1255.11,Non Stop Recruitment,Children's Services,Agency Fees
Salford City Council,2018-04-11,601215721,2538.75,0,2538.75,Nutkins Play & Learn Centre,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,1600603554,1577.64,262.94,1314.7,Openshadow,Capital Expenditure,Trans-service users
Salford City Council,2018-04-11,601215723,587.81,0,587.81,Oyy Lubavitch Girls School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215725,1108.8,0,1108.8,Rainbows Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,1600604387,630,105,525,Randstad Public Services Limited,Children's Services,Pupil Assistance
Salford City Council,2018-04-11,601215730,577.5,0,577.5,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215701,598.95,0,598.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215694,635.25,0,635.25,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215737,635.25,0,635.25,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215697,825,0,825,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215726,625.35,0,625.35,St Lukes Pre-School Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,1600604583,2500,0,2500,Stockport Mbc,Children's Services,Payts to Other LA's
Salford City Council,2018-04-11,601215727,1012.5,0,1012.5,Sylvan Court Day Nursery Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215743,1443.75,0,1443.75,T/A Holyrood Day Nursery - Media Ci,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215648,1164,0,1164,T/A Holyrood Day Nursery (Swinton),Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215728,625.35,0,625.35,Talmud Torah Chinuch N'Orim,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215745,1421.25,0,1421.25,Talmud Torah Chinuch N'Orim,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215675,873,0,873,Talmud Torah Yetev Lev Ltd-Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215729,9454.5,0,9454.5,Talmud Torah Yetev Lev Ltd-Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215747,761.25,0,761.25,Tashbar Academy Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215731,1051.88,0,1051.88,Tashbar Academy Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215732,1214.85,0,1214.85,Tashbar Academy Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215676,1273.13,0,1273.13,Tashbar Academy Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215746,1380,0,1380,Tashbar Academy Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,1600603562,660,110,550,The Hemming Group,Office of the Chief Executive,Recruitment Advert.
Salford City Council,2018-04-11,601215680,1236.75,0,1236.75,The Stables Day Nursery Limited,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215733,635.25,0,635.25,The Stables Day Nursery Monton,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215679,727.5,0,727.5,The Stables Day Nursery Monton,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215748,808.5,0,808.5,The Stables Day Nursery Monton,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215734,1250.7,0,1250.7,Toras Emes,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215750,1421.25,0,1421.25,Toras Emes,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215749,1591.8,0,1591.8,Toras Emes,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601214396,7875.49,1312.58,6562.91,Virgin Media Business,Service Reform,Telephones & Fax
Salford City Council,2018-04-11,1600603566,12000,2000,10000,Wakefield Council,Service Reform,Payts to Other LA's
Salford City Council,2018-04-11,601215735,625.35,0,625.35,Wasp Pre-School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,1600603560,572.56,95.43,477.13,Xma Ltd,Service Reform,Computer Equipment
Salford City Council,2018-04-11,1600603559,1145.11,190.85,954.26,Xma Ltd,"Community, Health & Social Care",Computer Equipment
Salford City Council,2018-04-11,601215736,577.5,0,577.5,Yogurt Pots Childcare Services,Children's Services,Pmnts Privt Provider
Salford City Council,2018-04-11,601215477,5000,0,5000,Zurich Municipal,Service Reform,Other Prof Fees
Salford City Council,2018-04-12,601214398,990,165,825,Axcis Education Recruitment,Children's Services,Agency Fees
Salford City Council,2018-04-12,1600601119,7674,1279,6395,Axd Environmental Ltd,Capital Expenditure,Capital Expenses
Salford City Council,2018-04-12,1600605473,4081.73,0,4081.73,Barnardos North West,Children's Services,Payts to Agencies
Salford City Council,2018-04-12,1600604392,598.8,99.8,499,Bilway Marine,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2018-04-12,rxfcveqtn,1829.58,0,1829.58,Birtwistle Butcher,Environment and Community Safety,Food and refreshments
Salford City Council,2018-04-12,jrltcjfnr,513.99,0.6,513.39,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-04-12,601214211,804.51,0,804.51,Bristow & Sutor,Service Reform,VAT Adjustment
Salford City Council,2018-04-12,601214768,1976.4,329.4,1647,Bristow & Sutor,Service Reform,Debt Recoveries Agen
Salford City Council,2018-04-12,601214209,10127.43,0,10127.43,Bristow & Sutor,Service Reform,VAT Adjustment
Salford City Council,2018-04-12,zqzfwycdr,2610.99,0,2610.99,Cheshire Food Services,Environment and Community Safety,Food and refreshments
Salford City Council,2018-04-12,1600603545,6216.89,1036.15,5180.74,Compass Minerals Uk Ltd,Environment and Community Safety,Materials
