Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,Description
Salford City Council,2011-11-07,601027635,1394.41,0.00,1394.41,Lift Able Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2011-11-07,601027643,849.79,0.00,849.79,Schofield & Sons,Sustainable Regeneration,Other Prof Fees
Salford City Council,2011-11-07,601027639,744.38,0.00,744.38,M Connor Builder & Repairers Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2011-11-07,601027637,700.96,0.00,700.96,Dlp Services Northern Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2011-11-07,601027652,642.25,0.00,642.25,Lift Able Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2011-11-07,1600425032,8523.76,1420.63,7103.13,Horticon Ltd,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2011-11-07,1600426015,9322.50,0.00,9322.50,Greater Manchester West,Community Health & Social Care,Payments to H A
Salford City Council,2011-11-07,601026959,722.00,0.00,722.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027469,799.00,0.00,799.00,Foster Cares Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601026961,824.36,0.00,824.36,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601026960,845.50,0.00,845.50,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027461,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601026962,860.70,0.00,860.70,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027134,931.90,0.00,931.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027474,2612.50,0.00,2612.50,Caritas,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027473,2741.25,0.00,2741.25,Caritas,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601025373,3000.00,0.00,3000.00,Child Action North West,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027484,3185.22,0.00,3185.22,Alpha Plus Fostering  Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601025372,3192.90,0.00,3192.90,Child Action North West,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027464,3192.90,0.00,3192.90,Child Action North West,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027483,3257.14,0.00,3257.14,Alpha Plus Fostering  Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027481,3424.28,0.00,3424.28,Alpha Plus Fostering  Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027482,3424.28,0.00,3424.28,Alpha Plus Fostering  Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601027463,4071.60,0.00,4071.60,Child Action North West,Children Services,Payts to Agencies
Salford City Council,2011-11-07,601025048,7152.00,0.00,7152.00,Autistic Society Gtr Manchester,Community Health & Social Care,Payts to Agencies
Salford City Council,2011-11-07,601025330,1450.00,0.00,1450.00,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2011-11-07,27640889,663.60,110.60,553.00,Indigo Lithoprint Ltd,Customer and Support Services,Printing & Photocopying
Salford City Council,2011-11-07,27641082,565.89,0.00,565.89,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2011-11-07,27641060,866.65,7.01,859.64,Brake Bros Ltd,Environment and Community Safety,Provisions
Salford City Council,2011-11-07,1600426634,1300.00,0.00,1300.00,Mds Mini Buses,Children Services,Pupil Assistance
Salford City Council,2011-11-07,1600424890,1680.00,0.00,1680.00,Mds Mini Buses,Children Services,Pupil Assistance
Salford City Council,2011-11-07,601027572,957.60,159.60,798.00,A V Service,Capital Expenditure,Purch of Comp Equip
Salford City Council,2011-11-07,1600425028,1614.00,269.00,1345.00,Mci Diventi Limited,Capital Expenditure,Purch of Comp Equip
Salford City Council,2011-11-07,1600426607,1656.53,276.09,1380.44,Bcl,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-11-07,1600426609,7326.57,1221.09,6105.48,Bcl,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-11-07,601027502,758.00,0.00,758.00,Progress Care Housing Association,Community Health & Social Care,Refunds
Salford City Council,2011-11-07,601027619,882.00,147.00,735.00,Bradshaw International Manchester,Sustainable Regeneration,Sampling
Salford City Council,2011-11-07,601027658,905.98,151.00,754.98,Advanced Security Systems,Children Services,Security Sys R & Mnt
Salford City Council,2011-11-07,1600425029,8640.00,1440.00,7200.00,Nextelcom Ltd,Sustainable Regeneration,Security/Equipment
Salford City Council,2011-11-07,1600426605,838.73,139.78,698.95,United Utilities,Environment and Community Safety,Servicing
Salford City Council,2011-11-07,601027520,2131.55,220.06,1911.49,The Fostering Network,Children Services,Subscriptions
Salford City Council,2011-11-07,1600426678,2880.00,480.00,2400.00,Trevor Roberts Associates Ltd,Customer and Support Services,Training expenses
Salford City Council,2011-11-07,601027508,550.80,91.80,459.00,New Lyle Contracts Cars Ltd,Community Health & Social Care,Transport
Salford City Council,2011-11-07,601027513,746.40,124.40,622.00,New Lyle Contracts Cars Ltd,Community Health & Social Care,Transport
Salford City Council,2011-11-07,601027501,1986.00,0.00,1986.00,Redacted Personal Data,Community Health & Social Care,Transport
Salford City Council,2011-11-07,601027569,2214.00,0.00,2214.00,Redacted Personal Data,Community Health & Social Care,Transport
Salford City Council,2011-11-07,601027557,3751.92,0.00,3751.92,Beacon Support Services,Customer and Support Services,VAT Adjustment
Salford City Council,2011-11-07,1600426643,883.04,147.17,735.87,F. R. Sharrock Limited,Capital Expenditure,Vehicle Related Expenditure
Salford City Council,2011-11-07,601027491,539.96,0.00,539.96,United Utilities Water Limited,Sustainable Regeneration,Water
Salford City Council,2011-11-07,601026014,2701.15,450.19,2250.96,Garfield Construction Limited,Capital Expenditure,Works & Building
Salford City Council,2011-11-07,601026096,62160.00,10360.00,51800.00,Schofield & Sons Ltd,Capital Expenditure,Works & Building
Salford City Council,2011-11-08,601027672,1515.00,252.50,1262.50,Randstad Education Limited,Children Services,Agency Fees
Salford City Council,2011-11-08,1600425587,1735.74,289.29,1446.45,G4S Cash Solutions Uk Ltd,Environment and Community Safety,Cash in Transit Serv
Salford City Council,2011-11-08,1600425635,1735.75,289.29,1446.46,G4S Cash Solutions Uk Ltd,Environment and Community Safety,Cash in Transit Serv
Salford City Council,2011-11-08,1600426447,1906.31,317.72,1588.59,Jws Waste & Recycling Systems Ltd,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-11-08,1600418229,10000.00,0.00,10000.00,Manchester City Council,Customer and Support Services,Consult/Contractors
Salford City Council,2011-11-08,1600419150,10000.00,0.00,10000.00,Manchester City Council,Customer and Support Services,Consult/Contractors
Salford City Council,2011-11-08,1600421190,10000.00,0.00,10000.00,Manchester City Council,Customer and Support Services,Consult/Contractors
Salford City Council,2011-11-08,1600423001,10000.00,0.00,10000.00,Manchester City Council,Customer and Support Services,Consult/Contractors
Salford City Council,2011-11-08,1600415757,10864.00,0.00,10864.00,Manchester City Council,Customer and Support Services,Consult/Contractors
Salford City Council,2011-11-08,601027207,1530.00,0.00,1530.00,Beth Yaakov Seminary For Girls,Community Health & Social Care,Day Care
Salford City Council,2011-11-08,1600425114,549.74,91.62,458.12,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-11-08,1600425511,625.20,104.20,521.00,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-11-08,1600425115,859.32,143.22,716.10,Micron Electrical Contracting Ltd,Children Services,Dev Servs Day to Day
Salford City Council,2011-11-08,1600425392,2005.20,334.20,1671.00,Micron Electrical Contracting Ltd,Children Services,Dev Servs Day to Day
Salford City Council,2011-11-08,601027691,2876.33,479.39,2396.94,N J Cook Removals & Storage,Capital Expenditure,Disturbance Payments
Salford City Council,2011-11-08,1600426797,7018.98,1169.83,5849.15,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Electricity
Salford City Council,2011-11-08,601027700,1755.00,292.50,1462.50,Normans Burton Upon Trent Ltd,Children Services,Gen Resaleable Items
Salford City Council,2011-11-08,27675725,4098.89,683.15,3415.74,Easylawnturf.Co.Uk,Community Health & Social Care,General Resaleable Items
Salford City Council,2011-11-08,601027785,1800.00,0.00,1800.00,Brook Penine,Children Services,Grants
Salford City Council,2011-11-08,601027787,8511.00,0.00,8511.00,The Bridgewater Canal Co. Ltd,Environment and Community Safety,Grants
Salford City Council,2011-11-08,601027750,10000.00,0.00,10000.00,St Sebastians Hall Account,Customer and Support Services,Grants
Salford City Council,2011-11-08,1600426504,1000.00,0.00,1000.00,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2011-11-08,1600425395,6000.00,0.00,6000.00,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2011-11-08,1600425394,7425.00,0.00,7425.00,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2011-11-08,1600425393,23707.75,0.00,23707.75,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2011-11-08,601027230,1235.00,0.00,1235.00,St Aidan'S P C C,Community Health & Social Care,Hire of Facilities
Salford City Council,2011-11-08,601028374,2572.85,0.00,2572.85,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-11-08,601028402,2621.27,0.00,2621.27,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-11-08,601028401,2903.60,0.00,2903.60,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-11-08,601028400,2903.60,0.00,2903.60,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-11-08,601028403,3626.32,0.00,3626.32,Redacted Personal Data,Capital Expenditure,Home Loss Payments,
Salford City Council,2011-11-08,601028406,3700.00,0.00,3700.00,Redacted Personal Data,Capital Expenditure,Home Loss Payments,
Salford City Council,2011-11-08,601028404,3700.00,0.00,3700.00,Redacted Personal Data,Capital Expenditure,Home Loss Payments,
Salford City Council,2011-11-08,601028405,3700.00,0.00,3700.00,Redacted Personal Data,Capital Expenditure,Home Loss Payments,
Salford City Council,2011-11-08,601028549,828.00,138.00,690.00,Redacted Personal Data,Customer and Support Services,Legal Fees,
Salford City Council,2011-11-08,601028571,2340.00,390.00,1950.00,Redacted Personal Data,Children Services,Legal Fees,
Salford City Council,2011-11-08,601027689,3060.00,510.00,2550.00,Redacted Personal Data,Children Services,Legal Fees,
Salford City Council,2011-11-08,601028558,4953.00,0.00,4953.00,Redacted Personal Data,Sustainable Regeneration,Legal Fees,
Salford City Council,2011-11-08,601028472,1594.96,265.83,1329.13,Experian Ltd,Customer and Support Services,Oth Office Expenses,
Salford City Council,2011-11-08,601027196,504.00,84.00,420.00,Cipfa Business Ltd,Sustainable Regeneration,Other Prof Fees,
Salford City Council,2011-11-08,1600425514,3300.00,0.00,3300.00,Front Room Theatre Company,Environment and Community Safety,Other Prof Fees,
Salford City Council,2011-11-08,601025551,25000.00,0.00,25000.00,Salford Nhs Primary Care Trust,Children Services,Payments to H A,
Salford City Council,2011-11-08,601028341,505.64,0.00,505.64,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027833,507.52,0.00,507.52,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028082,508.20,0.00,508.20,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027936,509.08,0.00,509.08,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028098,510.44,0.00,510.44,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027919,511.92,0.00,511.92,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028355,511.92,0.00,511.92,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027836,512.64,0.00,512.64,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027883,512.68,0.00,512.68,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027903,514.08,0.00,514.08,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027925,515.12,0.00,515.12,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028215,516.72,0.00,516.72,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028252,517.44,0.00,517.44,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028358,519.00,0.00,519.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028236,519.80,0.00,519.80,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028301,521.56,0.00,521.56,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028174,521.80,0.00,521.80,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028097,522.80,0.00,522.80,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028136,526.32,0.00,526.32,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028060,526.32,0.00,526.32,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028115,526.40,0.00,526.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028072,526.68,0.00,526.68,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028251,527.24,0.00,527.24,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027965,531.52,0.00,531.52,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027947,532.04,0.00,532.04,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027946,532.44,0.00,532.44,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028013,532.60,0.00,532.60,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028309,533.12,0.00,533.12,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027913,533.64,0.00,533.64,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028132,533.76,0.00,533.76,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028229,533.96,0.00,533.96,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028350,534.00,0.00,534.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027916,535.92,0.00,535.92,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027911,535.92,0.00,535.92,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028224,539.38,0.00,539.38,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028238,540.84,0.00,540.84,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028269,540.96,0.00,540.96,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028207,547.12,0.00,547.12,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028179,547.16,0.00,547.16,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027832,547.52,0.00,547.52,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028190,548.72,0.00,548.72,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028264,548.84,0.00,548.84,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028021,550.84,0.00,550.84,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028327,554.40,0.00,554.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028312,554.40,0.00,554.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027999,554.40,0.00,554.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028130,554.40,0.00,554.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027895,554.40,0.00,554.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028050,558.88,0.00,558.88,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028226,565.40,0.00,565.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028324,566.80,0.00,566.80,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028278,568.04,0.00,568.04,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028074,571.80,0.00,571.80,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028357,572.00,0.00,572.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028270,572.88,0.00,572.88,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028029,573.40,0.00,573.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028319,574.84,0.00,574.84,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028311,577.36,0.00,577.36,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028326,577.84,0.00,577.84,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027979,585.08,0.00,585.08,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028260,587.52,0.00,587.52,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027928,589.16,0.00,589.16,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027950,589.92,0.00,589.92,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027870,590.36,0.00,590.36,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028163,590.48,0.00,590.48,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027989,591.12,0.00,591.12,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028200,591.36,0.00,591.36,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028296,594.00,0.00,594.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028019,597.96,0.00,597.96,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028283,598.68,0.00,598.68,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028227,599.96,0.00,599.96,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028216,601.32,0.00,601.32,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027954,602.48,0.00,602.48,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028009,602.96,0.00,602.96,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028248,603.68,0.00,603.68,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028004,611.32,0.00,611.32,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027948,612.00,0.00,612.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027869,613.92,0.00,613.92,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027990,615.36,0.00,615.36,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027876,618.24,0.00,618.24,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028214,618.56,0.00,618.56,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027856,621.76,0.00,621.76,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027817,628.32,0.00,628.32,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028178,629.48,0.00,629.48,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028219,633.36,0.00,633.36,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027939,635.04,0.00,635.04,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028089,636.48,0.00,636.48,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028045,636.48,0.00,636.48,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028275,639.60,0.00,639.60,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028018,641.60,0.00,641.60,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028239,643.12,0.00,643.12,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028000,644.04,0.00,644.04,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027864,644.24,0.00,644.24,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027857,644.64,0.00,644.64,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028259,647.44,0.00,647.44,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028265,648.00,0.00,648.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027973,648.20,0.00,648.20,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028031,654.48,0.00,654.48,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028063,656.00,0.00,656.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028012,656.04,0.00,656.04,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027820,659.36,0.00,659.36,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028103,660.08,0.00,660.08,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028201,668.40,0.00,668.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028213,671.84,0.00,671.84,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028352,672.00,0.00,672.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028128,674.52,0.00,674.52,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028106,674.52,0.00,674.52,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028196,678.40,0.00,678.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027964,683.76,0.00,683.76,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028249,684.12,0.00,684.12,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028247,690.40,0.00,690.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028348,697.52,0.00,697.52,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027818,697.64,0.00,697.64,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028131,701.32,0.00,701.32,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027943,703.04,0.00,703.04,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601027926,704.60,0.00,704.60,Redacted Personal Data,Community Health & Social Care,Payt to care clients,
Salford City Council,2011-11-08,601028246,707.16,0.00,707.16,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028156,708.44,0.00,708.44,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028020,708.48,0.00,708.48,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027868,708.96,0.00,708.96,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027938,709.68,0.00,709.68,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028262,710.96,0.00,710.96,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028027,713.32,0.00,713.32,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027821,713.92,0.00,713.92,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028108,716.16,0.00,716.16,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027859,720.72,0.00,720.72,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028172,721.04,0.00,721.04,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027839,727.08,0.00,727.08,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028316,729.40,0.00,729.40,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027810,729.96,0.00,729.96,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028241,729.96,0.00,729.96,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028055,733.00,0.00,733.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027902,734.84,0.00,734.84,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028331,736.00,0.00,736.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027854,736.16,0.00,736.16,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027890,739.20,0.00,739.20,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027924,740.36,0.00,740.36,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028258,741.48,0.00,741.48,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028290,747.60,0.00,747.60,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027977,749.12,0.00,749.12,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027892,753.00,0.00,753.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601027915,757.00,0.00,757.00,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-08,601028084,760.32,0.00,760.32,Redacted Personal Data,Community Health & Social Care,Payt to care clients
