Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,description
Salford City Council,2015-04-08,601139120,5100,0,5100,Little Acorns Day Nursery,Children's Services,Grants
Salford City Council,2015-04-08,601139152,4000,0,4000,Little Explorers,Children's Services,Grants
Salford City Council,2015-04-08,601139122,11200,0,11200,Little Explorers Day Nursery,Children's Services,Grants
Salford City Council,2015-04-08,601139121,7000,0,7000,Little Explorers Eccles,Children's Services,Grants
Salford City Council,2015-04-08,601139153,7900,0,7900,Little Gems Private Day Nursery,Children's Services,Grants
Salford City Council,2015-04-08,601139154,3900,0,3900,Little Learners,Children's Services,Grants
Salford City Council,2015-04-08,601139123,12600,0,12600,Little People Day Nursery,Children's Services,Grants
Salford City Council,2015-04-08,601139124,3500,0,3500,Magical Moments Ltd,Children's Services,Grants
Salford City Council,2015-04-08,601139254,522.01,78.88,443.13,Mainline Wholesalers Limited,Environment and Community Safety,Provisions
Salford City Council,2015-04-08,1600532760,903.31,150.55,752.76,Manchester City Council,Sustainable Regeneration,Marketing/Publicity
Salford City Council,2015-04-08,1600532251,32214.63,1055.97,31158.66,Manchester City Council,Customer and Support Services,Legal Fees
Salford City Council,2015-04-08,601139171,17600,0,17600,Manchester Jnr Girls School,Children's Services,Grants
Salford City Council,2015-04-08,1600533284,29048.75,4841.46,24207.29,Manchester Ship Canal Company,Sustainable Regeneration,Principal Road Maint
Salford City Council,2015-04-08,601139181,21100,0,21100,Marlborough Road Academy,Children's Services,Grants
Salford City Council,2015-04-08,1600533246,1377,229.5,1147.5,Metric Group Limited,Sustainable Regeneration,Prog Maint & Works
Salford City Council,2015-04-08,601139155,2100,0,2100,Mice To Meet You Playgroup Ltd,Children's Services,Grants
Salford City Council,2015-04-08,601139295,1500,0,1500,Mojo,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139156,5600,0,5600,Mojo,Children's Services,Grants
Salford City Council,2015-04-08,601139285,2100,0,2100,Monton Village School Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139172,19800,0,19800,Monton Village School Ltd,Children's Services,Grants
Salford City Council,2015-04-08,601139185,600,0,600,Munchkin Minders,Children's Services,Grants
Salford City Council,2015-04-08,601139286,1538.95,0,1538.95,Munchkins & Baby Munchkins  Nursery,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,1600533275,525,0,525,Myerscough College,Customer and Support Services,Payts to Agencies
Salford City Council,2015-04-08,1600532255,833.34,0,833.34,Nisai Virtual Academy Ltd,Children's Services,Pupil Assistance
Salford City Council,2015-04-08,601139126,7100,0,7100,Nutkins Play & Learn Centre,Children's Services,Grants
Salford City Council,2015-04-08,601139287,898.12,0,898.12,Oaklands Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139127,10800,0,10800,Oaklands Day Nursery,Children's Services,Grants
Salford City Council,2015-04-08,601139173,5800,0,5800,Oyy Lubavitch Girls School,Children's Services,Grants
Salford City Council,2015-04-08,601139157,4200,0,4200,Playtime Playgroup,Children's Services,Grants
Salford City Council,2015-04-08,601139288,3600,0,3600,Pomegranate,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139128,4600,0,4600,Pomegranate,Children's Services,Grants
Salford City Council,2015-04-08,601139125,7500,0,7500,Precious Little Ones Ltd,Children's Services,Grants
Salford City Council,2015-04-08,601139129,2800,0,2800,Primrose Hill Private Day,Children's Services,Grants
Salford City Council,2015-04-08,1600533271,3996,666,3330,Print On Solutions Ltd (North West),Customer and Support Services,Postage
Salford City Council,2015-04-08,1600532311,1753.97,292.33,1461.64,Prism Medical Uk,"Community, Health & Social Care",Equipment-special
Salford City Council,2015-04-08,1600532310,1887.64,314.61,1573.03,Prism Medical Uk,"Community, Health & Social Care",Equipment-special
Salford City Council,2015-04-08,1600532312,980.58,163.43,817.15,R H Smith Engineering Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2015-04-08,1600532314,996,166,830,R H Smith Engineering Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2015-04-08,601139130,14600,0,14600,Rainbows Nursery,Children's Services,Grants
Salford City Council,2015-04-08,601139191,600,0,600,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139197,600,0,600,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139206,600,0,600,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139208,600,0,600,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139182,600,0,600,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139183,600,0,600,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139221,600,0,600,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139193,900,0,900,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139212,900,0,900,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139198,1000,0,1000,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139186,1000,0,1000,Redacted Data,Children's Services,Grants
Salford City Council,2015-04-08,601139158,3900,0,3900,Rug Rats Playgroup,Children's Services,Grants
Salford City Council,2015-04-08,1600531354,2090,348.33,1741.67,Safe & Secure (Uk) Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2015-04-08,601139160,9100,0,9100,Scalywags Playgroup,Children's Services,Grants
Salford City Council,2015-04-08,1600533267,545.65,90.94,454.71,Specialist Computer Centres Plc,Children's Services,Computer Equipment
Salford City Council,2015-04-08,1600533270,545.65,90.94,454.71,Specialist Computer Centres Plc,Children's Services,Computer Equipment
Salford City Council,2015-04-08,1600533269,2225.77,370.96,1854.81,Specialist Computer Centres Plc,Customer and Support Services,Computer Equipment
Salford City Council,2015-04-08,1600533268,5025.97,837.66,4188.31,Specialist Computer Centres Plc,Customer and Support Services,Computer Equipment
Salford City Council,2015-04-08,601139294,1236.75,0,1236.75,St Ambrose Young Families,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139159,1700,0,1700,St Ambrose Young Families,Children's Services,Grants
Salford City Council,2015-04-08,601139161,7900,0,7900,St Lukes Pre-School Playgroup,Children's Services,Grants
Salford City Council,2015-04-08,601139289,1999.96,0,1999.96,St Pauls Peel Playgroup Fund,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139162,3900,0,3900,St Pauls Peel Playgroup Fund,Children's Services,Grants
Salford City Council,2015-04-08,601139290,2943.75,0,2943.75,Sylvan Court Day Nursery Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139131,13300,0,13300,Sylvan Court Day Nursery Ltd,Children's Services,Grants
Salford City Council,2015-04-08,601139174,15500,0,15500,Talmud Torah Chinuch N'Orim,Children's Services,Grants
Salford City Council,2015-04-08,601139176,24800,0,24800,Talmund Torah Yetev Lev Limited,Children's Services,Grants
Salford City Council,2015-04-08,601139291,2134.05,0,2134.05,Tashbar Academy Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139175,24900,0,24900,Tashbar Academy Ltd,Children's Services,Grants
Salford City Council,2015-04-08,601139263,545.94,90.99,454.95,Teaching Personnel Ltd,Children's Services,Supply Teach-Basic
Salford City Council,2015-04-08,601139243,966,0,966,The Hawthorn Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-08,601139132,9800,0,9800,The Manse Day Nursery,Children's Services,Grants
Salford City Council,2015-04-08,601138907,578.58,0,578.58,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601137665,2732,0,2732,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139260,4750,0,4750,The Salfordian Trust,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2015-04-08,601139133,10300,0,10300,The Stables Day Nursery Limited,Children's Services,Grants
Salford City Council,2015-04-08,601139178,18000,0,18000,Tiferes ( The New Girls School ),Children's Services,Grants
Salford City Council,2015-04-08,601139163,3600,0,3600,Tinytots Vision Ltd,Children's Services,Grants
Salford City Council,2015-04-08,601139134,6800,0,6800,Tinytots Vision Ltd,Children's Services,Grants
Salford City Council,2015-04-08,601139135,7300,0,7300,Tinytots Vision Ltd,Children's Services,Grants
Salford City Council,2015-04-08,1600531697,10690.03,0,10690.03,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2015-04-08,1600531699,10690.03,0,10690.03,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2015-04-08,1600533247,12888.23,0,12888.23,Together Trust,Children's Services,Pupil Assistance
Salford City Council,2015-04-08,601139136,14400,0,14400,Toras Emes,Children's Services,Grants
Salford City Council,2015-04-08,601139305,956.5,0,956.5,Treasures Child Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139137,13100,0,13100,Unicorn Nursery,Children's Services,Grants
Salford City Council,2015-04-08,601139097,13200,0,13200,University Of Salford Busy Bees,Children's Services,Grants
Salford City Council,2015-04-08,601139292,2957,0,2957,Westwood Smarties,Children's Services,Payts to Agencies
Salford City Council,2015-04-08,601139164,6100,0,6100,Westwood Smarties,Children's Services,Grants
Salford City Council,2015-04-08,601139238,840,0,840,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-08,601139241,840,0,840,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-08,601139237,930,0,930,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-08,601139138,13300,0,13300,Wow Kids Ltd T/A Bright Futures,Children's Services,Grants
Salford City Council,2015-04-08,601139139,16200,0,16200,Xl Childcare,Children's Services,Grants
Salford City Council,2015-04-08,601139140,2500,0,2500,Yogurt Pots Childcare Services,Children's Services,Grants
Salford City Council,2015-04-08,601139293,3573.25,0,3573.25,Yogurt Pots Childcare Services,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,601139407,3770,0,3770,Aim Habonim,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600532414,710.7,118.45,592.25,Alliance Disposables Ltd,Sustainable Regeneration,Cleaning Materials
Salford City Council,2015-04-09,601139481,17000,0,17000,Arthur Mcqueen T/A Bargain Booze,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139404,10000,0,10000,Ask Enterprise Limited,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139408,4000,0,4000,Auntie Stephs Playgroup,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139410,4000,0,4000,Big Steps Playgroup,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139508,828,138,690,Blackline Private Hire,"Community, Health & Social Care",Travel & Subsistence
Salford City Council,2015-04-09,601139411,596,0,596,Bnos Yisroel Schools Manchester Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139497,750,0,750,Bolshaw Primary School,Children's Services,Pupil Assistance
Salford City Council,2015-04-09,1600531556,19928.57,0,19928.57,Branas Isaf,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,1600531557,19928.57,0,19928.57,Branas Isaf,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,601139471,624,0,624,Budding Wood Day Nursery,Children's Services,Grants
Salford City Council,2015-04-09,601139412,4000,0,4000,Budding Wood Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139340,2989.33,0,2989.33,Cambian Childcare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,601139341,6600,0,6600,Cambian Childcare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,1600533218,630.45,30.02,600.43,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2015-04-09,1600533449,38754.28,6459.05,32295.23,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2015-04-09,601139413,1300,0,1300,Caterpillar Corner,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139375,3600,600,3000,Citizens Advice Bureau,Customer and Support Services,Consult/Contractors
Salford City Council,2015-04-09,601139414,4000,0,4000,Claremont Neighbourhood Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600533060,2460.14,410.02,2050.12,Community Forest Trust Ltd,Sustainable Regeneration,Oth Office Expenses
Salford City Council,2015-04-09,1600533059,3969.94,661.65,3308.29,Community Forest Trust Ltd,Sustainable Regeneration,Oth Office Expenses
Salford City Council,2015-04-09,601139510,702.14,0,702.14,Community Integrated Care,"Community, Health & Social Care",Resid Care Home
Salford City Council,2015-04-09,601139509,1492.06,0,1492.06,Community Integrated Care,"Community, Health & Social Care",Resid Care Home
Salford City Council,2015-04-09,601139511,3422.97,0,3422.97,Community Integrated Care,"Community, Health & Social Care",Resid Care Home
Salford City Council,2015-04-09,601139354,168817.18,27104.74,141712.44,Corona Energy,Capital Expenditure,Gas
Salford City Council,2015-04-09,601139480,10000,0,10000,Daniel Christian Moore,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139335,5321,0,5321,David Lewis Centre,"Community, Health & Social Care",Resid Care Home
Salford City Council,2015-04-09,1600533297,926.4,154.4,772,Redacted Data,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2015-04-09,1600531872,26000,0,26000,Disabled Living,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-09,601139395,10000,0,10000,Dw & Nh Hebden,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139415,3998.35,0,3998.35,Early Learning Childcare,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600531947,752.52,125.42,627.1,Eduzone Ltd,Children's Services,Class Supplies Capit
Salford City Council,2015-04-09,601139416,4000,0,4000,Evergreen Childrens Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600532184,639.82,106.62,533.2,F. R. Sharrock Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-04-09,601139515,1620,270,1350,Facultatieve Technologies Ltd,Environment and Community Safety,Prog Maint & Works
Salford City Council,2015-04-09,601139417,3997.98,0,3997.98,Fledglings Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139418,3997.98,0,3997.98,Fledglings Day Nursery Worsley,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139419,3540,0,3540,Flutterbies Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139428,4000,0,4000,Folly Brook Nursery Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139487,3817,0,3817,Fun4All Cic,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139420,4000,0,4000,Happy Feet Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139421,4000,0,4000,Holly House Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139422,4000,0,4000,Holy Angels Playgroup,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139426,4000,0,4000,Holyrood Day Nursery (Swinton),Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139423,4000,0,4000,Holyrood Day Nursery Salford,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139425,4000,0,4000,Holyrood Nursery - Mediacityuk,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139424,1050,0,1050,Holyrood Nursery (Hope),Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600531985,6160,0,6160,Inspire Childrens Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,1600532635,1740,0,1740,Inspire Training & Education Servic,Children's Services,Non-Maint Spec Schls
Salford City Council,2015-04-09,601139517,5745.25,0,5745.25,Inspiring Communities Together,Sustainable Regeneration,Grants
Salford City Council,2015-04-09,601139427,1900,0,1900,Kids Planet Day Nurseries Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600531537,693,0,693,Kidz R Us The Lodge,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,1600531840,2333.32,0,2333.32,King David Primary School,Children's Services,Payts to Other LA's
Salford City Council,2015-04-09,601139429,4000,0,4000,Ladybird Private Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139484,972,0,972,Lamas Thermaclad Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,1600531841,518,0,518,Lancashire County Council,Children's Services,Training expenses
Salford City Council,2015-04-09,601139505,875.6,0,875.6,Lifeways Community Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-09,601139506,1472.6,0,1472.6,Lifeways Community Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-09,601139507,1472.6,0,1472.6,Lifeways Community Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-09,601139403,10000,0,10000,Lionview Estates Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139431,3905,0,3905,Little Explorers,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139432,3860,0,3860,Little Explorers Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139430,3944.7,0,3944.7,Little Explorers Eccles,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139433,4000,0,4000,Little Gems Private Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139434,4000,0,4000,Little Learners,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139435,2300,0,2300,Magical Moments Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139363,548.83,86.47,462.36,Mainline Wholesalers Limited,Environment and Community Safety,Provisions
Salford City Council,2015-04-09,601139409,4000,0,4000,Manchester Jnr Girls School,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601138136,900,0,900,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2015-04-09,1600532592,2000,0,2000,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2015-04-09,601139436,4000,0,4000,Mice To Meet You Playgroup Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139390,10000,0,10000,Mishantha Lochana Liyanage,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139437,3978.37,0,3978.37,Mojo,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139438,3998.89,0,3998.89,Monton Village School Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139439,3850,0,3850,Munchkins & Baby Munchkins  Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139468,780,0,780,Oaklands Day Nursery,Children's Services,Grants
Salford City Council,2015-04-09,601139440,3692.37,0,3692.37,Oaklands Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139406,740,0,740,Paypoint Plc,Sustainable Regeneration,Provisions
Salford City Council,2015-04-09,601139441,4000,0,4000,Pomegranate,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600532329,773.04,128.84,644.2,Prism Medical Uk,"Community, Health & Social Care",Equipment-special
Salford City Council,2015-04-09,601139442,3885,0,3885,Rainbows Neighourhood Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139405,623.43,0,623.43,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2015-04-09,601139386,630,0,630,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2015-04-09,1600533435,647.4,107.9,539.5,Redacted Data,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-04-09,601139333,971.5,0,971.5,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2015-04-09,601139385,2000,0,2000,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2015-04-09,601139381,7300,0,7300,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2015-04-09,601139482,8000,0,8000,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139465,8498.49,0,8498.49,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139456,9579.2,0,9579.2,Redacted Data,Environment and Community Safety,Refunds
Salford City Council,2015-04-09,601139483,10000,0,10000,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139462,10000,0,10000,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139396,10000,0,10000,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139397,10000,0,10000,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139479,10000,0,10000,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139382,10000,0,10000,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139461,12750,0,12750,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139383,12750,0,12750,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139463,25500,0,25500,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139464,42500,0,42500,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139460,1942.37,0,1942.37,Rsa Motability,Customer and Support Services,Liability Insurance
Salford City Council,2015-04-09,1600533429,550,0,550,Salford Community & Voluntary Servi,Customer and Support Services,Other Prof Fees
Salford City Council,2015-04-09,601139323,1310,0,1310,Salford Community Leisure Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2015-04-09,601139443,4000,0,4000,Scalywags Playgroup,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139353,71343.26,10872.22,60471.04,Southern Electric,Capital Expenditure,Electricity
Salford City Council,2015-04-09,601139444,3150,0,3150,St Lukes Pre-School Playgroup,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139445,4000,0,4000,Sylvan Court Day Nursery Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139494,1381.2,230.2,1151,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2015-04-09,601139447,3960,0,3960,The Manse Day Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600531636,2988.4,0,2988.4,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,1600531671,3107.44,0,3107.44,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,1600531701,3107.44,0,3107.44,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,1600531670,3167.27,0,3167.27,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,601139334,3042.64,0,3042.64,The Ormerod Home Trust Limited,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2015-04-09,601139448,4000,0,4000,The Stables Day Nursery Limited,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600532344,11061.29,1843.55,9217.74,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2015-04-09,1600532345,14370.88,2395.15,11975.73,Thyssenkrupp Encasa Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2015-04-09,601139449,4000,0,4000,Tinytots Vision Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139450,4000,0,4000,Tinytots Vision Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139451,4000,0,4000,Tinytots Vision Ltd,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139339,2672.48,0,2672.48,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2015-04-09,601139389,10000,0,10000,Tropic Properties Limited,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-09,601139452,4000,0,4000,Unicorn Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,1600533359,5094,849,4245,Universal Container Services Ltd,"Community, Health & Social Care",Equipment Purchase
Salford City Council,2015-04-09,601139488,1137.41,189.57,947.84,Virgin Media Business,Customer and Support Services,Broadband services
Salford City Council,2015-04-09,601139489,9037.19,1506.21,7530.98,Virgin Media Business,Customer and Support Services,Telephones & Fax
Salford City Council,2015-04-09,601139453,3500,0,3500,Westwood Smarties,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601138639,840,0,840,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-09,601138640,840,0,840,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-09,601138641,840,0,840,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-09,601138642,840,0,840,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-09,601139235,930,0,930,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-09,601139454,4000,0,4000,Wow Kids Ltd T/A Bright Futures,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,601139455,3965.01,0,3965.01,Xl Childcare,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-09,gtzhwayng,652.5,0,652.5,Www.Dvla.Gov.Uk,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-04-09,fgvxcyfyb,652.5,0,652.5,Www.Dvla.Gov.Uk,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-04-10,601139529,864,144,720,A  Venning Ltd,Children's Services,Equipment Repair
Salford City Council,2015-04-10,1600531826,50498,0,50498,Acorn Care & Education Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2015-04-10,1600531828,50498,0,50498,Acorn Care & Education Ltd,"Community, Health & Social Care",Resid Care Home
Salford City Council,2015-04-10,1600532367,600,100,500,Aidapt Bathrooms Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-10,1600532253,858,143,715,Alere Ltd,"Community, Health & Social Care",Equipment Purchase
Salford City Council,2015-04-10,1600532400,2016,336,1680,Azure Support Services Ltd,Children's Services,Hire of Facilities
Salford City Council,2015-04-10,1600532050,266112,44352,221760,Big Life Enterprises,Customer and Support Services,Payts to Agencies
Salford City Council,2015-04-10,1600531741,1050,0,1050,Capita Symonds (City West Payments),Sustainable Regeneration,Rents
Salford City Council,2015-04-10,1600533630,4164.18,694.03,3470.15,Central Diesel,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-04-10,1600531963,7430,0,7430,Chatsworth High School,Children's Services,Payts to Agencies
Salford City Council,2015-04-10,1600532606,7430,0,7430,Chatsworth High School,Children's Services,Payts to Agencies
Salford City Council,2015-04-10,1600531981,3786.34,0,3786.34,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2015-04-10,1600531982,4782.99,0,4782.99,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2015-04-10,6001765597,3996,0,3996,Cic,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2015-04-10,601139540,78961.25,13160,65801.25,Citizens Advice Bureau,"Community, Health & Social Care",Grants
Salford City Council,2015-04-10,601139169,17800,0,17800,Clarendon Cottage School,Children's Services,Grants
Salford City Council,2015-04-10,601139535,1745.4,0,1745.4,Community Integrated Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-10,1600532393,564,94,470,Concordia Education & Training Llp,Children's Services,Training of Others
Salford City Council,2015-04-10,601139446,3694.65,0,3694.65,Cottage Nursery,Children's Services,Children Act-Sect 23
Salford City Council,2015-04-10,601139177,6800,0,6800,Cottage Nursery,Children's Services,Grants
Salford City Council,2015-04-10,1600532630,870,0,870,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2015-04-10,1600532617,1202.29,0,1202.29,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2015-04-10,1600532624,1493.5,0,1493.5,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2015-04-10,1600531989,2822.4,0,2822.4,Cross Roads Care,Children's Services,Payts to Agencies
Salford City Council,2015-04-10,1600532407,639.6,106.6,533,Direct Healthcare Services Ltd,"Community, Health & Social Care",Disability Equipment
