Strategic Group,Spend Level 1,Spend Level 2,TransNo,Seq no,Period,Supplier Text,Amount,Updated
Community Based Services,Third Party Payments,Third Party Payments,60040378,431,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,432,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,433,201010,DURHAM AGED MINEWORKERS HOMES ASS,131.82,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,434,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,445,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,446,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,447,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,448,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,449,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,450,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,451,201010,DURHAM AGED MINEWORKERS HOMES ASS,2.41,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,452,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,453,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,454,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,455,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,456,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,457,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,458,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,459,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040378,460,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040379,882,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,884,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,885,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,886,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,887,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,888,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,889,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,890,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,891,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,892,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,893,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,894,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,895,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,896,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,897,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,898,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,903,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,904,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,905,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,906,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,907,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,908,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,909,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,910,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,911,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,912,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,913,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,914,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,915,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,916,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,917,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,918,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,923,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,924,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,926,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,927,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,928,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,929,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,930,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,931,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,932,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,933,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,934,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,935,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,936,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,937,201010,DURHAM AGED MINEWORKERS HOMES ASS,13.52,2011-01-31
Community Based Services,Other Costs,,42203093,2,201010,DYSON INSULATION LTD,737.68,2011-01-21
Community Based Services,Other Costs,,42203097,2,201010,DYSON INSULATION LTD,31870.64,2011-01-21
Community Based Services,Premises,Rep & Maint,42201270,2,201010,E ON,643.57,2011-01-14
Community Based Services,Premises,Energy,42201358,2,201010,E ON,416.8,2011-01-14
Community Based Services,Premises,Energy,42202915,2,201010,E ON,600.32,2011-01-21
Community Based Services,Works,,42199867,2,201010,EASIBATHE LTD/EASIACCESS SOLUTIONS,1595.47,2011-01-12
Community Based Services,Other Costs,,42202002,2,201010,EASIBATHE LTD/EASIACCESS SOLUTIONS,2751.13,2011-01-24
Community Based Services,Other Costs,,42204435,2,201010,EASIBATHE LTD/EASIACCESS SOLUTIONS,2724.76,2011-01-26
Community Based Services,Works,,42204896,2,201010,EASIBATHE LTD/EASIACCESS SOLUTIONS,572.73,2011-01-27
Community Based Services,Works,,43605370,2,201010,EASIBATHE LTD/EASIACCESS SOLUTIONS,1002.74,2011-01-24
Community Based Services,Works,,43605460,2,201010,EASIBATHE LTD/EASIACCESS SOLUTIONS,898.72,2011-01-25
Community Based Services,Works,,43606424,2,201010,EASIBATHE LTD/EASIACCESS SOLUTIONS,1654.41,2011-01-28
Community Based Services,Premises,Energy,42202909,2,201010,EDF ENERGY,561.68,2011-01-21
Community Based Services,Premises,Energy,42203933,2,201010,EDF ENERGY,583.87,2011-01-25
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42201851,2,201010,ELLEN HENDERSON CULTURE SOLUTIONS,535,2011-01-18
Community Based Services,Other Costs,,42200582,2,201010,ELLIOT HIRD & PARTNERS LTD,2820,2011-01-12
Community Based Services,Other Costs,,42200814,2,201010,ELLIOT HIRD & PARTNERS LTD,2650,2011-01-13
Community Based Services,Other Costs,,42201706,2,201010,ELLIOT HIRD & PARTNERS LTD,2330,2011-01-24
Community Based Services,Other Costs,,42202197,2,201010,ELLIOT HIRD & PARTNERS LTD,2770,2011-01-24
Community Based Services,Third Party Payments,Third Party Payments,42199289,3,201010,ELPHA LODGE LTD,2938.64,2011-01-10
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,42199289,4,201010,ELPHA LODGE LTD,343.52,2011-01-10
Community Based Services,Supplies and Services,Miscellaneous Supplies,43601894,2,201010,ELVEDEN FARMS LTD,720,2011-01-04
Community Based Services,Supplies and Services,Miscellaneous Supplies,43601895,2,201010,ELVEDEN FARMS LTD,2005,2011-01-04
Community Based Services,Third Party Payments,Third Party Payments,60040378,593,201010,ENTERPRISE 5 HOUSING ASSOC,2726.77,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60040379,117,201010,ENTERPRISE 5 HOUSING ASSOC,2726.76,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60040379,233,201010,ENTERPRISE 5 HOUSING ASSOC,2726.77,2011-01-31
Community Based Services,Third Party Payments,Third Party Payments,60020130,846,201010,EPWORTH RESIDENTIAL HOME,1660,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,55,201010,EPWORTH RESIDENTIAL HOME,441.2,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,42199784,2,201010,ESPA LTD,9457.68,2011-01-12
Community Based Services,Third Party Payments,Third Party Payments,42199787,4,201010,ESPA LTD,6333.08,2011-01-12
Community Based Services,Third Party Payments,Third Party Payments,42199787,3,201010,ESPA LTD,6333.08,2011-01-12
Community Based Services,Third Party Payments,Third Party Payments,42200200,2,201010,ESPA LTD,8958.89,2011-01-12
Community Based Services,Supplies and Services,"Printing, Stationery etc",42199137,2,201010,ESSENTIAL IMAGE MARKETING LTD,534,2011-01-12
Community Based Services,Third Party Payments,Third Party Payments,60020130,429,201010,EUROPEAN CARE (UK) LTD-D/COTE,12474.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,431,201010,EUROPEAN CARE (UK) LTD-D/COTE,13371.16,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,432,201010,EUROPEAN CARE (UK) LTD-D/COTE,1720,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,433,201010,EUROPEAN CARE (UK) LTD-D/COTE,1720,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,434,201010,EUROPEAN CARE (UK) LTD-D/COTE,1720,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,60,201010,EUROPEAN CARE (UK) LTD-D/COTE,3295.88,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,62,201010,EUROPEAN CARE (UK) LTD-D/COTE,3084.97,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,115,201010,EUROPEAN CARE (UK) LTD-D/COTE,482.56,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,116,201010,EUROPEAN CARE (UK) LTD-D/COTE,507.12,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,117,201010,EUROPEAN CARE (UK) LTD-D/COTE,569.84,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,422,201010,EUROPEAN CARE (UK) LTD-D/COTE,1792,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,427,201010,EUROPEAN CARE (UK) LTD-D/COTE,5810.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,428,201010,EUROPEAN CARE (UK) LTD-D/COTE,8960,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,20,201010,EUROPEAN CARE (UK) LTD-D/COTE,1239.4,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,59,201010,EUROPEAN CARE (UK) LTD-D/COTE,2708.74,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,68,201010,EUROPEAN CARE (UK) LTD-D/COTE,586.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,381,201010,EUROPEAN CARE (UK) LTD-D/COTE,2174,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,388,201010,EUROPEAN CARE (UK) LTD-D/COTE,2707.18,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,426,201010,EUROPEAN CARE (UK) LTD-D/COTE,1033.2,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,505,201010,EUROPEAN CARE (UK) LTD-D/COTE,434.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,506,201010,EUROPEAN CARE (UK) LTD-D/COTE,2034.24,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,507,201010,EUROPEAN CARE (UK) LTD-D/COTE,8160.82,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,508,201010,EUROPEAN CARE (UK) LTD-D/COTE,2066.4,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,387,201010,EUROPEAN CARE (UK) LTD-D/COTE,1720,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,21,201010,EUROPEAN CARE (UK) LTD-D/COTE,575,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,386,201010,EUROPEAN CARE (UK) LTD-D/COTE,1792,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,22,201010,EUROPEAN CARE (UK) LTD-D/COTE,121.7,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,510,201010,EUROPEAN CARE (UK) LTD-D/COTE,1720,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,514,201010,EUROPEAN CARE (UK) LTD-D/COTE,1720,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,529,201010,EUROPEAN CARE (UK) LTD-D/COTE,3440,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,18,201010,EUROPEAN CARE (UK) LTD-D/COTE,750.44,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,23,201010,EUROPEAN CARE (UK) LTD-D/COTE,441.2,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,24,201010,EUROPEAN CARE (UK) LTD-D/COTE,929.36,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,533,201010,EUROPEAN CARE (UK) LTD-D/COTE,5291.94,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,534,201010,EUROPEAN CARE (UK) LTD-D/COTE,20928,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,25,201010,EUROPEAN CARE (UK) LTD-D/COTE,6014.44,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,27,201010,EUROPEAN CARE (UK) LTD-D/COTE,2741.28,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,852,201010,EUROPEAN CARE ENGLAND LTD- STANLEY BURN,1798.4,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,1058,201010,EUROPEAN CARE ENGLAND LTD- STANLEY BURN,441.2,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,879,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,1660,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,883,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,1660,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,885,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,1616.74,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,1061,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,462.2,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,1062,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,685.44,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,884,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,434.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,876,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,3320,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,886,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,1660,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,1059,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,939.6,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,1060,201010,EUROPEAN CARE ENGLAND LTD T/A PICKERING LODGE,537.68,2011-01-05
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43602564,2,201010,EVAC CHAIR INTERNATIONAL LTD,1949.25,2011-01-07
Community Based Services,Third Party Payments,Third Party Payments,60020130,622,201010,FAIRWAYS,11630.84,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,623,201010,FAIRWAYS,8153.4,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,1130,201010,FAIRWAYS,853.8,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,1131,201010,FAIRWAYS,853.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,821,201010,FELL HOUSE,5162.22,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,823,201010,FELL HOUSE,9960,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,824,201010,FELL HOUSE,3320,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,825,201010,FELL HOUSE,2085.2,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,832,201010,FELL HOUSE,1660,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,56,201010,FELL HOUSE,550.71,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,57,201010,FELL HOUSE,598.28,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,58,201010,FELL HOUSE,2190.12,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,843,201010,FELL HOUSE,1724,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,53,201010,FELL HOUSE,455.84,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,806,201010,FELL HOUSE,1067.14,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,51,201010,FELL HOUSE,97.36,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,804,201010,FELL HOUSE,6640,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,805,201010,FELL HOUSE,1660,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,814,201010,FELL HOUSE,1660,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,37,201010,FELL HOUSE,2603.96,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,43,201010,FELL HOUSE,441.2,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,50,201010,FELL HOUSE,548.6,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,517,201010,FELLINGATE CARE CENTRE LTD,1118.29,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,518,201010,FELLINGATE CARE CENTRE LTD,6210.28,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,527,201010,FELLINGATE CARE CENTRE LTD,1672,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,28,201010,FELLINGATE CARE CENTRE LTD,584.08,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,29,201010,FELLINGATE CARE CENTRE LTD,1124.22,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,513,201010,FELLINGATE CARE CENTRE LTD,776.29,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,969,201010,FERNCROSS,1684,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,213,201010,FERNCROSS,1264.36,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,866,201010,FORESIGHT RESIDENTIAL LTD,2371.64,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,875,201010,FORESIGHT RESIDENTIAL LTD,1449.44,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,113,201010,FORESIGHT RESIDENTIAL LTD,284.6,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,862,201010,FORESIGHT RESIDENTIAL LTD,15369.56,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,114,201010,FORESIGHT RESIDENTIAL LTD,672.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,42198037,2,201010,FOUNDATIONS FURNITURE & GARDENING PROJECT,10978.94,2011-01-04
Community Based Services,Third Party Payments,Third Party Payments,60020130,933,201010,FOUR SEASONS HEALTH CARE,1744,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,404,201010,FOUR SEASONS HEALTH CARE LTD,1720,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,410,201010,FOUR SEASONS HEALTH CARE LTD,2154.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,419,201010,FOUR SEASONS HEALTH CARE LTD,2154.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,420,201010,FOUR SEASONS HEALTH CARE LTD,6310.49,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,120,201010,FOUR SEASONS HEALTH CARE LTD,518.48,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,405,201010,FOUR SEASONS HEALTH CARE LTD,6245.6,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,406,201010,FOUR SEASONS HEALTH CARE LTD,11186.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,407,201010,FOUR SEASONS HEALTH CARE LTD,4276.96,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,102,201010,FOUR SEASONS HEALTH CARE LTD,441.2,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,104,201010,FOUR SEASONS HEALTH CARE LTD,2150,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,126,201010,FOUR SEASONS HEALTH CARE LTD,441.2,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,402,201010,FOUR SEASONS HEALTH CARE LTD,2501.2,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,408,201010,FOUR SEASONS HEALTH CARE LTD,434.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,409,201010,FOUR SEASONS HEALTH CARE LTD,434.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,411,201010,FOUR SEASONS HEALTH CARE LTD,1304.4,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,412,201010,FOUR SEASONS HEALTH CARE LTD,62.11,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,416,201010,FOUR SEASONS HEALTH CARE LTD,611.45,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,417,201010,FOUR SEASONS HEALTH CARE LTD,245.71,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,94,201010,FOUR SEASONS HEALTH CARE LTD,48.68,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,418,201010,FOUR SEASONS HEALTH CARE LTD,4422.86,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,101,201010,FOUR SEASONS HEALTH CARE LTD,911.96,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,421,201010,FOUR SEASONS HEALTH CARE LTD,13952,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,436,201010,FOUR SEASONS HEALTH CARE LTD,12208,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,437,201010,FOUR SEASONS HEALTH CARE LTD,3961.25,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,439,201010,FOUR SEASONS HEALTH CARE LTD,1744,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,81,201010,FOUR SEASONS HEALTH CARE LTD,441.2,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,82,201010,FOUR SEASONS HEALTH CARE LTD,3156.68,2011-01-05
