Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq,Period,Supplier ID(T),Amount,Updated
Community Based Services,Third Party Payments,Third Party Payments,60020217,335,201312,ASPIRE HEALTHCARE LIMITED,1684.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,336,201312,ASPIRE HEALTHCARE LIMITED,3368.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,340,201312,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),1744.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,342,201312,BARCHESTER HEALTHCARE,7888.27,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,344,201312,BARCHESTER HEALTHCARE,1780.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,345,201312,BARCHESTER HEALTHCARE,7120.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,352,201312,BARCHESTER HEALTHCARE,890,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,355,201312,BARCHESTER HEALTHCARE,17800.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,357,201312,CRAIGIELEA NURSING HOME,1909.86,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,372,201312,CRAIGIELEA NURSING HOME,1580.57,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,386,201312,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),2616.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,387,201312,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),3488.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,388,201312,GAINFORD CARE HOMES LTD,1844.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,392,201312,GAINFORD CARE HOMES LTD,12935.01,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,400,201312,GAINFORD CARE HOMES LTD,69.72,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,401,201312,GAINFORD CARE HOMES LTD,1844.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,402,201312,GAINFORD CARE HOMES LTD,1844.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,408,201312,GAINFORD CARE HOMES LTD,1844.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,410,201312,FOUR SEASONS HEALTHCARE LTD,3703.43,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,413,201312,GAINFORD CARE HOMES LTD,3776.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,419,201312,WELLBURN CARE HOMES LTD,10680.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,425,201312,WELLBURN CARE HOMES LTD,8900.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,427,201312,ADDISON COURT T/A DAV HOMES LTD,1780.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,435,201312,APPLETREE GRANGE,685.15,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,441,201312,WELLBURN CARE HOMES LTD,2415.72,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,458,201312,FELLINGATE CARE CENTRE LTD,16857.15,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,460,201312,GAINFORD CARE HOMES LTD,8.58,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,464,201312,GAINFORD CARE HOMES LTD,3776.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,465,201312,GAINFORD CARE HOMES LTD,235.39,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,466,201312,GAINFORD CARE HOMES LTD,8.58,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,475,201312,WELLBURN CARE HOMES LTD,8900.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,483,201312,ROSEWOOD CARE LLP,14240.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,501,201312,ROSEWOOD CARE LLP,13731.43,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,502,201312,ROSEWOOD CARE LLP,10680.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,503,201312,ROSEWOOD CARE LLP,1780.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,505,201312,ROSEWOOD CARE LLP,1780.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,506,201312,BEECHWOOD HALL,15544.71,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,507,201312,FOUR SEASONS HEALTHCARE LTD,1844.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,511,201312,APPLETREE GRANGE,1744.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,512,201312,APPLETREE GRANGE,3488.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,513,201312,APPLETREE GRANGE,8720.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,515,201312,ROSEWOOD CARE LLP,3560.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,518,201312,BEECHWOOD HALL,7491.43,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,520,201312,BEECHWOOD HALL,1748.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,525,201312,BEECHWOOD HALL,3496.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,528,201312,WELLBURN CARE HOMES LTD,1885.32,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,529,201312,BONDCARE ST ANDREWS LTD (LANSBURY COURT CC),9156.10,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,531,201312,ORCHARD MEWS,1967.68,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,533,201312,BONDCARE ST ANDREWS LTD (LANSBURY COURT CC),1927.60,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,542,201312,PARK VIEW FOREST HALL,1905.96,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,545,201312,THE MANOR HOUSE (GOSFORTH),3904.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,550,201312,AKARI CARE (ALEXANDRA HOUSE),2196.62,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,551,201312,AKARI CARE (ALEXANDRA HOUSE),1863.80,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,557,201312,KIRKWOOD COURT - HELEN MCARDLE,1952.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,558,201312,DIPTON MANOR,1964.28,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,559,201312,DIPTON MANOR,1964.28,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,568,201312,ORCHARD CARE HOMES,1722.88,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,578,201312,PARKSIDE NORTHERN LTD (T/A HOLMLEA CARE HOME),1905.96,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,580,201312,HADRIAN HOUSE WALLSEND,1905.96,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,592,201312,FOUR SEASONS HEALTHCARE LTD,1666.16,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,600,201312,BARCHESTER HEALTHCARE,2402.32,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,607,201312,HARTFORD COURT,1885.32,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,610,201312,REDACTED - Personal Information,1972.88,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,619,201312,SUTHERLAND COURT,3784.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,625,201312,DERWENT CARE HOME,5892.84,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,630,201312,ROSEWOOD VILLA,1797.12,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,636,201312,NORTH ROAD GABLES,1876.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,638,201312,DERWENT CARE HOME,7857.12,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,648,201312,ST CUTHBERTS CARE,1952.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,649,201312,BARCHESTER HEALTHCARE HOMES LTD,1844.76,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,654,201312,KENTON MANOR,1952.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,661,201312,SUNNINGDALE HOUSE CARE HOME,1818.56,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,662,201312,CARE UK LTD,1964.28,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,663,201312,GAINFORD CARE HOME,1964.28,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,664,201312,ST GEORGE'S NURSING HOME,1840.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,665,201312,GAINFORD CARE HOME LTD,3727.60,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,666,201312,DONWELL HOUSE - BONDCARE,3492.00,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,667,201312,GAINFORD CARE HOME,1925.76,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,676,201312,ANCHOR TRUST,1783.76,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,678,201312,BARCHESTER HEALTHCARE WASHINGTON GRANGE,5782.80,2014-03-26
Community Based Services,Third Party Payments,Third Party Payments,60020217,683,201312,LEAZES HALL,3727.60,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,698,201312,GAINFORD CARE HOMES LTD,1122.08,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,708,201312,GAINFORD CARE HOMES LTD,22.71,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,713,201312,FOUR SEASONS HEALTHCARE LTD,972,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,715,201312,GAINFORD CARE HOMES LTD,485.56,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,717,201312,CRAIGIELEA NURSING HOME,19.77,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,720,201312,BARCHESTER HEALTHCARE,519.52,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,723,201312,EUROPEAN CARE (UK) LTD-D/COTE,549.2,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,727,201312,FOUR SEASONS HEALTHCARE LTD,673.24,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,730,201312,GAINFORD CARE HOMES LTD,3856.84,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,731,201312,GAINFORD CARE HOMES LTD,504.12,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,735,201312,GAINFORD CARE HOMES LTD,1844.00,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,743,201312,EUROPEAN CARE (UK) LTD-D/COTE,2074.08,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,746,201312,ST CUTHBERTS CARE,585.84,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,752,201312,BARCHESTER HEALTHCARE -  HILLSIDE GRANGE,2069.80,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,754,201312,VALLEY VIEW RESIDENTIAL HOME,546.56,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,756,201312,VALLEY VIEW RESIDENTIAL HOME,6247.92,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,757,201312,WELLBURN CARE HOMES LTD,740.12,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,758,201312,LEAZES HALL,1415.68,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,761,201312,BARCHESTER HEALTHCARE -  HILLSIDE GRANGE,1039.04,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,763,201312,BARCHESTER HEALTHCARE WASHINGTON GRANGE,1262.52,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,764,201312,VALLEY VIEW RESIDENTIAL HOME,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,765,201312,VALLEY VIEW RESIDENTIAL HOME,1441.36,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,766,201312,BARCHESTER HEALTHCARE -  HILLSIDE GRANGE,6582.88,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,767,201312,BARCHESTER HEALTHCARE -  HILLSIDE GRANGE,1612.52,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,770,201312,ANCHOR TRUST,1218.18,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,773,201312,GAINFORD CARE HOME LTD,610.12,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,774,201312,ANCHOR TRUST,1039.56,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,779,201312,ANCHOR TRUST,676.96,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,782,201312,REDACTED - Personal Information,504.68,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,788,201312,REDACTED - Personal Information,6870.24,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,789,201312,REDACTED - Personal Information,2107.56,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,790,201312,REDACTED - Personal Information,1245.60,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,791,201312,REDACTED - Personal Information,2580.72,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,794,201312,EUROPEAN CARE (UK) LTD-D/COTE,2859.83,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,800,201312,NORTH ROAD GABLES,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,805,201312,WELLBURN CARE HOMES LTD,3453.20,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,807,201312,WELLBURN CARE HOMES LTD,711.64,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,814,201312,WELLBURN CARE HOMES LTD,3185.68,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,815,201312,GAINFORD CARE HOMES LTD,1257.12,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,816,201312,GAINFORD CARE HOMES LTD,1388.72,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,817,201312,GAINFORD CARE HOMES LTD,902.99,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,820,201312,WELLBURN CARE HOMES LTD,3050.45,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,821,201312,WELLBURN CARE HOMES LTD,1027.24,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,823,201312,WELLBURN CARE HOMES LTD,702.53,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,832,201312,WELLBURN CARE HOMES LTD,4747.16,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,836,201312,WELLBURN CARE HOMES LTD,830.76,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,846,201312,BARCHESTER HEALTHCARE LTD,522.28,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,847,201312,CRAIGIELEA NURSING HOME,977.89,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,848,201312,FELLINGATE CARE CENTRE LTD,2041.84,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,851,201312,FELLINGATE CARE CENTRE LTD,1723.56,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,852,201312,FELLINGATE CARE CENTRE LTD,8038.92,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,854,201312,FELLINGATE CARE CENTRE LTD,4877.63,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,860,201312,ROSEWOOD VILLA,1121.24,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,869,201312,THE MANOR HOUSE,9677.09,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,877,201312,HARTFORD COURT,494.64,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,885,201312,FELLINGATE CARE CENTRE LTD,173.05,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,886,201312,ADDISON COURT T/A DAV HOMES LTD,683.92,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,887,201312,REDACTED - Personal Information,529.32,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,889,201312,THE MANOR HOUSE,1046.04,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,890,201312,THE MANOR HOUSE,632.76,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,897,201312,BOND CARE,1450.73,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,900,201312,BOND CARE,6903.52,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,905,201312,BOND CARE,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,906,201312,BOND CARE,2837.84,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,913,201312,THE MANOR HOUSE,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,915,201312,COVENT HOUSE,597.64,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,917,201312,HADRIAN HOUSE WALLSEND,740.92,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,924,201312,COVENT HOUSE,972,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,935,201312,BOND CARE,1581.53,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,937,201312,ROSEWOOD CARE LLP,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,942,201312,ANCHOR TRUST,517.96,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,947,201312,ST CUTHBERTS HOUSE LTD,2197.36,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,950,201312,ST CUTHBERTS HOUSE LTD,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,951,201312,ST CUTHBERTS HOUSE LTD,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,952,201312,FOUR SEASONS HEALTHCARE LTD,510,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,957,201312,PARKSIDE NORTHERN LTD (T/A HOLMLEA CARE HOME),885.76,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,967,201312,BARCHESTER HEALTHCARE,252.18,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,969,201312,BARCHESTER HEALTHCARE HOMES LTD,1094.16,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,970,201312,BARCHESTER HEALTHCARE,1945.02,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,973,201312,GAINFORD CARE HOME,944.8,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,974,201312,BARCHESTER HEALTHCARE,7110.36,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,975,201312,BARCHESTER HEALTHCARE,1985.12,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,976,201312,BARCHESTER HEALTHCARE,585.4,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,990,201312,SUTHERLAND COURT,1920.88,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,991,201312,ROSEWOOD CARE LLP,4510.74,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,993,201312,ROSEWOOD CARE LLP,1395.68,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,994,201312,ROSEWOOD CARE LLP,2347.64,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,995,201312,ROSEWOOD CARE LLP,3146.00,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,997,201312,ROSEWOOD CARE LLP,3471.64,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1002,201312,ASPIRE HEALTHCARE LIMITED,499.64,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1003,201312,BEECHWOOD HALL,2621.34,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1013,201312,BEECHWOOD HALL,4983.91,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1014,201312,DERWENT CARE HOME,2034.88,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1015,201312,BEECHWOOD HALL,694.52,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1016,201312,BEECHWOOD HALL,2062.20,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1017,201312,BEECHWOOD HALL,176.94,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1018,201312,DERWENT CARE HOME,2541.84,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1021,201312,BOND CARE,692.2,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1022,201312,BOND CARE,4983.91,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1023,201312,ORCHARD MEWS,466.18,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1026,201312,BONDCARE ST ANDREWS LTD (LANSBURY COURT CC),4431.62,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1027,201312,DIPTON MANOR,1964.28,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1029,201312,DIPTON MANOR,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1033,201312,AKARI CARE (ALEXANDRA HOUSE),721.09,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1041,201312,SOLEHAWK LTD,992.83,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1043,201312,AKARI CARE (ALEXANDRA HOUSE),807.32,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1058,201312,PARK VIEW FOREST HALL,623.36,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1066,201312,KIRKWOOD COURT - HELEN MCARDLE,833.04,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1067,201312,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1068,201312,APPLETREE GRANGE,2503.04,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1071,201312,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),799.8,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1073,201312,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),529.96,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1074,201312,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),4960.77,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1088,201312,APPLETREE GRANGE,138.86,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1095,201312,APPLETREE GRANGE,629.24,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1096,201312,APPLETREE GRANGE,1059.65,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1100,201312,FOUR SEASONS HEALTH CARE LTD,1148.16,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1116,201312,DONWELL HOUSE - BONDCARE,1033.32,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1119,201312,SUNNINGDALE HOUSE CARE HOME,639.68,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1134,201312,BOND CARE,1270.84,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1138,201312,BOND CARE,2728.72,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1142,201312,BOND CARE,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1143,201312,BOND CARE,1263.67,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1149,201312,BOND CARE,1532.44,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1166,201312,SPRINGFIELD HOUSE - MCARDLE CARE,1088.22,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1169,201312,SPRINGFIELD HOUSE - MCARDLE CARE,964,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1173,201312,THE MANOR HOUSE (GOSFORTH),2038.08,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1175,201312,ORCHARD CARE HOMES,1014.68,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1179,201312,CARE UK LTD,1023.96,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1181,201312,CARE UK LTD,486,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1183,201312,CARE UK LTD,1729.32,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1189,201312,CARE UK LTD,853.17,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1190,201312,KENTON MANOR,630,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1192,201312,CARE UK LTD,2058.16,2014-03-26
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",60020217,1194,201312,CARE UK LTD,8185.28,2014-03-26
