Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated,GC Supplier red,VAT RegNo,Report,Type
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,894,201202,FOUR SEASONS HEALTH CARE LTD,4250.87,2012-05-23,8400042GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,901,201202,BOND CARE,927.07,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,906,201202,FOUR SEASONS HEALTH CARE LTD,3043.25,2012-05-23,8400042GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,908,201202,BOND CARE,1073.88,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,909,201202,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),2094.69,2012-05-23,8400114GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,911,201202,BOND CARE,3024.46,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,920,201202,CONISCLIFFE CARE HOME,594.52,2012-05-23,3229995GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,925,201202,SUNNINGDALE HOUSE CARE HOME,624.20,2012-05-23,3229998GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,928,201202,CARE UK LTD,1700.32,2012-05-23,3231891GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,933,201202,CARE UK LTD,890.80,2012-05-23,3231891GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,935,201202,CARE UK LTD,491.36,2012-05-23,3231891GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,944,201202,BOND CARE,1126.16,2012-05-23,3229476GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,950,201202,COUNRTYWIDE CARE HOMES LTD,504.68,2012-05-23,3229905GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,964,201202,HEBBURN COURT CARE HOME,722.92,2012-05-23,3229986GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,966,201202,BOND CARE,529.06,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,973,201202,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),786.60,2012-05-23,8400114GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,974,201202,REDACTED - Personal Information,7541.33,2012-05-23,8400249GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,975,201202,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),953.60,2012-05-23,8400114GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,976,201202,GLCC LTD - HILLSIDE GRANGE,861.51,2012-05-23,8400246GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,981,201202,REDACTED - Personal Information,698.17,2012-05-23,8400249GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,982,201202,GLCC LTD - HILLSIDE GRANGE,8896.32,2012-05-23,8400246GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,983,201202,REDACTED - Personal Information,626.80,2012-05-23,8400249GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,984,201202,REDACTED - Personal Information,630.52,2012-05-23,8400249GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,988,201202,GLCC LTD - HILLSIDE GRANGE,2559.48,2012-05-23,8400246GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,990,201202,WELLBURN CARE HOMES LTD,713.60,2012-05-23,8400177GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,994,201202,WELLBURN CARE HOMES LTD,5246.72,2012-05-23,8400177GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,995,201202,WELLBURN CARE HOMES LTD,1286.36,2012-05-23,8400177GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1012,201202,REDACTED - Personal Information,521.76,2012-05-23,3212142GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1022,201202,FELLINGATE CARE CENTRE LTD,7745.66,2012-05-23,3212265GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1023,201202,ANCHOR TRUST,652.08,2012-05-23,8400333GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1024,201202,GAINFORD CARE HOME LTD,568.10,2012-05-23,8400312GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1027,201202,FELLINGATE CARE CENTRE LTD,3912.33,2012-05-23,3212265GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1028,201202,FELLINGATE CARE CENTRE LTD,317.50,2012-05-23,3212265GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1030,201202,THE MANOR HOUSE,253.62,2012-05-23,3220623GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1035,201202,ANCHOR TRUST,1571.67,2012-05-23,8400333GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1036,201202,THE MANOR HOUSE,1097.88,2012-05-23,3220623GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1038,201202,ADDISON COURT T/A DAV HOMES LTD,605.85,2012-05-23,3207441GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1050,201202,CRAIGIELEA NURSING HOME,476.80,2012-05-23,8400120GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1055,201202,COVENT HOUSE,1757.08,2012-05-23,3225552GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1057,201202,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),617.60,2012-05-23,8400114GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1059,201202,COVENT HOUSE,953.60,2012-05-23,3225552GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1060,201202,COVENT HOUSE,898.68,2012-05-23,3225552GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1061,201202,COVENT HOUSE,2232.15,2012-05-23,3225552GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1073,201202,EUROPEAN CARE (UK) LTD-D/COTE,1744.00,2012-05-23,8400162GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1077,201202,GREENWAYS COURT,592.84,2012-05-23,3221067GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1079,201202,EUROPEAN CARE (UK) LTD-D/COTE,658.40,2012-05-23,8400162GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1081,201202,WELLBURN CARE HOMES LTD,3050.80,2012-05-23,8400177GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1082,201202,WELLBURN CARE HOMES LTD,9541.46,2012-05-23,8400177GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1083,201202,WELLBURN CARE HOMES LTD,660.17,2012-05-23,8400177GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1085,201202,EUROPEAN CARE (UK) LTD-D/COTE,3079.05,2012-05-23,8400162GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1090,201202,HADRIAN HOUSE WALLSEND,694.32,2012-05-23,3225201GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1094,201202,BRUNSWICK HOUSE,476.80,2012-05-23,3221520GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,216,201202,BOND CARE,1744.00,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,277,201202,ST CUTHBERTS HOUSE LTD,1744.00,2012-05-23,3158472GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,278,201202,ST CUTHBERTS HOUSE LTD,1744.00,2012-05-23,3158472GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,279,201202,ST CUTHBERTS HOUSE LTD,1744.00,2012-05-23,3158472GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,293,201202,NTW NHS FOUNDATION TRUST,1424.84,2012-05-23,3202173GC,654934312,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,331,201202,ASPIRE HEALTHCARE LIMITED,1684.00,2012-05-23,3165843GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,899,201202,BOND CARE,671.80,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,28,201202,EUROPEAN CARE (UK) LTD-D/COTE,1167.14,2012-05-23,8400162GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,56,201202,REDACTED - Personal Information,1720.00,2012-05-23,8400249GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,91,201202,APPLETREE GRANGE,1105.71,2012-05-23,8400003GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,103,201202,FELLINGATE CARE CENTRE LTD,6768.58,2012-05-23,3212265GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,109,201202,FELLINGATE CARE CENTRE LTD,1752.00,2012-05-23,3212265GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,134,201202,THE MANOR HOUSE,250.28,2012-05-23,3220623GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,175,201202,CARE UK LTD,2064.86,2012-05-23,3231891GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,176,201202,CARE UK LTD,688.29,2012-05-23,3231891GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,247,201202,BOND CARE,1412.86,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,345,201202,FOUR SEASONS HEALTHCARE LTD,1648.00,2012-05-23,8400876GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,356,201202,GAINFORD CARE HOMES LTD,1752.00,2012-05-23,8401113GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,448,201202,ADDISON COURT T/A DAV HOMES LTD,750.86,2012-05-23,3207441GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,602,201202,DERWENT CARE HOME,1838.84,2012-05-23,3167508GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,675,201202,ACTIVE HORIZONS LTD,1236.00,2012-05-23,3222114GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,756,201202,FOUR SEASONS HEALTHCARE LTD,279.91,2012-05-23,8400876GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,775,201202,GAINFORD CARE HOMES LTD,476.80,2012-05-23,8401113GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,845,201202,BOND CARE,338.63,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,873,201202,APPLETREE GRANGE,265.01,2012-05-23,8400003GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,929,201202,CARE UK LTD,587.82,2012-05-23,3231891GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,930,201202,CARE UK LTD,161.95,2012-05-23,3231891GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,985,201202,REDACTED - Personal Information,609.64,2012-05-23,8400249GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1019,201202,ADDISON COURT T/A DAV HOMES LTD,176.67,2012-05-23,3207441GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1026,201202,FELLINGATE CARE CENTRE LTD,577.36,2012-05-23,3212265GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1037,201202,THE MANOR HOUSE,58.89,2012-05-23,3220623GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1074,201202,EUROPEAN CARE (UK) LTD-D/COTE,279.73,2012-05-23,8400162GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1093,201202,ACTIVE HORIZONS LTD,1105.66,2012-05-23,3222114GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,21,201202,WELLBURN CARE HOMES LTD,254.29,2012-05-23,8400177GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,45,201202,COVENT HOUSE,1780.00,2012-05-23,3225552GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,52,201202,FELLINGATE CARE CENTRE LTD,1780.00,2012-05-23,3212265GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,55,201202,REDACTED - Personal Information,4297.71,2012-05-23,8400249GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,149,201202,APPLETREE GRANGE,1058.86,2012-05-23,8400003GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,177,201202,CARE UK LTD,3814.29,2012-05-23,3231891GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,180,201202,SPRINGFIELD HOUSE - MCARDLE CARE,3799.43,2012-05-23,3238701GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,237,201202,BOND CARE,2989.71,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,248,201202,BOND CARE,1744.00,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,268,201202,BARCHESTER HEALTHCARE,1780.00,2012-05-23,3042522GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,355,201202,GAINFORD CARE HOMES LTD,254.29,2012-05-23,8401113GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,470,201202,ROSEWOOD CARE LLP,2670.00,2012-05-23,3201240GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,472,201202,THE MANOR HOUSE (GOSFORTH),270.28,2012-05-23,3238287GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,498,201202,LEAZES HALL,1827.24,2012-05-23,8400522GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,565,201202,GAINFORD CARE HOME,1925.76,2012-05-23,3049350GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,687,201202,LEAZES HALL,1722.36,2012-05-23,8400522GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,709,201202,ROSEWOOD CARE LLP,875.08,2012-05-23,3201240GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,727,201202,GAINFORD CARE HOME,183.88,2012-05-23,3049350GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,790,201202,BARCHESTER HEALTHCARE,429.80,2012-05-23,3042522GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,848,201202,BOND CARE,126.51,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,849,201202,BOND CARE,662.53,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,874,201202,APPLETREE GRANGE,250.29,2012-05-23,8400003GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,922,201202,THE MANOR HOUSE (GOSFORTH),55.99,2012-05-23,3238287GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,931,201202,CARE UK LTD,774.47,2012-05-23,3231891GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,934,201202,SPRINGFIELD HOUSE - MCARDLE CARE,609.64,2012-05-23,3238701GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,986,201202,REDACTED - Personal Information,668.16,2012-05-23,8400249GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1084,201202,WELLBURN CARE HOMES LTD,585.46,2012-05-23,8400177GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1101,201202,GAINFORD CARE HOMES LTD,55.98,2012-05-23,8401113GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,15,201202,CRAIGIELEA NURSING HOME,1720.00,2012-05-23,8400120GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,30,201202,CRAIGIELEA NURSING HOME,1720.00,2012-05-23,8400120GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,98,201202,THE OAKS,1442.32,2012-05-23,8400342GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,314,201202,COMMUNITY INTEGRATED CARE,1557.32,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,534,201202,PERCY HEDLEY CENTRE,6050.04,2012-05-23,8400756GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,771,201202,PERCY HEDLEY CENTRE,953.60,2012-05-23,8400756GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,840,201202,COMMUNITY INTEGRATED CARE,476.80,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1006,201202,THE OAKS,476.80,2012-05-23,8400342GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1051,201202,CRAIGIELEA NURSING HOME,514.08,2012-05-23,8400120GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1052,201202,CRAIGIELEA NURSING HOME,476.80,2012-05-23,8400120GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,417,201202,NTW NHS FOUNDATION TRUST,3922.64,2012-05-23,3202173GC,654934312,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,425,201202,NTW NHS FOUNDATION TRUST,12882.76,2012-05-23,3202173GC,654934312,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,429,201202,NTW NHS FOUNDATION TRUST,6295.16,2012-05-23,3202173GC,654934312,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,42339199,2,201202,REDACTED - Personal Information,500.00,2012-05-29,3225546GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331862,9,201202,MENCAP,4769.18,2012-05-01,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331862,14,201202,MENCAP,5684.20,2012-05-01,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332271,4,201202,360 HEALTHCARE LTD,74103.37,2012-05-02,3034671GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333089,3,201202,ALLIED HEALTHCARE GROUP LTD,3344.57,2012-05-04,6421947GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333090,4,201202,KELLY PARK CARING AGENCY,14434.54,2012-05-04,3035832GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333091,3,201202,CARELINE HOMECARE LTD,6235.39,2012-05-04,3222999GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333092,2,201202,CAREMARK,1861.49,2012-05-04,3165267GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333117,3,201202,ALLIED HEALTHCARE GROUP LTD,35196.69,2012-05-04,6421947GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333122,8,201202,CAREWATCH CARE SERVICES LTD,9365.90,2012-05-04,3201705GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333127,5,201202,COMFORT CALL LTD,64646.54,2012-05-04,3158154GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333134,5,201202,COMMUNITY CARE NORTH EAST,42673.02,2012-05-04,3222267GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333135,4,201202,MERIT HOME CARE SERVICES,42186.34,2012-05-04,3221607GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333144,7,201202,CROSSROADS CARE,180.31,2012-05-04,6352227GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333149,2,201202,WILLOW COMMUNITY CARE LTD,11148.19,2012-05-04,3157212GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333152,2,201202,NEUROPARTNERS,725.00,2012-05-04,3218007GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333154,2,201202,NEUROPARTNERS,1690.00,2012-05-04,3218007GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333158,3,201202,CARELINE HOMECARE LTD,6799.80,2012-05-04,3222999GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333161,3,201202,ALLIED HEALTHCARE GROUP LTD,16543.80,2012-05-04,6421947GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333161,5,201202,ALLIED HEALTHCARE GROUP LTD,15086.93,2012-05-04,6421947GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333168,4,201202,KAY CARE SERVICES,45913.46,2012-05-04,8400723GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42335443,2,201202,KELLY PARK CARING AGENCY,1487.02,2012-05-17,3035832GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337311,2,201202,CAREMARK,1113.00,2012-05-22,3165267GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337311,3,201202,CAREMARK,22.26,2012-05-22,3165267GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337322,3,201202,POSITIVE LIFE CHOICES,3083.01,2012-05-22,3167871GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337749,5,201202,CHOICE SERVICES LTD,1669.50,2012-05-24,3025437GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339201,2,201202,ALLIED HEALTHCARE GROUP LTD,3347.35,2012-05-30,6421947GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339266,4,201202,360 HEALTHCARE LTD,72471.21,2012-05-30,3034671GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339630,9,201202,MENCAP,4769.18,2012-05-31,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339630,14,201202,MENCAP,5684.20,2012-05-31,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333921,2,201202,CARELINE HOMECARE LTD,2166.66,2012-05-10,3222999GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331390,2,201202,HOUSING21,8280.77,2012-05-01,3175965GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337314,4,201202,LEONARD CHESHIRE FOUNDATION,116.76,2012-05-22,8400090GC,,TRDATA1R,Revenue
Community Based Services,Transport,Car Allowances,42337344,58,201202,COMMONWHEELS CIC,20.40,2012-05-22,3214254GC,926671305,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,415,201202,O2 (UK) LTD,11.47,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,37,201202,CRAIGIELEA NURSING HOME,1752.00,2012-05-23,8400120GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,123,201202,CARELINE LIFESTYLES LTD,5540.00,2012-05-23,3213720GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,135,201202,THE MANOR HOUSE,2082.80,2012-05-23,3220623GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,167,201202,BOND CARE,1752.00,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,201,201202,FOUR SEASONS HEALTH CARE LTD,3440.00,2012-05-23,8400042GC,,TRDATA1R,Revenue
