Body name,Service label,Service divison label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Supplies and Services,Other Hired And Contracted Services,265,2011-08-05,1108-01266,496.41,R,Capita Business Services Ltd
Leeds City Council,Central & Corporate Functions,Benefits,Supplies and Services,Computer Software & Equipment,214,2011-08-05,1108-01267,700.00,R,Capita Business Services Ltd
Leeds City Council,Central & Corporate Functions,Benefits,Supplies and Services,Other Hired And Contracted Services,265,2011-08-19,1108-01268,1125.00,R,Capita Business Services Ltd
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Employees,Agency Staff,008,2011-08-09,1108-01269,1098.80,R,Capita Education Resourcing
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Employees,Agency Staff,008,2011-08-09,1108-01270,918.40,R,Capita Education Resourcing
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Employees,Agency Staff,008,2011-08-12,1108-01271,750.80,R,Capita Resourcing Ltd
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Employees,Agency Staff,008,2011-08-12,1108-01272,8325.00,R,Capita Resourcing Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,2011-08-10,1108-01273,891.30,R,Capri Calvert Electrics Ltd
Leeds City Council,City Development,Recreation,Capital,Furniture And Equipment,5,2011-08-19,1108-01274,2120.00,C,Cardiac Science Holdings (Uk) Ltd
Leeds City Council,Childrens Services,Strategy Policy Planning & Participation,Supplies and Services,Other Hired And Contracted Services,265,2011-08-08,1108-01275,81468.71,R,Cardinal Heenan High School Pfi
Leeds City Council,Childrens Services,Strategy Policy Planning & Participation,Income,Income From Service Users,942,2011-08-08,1108-01276,9774.45,R,Cardinal Heenan High School Pfi
Leeds City Council,Childrens Services,Strategy Policy Planning & Participation,Supplies and Services,Other Hired And Contracted Services,265,2011-08-12,1108-01277,868.11,R,Cardinal Heenan School Services Limited
Leeds City Council,Environment & Neighbourhoods,East North East,Capital,Other Costs,7,2011-08-03,1108-01278,8000.00,C,Care & Repair (Leeds) Ltd
Leeds City Council,Environment & Neighbourhoods,South South East,Capital,Construction,3,2011-08-04,1108-01279,1892.45,C,Care & Repair (Leeds) Ltd
Leeds City Council,Environment & Neighbourhoods,Strategy & Commissioning,Third Party Payments,Supporting Ppl - Block Gross Chargeable,514,2011-08-12,1108-01280,10726.09,R,Care & Repair (Leeds) Ltd
Leeds City Council,Environment & Neighbourhoods,Strategy & Commissioning,Third Party Payments,Supporting Ppl - Block Gross Chargeable,514,2011-08-12,1108-01281,5266.72,R,Care & Repair (Leeds) Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,2011-08-17,1108-01282,1500.00,C,Care & Repair (Leeds) Ltd
Aire Valley Homes Leeds,Aire Valley Homes Leeds,Property,Premises,General Maintenance,104,2011-08-18,1108-01283,1318.20,R,Care & Repair (Leeds) Ltd
Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Supplies and Services,Non-Recurring Grants,227,2011-08-23,1108-01284,8250.00,R,Care & Repair (Leeds) Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,2011-08-30,1108-01285,1500.00,C,Care & Repair (Leeds) Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,2011-08-30,1108-01286,3747.44,C,Care & Repair (Leeds) Ltd
Aire Valley Homes Leeds,Aire Valley Homes Leeds,Property,Premises,General Maintenance,104,2011-08-30,1108-01287,725.29,R,Care & Repair (Leeds) Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-05,1108-01288,515.50,R,Care 24-7 Limited
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-05,1108-01289,674.04,R,Care 24-7 Limited
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-17,1108-01290,2881.66,R,Care 24-7 Limited
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-17,1108-01291,968.40,R,Care 24-7 Limited
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-24,1108-01292,1073.12,R,Care 24-7 Limited
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-24,1108-01293,980.00,R,Care 24-7 Limited
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-31,1108-01294,595.00,R,Care 24-7 Limited
Leeds City Council,Central & Corporate Functions,Human Resources,Supplies and Services,Other Hired And Contracted Services,265,2011-08-19,1108-01295,4404.40,R,Care First
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-03,1108-01296,7236.60,R,Care Network Solutions Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-09,1108-01297,4939.35,R,Care Network Solutions Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-26,1108-01298,5553.24,R,Care Network Solutions Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-31,1108-01299,1765.68,R,Care Network Solutions Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-10,1108-01300,14880.00,R,Care Principles Ltd
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Sheltered Accommodation,569,2011-08-03,1108-01301,40003.40,R,Care Tech Community Services Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Residential,580,2011-08-03,1108-01302,2715.72,R,Care Tech Community Services Ltd
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Sheltered Accommodation,569,2011-08-31,1108-01303,4527.68,R,Care Tech Community Services Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Residential,580,2011-08-31,1108-01304,2715.72,R,Care Tech Community Services Ltd
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-11,1108-01305,11202.60,R,Care Today
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-26,1108-01306,10382.10,R,Care Today
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-26,1108-01307,11202.60,R,Care Today
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-26,1108-01308,10536.30,R,Care Today
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-26,1108-01309,11460.30,R,Care Today
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-26,1108-01310,8657.10,R,Care Today
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-26,1108-01311,9168.24,R,Care Today
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-26,1108-01312,11055.00,R,Care Today
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-26,1108-01313,11055.00,R,Care Today
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,2011-08-31,1108-01314,1771.44,R,Care Today
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01315,19855.02,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-03,1108-01316,577.94,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01317,1008.32,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-03,1108-01318,17158.35,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01319,6480.82,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,2011-08-03,1108-01320,649.83,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01321,7569.61,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-03,1108-01322,679.83,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01323,10113.70,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01324,13870.35,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01325,3764.13,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01326,749.25,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Other Generic Services,Third Party Payments,Home Care,568,2011-08-05,1108-01327,10786.15,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Other Generic Services,Third Party Payments,Home Care,568,2011-08-05,1108-01328,11647.49,R,Care Uk Homecare Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-15,1108-01329,1088.64,R,Care Uk Homecare Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-15,1108-01330,593.25,R,Care Uk Homecare Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-15,1108-01331,993.21,R,Care Uk Homecare Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-15,1108-01332,1099.77,R,Care Uk Homecare Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-15,1108-01333,1148.61,R,Care Uk Homecare Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-15,1108-01334,941.98,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-19,1108-01335,9918.97,R,Care Uk Homecare Ltd
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-19,1108-01336,1455.02,R,Care Uk Homecare Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-23,1108-01337,966.42,R,Care Uk Homecare Ltd
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Supplies and Services,Operational Furniture And Equipment,203,2011-08-09,1108-01338,2035.00,R,Carebase
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Supplies and Services,Operational Furniture And Equipment,203,2011-08-19,1108-01339,549.00,R,Carebase
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Supplies and Services,Operational Furniture And Equipment,203,2011-08-25,1108-01340,2668.00,R,Carebase
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01341,812.00,R,Caremark (Leeds)
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-03,1108-01342,958.96,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01343,2047.56,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01344,1624.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-03,1108-01345,1826.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01346,742.50,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01347,472.36,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01348,566.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01349,659.71,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01350,526.34,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-03,1108-01351,1334.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01352,1623.84,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01353,507.43,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-03,1108-01354,1319.30,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01355,957.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-03,1108-01356,432.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01357,684.81,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01358,790.10,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01359,2095.25,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-03,1108-01360,986.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01361,2261.71,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01362,2146.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01363,1326.50,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01364,1998.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01365,2030.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-03,1108-01366,500.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01367,1512.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01368,1673.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-04,1108-01369,826.60,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01370,1646.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01371,1014.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01372,1025.59,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01373,434.96,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01374,1213.82,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01375,1963.96,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01376,420.20,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01377,812.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01378,1913.94,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01379,507.36,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01380,1826.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01381,2320.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-04,1108-01382,2001.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-04,1108-01383,666.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-04,1108-01384,637.83,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01385,1964.96,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01386,696.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01387,1029.48,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01388,580.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01389,1478.78,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01390,1826.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01391,1218.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01392,710.36,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-04,1108-01393,1217.44,R,Caremark (Leeds)
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-04,1108-01394,861.30,R,Caremark (Leeds)
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-04,1108-01395,827.80,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-05,1108-01396,1624.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-05,1108-01397,507.36,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-05,1108-01398,586.98,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-05,1108-01399,594.50,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-05,1108-01400,695.96,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-05,1108-01401,507.36,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-05,1108-01402,463.92,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-05,1108-01403,728.63,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,2011-08-05,1108-01404,1290.60,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-05,1108-01405,460.29,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-05,1108-01406,420.50,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-10,1108-01407,619.59,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-10,1108-01408,1440.50,R,Caremark (Leeds)
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-12,1108-01409,1656.00,R,Caremark (Leeds)
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-12,1108-01410,1656.00,R,Caremark (Leeds)
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-12,1108-01411,1518.75,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01412,465.61,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-26,1108-01413,1979.25,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-26,1108-01414,1268.47,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01415,2018.57,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-26,1108-01416,695.96,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-26,1108-01417,1826.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01418,756.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01419,427.71,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01420,566.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01421,695.96,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01422,458.86,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01423,463.92,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-26,1108-01424,1000.50,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01425,1623.84,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01426,627.03,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-26,1108-01427,1826.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01428,957.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-26,1108-01429,696.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01430,608.72,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01431,710.36,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01432,812.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01433,1242.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01434,2030.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-26,1108-01435,812.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01436,2203.73,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01437,2146.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01438,1949.88,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01439,1890.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01440,2030.00,R,Caremark (Leeds)
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,2011-08-26,1108-01441,637.68,R,Caremark (Leeds)
